gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490451317,win,Ranked Solo,2021-10-04 08:25:14,23m 32s,2,3,8,3.33:1,Double Kill,empty,Yone,Master,empty,Yone,kníght zz,Viego,Akugyo,Syndra,ELF Valin,Miss Fortune,VeigarV2testacc,Seraphine,KinkedJaguar37,Gwen,potatoporcupine1,Lillia,Don Arts,Aatrox,Sack,Samira,Play Date To You,Leona,KBR TunisiaKing
5490417790,win,Ranked Solo,2021-10-04 07:55:05,15m 13s,4,2,2,3.00:1,empty,empty,Yone,Master,empty,LeBlanc,ELF Valin,Lee Sin,DK Cαnyon,Viktor,protågonist,Tristana,Naikyu,Thresh,SUP Toxic Keskin,Olaf,El Monkito Vroum,Master Yi,PD Zapdo,Yone,kníght zz,Karthus,VeigarV2testacc,Leona,TurtleShock v2
5490412954,win,Ranked Solo,2021-10-04 07:18:47,25m 52s,4,5,8,2.40:1,empty,empty,LeBlanc,Master,empty,Riven, Terrºr,Qiyana,ITS FOCKING RAW,Tryndamere,Henrα,Aphelios,STAR CONQUEROR,Fiddlesticks,Officer Brown,Gnar,Νight Drive,Rengar,Mandag Unchained,LeBlanc,kníght zz,Vayne,czerń koniczyna,Thresh,kiszelol
5490206335,win,Ranked Solo,2021-10-04 05:28:49,28m 29s,4,2,19,11.50:1,empty,empty,Zoe,Master,empty,Wukong,SimpleGamePlay,Hecarim,jupezz,Zoe,kníght zz,Miss Fortune,Dual Monarchy,Swain,BanChemtankShen,Sett,Tanre,Nunu & Willump,MANE ReNo,Vex,7B DerScampi,Ezreal,Flowsnake Ice,Yuumi,Yenzae
5490078604,lose,Ranked Solo,2021-10-04 04:29:41,16m 12s,0,4,1,0.25:1,empty,empty,Irelia,Master,empty,Tryndamere,TRZE,Nunu & Willump,MANE ReNo,Fizz,Dual Monarchy,Ezreal,PVE Chilenare,Rakan,Ruggers,Graves,sushicat2,Evelynn,PERMA LOSERSQ,Irelia,kníght zz,Lucian,Kyarh,Thresh,FoulApe
5489988829,win,Ranked Solo,2021-10-04 03:50:57,28m 19s,6,2,17,11.50:1,MVP,empty,Akali,Master,empty,Mordekaiser,VEC Dale,Volibear,ÜG Burn,Irelia,Łet none survive,Lucian,JacekMiłośćPL,Amumu,ETT 2Trick,Yone,DUMPIXOTA,Nocturne,Vol,Akali,kníght zz,Kai'Sa,New Pretty Dawn,Rakan,TwTv Valenjin
5489952950,lose,Ranked Solo,2021-10-04 03:14:03,31m 30s,3,6,19,3.67:1,ACE,empty,Gragas,Master,empty,Camille,PepitoElPescador,Kayn,Erilarion,Nautilus,yeti kotΙeti,Jhin,Nafilan,Soraka,Spoodersussi v2,Riven,BuffRlVEN,Poppy,Dabsn,Gragas,kníght zz,Kai'Sa,New Pretty Dawn,Amumu,SUP Toxic Keskin
5489806232,win,Ranked Solo,2021-10-04 02:35:30,28m 44s,3,9,16,2.11:1,empty,empty,Thresh,Master,empty,Kayle,Spoodersussi v2,Zac,Senpai David,Graves,Refreshed,Ezreal,Ruler Jr,Thresh,kníght zz,Kennen,Manjirø Sano,Viego,Sambrotta,Yasuo,RaKaSaMa,Riven,scrxptlxss,Janna,GOD ALGORITHM
5489579892,lose,Ranked Solo,2021-10-04 01:58:30,29m 42s,4,7,6,1.43:1,Double Kill,empty,Pyke,Master,empty,Darius,TheRuneLoL,Shyvana,Senpai David,Yone,Vyct0r,Vayne,Juanjo Pelines,Zyra,faeces,Wukong,ShuoSanJiuSan,Jarvan IV,KuonOuO,Ryze,Wÿse,Jinx,krysun,Pyke,kníght zz
5488665347,win,Ranked Solo,2021-10-03 09:37:25,34m 3s,5,5,20,5.00:1,empty,empty,Gragas,Master,empty,Wukong,Kosan,Karthus,LEO BRICHTA,Irelia,Karzzy11,Tristana,na strwsoume tpt,Rakan,UFF LordSteve,Darius,RZF Bakhaen,Rek'Sai,Hero of Ferelden,Gragas,kníght zz,Draven,Boycott s11,Amumu,dempsyyya
5488671188,win,Ranked Solo,2021-10-03 08:53:38,25m 36s,5,2,7,6.00:1,Double Kill,empty,Gragas,Master,empty,Jayce,Çöp,Viego,yDeepS,Gragas,kníght zz,Ashe,TheLegendRH,Thresh,CleverClive,Kennen,Kafuu chin0,Kayn,Jgissoeasy,Twisted Fate,LGBTQJPGMD,Vayne,Fearless Ravenno,Nami,nihili5m
5488559612,win,Ranked Solo,2021-10-03 08:20:17,19m 54s,6,1,8,14.00:1,empty,empty,LeBlanc,Master,empty,Tryndamere,çerez mayonez,Master Yi,Dogchamp OTP,Sylas,Orange Killer,Aphelios,MAJOR FestWho,Nami,Miremengjesi,Kayle,One last kιss,Jarvan IV,Sl0tMach1n3,LeBlanc,kníght zz,Miss Fortune,TIAGO PZK,Amumu,YTSearch Hanabi
5488565038,win,Ranked Solo,2021-10-03 07:50:02,26m 59s,9,5,11,4.00:1,empty,empty,Camille,Master,empty,Tryndamere,Not ZeroOo,Taliyah,Grail,Yasuo,Iarsahan ,Seraphine,DadelDieKuh,Morgana,ukaL jgl acc,Lillia,BYG Doggo ,Lee Sin,Kafuu chin0,Camille,kníght zz,Miss Fortune,Andrard,Rakan,Lettuce go
5488416471,win,Ranked Solo,2021-10-03 06:40:17,26m 54s,7,6,10,2.83:1,empty,empty,Pantheon,Master,empty,Sett,Tanre,Viego,GG Gaboesh,Ekko,aureliongod2008,Lucian,Αxu,Pantheon,kníght zz,Camille,Dionelux,Karthus,Sl0tMach1n3,Yone,Cronan,Draven,CarNando is real,Nami,BotFiifo
