gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5469460928,lose,Ranked Solo,2021-09-22 22:12:43,28m 31s,9,7,2,1.57:1,ACE,empty,Fiora,Grandmaster,empty,Fiora,huntiandi1,Taliyah,T1 Ellim,Viktor,JustLikeThatKR,Draven,viper3,Leona,SPG BaeKHo,Sion,길고먼여행지,Diana,나는변신할것이다,Yasuo,은가뉴,Ezreal,푹 쉬면서 해요 ,Nami,옆동산외계인
5468280443,win,Ranked Solo,2021-09-22 14:37:04,20m 35s,3,2,11,7.00:1,empty,empty,Fiora,Master,empty,Fiora,huntiandi1,Nunu & Willump,2780491374142752,Lissandra,200731,Samira,long yan jing yi,Sett,기모링딩동1,Jayce,모두모두항복하길,Talon,haoye1,Zoe,xwbzgsjsd,Lucian,원 할수,Amumu,DWG BeryL
5467179607,lose,Ranked Solo,2021-09-22 00:35:22,29m 21s,8,8,4,1.50:1,empty,empty,Fiora,Grandmaster,empty,Jayce,간다라쿤다,Lee Sin,포동포동아기물개,Akali,총을 다루는 소녀,Aphelios,폭탄치우기,Rell,DFM GAENG,Fiora,huntiandi1,Jarvan IV,Score11,Sylas,시간의 숲,Miss Fortune,튀자튀자아,Thresh,kaixin1dian
5467140040,lose,Ranked Solo,2021-09-21 23:43:23,26m 37s,2,10,4,0.60:1,empty,empty,Gwen,Grandmaster,empty,Gwen,huntiandi1,Zed,a little story,Taliyah,미북이,Lucian,튀자튀자아,Nami,옆동산외계인,Rumble,모두모두항복하걸,Lee Sin,나는변신할것이다,Ryze,애넨차피이해못해,Draven,viper3,Blitzcrank,irasu1
5466033305,lose,Ranked Solo,2021-09-21 17:24:02,30m 45s,2,10,1,0.30:1,empty,empty,Kennen,Master,empty,Kennen,huntiandi1,Nidalee,여신 한지민,Akshan,놀이터여행자,Lucian,여신 예원쨩,Braum,Let me sup,Gragas,Trisak,Lee Sin,Love dont stop,Syndra,우으으어어엉,Miss Fortune,kcvawsreiuyopdgz,Seraphine,EatDIE EATdie
5465974308,lose,Ranked Solo,2021-09-21 16:35:35,27m 40s,3,12,5,0.67:1,empty,empty,Jayce,Grandmaster,empty,Fiora,Fiora,Taliyah,     la ji game,Riven,오동1,Ezreal,끝나지 않은 싸움,Alistar,irasu1,Jayce,huntiandi1,Zed,hai cha de yuan,Katarina,Emilia tan,Tristana,Imaokai,Leona,Love dont stop
5465884077,win,Ranked Solo,2021-09-21 15:37:30,23m 13s,8,5,1,1.80:1,MVP,empty,Gwen,Grandmaster,empty,Irelia,강하다 별,Jarvan IV,     la ji game,Katarina,zai wo shenbian,Lucian,Imaokai,Nami,Let me sup,Gwen,huntiandi1,Talon,jingshen qiang,LeBlanc,놀이터여행자,Jhin,kcvawsreiuyopdgz,Amumu,선생님 맛없어요
5465794545,lose,Ranked Solo,2021-09-21 14:36:36,26m 30s,3,8,3,0.75:1,empty,empty,Irelia,Grandmaster,empty,Quinn,카사돌,Zac,역시폭군,Galio,퀸 세연,Lucian,고구마태풍,Nami,하나둘둘셋셋셋,Irelia,huntiandi1,Lee Sin,Return To U,Sylas,놀이터여행자,Ziggs,L1sure,Bard,Gen G Burdol
5463868809,win,Ranked Solo,2021-09-20 17:13:33,19m 30s,5,2,3,4.00:1,empty,empty,Irelia,Grandmaster,empty,Aatrox,BRO LukaLux,Zed,viper3,LeBlanc,식혜커플존버 ,Lucian,BTS 아오미네,Nami,IgNar,Irelia,huntiandi1,Nidalee,롤듀오 코코팀,Viktor,JustLikeThatKR,Kai'Sa,Mung,Nautilus,사랑해 쩡이
5456210135,lose,Ranked Solo,2021-09-17 00:13:54,15m 54s,0,8,0,0.00:1,empty,empty,Irelia,Grandmaster,empty,Irelia,huntiandi1,Talon,3donghezecaoxian,Fizz,BJ서준석사생팬,Lucian,이기고오쉽당,Amumu,fuzhu carry,Tryndamere,어리고싶다,Graves,끼릭끼리릭,Zoe,미북이,Kalista,skwhadlrlffo,Braum,xiaoqiupup
