gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490328559,win,Ranked Solo,2021-10-04 06:48:35,28m 26s,3,1,27,30.00:1,MVP,empty,Nami,Master,empty,Mordekaiser,Darlik1,Gragas,Fressko,Irelia,mοtjaaa,Draven,11235,Nami,GNLGNL,Camille,Looca,Lee Sin,Mr Tickle,LeBlanc,Its Me InDeed,Lucian,NOX ilyy,Leona,VGIA Kasing
5490306824,lose,Ranked Solo,2021-10-04 06:14:13,10m 28s,0,1,3,3.00:1,ACE,empty,Pyke,Master,empty,Katarina,ItsSørey,Jarvan IV,S11Tian,Malphite,Darlik1,Lucian,asdfghjqwert,Nami,woshidoinb,Anivia,Bonya Slade,Hecarim,theNotoriousMMÅ,Jayce,Nillee,Kai'Sa,NOX ilyy,Pyke,GNLGNL
5490262450,win,Ranked Solo,2021-10-04 05:58:39,27m 3s,0,6,25,4.17:1,empty,empty,Leona,Master,empty,Camille,Nillee,Viego,egefitness1,Ekko,Dvek,Kalista,NOX ilyy,Leona,GNLGNL,Nasus,styropianzserem,Lee Sin,NE Kaihua,Viktor,ToasterM8,Kai'Sa,141414ADADAD,Rakan,twenty one
5490225467,win,Ranked Solo,2021-10-04 05:24:12,25m 41s,3,5,23,5.20:1,empty,empty,Zilean,Master,empty,Irelia,Gugaz,Nunu & Willump,Squid Player 456,Tryndamere,2021Worlds0019,Draven,duye,Zilean,GNLGNL,Akali,Darlik1,Taliyah,MΑRΤ,Pantheon,2021Worlds0024,Lucian,Stille Berg,Nami,Byeongshin
5490162267,lose,Ranked Solo,2021-10-04 04:51:21,18m 37s,1,9,7,0.89:1,empty,empty,Thresh,Master,empty,Yone,2021Worlds0019,Hecarim,Airron,Kennen,R0o2,Draven,Giant Monster,Nautilus,Nsurr1,Camille,ANB 9eetoo,Kayn,Doaenel Hecarim,Ryze,Showkz,Aphelios,QQ Pawelek6,Thresh,GNLGNL
5489959112,win,Ranked Solo,2021-10-04 03:45:15,24m 33s,2,3,21,7.67:1,empty,empty,Thresh,Master,empty,Nautilus,yeti kotΙeti,Kindred,Caxee,Viego,future memories,Aphelios,QQ Pawelek6,Thresh,GNLGNL,Riven,FIX SOL0Q,Hecarim,Doaenel Hecarim,Sylas,xiao tang bu lei,Ziggs,Viper sama,Amumu,Gaunter O Dimm
5489504475,win,Ranked Solo,2021-10-04 01:07:42,21m 49s,4,4,12,4.00:1,empty,empty,Irelia,Master,empty,Jax,5454545454,Lee Sin,oef,Zoe,Alþhinaud,Varus,Sirinöx,Brand,play for me orFF,Kennen,DONT DISSAPEAR,Graves,Squid Player 456,Irelia,GNLGNL,Lucian,OlivierLeRoutier,Rakan,DUMAN
5489397445,lose,Ranked Solo,2021-10-04 00:35:54,25m 45s,2,8,10,1.50:1,ACE,empty,Rakan,Master,empty,Urgot,NieUfamCiJezu12,Taliyah,Lil Ûzi Vert,Qiyana,Twitch Ag0nyPain,Ezreal,NOV4 FreeParking,Rakan,GNLGNL,Akali,Papi Royer,Kayn,erased jgl,Irelia,Chφvy,Jhin,Cutepatootie,Zilean,efiL
5489382235,win,Ranked Solo,2021-10-04 00:02:08,23m 45s,3,6,17,3.33:1,empty,empty,Bard,Master,empty,Kled,ZONGO LE DOZØ,Kayn,erased jgl,LeBlanc,Einard,Lucian,Seelame,Nami,Rougé,Aatrox,Marcin Lebuda,Ekko,gaengsin,Yone,Papi Royer,Aphelios,not a chat user,Bard,GNLGNL
5489243022,lose,Ranked Solo,2021-10-03 23:19:27,39m 4s,3,11,29,2.91:1,ACE,empty,Rakan,Master,empty,Gragas,Wheel Skeleton,Ekko,Achillês,Yasuo,Cypiisuo,Lucian,Xenxo,Rakan,GNLGNL,Graves,Headache Man,Kayn,manumatador,Xerath,Xerath Gang,Draven,Black Sabbath,Amumu,F tier supp
