gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5470728148,win,Ranked Solo,2021-09-23 19:23:27,22m 56s,7,5,9,3.20:1,empty,empty,Kha'Zix,Master,empty,Sett,첼까지닉변안함,Lee Sin,역시 핑핑,Ziggs,부르릉비켜나세여,Jhin,목베개도마뱀,Alistar,2021Worlds0173,Fiora,폼 팡,Kha'Zix,four year,Zoe,LSB Pungyeon,Ezreal,다람쥐의 총,Pyke,임서환의노예은석
5470662711,lose,Ranked Solo,2021-09-23 17:20:19,21m 14s,3,4,12,3.75:1,empty,empty,Nami,Master,empty,Camille,wuliaodexianshi,Viego,xiaohao00,Galio,heisiwodezuiai,Ziggs,G4MBLEER,Nami,four year,Sett,BSM 조보웅,Kindred,Taehyoung,LeBlanc,H Agent,Lucian,shangtougui,Thresh,heeseong
5470394680,lose,Ranked Solo,2021-09-23 14:42:48,29m 49s,3,12,13,1.33:1,empty,empty,Taliyah,Master,empty,Tahm Kench,방귀붕붕이,Nidalee,SeongHw4n,Qiyana,weiweiruoruo,Samira,분기충천등고자비,Blitzcrank,뷸 츠 ,Aatrox,전민혁,Xin Zhao,F1rst Step,Galio,heisiwodezuiai,Lucian,정글 사용법12,Taliyah,four year
5469586404,win,Ranked Solo,2021-09-22 23:30:18,28m 1s,3,10,17,2.00:1,empty,empty,Taliyah,Master,empty,Gragas,fashion여쟈,Lee Sin,ScyIIa,Sylas,gfdgsr111,Lucian,pilotl0l,Taliyah,four year,Jax,나의 치유 게임,Xin Zhao,MooJin777,Seraphine,heisiwodezuiai,Miss Fortune,타락한 숟가락,Bard,EIeven2
5469436010,win,Ranked Solo,2021-09-22 22:39:19,31m 52s,16,6,17,5.50:1,Double Kill,MVP,Lee Sin,Master,empty,Aatrox,성공의 뒷바라지,Jarvan IV,내가못했소,Galio,mei  jian  xue,Ezreal,고라파덕 키울래,Leona,3731 7194,Kennen,충주갱수,Lee Sin,four year,Yasuo,who is niuma,Kalista,약속된 승리의 칼,Gragas,cute heart
5469359456,win,Ranked Solo,2021-09-22 21:58:35,21m 47s,7,5,12,3.80:1,Triple Kill,empty,Taliyah,Master,empty,Vayne,북극곰 아프다,Lee Sin,부산여행 떠나기,Twisted Fate,sakuradog,Jhin,징징이는징징징징,Taliyah,four year,Wukong,나의 치유 게임,Talon,전상득,Lulu,제드팀 하원,Lucian,HHHoney,Nami,잠수빈
5469104159,win,Ranked Solo,2021-09-22 20:00:27,26m 36s,12,5,8,4.00:1,MVP,empty,Taliyah,Master,empty,Aatrox,전민혁,Taliyah,four year,Zed,라2엇밸패팀앰갈,Ashe,5분만이따가요,Nautilus,바다를 찾아서,Sett,첼까지닉변안함,Lee Sin,Wanna be Tarzan,Anivia,전 세 종,Lucian,pig95,Lulu,크으으윽
5468205707,win,ARAM,2021-09-22 14:51:24,9m 49s,6,5,15,4.20:1,Double Kill,empty,Viego,empty,empty,Kalista,돼지국밥맛있엉,Cho'Gath,군대간재혀니,Master Yi,TJmckey,Ornn,쨈 준,Vladimir,서 교,Ziggs,DaIkom,Kha'Zix,롤 지,Viego,four year,Zoe,pppqqpqp,Kog'Maw,하나둘셋야옹이
5468147895,lose,Ranked Solo,2021-09-22 14:28:27,27m 35s,12,11,2,1.27:1,Double Kill,empty,Vayne,Master,empty,Fiora,dys wangweiwei,Nunu & Willump,갓누붕이,Lux,szpt,Vayne,four year,Nami,잠수빈,Camille,xccccccvb,Kindred,95k8,Talon,전상득,Ziggs,G4MBLEER,Leona,98kix
5467238367,lose,ARAM,2021-09-22 00:54:14,14m 1s,6,6,10,2.67:1,empty,empty,Riven,empty,empty,Miss Fortune,앨리샤,Gnar,저격자,Pyke,수 구,Kai'Sa,Gen G 문재앙,Sona,iaS keR,Sivir,Katla,Renekton,점멸없는뚜벅이,Riven,four year,Kayle,녹차말차밀크티,Cho'Gath,zszzz
