gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5470982849,lose,Ranked Solo,2021-09-23 21:41:36,15m 32s,2,5,1,0.60:1,empty,empty,Bard,Master,empty,Poppy,파 고,Karthus,깨부라이,Yone,ZHOU JlE LUN,Jinx,인생목표한남더힐,Thresh,IllllIIIIIlIlII,Rengar,한국 렝가,Lee Sin,Eslnd,LeBlanc,ok동,Ezreal,Hyehwa1,Bard,Uneasy0o0
5470954009,lose,Ranked Solo,2021-09-23 21:13:35,30m 0s,2,5,18,4.00:1,empty,empty,Rakan,Master,empty,Renekton,간디도롤하면폭력,Talon,xu yao gu li,Pyke,황혼 우주 자야,Twitch,ljyouxi,Rakan,Uneasy0o0,Graves,orah,Ekko,u cant die,Sylas,나그거한입만주라,Miss Fortune,퀵 부르신 분,Leona,T1 Guard1an
5470638679,win,Ranked Solo,2021-09-23 18:09:08,24m 26s,4,2,13,8.50:1,empty,empty,Rakan,Master,empty,Irelia,07년생 무뇌 탑,Talon,jungtaesung,Ekko,Loners,Twitch,늘 꿈만 같았다,Pantheon,칼챔못하는04년생,Mordekaiser,슬럼프 온 핵철퇴,Lee Sin,이그 올,Ryze,다시 천천히,Xayah,공지얌,Rakan,Uneasy0o0
5470632357,win,Ranked Solo,2021-09-23 17:18:57,24m 55s,3,6,28,5.17:1,empty,empty,Lulu,Diamond 1,empty,Wukong,하준상,Graves,u cant die,Katarina,Ich,Vayne,소고기 쌀국수 ,Lulu,Uneasy0o0,Jayce,haburu9,Karthus,언젠가의 이야기,Pyke,황혼 우주 자야,Jinx,illililiiilllii,Thresh,떡잎마을 시민4
5470489555,lose,Ranked Solo,2021-09-23 16:47:52,22m 14s,2,4,3,1.25:1,empty,empty,Leona,Master,empty,Gangplank,haburu9,Taliyah,orah,Talon,지기싫다2,Miss Fortune,Vermisst,Leona,Uneasy0o0,Fiora,BlackKnight8,Lee Sin,Xcheng2,Twisted Fate,Kimiwakireida,Aphelios,호감 에서 나오다,Seraphine,IilIIiIiIliIliIi
5470534270,lose,Ranked Solo,2021-09-23 16:12:03,22m 42s,0,6,6,1.00:1,empty,empty,Yuumi,Master,empty,Heimerdinger,딩거명인,Xin Zhao,zxcvbasdfgq,Syndra,파밍만하는사람a,Ezreal,늘 꿈만 같았다,Yuumi,Uneasy0o0,Ornn,귀여운작은얼음,Jarvan IV,잖 죠,Diana,만수 민수,Lucian,탕볶밥에반했다,Zilean,supuspusupsupsup
5470428010,lose,Ranked Solo,2021-09-23 15:27:57,34m 35s,1,10,21,2.20:1,empty,empty,Alistar,Master,empty,Poppy,뽀로나 바이러스,Taliyah,SeongHw4n,Zed,이리스,Draven,Exusia,Leona,xiaoxinchaoren,Camille,flnd myself,Nidalee,c1shengbuhuan,Talon,zhangyuyan,Syndra,YMSUP,Alistar,Uneasy0o0
5469473057,lose,Ranked Solo,2021-09-22 22:20:35,25m 56s,0,7,8,1.14:1,empty,empty,Yuumi,Master,empty,Aatrox,김김민민서,Lillia,병버니,Qiyana,mu ze xi,Miss Fortune,Dgdb,Amumu,즐 야,Fiora,AF Roast,Jarvan IV,Pick Me Elise,Fizz,애니보는게죄냐,Jhin,끝난 이야기,Yuumi,Uneasy0o0
5469284591,lose,Ranked Solo,2021-09-22 21:02:08,31m 26s,3,10,22,2.50:1,empty,empty,Nami,Master,empty,Riven,순규박,Lee Sin,역시 핑핑,Ryze,i will pro,Aphelios,little hamburger,Thresh,I백년언약I,Lulu,짜요짜요먹고싶어,Graves,rocky2,Katarina,넝 꿀,Lucian,DWG Ghost,Nami,Uneasy0o0
5468554925,lose,Ranked Solo,2021-09-22 17:22:16,15m 43s,1,4,5,1.50:1,empty,empty,Taric,Master,empty,Irelia,할까할땐하자,Viego,clearlove77,Zoe,QWERASDFZXCVKK,Miss Fortune,끝난 이야기,Swain,못가못가,Yone,Zukill,Lee Sin,ka ka luo te,Sylas,hybabe,Tristana,na li dou shi ni,Taric,Uneasy0o0
5468489797,win,Ranked Solo,2021-09-22 16:56:42,15m 49s,3,0,14,Perfect,empty,empty,Lulu,Master,empty,Camille,잠이없다1,Elise,Pick Me Elise,Katarina,큐즈익스,Ashe,율미농,Soraka,w t,Karma,HakosBaelzFan1,Kindred,clearlove77,Sylas,할까할땐하자,Ezreal,너의 달을 줘 ,Lulu,Uneasy0o0
5468400106,win,Ranked Solo,2021-09-22 16:30:23,34m 25s,1,7,23,3.43:1,MVP,empty,Rakan,Master,empty,Kennen,충주갱수,Qiyana,노구현,LeBlanc,할까할땐하자,Ashe,KR Spoon,Nautilus,Quiero ganar,Graves,fashion여자,Rumble,Mon seul amour,Sett,Denity,Ezreal,DalKa,Rakan,Uneasy0o0
5468345573,lose,Ranked Solo,2021-09-22 15:50:20,15m 29s,3,2,1,2.00:1,empty,empty,Nami,Master,empty,Sett,첼까지닉변안함,Karthus,Okazaki Tomoya,Qiyana,Luffy Zoro Ace,Lucian,멜 로 닝,Nami,Uneasy0o0,Aatrox,내점수에잠이오냐,Hecarim,Moonbr,Irelia,군대간 지성,Miss Fortune,부르릉비켜나세여,Zilean,시계왕
5468227375,win,Ranked Solo,2021-09-22 15:22:17,29m 11s,6,7,23,4.14:1,empty,empty,Galio,Master,empty,Akshan,쿠하쿠,Elise,자살하고싶다1,Zoe,henjiuhenjiu,Miss Fortune,서서담,Leona,Lauv mean it,Gnar,민이나르,Shaco,악마 맞습니다,Syndra,디 테 일,Kalista,limit,Galio,Uneasy0o0
5468273139,lose,Ranked Solo,2021-09-22 14:45:50,15m 15s,1,2,2,1.50:1,empty,empty,Bard,Diamond 1,empty,Aatrox,594877,Nidalee,Meng Li Tian,Pantheon,디 테 일,Ezreal,eat fan,Bard,Uneasy0o0,Sett,critique,Taliyah,침착맨삼국지여포,Yone,고슴도치의딜레마,Miss Fortune,서서담,Rell,하나나사랑해요
5467254900,lose,Ranked Solo,2021-09-22 00:49:22,20m 12s,4,4,6,2.50:1,empty,empty,Twitch,Master,empty,Gangplank,huya lang D,Nidalee,클로이정태,Yone,CORSA Mode,Vayne,Fzz gege,Rell,2021Worlds0173,Jayce,서울고속도로,Ekko,Meng Li Tian,Warwick,Ke Jun Da,Twitch,Uneasy0o0,Rakan,아만최고건슬링어
5467113350,lose,Ranked Solo,2021-09-22 00:01:39,31m 31s,11,5,13,4.80:1,Double Kill,ACE,Twitch,Master,empty,Yorick,EDGzhao67542158,Nunu & Willump,2780491374142752,Twisted Fate,riteleader,Miss Fortune,Enosh1,Amumu,밤을 달리다1,Gangplank,xiaoxiongtop,Fiddlesticks,피들스틱KING,Sett,douyu TV 9018846,Twitch,Uneasy0o0,Rakan,레일리리
5466909784,win,Ranked Solo,2021-09-21 22:56:16,26m 3s,3,5,17,4.00:1,empty,empty,Rakan,Master,empty,Sett,첼까지닉변안함,Taliyah,Xcheng2,Qiyana,weiweiruoruo,Draven,화생방드장,Rakan,Uneasy0o0,Sylas,midd100,Talon,지기싫다2,Viego,싸다만 황족미드,Lucian,Bbvoy,Maokai,알베르토델리오
5466924208,win,Ranked Solo,2021-09-21 22:22:20,15m 50s,0,3,14,4.67:1,empty,empty,Lulu,Master,empty,Tahm Kench,Jian ren bizui,Taliyah,DOJERI,Akshan,Got your Heart,Twitch,예 nightfall,Lulu,Uneasy0o0,Yone,cago,Ekko,Xcheng2,Irelia,할까할땐하자,Jinx,멘탈말랑이,Thresh,차가운 차
5466786260,win,Ranked Solo,2021-09-21 21:55:31,22m 30s,0,3,18,6.00:1,empty,empty,Rell,Master,empty,Jax,톱 겝,Elise,자살하고싶다1,Talon,지기싫다2,Tristana,로아하고시퍼요,Rell,Uneasy0o0,Tahm Kench,순단무,Hecarim,으 화낫썽,Sylas,천세동,Ezreal,원딜요미,Karma,잠수빈
5463951925,win,Ranked Solo,2021-09-20 17:30:22,28m 36s,0,10,27,2.70:1,empty,empty,Rakan,Master,empty,Camille,Iove song,Rek'Sai,괴물 빠숑,Viktor,토실토실한붕어,Twitch,Kratosdw,Rakan,Uneasy0o0,Aatrox,너의 모순의 극치,Ekko,블러푸,Zed,2659561503245920,Aphelios,게으른 연습벌레,Morgana,안경쓴중학생
5463765701,win,Ranked Solo,2021-09-20 16:45:35,19m 23s,1,3,20,7.00:1,empty,empty,Rakan,Diamond 1,empty,Irelia,rmao,Lee Sin,The Battle Cats,Katarina,Goodbye ROK,Ezreal,카알릭스,Leona,zhuanjia,Ryze,xiaoxii,Nunu & Willump,2020년8월,Singed,응애 나아기지드,Twitch,Kratosdw,Rakan,Uneasy0o0
5463687560,win,Ranked Solo,2021-09-20 16:12:52,28m 37s,2,5,21,4.60:1,empty,empty,Yuumi,Master,empty,Graves,서울고속도로,Lee Sin,블러푸,Galio,KAINIX,Aphelios,약속된 승리의 칼,Lulu,즐 야,Gangplank,챌플랭크,Nidalee, hoooooyeony,Katarina,순보에 와드,Lucian,구너상,Yuumi,Uneasy0o0
5463641461,lose,Ranked Solo,2021-09-20 15:30:38,29m 26s,0,6,2,0.33:1,empty,empty,Nami,Diamond 1,empty,Camille,06 탑차이,Ekko,babyceo1,Galio,ZILKING,Lucian,겐 지,Janna,한예원,Akali,방심하면집니다,Lee Sin,zxcvbasdfgq,Zed,2800791311942880,Xayah,Baquette,Nami,Uneasy0o0
5463544155,win,Ranked Solo,2021-09-20 14:28:14,17m 13s,2,2,6,4.00:1,empty,empty,Galio,Master,empty,Rumble,렁 래,Olaf,lIIIlIllIllIl,Kennen,성공의 뒷바라지,Jhin,Miss Korea Jhin,Galio,Uneasy0o0,Gangplank,6월 호랑이,Rek'Sai,AshFeiYMXPF,Kassadin,litangdingzhen,Tristana,BAA Su,Amumu,실 망
5460566916,win,Ranked Solo,2021-09-19 00:18:23,23m 57s,3,5,9,2.40:1,empty,empty,Amumu,Diamond 1,empty,Graves,Nagha,Taliyah,밀림 간 다,Irelia,내꿈잘먹고잘자기,Lucian,AFTV 원장,Leona,왕원희,Riven,고기를 볶다,Lee Sin,달산책,LeBlanc,상큼한 포도,Ezreal,겜하면서머리안씀,Amumu,Uneasy0o0
5460458181,lose,Ranked Solo,2021-09-18 23:33:25,16m 7s,2,7,5,1.00:1,empty,empty,Twitch,Master,empty,Yone,우성우성,Nidalee,6yt7hbu,Ryze,i am Decade,Twitch,Uneasy0o0,Amumu,In your eyes1,Renekton,파워업키트,Lee Sin,미드 사용법12,Kennen,qoalzm,Draven,dalangcrash,Thresh,wananpyh
5460440164,lose,Ranked Solo,2021-09-18 22:59:30,18m 53s,6,8,2,1.00:1,empty,empty,Twitch,Master,empty,Kennen,충주갱수,Jarvan IV,Ke Jun Da,LeBlanc,뱀정운,Jhin,목베개도마뱀,Pyke,2007 Pykeking,Urgot,IG smoke,Karthus,대박슨발록,Lulu,에러린,Twitch,Uneasy0o0,Alistar,Zhui Xiang
5460190153,win,Ranked Solo,2021-09-18 22:18:11,25m 51s,13,7,5,2.57:1,Triple Kill,empty,Twitch,Diamond 1,empty,Rumble,방송인근성맨,Ekko,wetfan,Talon,쫑내자,Twitch,Uneasy0o0,Pantheon,ALLlinerrr,Aatrox,내꿈잘먹고잘자기,Lillia,Top chord one,Kayn,웨나미슈,Varus,두부는 귀여움,Thresh,미아에몽
5460013190,win,Ranked Solo,2021-09-18 21:43:16,24m 18s,15,7,10,3.57:1,Double Kill,empty,Twitch,Master,empty,Karma,응애응애1212,Rammus,지는판은없어,Sett,hybabe,Twitch,Uneasy0o0,Lulu,Gaga baby,Gnar,qoalzm,Jarvan IV,방귀붕붕이,Ornn,Kratoscc,Kai'Sa,겜하면서머리안씀,Sylas,four year
5459964049,lose,Ranked Solo,2021-09-18 21:08:43,25m 57s,17,17,3,1.18:1,Double Kill,empty,Twitch,Master,empty,Jayce,영양립밤,Rumble,미에로화이바 얌,Sett,정점에 오른다,Cassiopeia,NxxN,Pyke,2007 Pykeking,Camille,Arasaka,Lee Sin,도륜이,Ryze,Homies fan1,Twitch,Uneasy0o0,Rakan,19old summer
5459870355,win,Ranked Solo,2021-09-18 20:33:26,18m 41s,0,2,4,2.00:1,empty,empty,Leona,Master,empty,Fiora,전령 도우미,Lee Sin,jg7777,Yone,무친판단,Ziggs,Vermisst,Maokai,19old summer,Irelia,07년생 무뇌 탑,Kha'Zix,Nameless PIayer,Graves,몽 제 대마 왕,Twitch,하 2 yo ,Leona,Uneasy0o0
5459592742,lose,Ranked Solo,2021-09-18 17:52:08,20m 18s,2,8,0,0.25:1,empty,empty,Sylas,Master,empty,Gnar,Liiv Summit,Nidalee,eightzz,Orianna,파워업키트,Ezreal,xiguazhi,Sylas,Uneasy0o0,Tryndamere,fashion여자,Lillia,Son of Spirit,Akshan,critique,Miss Fortune,미스포츈외길인생,Thresh,easy for u
5459484968,lose,Ranked Solo,2021-09-18 17:17:44,28m 54s,3,9,12,1.67:1,empty,empty,Amumu,Master,empty,Urgot,midd100,Fiddlesticks,장인피들,Irelia,Make Me M0ve,Ezreal, Topking03,Anivia,얼음치킨장사중,Fiora,betterr,Zed,afghj,Akali,슬 믕,Samira,xiaoxii,Amumu,Uneasy0o0
