gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488310340,win,URF,2021-10-02 19:17:01,17m 41s,12,13,7,1.46:1,Double Kill,empty,Tryndamere,empty,empty,Zed,Clica,Rengar,낭만을 품는다,Hecarim,양주골참새벽딸기,Tristana,낌쭈썽,Fiora,닉네임 그만바꿔,Draven,그저그런녀석,Tryndamere,powfu boy,Jarvan IV,Tia Ray,Evelynn,준비된남자,Zed,안녕이라말하지마
5488076448,win,URF,2021-10-02 18:52:03,17m 3s,25,7,9,4.86:1,Penta Kill,empty,Tristana,empty,empty,Qiyana,괴물사우로스,Pantheon,GeliDis,Vi,ghmcvbte,Tristana,powfu boy,Sett,석가문 숟가락,Vayne,므으쯔라구유,Karma,장한준,Ezreal,부메랑날아가용,Jarvan IV,BLOOM1Z,Volibear,아니근데왜때려
5488033429,win,URF,2021-10-02 18:30:11,19m 17s,16,10,6,2.20:1,Double Kill,empty,Lillia,empty,empty,Tryndamere,oocoocoooccoocoo,Pyke,세금강탈 박춘배,Lillia,powfu boy,Sivir,포식자 혜카림,Ziggs,석가문 숟가락,Kassadin,심심해심심,Lillia,떡이찰져,Nasus,sadsa45,Bard,탑에서응가가온다,Nami,트위치케일
5480836626,lose,Ranked Solo,2021-09-28 17:05:28,22m 24s,4,5,6,2.00:1,empty,empty,Aatrox,Grandmaster,empty,Aatrox,powfu boy,Kayn,광장 캐슬,Vex,소년가장 원딜,Draven,almond bon bon,Amumu,R U RD XXX,Irelia,Gen G Quid,Lillia,T1 F0rest,Riven,miemiemie,Lucian,tnedifnoc syawla,Pyke,bai si yyds
5478457535,win,URF,2021-09-26 22:33:47,16m 34s,7,11,2,0.82:1,empty,empty,Irelia,empty,empty,Akali,mz09,Shaco,길동이똥싼다,Irelia,powfu boy,Jayce,Tia Ray,Nocturne,루프엔진,Tahm Kench,밍구름,Ahri,꽃 난,Ashe,DragonEmperor,Lucian,No트,Nidalee,3픽엄마만수무강
5478432364,lose,URF,2021-09-26 22:13:57,20m 59s,14,16,4,1.13:1,Triple Kill,empty,Bard,empty,empty,Talon,멜팅초코바나나,Vex,코스모그,Zed,훈수하면던진다,Malphite,꿀혀노,Kayn,계이섀끼,Kai'Sa,개재밋네,Bard,powfu boy,Thresh,Tia Ray,Shaco,루프엔진,Veigar,YG93
5478384752,lose,URF,2021-09-26 21:47:56,19m 55s,10,17,8,1.06:1,Double Kill,empty,Viego,empty,empty,LeBlanc,my enfp,Blitzcrank,김sense,Kai'Sa,원딜짱나네,Volibear,서폿짱나네,Lucian,GS25 하안점,Twitch,정은서 fan,Master Yi,DoDogrp,Viego,powfu boy,Pantheon,Tia Ray,Irelia,소쓰계
5478370026,win,URF,2021-09-26 21:23:47,17m 13s,18,15,12,2.00:1,Double Kill,empty,Qiyana,empty,empty,Jhin,21년2월1일군머,Akali,아드카나,Malphite,무지무지센사람,Zed,몸 짱 재 훈,Irelia,부캐임건들놉,Alistar,꿀떵이,Senna,정승혜,Qiyana,powfu boy,Tristana,Tia Ray,Nami,고막스틸러
5478057513,lose,URF,2021-09-26 21:03:25,11m 35s,10,12,3,1.08:1,empty,empty,Qiyana,empty,empty,Twitch,빙글빙글별,Vex,Burrow,Camille,꼬우면 dru50show,Lulu,안해볼란다,Renekton,냠냠챔피언,Graves,GOOD  BOY  HY,Blitzcrank,츄르를냠냠,Qiyana,powfu boy,Vi,Tia Ray,Rengar,말걸면로아하러감
5478042355,win,URF,2021-09-26 20:48:26,18m 48s,18,11,11,2.64:1,Quadra Kill,empty,Fiora,empty,empty,Zilean,사뮤란,Yasuo,아쿠아스플린트,Shaco,간 호 과 정,Lee Sin,퉤의틔돠져,Ezreal,Chul Soon Hwang,Lee Sin,Op Daiz,Tryndamere,기다려봐끌어줄게,Shen,Shaco Boxes,Fiora,powfu boy,Gragas,Tia Ray
