gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490381805,win,Ranked Solo,2021-10-04 07:12:47,34m 21s,12,5,17,5.80:1,Double Kill,MVP,Graves,Master,empty,Cho'Gath,Not nexo rdy,Graves,LngLng,Tryndamere,AΙan,Swain,burek enjoyer,Pyke,colden1,Camille,toLyeV,Gragas,Lil Ûzi Vert,Yone,Avril 14th,Lucian,EDG Viper Jr,Nami,euw tourist
5490267772,win,Ranked Solo,2021-10-04 06:28:45,23m 37s,11,4,18,7.25:1,Double Kill,MVP,Lee Sin,Master,empty,Camille,chicken nuggie86,Lee Sin,LngLng,Diana,me and myself2v8,Draven,TwTv daudr9,Amumu,PropaPandah,Graves,Sirius blake,Ivern,WE Basil,Sylas,woshilqs,Lucian,KH Komandata,Rell,Luck is my Waifu
5490322685,win,Ranked Solo,2021-10-04 05:59:08,18m 58s,11,3,7,6.00:1,Double Kill,MVP,Qiyana,Master,empty,Sett,LittIe Trouble,Hecarim,jupezz,Pantheon,GG Gaboesh,Lucian,Paralift,Xerath,me and myself2v8,Kennen,GWolfieG,Qiyana,LngLng,Ryze,Senstive,Draven,TwTv daudr9,Amumu,PropaPandah
5489959197,win,Ranked Solo,2021-10-04 03:46:52,25m 59s,20,4,8,7.00:1,Triple Kill,MVP,Diana,Master,empty,Kennen,lucky iceland ,Ekko,BèAnn,Yone,Nugget Nibbler,Lucian,Skreamzzz,Zyra,faeces,Fiora,Overdose enjoyer,Diana,LngLng,Tryndamere,Erilarion,Jhin,Nafilan,Nami,TopIess Janna
5488925338,lose,Ranked Solo,2021-10-03 19:40:29,32m 40s,7,9,8,1.67:1,empty,empty,Gragas,Master,empty,Graves,YQSH,Gragas,LngLng,Irelia,Kekseres,Jinx,ATL JuJuTw0,Thresh,Hyosha,Illaoi,Dtry,Talon,tempsjgjlgslchok,Sylas,KassaEve ,Kog'Maw,fjoompbun,Lulu,LVG White Lotus
5488607356,win,Ranked Solo,2021-10-03 09:41:20,30m 27s,14,5,9,4.60:1,Double Kill,MVP,Taliyah,Master,empty,Jax,Isombard,Ekko,Sl0tMach1n3,Akali,FB Kunduz1,Miss Fortune,Un nou început,Karma,Sharkked,Aatrox,Orange Killer,Taliyah,LngLng,Irelia,Akugyo,Vayne,Glαssy Sky,Soraka,EagIee
5488643766,win,Ranked Solo,2021-10-03 09:02:12,22m 20s,3,3,11,4.67:1,empty,empty,Gragas,Master,empty,Singed,LevelZeroFangirl,Gragas,LngLng,Irelia,Kimchi3,Lucian,Giant Monster,Nami,SiMajk,Sylas,Im fine thx you,Lee Sin,LSADSDD,Twisted Fate,Littlebuffbabe,Ezreal,StephenChe,Yuumi,wow cold
5488601781,win,Ranked Solo,2021-10-03 08:33:09,24m 50s,10,4,15,6.25:1,Double Kill,MVP,Lillia,Master,empty,Singed,LevelZeroFangirl,Lillia,LngLng,Yone,Kimchi3,Lucian,Soraï1,Amumu,Stunna boy,Yasuo,2deal,Lee Sin,Giant Monster,Sett,eau de jouvence,Kalista,RAAD SAN,Sylas,Ramona Flowers
5488566464,lose,Ranked Solo,2021-10-03 08:02:36,28m 38s,4,11,2,0.55:1,Double Kill,ACE,Irelia,Master,empty,Shen,Twist,Lee Sin,LSADSDD,LeBlanc,2021Worlds0019,Kalista,StephenChe,Amumu,2021Worlds0057,Irelia,LngLng,Qiyana,SLARDAR KINGDOM,Zoe,SQCRISTIAAN,Jhin,deve rider,Karma,Suken
5488439777,lose,Ranked Solo,2021-10-03 07:11:23,31m 11s,4,14,5,0.64:1,ACE,empty,Zed,Master,empty,Gwen,qlln,Zed,LngLng,Tryndamere,Erilarion,Miss Fortune,Nafilan,Zilean,Lifelike,Poppy,FPG Yama,Lee Sin,1v9wheneveriwąnt,Nunu & Willump,Yeti Prodigy,Jhin,AST Kadaver,Karma,cirodalA
5488226849,win,Ranked Solo,2021-10-03 04:36:03,24m 0s,8,4,15,5.75:1,Double Kill,empty,Taliyah,Diamond 1,empty,Darius,Isombard,Graves,elramir2,Corki,Bulletfire,Lucian,Soraï1,Nami,TànyaTheMadness,Camille,epic gamer99,Taliyah,LngLng,LeBlanc,spellbonks,Tristana,Thebigestnoob1,Maokai,PWN JuenSupport
5488128081,win,Ranked Solo,2021-10-03 03:39:03,27m 59s,5,3,14,6.33:1,Double Kill,MVP,Xerath,Master,empty,Kennen,PT TOPKING,Kha'Zix,By Lumens,Irelia,Karzzy11,Lucian,maoxiandao,Xerath,LngLng,Urgot,demotion,Graves,Màrtîn Dérèk,LeBlanc,Lignio,Ashe,dsudsudsu,Zyra,faeces
5486123704,win,Ranked Solo,2021-10-02 00:29:51,23m 32s,13,3,10,7.67:1,Double Kill,MVP,Zed,Master,empty,Fiora,Take A Step ßack,Ekko,aureliongod2008,Yone,sqep,Ezreal,NuClEeEaRrRINtTT,Karma,im going nowhere,Rumble,FPX Kartongen,Zed,LngLng,LeBlanc,l Am Batman ,Lucian,GNLGNL,Janna,int janna
5485980168,lose,Ranked Solo,2021-10-01 22:54:28,29m 11s,8,4,12,5.00:1,Double Kill,empty,Lee Sin,Master,empty,Gwen,Rayzorac,Lee Sin,LngLng,Veigar,Miyamura lzumi,Caitlyn,imnxtamess,Yuumi,TheMaskOfJelly,Camille,Henrα,Taliyah,WE Basil,Tryndamere,I love mages,Vayne,GNLGNL,Bard,Rücksitzdaddler
5485510352,lose,Ranked Solo,2021-10-01 07:35:52,16m 2s,0,6,2,0.33:1,empty,empty,Lillia,Master,empty,Aatrox,QYURRYUS1,Lillia,LngLng,Zilean,Fiza,Lucian,League Enjoyer 1,Nami,Nezuko san,Graves,Stargazer7,Lee Sin,Icelandwinter,Sylas,Goldguns88,Xerath,Jukester,Bard,H0m1
5485477925,lose,Ranked Solo,2021-10-01 07:13:09,17m 1s,6,6,3,1.50:1,Double Kill,ACE,Karthus,Master,empty,Riven,Vertigo vincet,Rek'Sai,panties sniƒfer,Gragas,Mandag Unchained,Lucian,adqsd,Thresh,VGIA Kasing,Camille,Chovy Soriano,Karthus,LngLng,Talon,DÄMONEN,Samira,Dräven,Alistar,H0m1
5485443254,win,Ranked Solo,2021-10-01 06:48:41,36m 36s,17,15,10,1.80:1,Double Kill,empty,Taliyah,Master,empty,Camille,Çöp,Taliyah,LngLng,Irelia,I want winner,Caitlyn,Luntear,Leona,12321312321,Jayce,Thel1ttletiger,Graves,Sn1lle,LeBlanc,HylanDaddy,Ziggs,how lose,Rumble,Wood League
5485395280,lose,Ranked Solo,2021-10-01 05:56:31,28m 33s,10,6,6,2.67:1,Double Kill,ACE,Qiyana,Master,empty,Gwen,qlln,Rek'Sai,6EVIL6EMPIRE6,Syndra,I want winner,Caitlyn,matiaslaclasse2,Nami,HGSS,Sion,manumatador,Qiyana,LngLng,Cassiopeia,Kodzυken,Lucian,Glαssy Sky,Yuumi,Gaunter O Dimm
5485341550,win,Ranked Solo,2021-10-01 05:22:00,23m 0s,11,4,7,4.50:1,Double Kill,MVP,Qiyana,Master,empty,Jax,GNLGNL,Lee Sin,Violet Markey,Cassiopeia,Kodzυken,Draven,Laa7ch ,Alistar,HGSS,Camille,Skinny but smart,Qiyana,LngLng,LeBlanc,KR Mid Import,Jinx,11235,Lulu,im cursed 999
5485225868,lose,Ranked Solo,2021-10-01 04:52:33,28m 24s,8,9,11,2.11:1,empty,empty,Ekko,Diamond 1,empty,Urgot,UrgoIncognito,Kindred,Platinum,Nunu & Willump,Bruno el cabruno,Jhin,TwTv daudr9,Lulu,oli5993,Cassiopeia,HAHAHAHAXDDDDD,Ekko,LngLng,Sett,Silk,Ezreal,11235,Yuumi,iyon ali
5484386439,win,Ranked Solo,2021-09-30 09:55:08,20m 54s,24,7,11,5.00:1,Triple Kill,MVP,Qiyana,Master,empty,Riven,Tofoufou,Taliyah,icelandxuechan,Yone,Hina Amane,Miss Fortune,TOPSHOTTA99,Bard,peeseen,Sett,Suirotas,Qiyana,LngLng,Zoe,NuClEeEaRrRINtTT,Ezreal,Shákku,Nautilus,F tier supp
5484384629,lose,Ranked Solo,2021-09-30 09:28:32,28m 17s,13,9,8,2.33:1,Double Kill,ACE,Graves,Grandmaster,empty,Graves,LngLng,Lee Sin,357159,Sylas,nukëduck,Jinx,Röyhkeä,Brand,Undercover CameL,Fiora,masked gamer XD,Jarvan IV,Aurora time,Irelia,ég jojopyun,Karthus,twtv Melljo,Nami,CG Nio
5484382233,lose,Ranked Solo,2021-09-30 08:46:01,23m 4s,2,9,7,1.00:1,ACE,empty,Zed,Master,empty,Kennen,SLIMKIDD,Graves,Aurora time,Syndra,ƒallεn angel,Miss Fortune,WKR Marth,Amumu,Taewang,Kayle,Nessberry,Zed,LngLng,Zoe,Play Date To You,Jinx,Le Jinxsee,Nami,Dvek
5484229320,lose,Ranked Solo,2021-09-30 08:09:39,36m 4s,8,11,7,1.36:1,Double Kill,empty,Aatrox,Master,empty,Aatrox,LngLng,Viego,sof,Vex,Play Date To You,Miss Fortune,TOPSHOTTA99,Taric,ReX KoKo,Renekton,H ι r o,Qiyana,noob stomper 69,Anivia,Bonya Slade,Jinx,CREØN,Soraka,MCES Artoria
5484224622,win,Ranked Solo,2021-09-30 07:18:09,27m 39s,13,5,7,4.00:1,Quadra Kill,empty,Taliyah,Master,empty,Garen,I AM LOSERS Q,Hecarim,RainbowBud,Ekko,Dvek,Lucian,Let it go Elsa,Galio,highly ambitious,Camille,ˇ sao,Taliyah,LngLng,Tryndamere,C9 Veigar,Ezreal,NE Kaihua,Nami,Musinas Domantas
5484133353,win,Ranked Solo,2021-09-30 05:49:05,15m 27s,5,2,4,4.50:1,Double Kill,MVP,Taliyah,Master,empty,Fiora,Govna Isusova,Olaf,egefitness1,Ekko,Spirgius,Karthus,ALIY4H,Leona,Bloody Butcherr,Zed,Sultan Cagri,Taliyah,LngLng,Neeko,Omenity,Ezreal,traphouse m,Amumu,hu7chyXXXbeifeng
