gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5467479361,lose,Ranked Solo,2021-09-22 03:50:55,15m 54s,3,6,1,0.67:1,empty,empty,Lillia,Grandmaster,empty,Poppy,수희0,Lillia,hai cha de yuan,Gnar,BJ갈배,Ezreal,Shirakami Fubuk1,Karma,응애응애1212,Kennen,wodesry,Talon,jingshen qiang,Zac,언니우기,Lucian,viper3,Nami,따뜻하게대해줘요
5467416092,win,Ranked Solo,2021-09-22 03:08:23,30m 50s,3,4,8,2.75:1,empty,empty,Malphite,Grandmaster,empty,Malphite,hai cha de yuan,Jarvan IV,우울적울컥,Ryze,미북이,Miss Fortune,원딜연습중입니닷,Amumu,어제보단잘하자,Camille,zxcsazxcazdz,Kha'Zix,처피뱅 카와이,LeBlanc,디알엑스 제트,Ezreal,viper3,Trundle,듀오강의코코팀
5466051952,lose,Ranked Solo,2021-09-21 17:10:36,24m 59s,6,8,3,1.13:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Garen,규 보 리,Lee Sin,hai cha de yuan,LeBlanc,213435,Ziggs,Creative Self,Alistar,irasu1,Quinn,롤 강의 코코팀,Nidalee,롤듀오 코코팀,Renekton,오동1,Miss Fortune,Imaokai,Amumu,kukuking
5465974308,lose,Ranked Solo,2021-09-21 16:35:35,27m 40s,5,9,8,1.44:1,empty,empty,Zed,Grandmaster,empty,Fiora,Fiora,Taliyah,     la ji game,Riven,오동1,Ezreal,끝나지 않은 싸움,Alistar,irasu1,Jayce,huntiandi1,Zed,hai cha de yuan,Katarina,Emilia tan,Tristana,Imaokai,Leona,Love dont stop
5465822636,win,Ranked Solo,2021-09-21 15:26:16,29m 16s,13,4,18,7.75:1,Double Kill,MVP,Lee Sin,Master,empty,Gragas,hggbexrloo,Viego,Mon seul amour,Corki,엄청나대단해,Ezreal,zszzz,Morgana,초코땡이,Gnar,v나르샤v,Lee Sin,hai cha de yuan,Galio,퀸 세연,Jhin,전설이 될 남자,Amumu,kukuking
5464434148,lose,Ranked Solo,2021-09-20 20:48:11,22m 27s,6,7,6,1.71:1,empty,empty,Lee Sin,Grandmaster,empty,Fiora,강의 듀오 제드팀,Nidalee,nodfan,Sylas,Hakunaa Matata,Aphelios,BTS 아오미네,Shen,쉔과나의연결고리,Gragas,Trisak,Lee Sin,hai cha de yuan,Annie,Tangyuando,Lucian,HHHoney,Karma,디알엑스 제트
5463230396,win,Ranked Solo,2021-09-20 02:51:13,26m 1s,11,5,18,5.80:1,Double Kill,empty,Taliyah,Grandmaster,empty,Quinn,카사돌,Taliyah,hai cha de yuan,Pantheon,못할 때도 있지,Caitlyn,viper3,Morgana,Seize the day11,Kennen,깨달음을얻은남자,Jarvan IV,데아시두스이어링,Lissandra,Shadow FA 03,Aphelios,irasu1,Rakan,T1 F0rest
5463067567,win,Ranked Solo,2021-09-20 02:11:57,25m 43s,13,3,12,8.33:1,Quadra Kill,MVP,Lee Sin,Grandmaster,empty,Camille,Liiv Croco,Lee Sin,hai cha de yuan,Kassadin,단군의청춘부재,Miss Fortune,어제보단잘하자,Amumu,정훈이의 모험,Fiora,hggbexrloo,Taliyah,로이갓전용노예,LeBlanc,아이린,Twitch,irasu1,Nami,IgNar
5460859424,win,Ranked Solo,2021-09-19 02:53:59,25m 25s,10,2,13,11.50:1,Double Kill,MVP,Lee Sin,Grandmaster,empty,Fiora,AASSH,Lee Sin,hai cha de yuan,Akali,SanShengWanWu,Lucian,Rumor22,Braum,레일리리,Tristana,물에 젖은 장작,Graves,a new beginn1ng,Tryndamere,미북이,Xerath,03 프로가능할까,Maokai,Practice
5460570466,lose,Ranked Solo,2021-09-18 23:52:44,27m 35s,3,7,6,1.29:1,empty,empty,Talon,Grandmaster,empty,Sett,BJ갈배,Ekko,Hengzzz,Graves,tan hua yi xian,Kai'Sa,pingwozhijiedian,Maokai,Destiny,Rumble,재간동실이,Talon,hai cha de yuan,Orianna,Pnpm,Yasuo,JJ0ng 묻었네,Anivia,douyu TV 9018814
