gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5489377704,lose,Ranked Solo,2021-10-04 00:36:55,26m 54s,3,4,6,2.25:1,Double Kill,empty,Seraphine,Grandmaster,empty,Fiora,ANB 9eetoo,Hecarim,theNotoriousMMÅ,Seraphine,Goldguns88,Aphelios,laozitianye,Nami,Qnoxs,Aatrox,TwTv Naayil ,Xin Zhao,Decay0,Sylas,BizGG,Miss Fortune,Seelame,Xerath,židovskej cigan
5489400581,win,Ranked Solo,2021-10-04 00:00:10,29m 40s,18,10,12,3.00:1,Quadra Kill,empty,Miss Fortune,Master,empty,Ornn,Byzza,Graves,DEEBO SAMUEL,Vex,TwTv Lurkz77,Miss Fortune,Goldguns88,Leona,Shawi Katami,Urgot,NieUfamCiJezu12,Trundle,Chelouche,Ryze,Its Me InDeed,Lucian,Yosikomo,Nami,SWENZUUUUUUUUUUU
5488890039,win,URF,2021-10-03 19:50:05,11m 17s,24,4,6,7.50:1,Triple Kill,empty,Lucian,empty,empty,Lucian,Goldguns88,Draven,dªnkgod,Jhin,Rekt by Issei,Singed,bnhjgsyeduligksr,Ashe,ZulusFortis,Vex,Spydding,Cho'Gath,Ignézio,Cassiopeia,Spydenix,Aurelion Sol,NUCLEAR GARZOOKA,Caitlyn,PengPengPingu
5488582301,lose,Ranked Solo,2021-10-03 08:40:38,30m 33s,8,13,13,1.62:1,Double Kill,empty,Qiyana,Master,empty,Tahm Kench,ΚenT1,Kha'Zix,Tanu,Diana,DUALIPAadfhgkdgk,Ezreal,ToasterM8,Yuumi,Heimskáut réfur,Lillia,woshidoinb,Nidalee,ImJony,Qiyana,Goldguns88,Lucian,Please try hard,Nami,F tier supp
5488505791,lose,Ranked Solo,2021-10-03 08:00:05,42m 30s,13,11,9,2.00:1,Double Kill,empty,Ekko,Master,empty,Fiora,lennylennylenny,Nidalee,DUALIPAadfhgkdgk,Syndra,RKT Maςaquiñø,Lucian,RAAD SAN,Nautilus,S10 l R1,Urgot,Stumpyyy,Qiyana,MightyXDragon v2,Ekko,Goldguns88,Miss Fortune,ToasterM8,Taliyah,twenty one
5488399706,win,Ranked Solo,2021-10-03 07:04:19,32m 39s,7,9,13,2.22:1,empty,empty,Lee Sin,Master,empty,Fiora,Govna Isusova,Rek'Sai,91 C LE BRESIL,Twisted Fate,NOV4 FreeParking,Twitch,Crowniee,Karma,progabet,Urgot,häppy man,Lee Sin,Goldguns88,LeBlanc,kimchi open1,Lucian,AD723,Nami,Frank Horrigan
5488178310,lose,Ranked Solo,2021-10-03 03:53:08,28m 14s,2,10,5,0.70:1,empty,empty,Tryndamere,Grandmaster,empty,Fiora,Tokz,Nidalee,VGIA 113,Tryndamere,Goldguns88,Yasuo,M1dLaoban,Karma,LVG White Lotus,Malphite,GODZILLA66666666,Taliyah,Vichennnn,Talon,Œµß,Lucian,the super noob,Nami,Canam
5487275796,lose,Ranked Solo,2021-10-02 09:30:53,29m 8s,6,14,10,1.14:1,empty,empty,Ryze,Grandmaster,empty,Gwen,Crowno,Graves,Tu po zi wo,Ryze,Goldguns88,Miss Fortune,Seelame,Amumu,Hantera1,Sylas,Oggman,Qiyana,Expecto Patrounm,Yone,EllamCompany,Lucian,Emtest,Nami,Aegis fangirlQAQ
5487214520,win,Ranked Solo,2021-10-02 08:52:40,26m 6s,11,4,9,5.00:1,empty,empty,Zoe,Master,empty,Gangplank,Robert Lae,Jarvan IV,Expecto Patrounm,Zoe,Goldguns88,Ezreal,Emtest,Leona,PQPAANLS,Fiora,XLeQu,Talon,Cóbb,Ekko,Tu po zi wo,Draven,DIGESTHUMANFLESH,Nami,Prosfair
5487128682,lose,Ranked Solo,2021-10-02 08:15:55,42m 3s,8,12,25,2.75:1,empty,empty,Zed,Master,empty,Darius,sorrrrrrry,Rammus,BR Lord Semi,Zed,Goldguns88,Karthus,G 2 3 H 1 Z U ,Amumu,KwK AlVaRo710,Riven,Ugglaann,Lee Sin,J3kko,Malzahar,SL0WDEATH,Jinx,Cóbb,Thresh,school phobia
