gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5246755722,win,Ranked Solo,2021-06-07 01:42:34,30m 4s,9,4,9,4.50:1,Double Kill,empty,Zoe,Master,empty,Irelia,Fix u xxx,Lee Sin,skxj,Zoe,glockinmylap,Tristana,LimGeunWoo,Leona,Noonk1ss,Gnar,신호등1,Xin Zhao,juil,Sylas,내가지은성,Kalista,이상하다아,Sett,yue xi hua chen
5246654767,lose,Ranked Solo,2021-06-07 00:36:51,29m 1s,1,11,5,0.55:1,empty,empty,Viego,Master,empty,Viego,glockinmylap,Shaco,종달잉잉,Sylas,짜장시키신분1,Ashe,LimGeunWoo,Braum,CTC1,Nocturne,나는 돈이 없다,Taliyah,sickboyzz,Zac,자크 생존,Jhin,향 깃,Karma,C86m
5246477999,lose,Ranked Solo,2021-06-06 23:58:20,27m 11s,3,7,4,1.00:1,empty,empty,Gnar,Master,empty,Fiora,Fiora,Volibear,Ionely,Gnar,glockinmylap,Jhin,김밥오이빼고,Taliyah,PMD91,Viego,스페어타임,Nidalee,zdhl,Sett,Gen G Ophelia,Jinx,cute white fox,Thresh,yue xi hua chen
5246480380,lose,Ranked Solo,2021-06-06 23:17:40,21m 21s,4,4,8,3.00:1,Double Kill,ACE,Nautilus,Master,empty,Sett,Fix u xxx,Rumble,미드조지기,Lucian,7777케이,Ashe,꿈이면 좋겠어,Karma,진쏘킴,Kled,좀비 클레드,Graves,끄마가스,Twisted Fate,07미드기모띠,Ezreal,빡빡이1,Nautilus,glockinmylap
5246333501,lose,Ranked Solo,2021-06-06 22:51:00,29m 23s,10,8,8,2.25:1,Double Kill,ACE,Jayce,Master,empty,Gangplank,케케몬,Elise,끄마가스,Lucian,병아리크면수탉,Kai'Sa,너 뭐하는거냐,Leona,dong man kong1,Shen,쉔드백,Rumble,미드조지기,Jayce,glockinmylap,Jhin,향 깃,Thresh,김말모
5245983427,win,ARAM,2021-06-06 20:05:15,15m 42s,9,7,18,3.86:1,Double Kill,empty,Kai'Sa,empty,empty,Rakan,용을지배하는자,Thresh,소주한잔하던가,Brand,원딜복지사,Twisted Fate,lee2221,Caitlyn,사십분가면다이겨,Blitzcrank,LEE익룡,Trundle,명월리,Orianna,슈퍼찬진,Kai'Sa,glockinmylap,Varus,2696159999362144
5245083019,win,Ranked Solo,2021-06-06 15:05:36,26m 1s,11,3,13,8.00:1,Double Kill,MVP,Ryze,Master,empty,Fiora,Perfect future,Kindred,18188181818,Ryze,glockinmylap,Jinx,Popular0,Thresh,LOOK ME SHOWTIME,Renekton,들어오면받아치기,Elise,호걸 서도일,Sylas,2639449231066688,Kai'Sa,say lt ,Lulu,엔 햐
5244987187,lose,Ranked Solo,2021-06-06 14:32:58,28m 58s,10,8,10,2.50:1,Double Kill,ACE,Lucian,Master,empty,Maokai,smiling honeybee,Lee Sin,zdhl,Sylas,GGanbuMid,Samira,say lt ,Leona,yyyyyzyyy,Wukong,근 두,Rumble,호걸 서도일,Lucian,glockinmylap,Varus,Iov won,Fiddlesticks,Be Changed
5244338749,lose,Ranked Solo,2021-06-06 01:32:20,33m 35s,9,8,5,1.75:1,Double Kill,ACE,Viego,Master,empty,Tryndamere,Youtube 엉덩국곰,Kha'Zix,처피뱅 카와이,Galio,행복하고싶다하하,Varus,znlydgyxyd,Karma,AF HH,Lee Sin,Savage,Kayn,Crush333,Viego,glockinmylap,Samira,whisper snow,Leona,라윤공주
5243699711,lose,Ranked Solo,2021-06-05 23:12:43,21m 38s,5,5,4,1.80:1,ACE,empty,LeBlanc,Master,empty,Ezreal,양여명,Elise,YMzhao80089752,Viego,원그리기1,Kai'Sa,zxczxcasdaxd,Pyke,FLAGGED 90603456,Sylas,적당히잘해재민아,Xin Zhao,주작은애벌래,LeBlanc,glockinmylap,Kog'Maw,푸쉬앞무빙선턴맨,Lulu,크으으윽
5243628195,win,Ranked Solo,2021-06-05 22:23:23,16m 8s,9,1,6,15.00:1,MVP,empty,Kindred,Master,empty,Diana,Badbunny1,Hecarim,분기충천등고자비,Sett,Keep Positive,Ezreal,xi jie yi dian,Rakan,중학생 챌린저,Lee Sin,BMX1234,Kindred,glockinmylap,Syndra,cyxiaokeai,Kog'Maw,Aishu,Lulu,C86m
5243660160,lose,Ranked Solo,2021-06-05 21:55:22,19m 21s,4,3,1,1.67:1,Double Kill,ACE,Diana,Master,empty,Camille,Keep Positive,Lee Sin,하나의 풍경,Diana,glockinmylap,Yasuo,행복하고싶다하하,Gragas,중학생 챌린저,Sylas,푹 쉬면서 해요 ,Kindred,IG xingluo,Galio,movin n move,Kai'Sa,싸우지마 애들아,Alistar,gfdgsr111
5243565571,win,Ranked Solo,2021-06-05 21:29:40,15m 19s,7,1,1,8.00:1,Double Kill,empty,Ryze,Grandmaster,empty,Volibear,JSJSJSJSJ,Graves,Fox B jingjing,Ryze,glockinmylap,Samira,유머1234,Leona,영원한 건 없으니,Renekton,Chengnianren,Nidalee,푹 쉬면서 해요 ,Orianna,gfdgsr111,Kai'Sa,싸우지마 애들아,Galio,행복하고싶다하하
5243468688,win,Ranked Solo,2021-06-05 21:05:41,26m 44s,12,5,8,4.00:1,Double Kill,empty,Ryze,Master,empty,Lucian,Pyo ZZang,Rumble,먼지 한 알,Sylas,누가 널 봤어,Kai'Sa,hong he wo de,Leona,LeonaMaestro,Viego,   늑 름 마 녹턴,Nocturne,Crush333,Ryze,glockinmylap,Varus,DANKlNG,Alistar,푸루푸루의알
5243433088,lose,Ranked Solo,2021-06-05 20:31:14,26m 36s,1,8,9,1.25:1,empty,empty,Renekton,Master,empty,Shyvana,DangerousBoy ady,Lee Sin,yusari,Galio,행복하고싶다하하,Ezreal,BulyStaL,Senna,boommm,Fiora,1111110,Taliyah,sickboyzz,Renekton,glockinmylap,Xayah,wdtx,Pyke,중학생 챌린저
5243326381,win,Ranked Solo,2021-06-05 19:50:42,26m 55s,9,6,16,4.17:1,Double Kill,empty,Lee Sin,Master,empty,Sylas,쿠하쿠,Lee Sin,glockinmylap,Kled,Top아님안감,Xayah,hong he wo de,Leona,영원한 건 없으니,Renekton,로이갓전용노예,Elise,푸 얌,Ryze,pinzz,Kai'Sa,chaojibaobeijojo,Galio,끼릭끼리릭
5243340416,win,Ranked Solo,2021-06-05 19:14:32,21m 27s,3,5,9,2.40:1,empty,empty,Sylas,Master,empty,Rengar,한국 렝가,Nidalee,담미온 부대국밥,Kalista,cyxiaokeai,Jinx,hong he wo de,Thresh,교잘도,Wukong,한여름밤의 꿀1,Xin Zhao,Fix u xxx,Sylas,glockinmylap,Kai'Sa,고라파덕 키울래,Rell,Lonelypatients
