gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490643164,win,Ranked Solo,2021-10-03 21:22:43,32m 27s,3,9,14,1.89:1,empty,empty,Viktor,Grandmaster,empty,Aatrox,단군의청춘부재,Ekko,짐승 잡종 인간,Viktor,양념형,Kai'Sa,BRO Hena,Maokai,둠심 YouTube,Lillia,T1 Berserker,Diana,Hengzzz,Yasuo,Shadow FA 03,Miss Fortune,글썽글썽태윤,Amumu,쭌 베
5490478225,win,Ranked Solo,2021-10-03 20:40:34,22m 56s,9,2,7,8.00:1,Double Kill,empty,Viktor,Grandmaster,empty,Lillia,T1 Berserker,Lee Sin,Juhana,Viktor,양념형,Ezreal,글썽글썽태윤,Karma,어딘가좀아픈사람,Vayne,물에 젖은 장작,Talon,jingshen qiang,Ornn,Savage,Ziggs,Sangchu,Maokai,둠심 YouTube
5490453508,lose,Ranked Solo,2021-10-03 20:11:30,21m 57s,1,5,2,0.60:1,empty,empty,Zoe,Grandmaster,empty,Akshan,T1 Berserker,Graves,파란맛1,Zoe,양념형,Jinx,ruanruantuan,Thresh,우주방패,Tryndamere,갱붕이,Nocturne,Hengzzz,Kennen,gyuvee,Miss Fortune,블루리쉬잘해요,Leona,zxckas0dk
5487967756,lose,Ranked Solo,2021-10-02 18:16:22,27m 8s,2,4,2,1.00:1,empty,empty,LeBlanc,Grandmaster,empty,Malphite,wodesry,Shaco,이젠 안질게,LeBlanc,양념형,Aphelios,Headie,Thresh,Seize the day11,Kennen,애넨차피이해못해,Talon,나는성공할것이다,Yone,제드팀 구글 검색,Lucian,ggume boda,Nami,Let me sup
5486192549,win,Ranked Solo,2021-10-01 20:51:19,32m 57s,6,6,5,1.83:1,Double Kill,empty,Sett,Grandmaster,empty,Sett,양념형,Zac,여름아나를왜물어,Vex,KT VicLa,Miss Fortune,제주도민 달카,Nami,Let me sup,Jayce,BRO Delight,Ekko,Liiv OnFleek,Ahri,미 호,Jhin,폭탄치우기,Lulu,무한열차 승객
5478970633,lose,URF,2021-09-27 05:25:25,15m 12s,2,15,8,0.67:1,empty,empty,Lucian,empty,empty,Hecarim,몬스터에너지그린,Yasuo,AbCeQ,Malphite,성민1234,Shyvana,룸빵마담,Ezreal,채준근,Blitzcrank,핏 스파키,Kalista,유사 ADC,Fiora,루 니,Lucian,양념형,Lee Sin,용산쌍바위게
5478907077,lose,Ranked Solo,2021-09-27 04:06:26,25m 42s,7,4,6,3.25:1,ACE,empty,LeBlanc,Grandmaster,empty,Gnar,wodesry,Graves,byz,Lissandra,디알엑스 제트,Lucian,DK Kingdom,Leona,snzll,Darius,hfubVHDVuAWVF ,Lee Sin,우울적울컥,LeBlanc,양념형,Caitlyn,zszzz,Lulu,쪼렙이다말로하자
5478914717,win,Ranked Solo,2021-09-27 03:33:29,20m 48s,6,2,8,7.00:1,MVP,empty,LeBlanc,Grandmaster,empty,Riven,거북이사건,Ekko,Jzzcjmzh,LeBlanc,양념형,Lucian,zszzz,Lulu,강의 듀오 코코팀,Camille,wodesry,Graves,byz,Sylas,단군의청춘부재,Aphelios,참 몬났다,Jarvan IV,MNTNMNTNM
5476427618,win,URF,2021-09-26 02:53:26,18m 57s,20,7,11,4.43:1,Triple Kill,empty,Lucian,empty,empty,Kai'Sa,구레오,Jarvan IV,뽀 핫,Jhin,BJ크림몬,Fizz,무하마드간디,Viego,토 즈,Heimerdinger,서정상상상상상록,Lucian,양념형,Kassadin,잔재주,Twitch,미라쌥,Nami,앵그리세리
5476367155,win,URF,2021-09-26 02:30:54,8m 33s,11,1,5,16.00:1,Triple Kill,empty,Ezreal,empty,empty,Fizz,서정상상상상상록,Ezreal,양념형,Master Yi,잔재주,Blitzcrank,미라쌥,Yuumi,앵그리세리,Aatrox,승현왕자님,Jax,파란닢,Yuumi,운명적발암물질,Sylas,아닌가아님말고,Brand,R2ichenbach
