gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490389418,lose,Ranked Solo,2021-10-04 08:18:32,30m 5s,6,9,5,1.22:1,empty,empty,Tryndamere,Master,empty,Graves,aeiouaeiouaeioua,Lee Sin,Monsieur Oui,Cassiopeia,prev,Ezreal,EDG Killaki ,Bard,peeseen,Tryndamere,2021Worlds0033,Taliyah,30x,Talon,TAL7NGXD,Jhin,Stille Berg,Amumu,2Cups
5490406203,win,Ranked Solo,2021-10-04 07:41:39,23m 23s,5,5,6,2.20:1,Double Kill,empty,Irelia,Master,empty,Irelia,2021Worlds0033,Gragas,ReX Thayger,Vladimir,stella2231,Senna,sindrelolpro2345,Amumu,LDNU Nyzah,Sett,89 fds 126,Nidalee,ismaaa,Zed,IDRNKURMILKSHAKE,Miss Fortune,SWENZUUUUUUUUUUU,Sylas,Gaunter O Dimm
5490374472,win,Ranked Solo,2021-10-04 07:13:23,15m 39s,3,2,2,2.50:1,empty,empty,LeBlanc,Master,empty,Kennen,CWMW,Zed,taetsu,Lissandra,Adeptx,Kai'Sa,Flowsnake Ice,Amumu,Im cute uwu,Sylas,White Steel Eel,Talon,tmffhdnzb,LeBlanc,2021Worlds0033,Lucian,fkqtmxk,Braum,mY Lugia
5490337592,win,Ranked Solo,2021-10-04 06:47:34,27m 35s,3,4,8,2.75:1,empty,empty,Graves,Master,empty,Graves,2021Worlds0033,Qiyana,357159,Akali,Adeptx,Tristana,C9 ZVENNN,Amumu,Im cute uwu,Tryndamere,KMROPGPS,Sejuani,Joekie,Sylas,Mysterias,Kai'Sa,VER Yusa,Pyke,Twopan
5490273514,win,Ranked Solo,2021-10-04 06:14:11,34m 17s,6,9,13,2.11:1,empty,empty,Graves,Master,empty,Jax,FIX SOL0Q,Jarvan IV,Sêal,Sylas,2Cups,Jhin,QQ Pawelek6,Thresh,Such a bad mood,Graves,2021Worlds0033,Lillia,ositosi,Taliyah,LSADSDD,Jinx,Pinky windy,Leona,23iko
5490208606,lose,Ranked Solo,2021-10-04 05:32:54,20m 27s,3,8,2,0.63:1,Double Kill,empty,Graves,Master,empty,Tryndamere,F 4 T E,Taliyah,LSADSDD,Qiyana,PAMELA DINDON,Kalista,Xenxo,Leona,Dietzy,Sylas,play for me orFF,Ekko,Spirgius,Graves,2021Worlds0033,Lucian,23iko,Nami,Such a bad mood
5489279560,win,Ranked Solo,2021-10-03 23:59:53,35m 41s,9,9,7,1.78:1,Double Kill,empty,Tryndamere,Master,empty,Jarvan IV,2021Worlds0301,Lillia,Cyroox,Tryndamere,2021Worlds0033,Kai'Sa,998 ZAMULEK,Nautilus,L Prime 1,Quinn,INTERLUDE XXX,Talon,ALIY4H,Sylas,xAqaaya,Tristana,Lithuanian Deft,Amumu,Wolskinator
5489224892,win,Ranked Solo,2021-10-03 23:18:43,31m 5s,5,6,5,1.67:1,Double Kill,MVP,Graves,Master,empty,Camille,future memories,Viego,treasure seeking,LeBlanc,wincg,Ziggs,SeaI,Amumu,Became Champion ,Graves,2021Worlds0033,Rek'Sai,Hero of Ferelden,Zoe,Alþhinaud,Draven,JESUISRANDOMEXD,Alistar,DUMAN
5487946017,win,Ranked Solo,2021-10-03 00:58:03,23m 26s,7,0,6,Perfect,empty,empty,Fiora,Master,empty,Fiora,2021Worlds0033,Taliyah,icelandxuechan,Twisted Fate,VER Jadran,Lucian,Twtv Strikelol1,Nautilus,PD Lynx,Camille,Thel1ttletiger,Viego,2021Worlds,Ryze,Ναυάγιο,Ashe,RunnerOnTheLoose,Braum,BroIia
5485907863,win,Ranked Solo,2021-10-01 20:42:36,26m 52s,14,4,6,5.00:1,Penta Kill,MVP,Gwen,Master,empty,Gwen,2021Worlds0033,Olaf,MadCl0wn,Jayce,David Nalbandian,Ezreal,JAMES HUNT,Bard,CORONA EQUALS 5G,Irelia,Chop Water,Jarvan IV,Jungler3,Azir,Lord Laki v2,Lucian,s0me die young,Soraka,Aglaro
