gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5484610018,win,Ranked Solo,2021-09-30 19:52:49,20m 31s,3,2,3,3.00:1,Double Kill,empty,Gwen,Grandmaster,empty,Kayn,coverunder,Lee Sin,RGO Lurox,LeBlanc,Jonah Falcon,Xayah,MetroArcher,Rakan,Ttv Lathyrus,Gwen,MAD Captain,Zed,sheo test acc,Lissandra,Froggen,Tristana,SPOLFCEI,Nautilus,fastFF
5483454299,lose,Ranked Solo,2021-09-30 01:10:54,34m 38s,8,6,8,2.67:1,ACE,empty,Fiora,Grandmaster,empty,Fiora,MAD Captain,Nunu & Willump,ATL SkewMond,Tryndamere,Beaupere,Taliyah,Odysseus131,Nami,Qnoxs,Camille,JENAX UNCHAINED,Nidalee,fooling around,Talon,7zx,Draven,Pride0,Nautilus,WillTheHook
5481692604,lose,Ranked Solo,2021-09-28 19:35:45,22m 2s,1,6,1,0.33:1,empty,empty,Irelia,Grandmaster,empty,Poppy,SLY Eyliph,Graves,Αnimation,LeBlanc,Einard,Vayne,Crowniee,Amumu,SirNukesAlott,Irelia,MAD Captain,Kha'Zix,Syperk6,Sylas,Nusss,Ezreal,Dragdar,Leona,Thomas Fäte
5481403033,lose,Ranked Solo,2021-09-28 08:23:47,30m 44s,6,8,14,2.50:1,ACE,empty,Jayce,Challenger,empty,Jayce,MAD Captain,Zed,SAKEN1,Azir,MSF Sertuss,Aphelios,Alan Roger,Alistar,ChilThenWinBig,Kennen,Crowno,Talon,Raiden Shogun C2,Irelia,serin1,Kai'Sa,lucker3,Amumu,Targamas
5481280224,lose,Ranked Solo,2021-09-28 07:41:12,20m 17s,6,6,1,1.17:1,Double Kill,ACE,Fiora,Grandmaster,empty,Fiora,MAD Captain,Volibear,nap ability,Yone,SAKEN1,Ezreal,SPOLFCEI,Soraka,Shubber,Kennen,wakeuptoreaIity,Qiyana,viego abuser1,Irelia,MSF Sertuss,Ziggs,EDG Innaxe,Pyke,ChilThenWinBig
5481295848,lose,Ranked Solo,2021-09-28 07:15:59,29m 0s,6,7,8,2.00:1,empty,empty,Irelia,Grandmaster,empty,Cassiopeia,2021Worlds0044,Jarvan IV,SGE SevenArmy,Karma,TheRoyalKanin,Samira,bnaduhas,Amumu,i dream lucid,Irelia,MAD Captain,Hecarim,lövhögen,LeBlanc,152cm187kg24cm,Lucian,BlauBarschBube,Nami,blonde mina
5481238185,lose,Ranked Solo,2021-09-28 06:31:43,33m 24s,7,7,11,2.57:1,empty,empty,Irelia,Grandmaster,empty,Poppy,Poppuszka,Viego,Happy Alexx,Lissandra,Mood rings,Lucian,SPOLFCEI,Pyke,Chouineur 1,Irelia,MAD Captain,Lillia,Undercover BilbY,Yasuo,AST MagiFelix,Ziggs,better bot win1,Rakan,LIMIT12345
5481242571,win,Ranked Solo,2021-09-28 05:51:33,24m 54s,14,0,7,Perfect,Double Kill,MVP,Fiora,Challenger,empty,Gangplank,slapbooty453,Gragas,Whiteakitout,Irelia,Venour,Ezreal,SPOLFCEI,Rell,lolNash,Fiora,MAD Captain,Lee Sin,MSF Sertuss,Sylas,YouMakeMeSmile,Lucian,x4T7,Nami,FGG
5472878757,win,Ranked Solo,2021-09-23 05:36:39,22m 16s,6,4,4,2.50:1,empty,empty,Irelia,Grandmaster,empty,Orianna,Chamana1,Graves,FPX Peanut,Teemo,Alan234,Lucian,BAE Jonhy,Nami,godzaimeris,Irelia,MAD Captain,Nidalee,C9 Blaberfish2,Zed,PAMELA DINDON,Twitch,NATANATANATANATA,Leona,Sanity1
5472863056,win,Ranked Solo,2021-09-23 05:06:07,28m 34s,9,6,8,2.83:1,empty,empty,Camille,Grandmaster,empty,Camille,MAD Captain,Graves,FPX Peanut,LeBlanc,YouMakeMeSmile,Lucian,KwK AlVaRo710,Nami,godzaimeris,Irelia,SK Alois,Zed,Sunflοwer,Warwick,Tokz,Jhin,something 2 lose,Amumu,NanamiHakuya
