gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5487843395,win,Ranked Solo,2021-10-02 23:39:56,33m 35s,13,8,14,3.38:1,MVP,empty,Aphelios,Grandmaster,empty,Yone,Dzukill,Hecarim,Airron,Syndra,ZWYRØØ,Draven,Frappii Jabami,Pyke,Chouineur 1,Jayce,dofaminu,Rumble,FPX Peanut,Vex,ssimpli,Aphelios,bob kong,Thresh,enjawve
5485620885,lose,URF,2021-10-01 09:33:02,22m 52s,13,9,18,3.44:1,empty,empty,Zilean,empty,empty,Nasus,Ráttan,Amumu,9HP,Jarvan IV,xHASHIM,Darius,KingOfKinkku,Kha'Zix,Kaulo,Zilean,bob kong,Hecarim,jasontodd1,Tryndamere,Spring01,Rammus,Kimoshism,Senna,Dioxeurs
5485558821,win,URF,2021-10-01 09:05:18,20m 20s,24,11,5,2.64:1,Triple Kill,empty,Zed,empty,empty,Zed,bob kong,Kennen,jasontodd1,Pantheon,DοkterBruinbeer,Kayn,BulletStorms,Lucian,Toobbyy,Veigar,Urgod Main,Zed,Dr Fetus,Heimerdinger,Bappó,Ezreal,Ridders,Kog'Maw,krthush
5485405007,win,Ranked Solo,2021-10-01 05:59:01,31m 43s,5,4,10,3.75:1,empty,empty,Lucian,Grandmaster,empty,Camille,Xiaobylenz,Olaf,Loumuis,LeBlanc,msfvetheo1,Jhin,the super noob,Thresh,TraYtoN,Shen,Vizícsacsi,Lee Sin,RGO Lurox,Twisted Fate,MSF Sertuss,Lucian,bob kong,Nami,godzaimeris
5484670798,lose,Ranked Solo,2021-09-30 19:52:57,16m 4s,3,6,2,0.83:1,empty,empty,Ezreal,Master,empty,Kled,TwTv Naayil ,Lee Sin,BloodBornVlad,Akali,msfvetheo1,Draven,Kaττen,Sett,Bakkerij Nasib,Ornn,sixsixsi666,Graves,viego abuser1,Vel'Koz,Fin Frérοt ,Ezreal,bob kong,Amumu,divočákos
5484356346,lose,ARAM,2021-09-30 09:35:19,26m 11s,19,14,26,3.21:1,Double Kill,empty,Gangplank,empty,empty,Sivir,WO LBW MYKG,Lee Sin,Footiii,Kayn,mrdondon,Syndra,TTTEEEEMOOOOOO,Gwen,WaTchA ThIs,Ezreal,go back to monke,Gangplank,bob kong,Brand,hello bro,Varus,jasontodd1,Miss Fortune,MidDiffEveryGame
5484403884,win,URF,2021-09-30 09:05:13,16m 30s,26,7,3,4.14:1,Penta Kill,empty,Ekko,empty,empty,Yuumi,Roronoa Zoro,Ezreal,Ashgarn The Mad,Warwick,piotrj3,Bard,Ph2nix,Hecarim,Monkey Ð Luƒƒy,Shaco,go back to monke,Ekko,bob kong,Volibear,BoomBoomCZE,Veigar,hello bro,Neeko,jasontodd1
5484402468,win,URF,2021-09-30 08:44:31,17m 2s,23,9,11,3.78:1,Double Kill,empty,Sylas,empty,empty,Seraphine,go back to monke,Sylas,bob kong,Katarina,hello bro,LeBlanc,jasontodd1,Vex,Cute Lil eBoy,Lux,Píõtr,Zed,TKA YodaMH,Malphite,Piôtr,Maokai,aguacateman,Swain,Tjôkken
5484352154,lose,URF,2021-09-30 08:23:12,16m 22s,10,10,4,1.40:1,Double Kill,empty,Vex,empty,empty,Ziggs,go back to monke,Irelia,ChineseXD2002,Vex,bob kong,Twitch,hello bro,Taric,jasontodd1,Yasuo,Umbi1999,Shaco,DR Trolll,Vex,Bassline Junkie,LeBlanc,Flaccid Meat,Twitch,2pacwashere
5484070528,lose,Ranked Solo,2021-09-30 04:59:22,31m 29s,2,9,11,1.44:1,empty,empty,Yone,Grandmaster,empty,Teemo,Alan234,Qiyana,C9 Blaberfish2,LeBlanc,BurgerMäker,Lucian,NF Change,Sona,Qnoxs,Tahm Kench,suusuppuun,Diana,Happy Alexx,Yone,bob kong,Jhin,RED 7itaN ,Bard,EUW 4 PANEL
5483493662,win,URF,2021-09-30 00:54:53,22m 30s,10,15,5,1.00:1,Double Kill,empty,Qiyana,empty,empty,Kog'Maw,Fyrics Sama,Kai'Sa,iViyurz,Qiyana,bob kong,Mordekaiser,Blyatiful,Malphite,Souffle,LeBlanc,seifox3,Ahri,LyredVesalius,Jarvan IV,Ez Victory,Fiora,Notorious Ale,Maokai,Nqrcotik
5483440742,lose,Ranked Solo,2021-09-30 00:25:57,21m 24s,4,8,3,0.88:1,empty,empty,Vayne,Grandmaster,empty,Shen,XLeQu,Elise,lövhögen,Yone,TwTv iljimaeLoL,Vayne,bob kong,Nautilus,xCharm,Camille,Looca,Kayn,Envy Carry,Xerath,TSMFTX SPECCA,Miss Fortune,yzxcv,Braum,WANNADIVE
5483011129,lose,Ranked Solo,2021-09-29 19:57:58,32m 3s,11,9,5,1.78:1,Double Kill,empty,Draven,Grandmaster,empty,Renekton,Undercover CraB,Nidalee,Sunflοwer,Irelia,SlXTEN,Lucian,matiaslaclasse,Brand,Undercover CameL,Sett,GO beansu,Graves,Aítana Øcaña,Vex,phlaty,Draven,bob kong,Nami,godzaimeris
5482583311,win,URF,2021-09-29 06:55:26,16m 58s,11,11,3,1.27:1,Double Kill,empty,Irelia,empty,empty,Sett,Wilmers Hund,Jhin,Tridddle,Pyke,Shoof,Amumu,Bugzbunny,Dr. Mundo,Hex Δ,Talon,Sayzhe,Xayah,guszczi,Irelia,bob kong,Nami,Milaya,Lucian,Envy Carry
5482499855,lose,Ranked Solo,2021-09-29 06:32:45,17m 34s,1,7,2,0.43:1,empty,empty,Draven,Grandmaster,empty,Irelia,2021Worlds2137,Viego,Lοvelorn,Katarina,Matrix Katarina,Draven,bob kong,Amumu,UOL Doedalo,Trundle,Gabbo,Jarvan IV,Ütani Gran Hur,Gragas,im car,Aphelios,C9 ZVENNN,Thresh,Kite Machine
5482184679,lose,URF,2021-09-29 03:05:27,20m 55s,13,13,9,1.69:1,Double Kill,empty,Akshan,empty,empty,Jinx,ìlílìlílìlílìlí,Akshan,bob kong,Gragas,jasontodd1,Shaco,Yem,Katarina,Andromakhe,Vi,Angel of death89,Shaco,KleeDadada,Yuumi,U SThresh Me,Senna,zomajunior,Orianna,Koldskaal
5482139235,lose,Ranked Solo,2021-09-29 02:39:05,22m 37s,5,10,2,0.70:1,Double Kill,empty,Ezreal,Master,empty,Gragas,Suirotas,Ekko,EZY Habubu,Pantheon,JingleDingle,Ezreal,bob kong,Leona,Ben Cristovao,Kayn,coverunder,Xin Zhao,NiuNai,Sylas,huge performanz ,Lucian,Iose my mind,Nami,schifosoemerdoso
5481962431,lose,Ranked Solo,2021-09-29 00:36:23,25m 44s,11,11,3,1.27:1,Triple Kill,ACE,Lucian,Grandmaster,empty,Aatrox,Kiooo,Jarvan IV,Shαwn Frost,Irelia,GS Bolulu,Karthus,David Nutt3r,Taric,WiIIyrex Fanboy,Camille,Xhen Doo,Graves,Markoon,Syndra,Mood rings,Lucian,bob kong,Karma,Rank1 Macro
5481297611,win,Ranked Solo,2021-09-28 07:18:33,18m 32s,10,4,5,3.75:1,Quadra Kill,empty,Ezreal,Master,empty,Lucian,C9 Fudge Factor,Nidalee,khanzir slayer,Tryndamere,Αnimation,Karthus,Robert Sapolsky,Nautilus,the super noob,Urgot,bausffs movement,Lee Sin,jarda jagr,Corki,NVD Flufo,Ezreal,bob kong,Bard,soloqwarrior1
5481193319,lose,URF,2021-09-28 05:40:58,13m 42s,11,8,2,1.63:1,Double Kill,empty,Qiyana,empty,empty,Ekko,Fibiger2,Jinx,WorstVayneEUser,Lucian,TheDarkìnBlade,Shaco,Ríaz,Lulu,Sirias,Kha'Zix,d1aezaee3,Ekko,xheavenlyxdemon,Qiyana,bob kong,Irelia,IkOshI,Akshan,IITimeFallingII
5479661816,lose,Ranked Solo,2021-09-27 07:17:26,33m 21s,9,7,9,2.57:1,Double Kill,empty,Jhin,Master,empty,Jayce,maybe f keys ,Fiddlesticks,EUW VILLAIN,Yone,židovskej cigan,Lucian,NF Change,Heimerdinger,Just an engineer,Irelia,FIX SOL0Q,Xin Zhao,yeppocok,Vex,Play Date To You,Jhin,bob kong,Galio,NOX Peap
5476100529,lose,URF,2021-09-25 06:32:24,21m 59s,19,15,15,2.27:1,Double Kill,empty,LeBlanc,empty,empty,Nidalee,go back to monke,LeBlanc,bob kong,Ashe,MilfHunterr98,Senna,Lestblack,Vex,Katrielle,Ezreal,yvlntro,Shaco,ttv beatsbypartz,Twisted Fate,Fïzz,Thresh,GenZWarrior,Annie,Dank Moody
5475967858,lose,URF,2021-09-25 06:06:33,11m 35s,7,9,5,1.33:1,Double Kill,empty,Akshan,empty,empty,Lucian,go back to monke,Akshan,bob kong,Senna,Lestblack,Leona,Katrielle,Udyr,Immortalisk,Irelia,MixTaPe48,Kai'Sa,Dεan Winchester,Azir,C9 Steak,Brand,TΣNSHI,Ashe,Taisir
5476002984,win,URF,2021-09-25 05:51:06,20m 25s,19,11,7,2.36:1,Penta Kill,empty,Irelia,empty,empty,Yuumi,go back to monke,Irelia,bob kong,Fizz,Lestblack,LeBlanc,Katrielle,Orianna,Chubby Gafka,Jhin,CQQ0,Yasuo,Insanekyeu,Volibear,Spirit Guard Eli,Syndra,Łyss,Ivern,Ęmo
5475806116,lose,Ranked Solo,2021-09-25 04:28:53,26m 22s,6,6,6,2.00:1,Double Kill,empty,Rengar,Grandmaster,empty,Poppy,HeSSZero,Talon,Undercover CraB,Zoe,RGE Larssεn,Lucian,ten and a half,Brand,Undercover CameL,Camille,papi oscαr,Nunu & Willump,Sinerias Mental,Sylas,MosholderDolo,Rengar,bob kong,Ivern,L1L1PP
5475709541,win,Ranked Solo,2021-09-25 03:39:13,15m 11s,6,2,5,5.50:1,empty,empty,Vladimir,Master,empty,Yone,00N Smurfegutten,Jarvan IV,Fαllεn,Ekko,Twtv FierceFox15,Vladimir,bob kong,Pyke,L1L1PP,Malphite,Raiden Shogun C2,Rammus,BR Lord Semi,Vex,SL0WDEATH,Ezreal,FB Neramin1,Rakan,Bardo Za warudo
5475724649,lose,Ranked Solo,2021-09-25 03:11:03,15m 14s,0,7,3,0.43:1,empty,empty,Lucian,Master,empty,Yasuo,CHALL BTW,Karthus,sorry my bâd xd,Teemo,Alan234,Draven,Sergei Kravinoff,Amumu,FGG,Lee Sin,David Nalbandian,Diana,Kiss and TeII,Sylas,play for me orFF,Lucian,bob kong,Nami,L1L1PP
5475586463,win,Ranked Solo,2021-09-25 02:33:30,31m 30s,12,5,2,2.80:1,Double Kill,empty,Aphelios,Grandmaster,empty,Jayce,papi oscαr,Ekko,ismaaa,Lucian,JaVaaa 6,Tristana,NinjaNik,Blitzcrank,IlIlIlIlIllIlIl,Malphite,the super noob,Kha'Zix,Charlie Heaton,Kennen,Maître Splinter,Aphelios,bob kong,Leona,Apolo y Dafne
5475171333,lose,URF,2021-09-24 21:03:14,18m 13s,8,15,10,1.20:1,Triple Kill,empty,Akshan,empty,empty,Akshan,Holozayla,Jhin,letmewinthegame,Vex,Brogenn,Fizz,InDenLoliKeller,Viktor,Kaeritlas,Lucian,go back to monke,Akshan,bob kong,Nidalee,TheNameOfLegue,Renekton,turnt af,Pyke,Lestblack
5475128229,lose,URF,2021-09-24 20:37:56,18m 5s,12,11,10,2.00:1,Double Kill,empty,Gwen,empty,empty,Twitch,Kite Machıne,Graves,Zywrex,Jax,Daijoubu Kana,Nautilus,NecAndHyde,Lee Sin,Focus Commitment,LeBlanc,BIindPepega,Varus,go back to monke,Gwen,bob kong,Pyke,ReckonSage,Swain,Amtle
5472719139,lose,Ranked Solo,2021-09-23 04:39:56,27m 21s,6,8,9,1.88:1,Double Kill,empty,Graves,Grandmaster,empty,Teemo,Alan234,Talon,Maxlore,Zed,420WeabooSlayer,Draven,Switzerstar,Brand,Undercover CameL,Camille,TurningBackTime1,Rengar,ADCImpregnator,Graves,bob kong,Ezreal,Achuu,Pyke,PIYCRIGY
5471570275,lose,ARAM,2021-09-22 09:21:26,21m 49s,11,12,21,2.67:1,Double Kill,empty,Ekko,empty,empty,Mordekaiser,GloomSpecter,Jinx,MasterOfSeagulls,Zyra,Exion Nate,Kayle,Hideblood,Yone,Sphinia,Caitlyn,go back to monke,Twisted Fate,LUANTIC111624,Swain,KNUA,Ekko,bob kong,Akali,jasontodd1
5471578702,lose,ARAM,2021-09-22 08:57:05,19m 44s,21,9,6,3.00:1,Quadra Kill,empty,Gangplank,empty,empty,Jhin,UrbanBlue,Viktor,Chikapo,Varus,JeremiahGuttwald,Taric,Croydon,Udyr,mumric,Heimerdinger,go back to monke,Gangplank,bob kong,Cassiopeia,jasontodd1,Garen,Dg yopiix,Janna,Sphinia
5471596902,win,ARAM,2021-09-22 08:32:09,16m 10s,13,7,14,3.86:1,Double Kill,empty,Qiyana,empty,empty,Kayle,      Jay   Chcu,Blitzcrank,Poppypistol,Cho'Gath,ixRAZORxi,Aurelion Sol,Sergeant NoName,Shen,nanlad,Anivia,go back to monke,Qiyana,bob kong,Irelia,jasontodd1,Vayne,Boppeler,Ziggs,PeeInMyMouthPls
5471585438,lose,ARAM,2021-09-22 08:12:56,17m 19s,16,10,15,3.10:1,Triple Kill,empty,Shyvana,empty,empty,Miss Fortune,go back to monke,Shyvana,bob kong,Gangplank,jasontodd1,Zac,Anarki,Samira,Yumz,Malphite,I Simp for Love,Karthus,Njrate,Irelia,Juli Baker,Jinx,saiphershot,Sona,Jevla
5471460409,lose,Ranked Solo,2021-09-22 07:31:02,31m 28s,9,10,5,1.40:1,empty,empty,Lucian,Grandmaster,empty,Jax,Harrison Wells,Ekko,rust enjoyer,Irelia,Serendrip,Lucian,bob kong,Nami,Knight Raviolo,Kennen,Kakan,Talon,Maxlore,Ryze,2Cups,Aphelios,Undercover SlotH,Thresh,LEBOUCHERRRRRRR
5469750623,lose,Ranked Solo,2021-09-21 04:50:03,34m 3s,6,12,5,0.92:1,Double Kill,empty,Aphelios,Grandmaster,empty,Aatrox,Kiooo,Talon,Loumuis,Ahri,Jonah Falcon,Aphelios,bob kong,Bard,sixsixsi666,Gangplank,Venour,Ekko,sheø,Galio,knight9źź,Yasuo,PAMELA DINDON,Rell,FGG
5469571468,lose,Ranked Solo,2021-09-21 02:47:52,27m 6s,6,6,6,2.00:1,empty,empty,Veigar,Grandmaster,empty,Ekko,iLL F13RC3 ,Graves,Albetrayber,Riven,SK Alois,Soraka,Qnoxs,Bard,LiL TommyG,Kayn,tiltproof acc XD,Talon,Loumuis,Katarina,Kekseres,Veigar,bob kong,Pyke,livelyfish5
5469119805,win,Ranked Solo,2021-09-20 20:29:55,24m 41s,9,4,4,3.25:1,Double Kill,empty,Ziggs,Grandmaster,empty,Renekton,JBL ABUSER,Nidalee,tempfgyadyyojsay,Irelia,phlaty,Seraphine,nrmn,Amumu,UOL Doedalo,Gwen,Gaëthan1,Rammus,BR Lord Semi,Qiyana,TwTv Ag0nyPain,Ziggs,bob kong,Sona,Shubber
5469067264,win,Ranked Solo,2021-09-20 19:47:06,34m 53s,7,9,6,1.44:1,empty,empty,Vayne,Grandmaster,empty,Irelia,SK Alois,Lee Sin,Sunflοwer,Lissandra,RGE Larssεn,Ziggs,BlauBarschBube,Karma,High Øn Life,Warwick,Tokz,Graves,magic jg4165432,LeBlanc,Ñext Doinb,Vayne,bob kong,Rell,Nash2
5439948348,win,Ranked Solo,2021-09-01 02:47:46,31m 44s,16,7,10,3.71:1,Quadra Kill,MVP,Lucian,Grandmaster,empty,Camille,Finn1,Lee Sin,bluerzor,Sylas,QKI1,Lucian,bob kong,Yuumi,SirNukesAlott,Irelia,Venour,Nidalee,better bot win1,Zoe,BOXDEL NAURA,Ezreal,Koupfonga,Bard,LiL TommyG
5439931158,lose,Ranked Solo,2021-09-01 01:56:07,32m 50s,9,7,8,2.43:1,Triple Kill,ACE,Vayne,Grandmaster,empty,Aatrox,TwTv Naayil ,Evelynn,serin1,Corki,BOXDEL NAURA,Ezreal,LDLC Eika,Pyke,Dimil Q,Jayce,Sebi Kurz,Xin Zhao,ReX Thayger,Galio,refocus mental,Vayne,bob kong,Alistar,Not Hμman
5439166751,lose,ARAM,2021-08-31 10:28:20,24m 40s,13,8,24,4.63:1,Double Kill,empty,Karma,empty,empty,Maokai,Ferοcity,Cassiopeia,xKrypton,Miss Fortune,Dark Fus10n,Lillia,rotoloneregina95,Ashe,Hollowize,Nidalee,go back to monke,Karma,bob kong,Sivir,Tytö,Twisted Fate,Lestblack,Fiora,Ronces
5439224602,win,ARAM,2021-08-31 09:59:28,17m 51s,25,11,13,3.45:1,Triple Kill,empty,Ekko,empty,empty,Yuumi,go back to monke,Lillia,fivę,Ekko,bob kong,Sett,Milho da Madeira,Poppy,Lestblack,Sivir,Cannibalcupcakes,Gragas,PoisonMemorie,LeBlanc,6th Eau4G,Kayle,Predator946,Skarner,Alexxx2222
5439164277,lose,ARAM,2021-08-31 09:36:31,16m 51s,13,12,16,2.42:1,Triple Kill,empty,Renekton,empty,empty,Shen,Induce Incentive,Fiddlesticks,Miniduck,Wukong,Inspetor,Brand,AlbDaChamp,Kog'Maw,HeyItsTiger,Fizz,go back to monke,Renekton,bob kong,Senna,jasontodd1,Kassadin,Lestblack,Dr. Mundo,Ventø Aureø
5439201643,lose,ARAM,2021-08-31 09:15:52,23m 42s,18,13,25,3.31:1,Double Kill,empty,LeBlanc,empty,empty,Ziggs,Kayko,Gnar,Coltor,Wukong,Rhanno,Ezreal,WalderFrosch,Alistar,Machuca,Ahri,go back to monke,LeBlanc,bob kong,Zed,jasontodd1,Xayah,Lestblack,Ryze,Linus Han
