gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490501615,lose,Ranked Solo,2021-10-04 08:38:46,15m 40s,3,3,0,1.00:1,empty,empty,Kennen,Grandmaster,empty,Anivia,Chamana1,Jarvan IV,Fαllεn,Graves,Stargazer7,Lucian,EDG Innaxe,Taric,soloqwarrior1,Sylas,agdang,Lee Sin,Temporal Warden,Kennen,bobber kong,Miss Fortune,Please try hard,Lulu,WiIIyrex Fanboy
5490429281,win,Ranked Solo,2021-10-04 08:13:48,15m 59s,7,3,7,4.67:1,MVP,empty,Taliyah,Master,empty,Yone,BabaGandalf,Lee Sin,BIood drippin,Twisted Fate,Zhìì,Lucian,Gosberg17,Nami,2021Worlds0173,Jax,Kimchi warrior1,Taliyah,bobber kong,Akshan,ION Marrow Ooze,Tristana,mol4at doma,Pantheon,Devid
5490396536,lose,Ranked Solo,2021-10-04 07:44:35,21m 16s,2,7,3,0.71:1,empty,empty,Qiyana,Grandmaster,empty,Darius,ˇ sao,Talon,Raiden Shogun C2,Twisted Fate,Mr Tickle,Kai'Sa,VER Yusa,Amumu,euw tourist,Jax,5454545454,Qiyana,bobber kong,Kassadin,styropianzserem,Ezreal,lucker3,Nami,schifosoemerdoso
5490278890,lose,Ranked Solo,2021-10-04 06:37:09,23m 32s,2,5,2,0.80:1,empty,empty,Qiyana,Grandmaster,empty,Kayn,tiltproof acc XD,Nidalee,HRN Joinze,Katarina,TwTv Ronges1,Xayah,LDLC Gumayusi,Rakan,UOL Doedalo,Aatrox,JBL ABUSER,Qiyana,bobber kong,Kassadin,Chamana1,Kalista,WTX Scripter,Rell,TESLA OPTIMUS
5490219941,lose,Ranked Solo,2021-10-04 05:50:41,26m 47s,13,9,8,2.33:1,empty,empty,Taliyah,Grandmaster,empty,Yasuo,L9 SUSSY BAKA,Ekko,OnerKING,Ryze,Chφvy,Lucian,Cutepatootie,Yuumi,Roulette,Jarvan IV,PatkicaA,Taliyah,bobber kong,Yone,noobYas,Ezreal,UnstoppableForce,Nami,marlοn
5490155329,win,Ranked Solo,2021-10-04 05:16:08,28m 10s,17,7,12,4.14:1,Triple Kill,empty,Taliyah,Grandmaster,empty,Jax,7zx,Taliyah,bobber kong,Yone,ssimpli,Caitlyn,Andolos,Bard,F P Journe,Sett,Gabbo,Evelynn,Undercover CraB,Irelia,ég jojopyun,Lucian,laozitianye,Yuumi,Rückendeckung
5489320483,win,Ranked Solo,2021-10-03 23:40:29,21m 50s,5,2,9,7.00:1,empty,empty,Qiyana,Grandmaster,empty,Jax,clickmaster,Xin Zhao,ismaaa,LeBlanc,Chemera,Tristana,TwTv Reptile9LoL,Leona,Advienne,Fiora,Szygenda,Qiyana,bobber kong,Syndra,maybe f keys ,Ezreal,Secret Weapοn,Rell,livelyfish5
5489242023,win,Ranked Solo,2021-10-03 23:06:34,32m 44s,17,6,12,4.83:1,Double Kill,MVP,Qiyana,Grandmaster,empty,Sett,GO beansu,Qiyana,bobber kong,LeBlanc,Chemera,Aphelios,Guuuubs,Braum,fastFF,Jayce,dofaminu,Jarvan IV,Gilius1,Malzahar,SL0WDEATH,Draven,DIGESTHUMANFLESH,Soraka,High Øn Life
5488576222,lose,Ranked Solo,2021-10-03 08:00:20,19m 50s,7,6,2,1.50:1,Double Kill,ACE,Qiyana,Grandmaster,empty,Gnar,Zergsting,Qiyana,bobber kong,Sylas,Tu po zi wo,Miss Fortune,Achuu,Amumu,KwK AlVaRo710,Aatrox,Gabbo,Rammus,BR Lord Semi,Zed,Po Gap,Seraphine,NF Change,Karthus,LIMIT12345
5488485053,win,Ranked Solo,2021-10-03 07:34:08,26m 23s,8,8,9,2.13:1,empty,empty,Taliyah,Grandmaster,empty,Tahm Kench,Gabbo,Rammus,BR Lord Semi,Yone,Aurora time,Ezreal,Achuu,Karthus,LIMIT12345,Riven,tetris guden,Taliyah,bobber kong,Malphite,Chemera,Lucian,motus vetiti,Nami,Rückendeckung
5488320891,lose,Ranked Solo,2021-10-03 04:55:35,17m 25s,3,7,5,1.14:1,empty,empty,Zed,Grandmaster,empty,Volibear,SMB NuQ,Taliyah,Aurora time,Malphite,GODZILLA66666666,Yasuo,Tοαst,Rakan,UOL Doedalo,Poppy,Poppuszka,Zed,bobber kong,Malzahar,SL0WDEATH,Lucian,G 2 3 H 1 Z U ,Thresh,Damgos
5487924704,win,Ranked Solo,2021-10-03 00:50:14,27m 39s,11,5,13,4.80:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Pantheon,JingleDingle,Fiddlesticks,I Got This,Sylas,phlaty,Lucian,Kobbe,Lulu,PST Ver2Ter,Urgot,NieUfamCiJezu12,Lee Sin,bobber kong,Diana,Kamus,Miss Fortune,the super noob,Bard,soloqwarrior1
5487910719,win,Ranked Solo,2021-10-03 00:16:10,25m 7s,16,2,8,12.00:1,Double Kill,empty,Taliyah,Grandmaster,empty,Graves,scarface xyz,Hecarim,for her sake,Tryndamere,2021WorldsOp3N,Karthus,twtchtvELOSANTA,Nami,Qnoxs,Yone,Dzukill,Taliyah,bobber kong,Sylas,maybe f keys ,Miss Fortune,Beanovich,Alistar,Efias
5487795153,win,Ranked Solo,2021-10-02 23:35:28,26m 20s,20,6,5,4.17:1,Triple Kill,MVP,Qiyana,Grandmaster,empty,Aatrox,Zuhaîb,Zac,BR Lord Semi,Yasuo,ég jojopyun,Syndra,Blodreinaaaaa,Soraka,ADCImpregnator,Kayle,styropianzserem,Qiyana,bobber kong,Karma,2021Worlds0044,Draven,Cigar in mauf,Nami,UPCOMING SUPPORT
5487213385,lose,Ranked Solo,2021-10-02 08:41:58,28m 23s,5,5,7,2.40:1,empty,empty,Lee Sin,Grandmaster,empty,Aatrox,wakeuptoreaIity,Nidalee,khanzir slayer,Irelia,ég jojopyun,Miss Fortune,Beanovich,Bard,Annie IRL,Fiora,Xhen Doo,Lee Sin,bobber kong,Annie,Raiden Shogun C2,Tristana,TheLegendOfMagic,Taric,WiIIyrex Fanboy
