gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490289473,lose,Ranked Solo,2021-10-04 06:40:04,18m 59s,3,10,0,0.30:1,empty,empty,Twisted Fate,Grandmaster,empty,Volibear,KURU DUT,Rengar,Hish,Sylas,ég jojopyun,Kalista,HoIyPhoenîx,Thresh,Advienne,Camille,NOX Scythe,Graves,Gilius2,Twisted Fate,Jonah Falcon,Kai'Sa,Kaor1,Rell,Nash1
5488513079,lose,Ranked Solo,2021-10-03 07:13:45,16m 2s,1,5,1,0.40:1,empty,empty,Tryndamere,Grandmaster,empty,Sett,VGIA 113,Graves,357159,Tryndamere,Jonah Falcon,Miss Fortune,the super noob,Leona,W0jti,Fiora,SołdSoulForLp,Evelynn,SL0WDEATH,Sylas,ég jojopyun,Lucian,laozitianye,Nami,NanamiHakuya
5487832721,win,Ranked Solo,2021-10-02 23:27:27,27m 3s,6,2,8,7.00:1,Double Kill,empty,Nasus,Grandmaster,empty,Darius,WAO RANK 1 ,Ekko,HRN Joinze,Nasus,Jonah Falcon,Lucian,SPOLFCEI,Nami,soloqwarrior1,Aatrox,TwTv Naayil ,Diana,for her sake,Yasuo,Tοαst,Soraka,i dream lucid,Gragas,Obstinatus
5486862212,win,Ranked Solo,2021-10-02 05:32:42,44m 21s,7,9,16,2.56:1,empty,empty,LeBlanc,Grandmaster,empty,Camille,RXBXCXP,Viego,Ütani Gran Hur,Seraphine,UOL Doedalo,Ahri,Tsiperakos,Amumu,BenBenaset,Jax,XLeQu,Qiyana,Kirei sama,LeBlanc,Jonah Falcon,Ziggs,II Anyone,Pyke,TESLA OPTIMUS
5486606312,lose,Ranked Solo,2021-10-02 04:39:28,27m 29s,1,9,5,0.67:1,empty,empty,LeBlanc,Grandmaster,empty,Fiora,TSIPER,Hecarim,Doaenel Hecarim,LeBlanc,Jonah Falcon,Lucian,SAUCE WALKA,Janna,HAHHAHAHAHAXXDDD,Gwen,hοt girl bummer,Poppy,bobber kong,Sylas,slowq9zb,Miss Fortune,Mytnat,Sett,its all a joke
5485990023,lose,Ranked Solo,2021-10-01 22:39:42,15m 55s,1,4,2,0.75:1,empty,empty,Yone,Challenger,empty,Nasus,GODZILLA66666666,Graves,Aítana Øcaña,Vayne,00N Kerberos,Miss Fortune,matiaslaclasse,Amumu,soloqwarrior1,Aatrox,GO beansu,Jarvan IV,Kikis,Yone,Jonah Falcon,Draven,Kite Machine,Nautilus,αfm
5485525464,win,Ranked Solo,2021-10-01 08:15:51,20m 22s,8,3,7,5.00:1,Double Kill,empty,Sylas,Grandmaster,empty,Kayle,masked gamer XD,Xin Zhao,asdfghjklqwe,Sylas,Jonah Falcon,Jhin,yzxcv,Galio,Chamana1,Poppy,Poppuszka,Viego,Baby Tarz1,Ryze,My All For Her,Draven,quack1,Amumu,PIYCRIGY
5485532107,win,Ranked Solo,2021-10-01 07:46:03,25m 18s,11,5,10,4.20:1,Triple Kill,empty,Vex,Master,empty,Irelia,My All For Her,Evelynn,Baby Tarz1,Yone,Paul227,Lucian,CREØN,Nami,blonde mina,Sett,Devid,Fiddlesticks,EUW VILLAIN,Vex,Jonah Falcon,Karthus,twtchtvELOSANTA,Pantheon,PQPAANLS
5485456157,win,Ranked Solo,2021-10-01 06:52:00,18m 47s,4,2,3,3.50:1,MVP,empty,LeBlanc,Grandmaster,empty,Yone,huge performanz ,Ekko,2021Worlds0000,Kennen,me like solobolo,Caitlyn,GOOßA,Rakan,dayikooooo,Malphite, hege int acc1,Zed,chovy jg acc,LeBlanc,Jonah Falcon,Draven,Kaττen,Janna,marlοn
5485451225,lose,Ranked Solo,2021-10-01 06:23:14,24m 51s,0,8,2,0.25:1,empty,empty,Jayce,Grandmaster,empty,Jayce,Jonah Falcon,Zed,sheo test acc,Malzahar,dayikooooo,Lucian,BlauBarschBube,Rakan,lolNash,Aatrox,chance no exist,Lee Sin,FNC Nisqybaba,Katarina,twtv NyroLoL,Soraka,Namex,Yuumi,Rückendeckung
