gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490431241,win,Ranked Solo,2021-10-04 07:23:59,36m 2s,1,7,30,4.43:1,empty,empty,Nami,Grandmaster,empty,Camille,Xiaobylenz,Kha'Zix,LMAO OmulFinn,Syndra,Gilius2,Lucian,EDG Innaxe,Nami,livelyfish5,Sett,for her sake,Taliyah,asdfghjklqwe,Graves,Chamana1,Aphelios,David Nutt3r,Nautilus,Rückendeckung
5490326682,win,Ranked Solo,2021-10-04 06:37:20,30m 43s,4,3,19,7.67:1,Double Kill,empty,Lux,Grandmaster,empty,Gwen,Crowno,Sejuani,C9 Blaberfish2,Tryndamere,Tu po zi wo,Lucian,David Nutt3r,Nami,CG Nio,Volibear,SMB NuQ,Kha'Zix,Tanu,Kassadin,styropianzserem,Jhin,Beanovich,Lux,livelyfish5
5490271694,lose,Ranked Solo,2021-10-04 05:55:46,27m 43s,1,8,12,1.63:1,empty,empty,Leona,Grandmaster,empty,Pantheon,Wufo,Jarvan IV,for her sake,Sylas,TheRoyalKanin,Tristana,SAUCE WALKA,Zyra,NanamiHakuya,Kayn,tiltproof acc XD,Nidalee,C9 Blaberfish2,Zed,TwTv iljimaeLoL,Miss Fortune,LDLC Gumayusi,Leona,livelyfish5
5490194426,lose,Ranked Solo,2021-10-04 05:09:07,19m 40s,1,4,10,2.75:1,empty,empty,Nami,Grandmaster,empty,Aatrox,for her sake,Lee Sin,asdfghjklqwe,Malphite,GODZILLA66666666,Vayne,WTX Scripter,Karma,Xenis,Renekton,suh dude xD,Jarvan IV,J3kko,Sylas,C9 Blaberfish2,Lucian,Cutepatootie,Nami,livelyfish5
5489320483,win,Ranked Solo,2021-10-03 23:40:29,21m 50s,2,2,14,8.00:1,empty,empty,Rell,Grandmaster,empty,Jax,clickmaster,Xin Zhao,ismaaa,LeBlanc,Chemera,Tristana,TwTv Reptile9LoL,Leona,Advienne,Fiora,Szygenda,Qiyana,bobber kong,Syndra,maybe f keys ,Ezreal,Secret Weapοn,Rell,livelyfish5
5489292968,lose,Ranked Solo,2021-10-03 23:05:55,15m 16s,1,4,4,1.25:1,empty,empty,Soraka,Grandmaster,empty,Irelia,SMB NuQ,Graves,khanzir slayer,Taliyah,Odysseus131,Varus,Iose my mind,Amumu,soloqwarrior1,Tryndamere,Khoyev,Lee Sin,easymoneysniper1,Sylas,Oggman,Seraphine,UOL Doedalo,Soraka,livelyfish5
5487971309,win,Ranked Solo,2021-10-03 00:32:19,24m 37s,10,5,9,3.80:1,Triple Kill,empty,Pantheon,Grandmaster,empty,Tahm Kench,Retnyam,Hecarim,Doaenel Hecarim,Pantheon,livelyfish5,Xayah,Namex,Rakan,PARUS 2,Kennen,Maître Splinter,Talon,Loumuis,Sylas,xKenzuke1,Lucian,Emtest,Nami,whiteinn
5487843797,win,Ranked Solo,2021-10-02 23:37:07,27m 36s,0,4,17,4.25:1,empty,empty,Seraphine,Grandmaster,empty,Graves,Gilius1,Zed,ImJony,Ryze,maybe f keys ,Jinx,Beanovich,Thresh,TESLA OPTIMUS,Poppy,squan,Talon,WO DIUUUUUUUUU,Taliyah,Odysseus131,Miss Fortune,11Lunari Weapons,Seraphine,livelyfish5
5484690894,lose,ARAM,2021-09-30 19:56:22,17m 12s,8,11,17,2.27:1,empty,empty,Zed,empty,empty,Zed,livelyfish5,Volibear,Fatal Flashback,Elise,CC Barabend,Lillia,vini80,Sivir,Lexter,Senna,Joduska,Sona,T3akami,Gangplank,SchIingel 99,Diana,ninjaouf,LeBlanc,ForgottenMaster
5484363960,win,ARAM,2021-09-30 09:04:02,24m 3s,18,8,24,5.25:1,Triple Kill,empty,Sivir,empty,empty,Sivir,livelyfish5,Miss Fortune,TBR Zoru,Kled,irxplaceable,Nautilus,TaTanKaSTyLe,Janna,Frmat,Syndra,SimpelHD,Ornn,two letter text,Darius,Yemu,Lucian,Zeyu,LeBlanc,Ravha
