gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490511921,win,Ranked Solo,2021-10-04 08:56:39,24m 33s,6,3,5,3.67:1,empty,empty,Ryze,Master,empty,Kennen,Nuevo Chimbote,Rek'Sai,A Seal,Tryndamere,OMG ITS BOKU,Lucian,Λrthur,Nami,LanPeiFang,Darius,AngryBros,Lee Sin,taetsu,Ryze,cirodalA,Ezreal,Sambrotta,Zyra, Rampant Growth
5490429901,lose,Ranked Solo,2021-10-04 08:26:54,20m 19s,1,3,3,1.33:1,empty,empty,Twisted Fate,Master,empty,Aatrox,Nuevo Chimbote,Kha'Zix,buff my role,Twisted Fate,cirodalA,Lucian,kinda hate it,Thresh,Spaceberry,Zed,Hrafnagud,Ekko,eva002,Graves,Restless Warrior,Samira,Wakeside,Nami,whatafaaaail
5490406645,lose,Ranked Solo,2021-10-04 07:40:28,18m 3s,3,3,1,1.33:1,empty,empty,Ryze,Master,empty,Riven,      Its Me Jr ,Kha'Zix,CrimzOnSlayer,LeBlanc,HylanDaddy,Jhin,Nafilan,Yuumi,LoLxD ich Kenne,Gnar,MHtotal,Graves,eva002,Ryze,cirodalA,Jinx,Fake Yolotelis,Lulu,TBR Sora
5490353658,lose,Ranked Solo,2021-10-04 07:16:11,31m 37s,1,6,16,2.83:1,empty,empty,Leona,Master,empty,Camille,Emiw,Kayn,Jgissoeasy,Galio,Chrego,Miss Fortune,Hiyeh,Alistar,unzebeel2,Gnar,MHtotal,Talon,POWLERTALON,Fizz,backflip on adc,Kai'Sa,pretty thoughts1,Leona,cirodalA
5490326001,lose,Ranked Solo,2021-10-04 06:32:55,30m 51s,3,4,9,3.00:1,ACE,empty,Amumu,Diamond 1,empty,Garen,Myw the king,Zed,Refreshed,Irelia,zj1099,Karthus,Redneck Randall,Amumu,cirodalA,Sett,escape together,Talon,asdgfdjui,Orianna,T0XEC,Miss Fortune,League Enjoyer 1,Zilean,PXC Shunrim
5489166188,lose,Ranked Solo,2021-10-03 22:22:26,23m 41s,1,2,1,1.00:1,empty,empty,Irelia,Master,empty,Jayce,Magneficents,Talon,LEO BRICHTA,Irelia,cirodalA,Karthus,The egion,Soraka,TBR Sora,Graves,Wheel Skeleton,Nunu & Willump,Emoyy,Corki,WOL Justas,Twitch,Maikeu,Lulu,Kandoomagic
5489059717,lose,Ranked Solo,2021-10-03 21:47:01,34m 49s,1,7,21,3.14:1,empty,empty,Karma,Master,empty,Jayce,demotion,Talon,some new tools ,Twisted Fate,LGBTQJPGMD,Draven,Maikeu,Amumu,CleverClive,Aatrox,KuonOuO,Graves,knv2,Azir,XDXDXDXDDDDDDDXD,Jhin,Matthew Mzizi,Karma,cirodalA
5488560072,win,Ranked Solo,2021-10-03 08:27:23,22m 21s,0,1,14,14.00:1,empty,empty,Yuumi,Master,empty,Aatrox,Vergnügen ,Zed,duck1nf hatw you,Zoe,Sarnonne,Ezreal,DM Fandar,Yuumi,cirodalA,Darius,Isombard,Viego,GG Gaboesh,Malphite,João Campello,Twitch,ashryver3,Lulu,im cursed 999
5488488373,lose,Ranked Solo,2021-10-03 07:57:04,22m 32s,6,4,5,2.75:1,Double Kill,ACE,Pyke,Master,empty,Sett,eau de jouvence,Ekko,brhoch wa3r,Yone,Wayzen reborn,Miss Fortune,9 19 Night,Pyke,cirodalA,Riven, Terrºr,Nunu & Willump,Mrentorox,Vladimir,BornThisWay7,Ezreal,2021Worlds0150,Karma,training acc 1
5488439777,win,Ranked Solo,2021-10-03 07:11:23,31m 11s,2,2,23,12.50:1,empty,empty,Karma,Master,empty,Gwen,qlln,Zed,LngLng,Tryndamere,Erilarion,Miss Fortune,Nafilan,Zilean,Lifelike,Poppy,FPG Yama,Lee Sin,1v9wheneveriwąnt,Nunu & Willump,Yeti Prodigy,Jhin,AST Kadaver,Karma,cirodalA
