gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490378248,lose,Ranked Solo,2021-10-04 08:05:11,31m 13s,12,6,9,3.50:1,Double Kill,ACE,Lee Sin,Diamond 1,empty,Jax,vitun help,Ekko,Baldzer,Qiyana,Blenders MOTHA F,Tristana,MD ACIDOSS,Brand,Fiven,Shen,WeaksidePlayer1,Lee Sin,ThorfinKarlsefni,Sylas,Ketuzo,Lucian,Comp Trainee,Janna,UNTIL I WIN 
5489076031,lose,Ranked Solo,2021-10-03 21:15:54,23m 33s,2,4,3,1.25:1,empty,empty,Ekko,Diamond 1,empty,Yone,SPAM PING XD,Rengar,were poetry,Galio,BlackSpeck,Ezreal,Eagleforu,Soraka,tytanic,Fiora,nugurii wannabe,Ekko,ThorfinKarlsefni,Diana,Moongirl Main,Jhin,Industrious,Senna,Winners queue xD
5489005259,lose,Ranked Solo,2021-10-03 20:44:45,18m 27s,3,4,2,1.25:1,empty,empty,Lillia,Master,empty,Fiora,nugurii wannabe,Udyr,PickFast,Sylas,Swarms,Jhin,Fabi0o on Jhin,Karma,Franchment,Darius,Loosen Up,Lillia,ThorfinKarlsefni,Vex,midali,Miss Fortune,Eagleforu,Amumu,GGnoSenna
5488940429,lose,Ranked Solo,2021-10-03 20:21:47,26m 18s,4,4,7,2.75:1,Double Kill,empty,Nidalee,Master,empty,Fiora,eyes on me,Nidalee,ThorfinKarlsefni,Vex,ass consumer,Vayne,Gosssu1,Pyke,magifaker mental,Yone,DUMPIXOTA,Kayn,R4M3,Kayle,BaybayPandaToyz,Lucian,no1 on1,Nami,cute smart kind
5487666490,lose,Ranked Solo,2021-10-02 21:33:37,32m 53s,8,4,14,5.50:1,Double Kill,empty,Taliyah,Master,empty,Jarvan IV,Restless Warrior,Taliyah,ThorfinKarlsefni,Neeko,ThePoodleHorse,Ezreal,harpf,Yuumi,Luukk,Irelia,Mahfaeraak,Gragas,Thorden,Yone,Legendary Syker,Lucian,Hut ab vor dir,Braum,Minjang
5487585002,lose,Ranked Solo,2021-10-02 20:51:56,20m 14s,4,5,0,0.80:1,empty,empty,Talon,Master,empty,Darius,Axo Bad Boy,Graves,KENNETGOD99,LeBlanc,wall replacer,Miss Fortune,SiIent,Rakan,Wouzzunks,Wukong,Akusti,Talon,ThorfinKarlsefni,Lux,Erring,Jinx,uMxM01,Nautilus,kiva peli
5487166035,lose,Ranked Solo,2021-10-02 07:51:51,30m 11s,2,8,8,1.25:1,empty,empty,Talon,Master,empty,Riven,FakboiMrHolst,Rek'Sai,Happy ultimately,Aurelion Sol,WatchR,Jhin,SoldGranniForRP,Sona,Ektoz,Akshan,Veecto,Talon,ThorfinKarlsefni,Sylas,cirodalA,Lucian,TIAGO PZK,Nami,IlIIllIIIlllIIlI
5487083252,win,Ranked Solo,2021-10-02 07:11:21,22m 36s,16,1,6,22.00:1,Double Kill,MVP,Taliyah,Master,empty,Urgot,UrgoIncognito,Jarvan IV,VIP JonnyREcco,Akali,FTE Arveryen,Kai'Sa,NXK EVIL,Anivia,adc pls good,Tryndamere,Elusion,Taliyah,ThorfinKarlsefni,Qiyana,azazéI,Aphelios,Ex3m DEFCON ONE,Nami,gleaming hope
5485876885,win,URF,2021-10-01 20:10:48,14m 3s,16,6,9,4.17:1,Double Kill,empty,Lucian,empty,empty,Lucian,ThorfinKarlsefni,Master Yi,DANK SUPP0RT,Thresh,Terroriser22,Blitzcrank,AbelPicorrio,Orianna,Pontaslight,Illaoi,ZehnVonMehmet,Pantheon,Bruh Momentz,Warwick,ShadøwZz,Malzahar,rocka55,Shyvana,Helindy
5485409023,win,Ranked Solo,2021-10-01 06:08:34,16m 7s,5,2,5,5.00:1,Double Kill,empty,Lee Sin,Master,empty,Dr. Mundo,NicoloScar,Rumble,4T4K4N,Kassadin,IIKassaxII,Kalista,reform,Malphite,CenterC,Jayce,Madly1,Lee Sin,ThorfinKarlsefni,Orianna,AbbottnC,Lucian,2021Worlds0150,Braum,OBLIVION REVENGE
