gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
484485125,lose,Ranked Solo,2021-09-24 15:31:13,20m 54s,2,1,2,4.00:1,empty,empty,LeBlanc,Grandmaster,empty,Vex,sb MachiMachi,Kayn,Terrath,LeBlanc,Magikeren,Varus,fun,Rakan,lockdown corejj,Jayce,5358123,Nidalee,Xiao Chao Meng,Tristana,Fighto,Lucian,voltorb flip,Braum,KaiM8
484500298,lose,Ranked Solo,2021-09-24 13:37:48,18m 52s,2,7,1,0.43:1,empty,empty,Zoe,Grandmaster,empty,Tryndamere,Goky,Kayn,Courageous Pabu,Galio,Mikru,Samira,anfone,Rakan,1MightyBullDog3,Jayce,5358123,Lee Sin,double dosed,Zoe,Magikeren,Lucian,Nashor,Braum,lockdown corejj
484459346,lose,Ranked Solo,2021-09-24 13:04:16,15m 22s,1,4,0,0.25:1,empty,empty,Yasuo,Grandmaster,empty,Riven,Luq1,Lee Sin,double dosed,Katarina,Sawanjo,Tristana,anfone,Trundle,Shinkii,Jax,SephJo,Lillia,Courageous Pabu,Yasuo,Magikeren,Kai'Sa,Nashor,Rakan,1MightyBullDog3
484448440,win,Ranked Solo,2021-09-24 12:37:09,19m 21s,9,3,5,4.67:1,MVP,empty,Cassiopeia,Master,empty,Akshan,Patient,Kayn,Karyu,Cassiopeia,Magikeren,Ezreal,Nashor,Yuumi,Barbie doII,Mordekaiser,AG ChaoHuiWan ml,Xin Zhao,Terrath,Yasuo,Board,Lucian,love ad,Amumu,PCE Aladoric
484444512,win,Ranked Solo,2021-09-24 10:39:56,38m 9s,5,9,7,1.33:1,empty,empty,Jayce,Master,empty,Jayce,Magikeren,Lee Sin,Porven,Tryndamere,Patient,Ziggs,coinflipperr ,Sona,Gusanator,Gragas,Spárky,Nidalee,double dosed,Zed,Hindered Raven,Kai'Sa,fighting,Amumu,Coach Charlie
484210601,lose,Ranked Solo,2021-09-22 15:51:21,32m 33s,10,11,4,1.27:1,Double Kill,ACE,Ryze,Master,empty,Riven,twitch CLAIREOCE,Poppy,Terrath,Ryze,Magikeren,Miss Fortune,Douyu 7752890,Amumu,Brazza,Fiora,wo shi nao can ,Zac,Sybol,Zoe,Fighto,Twitch,chanixi,Pyke,LimeHeart
484129541,lose,Ranked Solo,2021-09-22 15:10:03,25m 14s,4,5,7,2.20:1,empty,empty,Camille,Grandmaster,empty,Aatrox,Thumbs up Rammus,Lillia,Terrath,Ryze,twitch CLAIREOCE,Lucian,love ad,Xerath,Rueski,Cho'Gath,Påncham,Jarvan IV,ØvØ,Camille,Magikeren,Karthus,twtv chungylol,Rakan,tomasino
484128731,lose,Ranked Solo,2021-09-22 14:22:15,3m 16s,1,0,0,Perfect,empty,empty,Sylas,Grandmaster,empty,Lee Sin,double dosed,Irelia,Sakurã,Tristana,Fighto,Ziggs,NafIa,Sylas,Magikeren,Lillia,xin xin zi,Nocturne,doII,Syndra,twitch CLAIREOCE,Ezreal,067 rail me,Amumu,KaiM8
484116860,lose,Ranked Solo,2021-09-22 13:52:59,31m 12s,1,7,19,2.86:1,empty,empty,Leona,Grandmaster,empty,Wukong,Påncham,Lee Sin,GO PCE GO ,Ryze,Fighto,Ezreal,KimJun,Leona,Magikeren,Fiora,Lived,Ekko,rich from erc20,Syndra,Hindered Raven,Kai'Sa,067 rail me,Rakan,1MightyBullDog3
484116068,lose,Ranked Solo,2021-09-22 13:16:54,22m 55s,3,12,4,0.58:1,empty,empty,Jayce,Master,empty,Cho'Gath,Påncham,Sejuani,glxy,Jayce,Magikeren,Kai'Sa,Nashor,Maokai,Brazza,Darius,Douyu 7752890,Lee Sin,double dosed,Yone,Gun Devil,Vayne,love ad,Zyra,Furyhorn
