gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490205227,lose,Ranked Solo,2021-10-04 05:15:54,21m 55s,2,5,1,0.60:1,empty,empty,Cho'Gath,Master,empty,Cho'Gath,rdmt,Karthus,First chapter,Zed,Me mid me Quiet,Aphelios,Emperor Boey,Yuumi,ı hate u all,Garen,Suce Ton Cul,Gwen,the mark of hell,Qiyana,Skyyart Shoes ,Lucian,Hêry Potter ,Thresh,Genius Here
5490087594,lose,Ranked Solo,2021-10-04 04:36:58,27m 25s,3,7,5,1.14:1,empty,empty,Irelia,Master,empty,Malphite,Super Troll King,Ivern,Hooded Menace,Irelia,rdmt,Sivir,Kyung57,Taliyah,734444,Jax,Nuevo Chimbote,Lee Sin,JG1409,Anivia,Potsdam uni,Ziggs,MakarnaSalatası,Pyke,2 1
5489957527,lose,Ranked Solo,2021-10-04 03:37:12,26m 32s,7,8,4,1.38:1,Double Kill,ACE,Irelia,Master,empty,Camille,wqecxzsa,Viego,Rekt by my cat,Irelia,rdmt,Ziggs,Knówingly Úp,Blitzcrank,dont be otp pls,Wukong,PSH Poweh,Rengar,LEGALLY INSANE,Lissandra,Slaykerz,Lucian,Eagleforu,Nami,CrimzOnSlayer
5489147372,win,Ranked Solo,2021-10-03 22:29:44,23m 56s,1,2,6,3.50:1,empty,empty,Galio,Master,empty,Camille,VıNINE Shelfmade,Nidalee,BACHA JEDE GANG,Galio,rdmt,Vayne,Sha Royalty,Amumu,Clebard humide,Renekton,Z15,Viego,Ceristimo,Yone,Kneel,Ezreal,Frog Curry,Bard,Bondo Petit
5489133289,lose,Ranked Solo,2021-10-03 22:00:03,24m 52s,9,11,2,1.00:1,ACE,empty,Irelia,Master,empty,Heimerdinger,dongr,Trundle,Areels2,Katarina,رجل,Lucian,Xandru,Nami,Lyrokun,Irelia,rdmt,Jax,IKAPOC,Lissandra,Hi im Ahri,Caitlyn,Xelar1,Morgana,Khadroma Seren
5489110521,lose,Ranked Solo,2021-10-03 21:29:10,20m 57s,5,7,1,0.86:1,empty,empty,Camille,Diamond 1,empty,Camille,rdmt,Zac,Shunder,Twisted Fate,Neeko spit on me,Lucian,Nilsog,Karma,Baits,Darius,Ruined Kîng,Graves,Dududungaaaaaa,Malzahar,UnknøwnTrickster,Jhin,Muffieee,Amumu,RR D1
5489017360,win,Ranked Solo,2021-10-03 21:02:11,17m 49s,3,4,1,1.00:1,empty,empty,Irelia,Master,empty,Poppy,SynapseSprinter,Hecarim,my ascendance,Azir,is a sin,Ezreal,Nilsog,Lulu,Roperss,Irelia,rdmt,Talon,x9 tsounis,Diana,71357987,Jinx,οnο,Thresh,Baits
5489052721,win,Ranked Solo,2021-10-03 20:37:42,20m 11s,9,1,1,10.00:1,Double Kill,MVP,Irelia,Master,empty,Riven,Super Troll King,Zac,Lithuanic,Lissandra,Myrmidon v1,Jhin,PD Xirionto,Tahm Kench,WeS Matinger,Irelia,rdmt,Gragas,WF Malaluck,Malzahar,Valton,Ezreal,MUC DomePB,Nami,UwU TrashThresh
5488969415,lose,Ranked Solo,2021-10-03 20:10:51,20m 25s,2,4,1,0.75:1,empty,empty,Cho'Gath,Master,empty,Cho'Gath,rdmt,Lee Sin,SQCRISTIAAN,Akshan,Yor Forger,Pyke,30yo Minion,Taric,seuds5,Jax,Ryan5idee,Qiyana,Kral returns,Vex,Nugget Nibbler,Miss Fortune,Pooga,Rakan,satorr
5488973368,win,URF,2021-10-03 19:17:36,15m 29s,6,5,11,3.40:1,empty,empty,Veigar,empty,empty,Brand,Girtimi,Darius,Grolle,Evelynn,anime188,Lee Sin,Ivarssongym ,Gnar,noah3,Veigar,rdmt,Jax,CryusBeTechno,Ezreal,Un coriito sano,Vex,Haztela Cagoon,Kayn,Manitas De Serdo
