gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5489062223,win,Ranked Solo,2021-10-03 20:51:43,37m 6s,7,9,6,1.44:1,empty,empty,Tryndamere,Master,empty,Jayce,YKV1,Nidalee,Jerem57HD,Ezreal,StrangeChamp,Vayne,Sha Royalty,Janna,DereBeyi Yunus,Tryndamere,yoRHa No3 Type E,Vi,Thorden,Zilean,DOINB AMOGUS SUS,Karthus,ˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉ,Rakan,LanPeiFang
5488900109,lose,Ranked Solo,2021-10-03 20:08:50,24m 47s,3,5,4,1.40:1,ACE,empty,Jax,Master,empty,Jax,yoRHa No3 Type E,Diana,Areels2,Graves,DOINB AMOGUS SUS,Lucian,DK Cαnyon,Nami,LanPeiFang,Camille,Dionelux,Xin Zhao,i deserve losing,Twisted Fate,Bethersham,Miss Fortune,Chucky le moine ,Amumu,SeMikee
5487438791,lose,Ranked Solo,2021-10-02 18:31:26,30m 56s,3,11,2,0.45:1,empty,empty,Kennen,Master,empty,Irelia,Who is Candice,Kayn,SLQ Brokn,Galio,Mr Explizit,Vayne,Sha Royalty,Nami,AVIS djulo,Kennen,yoRHa No3 Type E,Taliyah,8οz,LeBlanc,l Am Batman ,Kai'Sa,CøyøteDraven,Thresh,Algos7
5487397991,win,Ranked Solo,2021-10-02 17:45:57,16m 30s,3,1,7,10.00:1,empty,empty,Jayce,Master,empty,Jayce,yoRHa No3 Type E,Nidalee,John Lowe v2,Ziggs,Kassime,Twitch,KILL ME AHAHAHA,Bard,Stolensouls,Karma,999 1v9 L9 69 v9,Ivern,iMrPresident,Jax,INT3REN,Ezreal,TripleBen,Braum,OBLIVION REVENGE
5485834271,lose,Ranked Solo,2021-10-01 19:28:04,21m 50s,4,9,4,0.89:1,empty,empty,Gangplank,Diamond 2,empty,Gangplank,yoRHa No3 Type E,Talon,João FéIix,Yasuo,SPAM PING XD,Karthus,qqqqqqqqqqqqqqr,Amumu,ETT 2Trick,Tryndamere,Im fine thx you,Kha'Zix,II MetalBalls II,Galio,Samaeî,Akshan,Twtv KappaBeetle,Bard,SLQ Daantastic
5485850857,lose,Ranked Solo,2021-10-01 18:53:45,32m 44s,7,6,4,1.83:1,ACE,empty,Tryndamere,Master,empty,Tryndamere,yoRHa No3 Type E,Kayn,Jeje0709,LeBlanc,taetsu,Ashe,Shinjuki Rio,Karthus,Rısus,Riven,Saomaro,Nidalee,Maryam7,Sylas,L01 Eren1,Ezreal,Box enjoyer,Braum,Godex
5485768624,win,Ranked Solo,2021-10-01 18:14:38,23m 34s,2,2,7,4.50:1,empty,empty,Gnar,Master,empty,Gnar,yoRHa No3 Type E,Qiyana,White Whales,Zoe,Alþhinaud,Draven,Jeje0709,Nami,Rymed,Jayce,N1ghtingäle,Lee Sin,SWIR PALETA ,Yone,taetsu,Ziggs,Shinjuki Rio,Karma,Haeryung
5485802173,lose,Ranked Solo,2021-10-01 16:16:19,31m 12s,6,8,8,1.75:1,Double Kill,empty,Irelia,Master,empty,Neeko,ThePoodleHorse,Zed,Super Troll King,Diana,fak,Draven,Pandore1,Janna,ARDITØ,Irelia,yoRHa No3 Type E,Jarvan IV,VıNINE Shelfmade,Katarina,LFT Anonymouss,Ezreal,EurobeatAbuser77,Braum,DeepEnding
5485801003,lose,Ranked Solo,2021-10-01 15:39:29,30m 37s,6,9,6,1.33:1,empty,empty,Tryndamere,Master,empty,Tryndamere,yoRHa No3 Type E,Lillia,Bíg Daddy,Irelia,2021Worlds0150,Vayne,Pandore1,Nami,BotFiifo,Volibear,xRachedx,Ekko,BèAnn,Katarina,LFT Anonymouss,Lucian,duye,Pyke,EYG Orcinus
5485710058,win,Ranked Solo,2021-10-01 15:01:26,26m 4s,9,3,11,6.67:1,Double Kill,empty,Ryze,Master,empty,Kennen,Qíshì9,Zed,LFT Anonymouss,LeBlanc,152cm187kg24cm,Vayne,Freshdurz,Janna,BotFiifo,Ryze,yoRHa No3 Type E,Lee Sin,Bigby WoIf,Vex,CWMW,Jinx,xumäS,Soraka,sixsixsi666
5485718593,win,Ranked Solo,2021-10-01 14:27:05,27m 47s,8,5,8,3.20:1,Double Kill,empty,Wukong,Master,empty,Fiora,I AM LOSERS Q,Talon,1v9wheneveriwąnt,Diana,fak,Miss Fortune,xumäS,Amumu,Watashi wa Tommy,Wukong,yoRHa No3 Type E,Kayn,Jgissoeasy,Ekko,OoDeadlyShadowoO,Ashe,Dying To Heal,Janna,Qulikopter
