gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5485266188,lose,Ranked Solo,2021-10-01 04:51:54,23m 1s,4,8,6,1.25:1,empty,empty,Talon,Diamond 1,empty,Aatrox,ESSCA Blosssom,Vi,cristalslayer,Yone,Absence of Color,Draven,FaveIas,Maokai,Le Gardener,Camille,ESP Shmeon,Talon,Bomb Devil,Fizz,TenFoN,Xayah,MyNameIsNøbødy,Nami,Ajeje Brazorf 10
5485190045,lose,Ranked Solo,2021-10-01 04:17:49,20m 27s,2,5,2,0.80:1,ACE,empty,Aatrox,Master,empty,Darius,SirRaydus,Talon,CHOI RAT,Galio,ackemag,Ezreal,Ginyz,Yuumi,998 DUSTY,Irelia,rdmt,Ekko,Baldzer,Aatrox,Bomb Devil,Lucian,WKT Rise,Thresh,Soul Exarch
5485130947,win,Ranked Solo,2021-10-01 03:17:30,27m 23s,6,4,11,4.25:1,Double Kill,empty,Galio,Diamond 1,empty,Darius,Sheryl 1v9,Diana,Brockvin,Yone,HiiighAPMLowBPM,Karthus,MINATOAQUA4,Twitch,brown stains,Yorick,Death R00w,Qiyana,ARCA Worstlife,Galio,Bomb Devil,Jhin,hey drink water,Bard,AXELLLLL
5485054670,win,Ranked Solo,2021-10-01 02:41:04,32m 28s,4,6,11,2.50:1,Double Kill,empty,Aatrox,Diamond 1,empty,Darius,Sheryl 1v9,Ekko,Th3baBaDo0k,Fizz,Officer Helge,Tristana,IDG BogdanBDB,Janna,It Blossoms,Aatrox,Bomb Devil,Jarvan IV,DimensioZ,Ziggs,Banana I Hammer,Zilean,Qxf7 Checkmate,Pyke,PRINCESS LUNΛ
5484948961,lose,Ranked Solo,2021-10-01 02:02:40,34m 45s,6,9,13,2.11:1,empty,empty,Irelia,Diamond 1,empty,Irelia,Bomb Devil,Jarvan IV,Poket,Ahri,MirrowFox v2,Miss Fortune,PatoCósmicoFan,Leona,Debo Schnee,Fiora,Original Ace,Hecarim,Bergbulla 100,Cassiopeia,Teddys,Kai'Sa,Viper Fangirl,Amumu,Jiji763
5485011989,win,Ranked Solo,2021-10-01 01:20:55,29m 40s,11,7,7,2.57:1,Triple Kill,empty,Irelia,Diamond 1,empty,Mordekaiser,SuperArmenian,Viego,JoueurMinable,Irelia,Bomb Devil,Jhin,Elisbus,Senna,JealousMoon,Jax,ENESBABA3131,Nidalee,Acrozo,Katarina,Mandra,Ashe,l Røcket l,Lulu,Old llama
5483920825,lose,Ranked Solo,2021-09-30 03:56:19,34m 8s,15,7,3,2.57:1,Triple Kill,empty,Kennen,Diamond 2,empty,Heimerdinger,çerez mayonez,Xin Zhao,Serazad,Katarina,TKat,Lucian,MurksC,Sona,wtf im monky,Kennen,Bomb Devil,Shaco,KA LI DET,Talon,Im TaIon,Ezreal,RadicalX,Soraka,Galskab
5482987916,win,Ranked Solo,2021-09-29 21:05:44,26m 39s,10,3,5,5.00:1,empty,empty,Sylas,Diamond 4,empty,Talon,Hörö Sha,Kha'Zix,ManocWest,Sylas,Bomb Devil,Jhin,KayjOsIe,Leona,brka           º,Jax,Darkhike moment,Evelynn,υnrαnκ ενε,Vladimir,Tøny The Tiger,Yasuo,SimpingMarco,Blitzcrank,Monsieur Marce
5482964520,lose,Ranked Solo,2021-09-29 20:27:00,29m 55s,12,5,4,3.20:1,Triple Kill,ACE,Irelia,Diamond 1,empty,Malphite,Muka,Kha'Zix,i must win,Qiyana,taking οver,Ziggs,ReAlex,Janna,Luthîe,Irelia,Bomb Devil,Zac,HunttAMV,Yone,Painkillerabuser,Yasuo,PπNERO Jr,Soraka,Turning Tides
5482720744,lose,Ranked Solo,2021-09-29 08:18:47,23m 40s,4,5,2,1.20:1,Double Kill,empty,Ryze,Diamond 2,empty,Qiyana,cutfishcutgo,Nidalee,Turbo I,Vex,justin221,Vayne,IveBeenInGayanes,Leona,Ragnarcissist,Ryze,Bomb Devil,Zed,Luthîe,Wukong,Chimpmunk,Jinx,Stop Typing Play,Soraka,Shaym1n
5482637230,win,Ranked Solo,2021-09-29 07:41:04,22m 53s,8,6,7,2.50:1,empty,empty,Irelia,Diamond 1,empty,Yone,KacperDaGhost,Nidalee,Piano Till Chall,Irelia,Bomb Devil,Tristana,NyxSalem,Blitzcrank,LeifdG,Cassiopeia,SunShine Ali,Lee Sin,SCÞ 096,Diana,APE Knast,Lucian,Dwritsa Fave ,Lulu,Lìttle Dino
5482652706,win,Ranked Solo,2021-09-29 07:04:05,22m 0s,7,2,12,9.50:1,MVP,empty,Twisted Fate,Diamond 1,empty,Fiora,Ivana Milicevic,Nidalee,Piano Till Chall,Lissandra,FATSΟULINΟS,Vayne,Pompilitya,Lulu,jg4183248,Jayce,pisslo enjoyer,Jarvan IV,S1 Oli5,Twisted Fate,Bomb Devil,Ezreal,DaCruzo V2,Pyke,Eutanasia V3
5482538634,win,Ranked Solo,2021-09-29 06:36:17,23m 18s,8,2,9,8.50:1,MVP,empty,Aatrox,Diamond 1,empty,Aatrox,Bomb Devil,Gwen,Kreve,Talon,Lord CC,Vayne,FC H1kona,Nami,Choνa,Fiora,Ivana Milicevic,Graves,AQ Adricesa,LeBlanc,TOBDOG,Jhin,Xztract45,Soraka,PSYCHOSlS
5482312923,lose,Ranked Solo,2021-09-29 04:07:05,29m 39s,7,4,4,2.75:1,Double Kill,ACE,Irelia,Diamond 2,empty,Irelia,Bomb Devil,Kayn,funny3350,Ziggs,Excaliburt,Ezreal,D1 Warrior,Pyke,NavySeal68,Urgot,balena11,Hecarim,CWΞ Sapinho,Kassadin,lynchian dream,Lucian,OlmDidntAsk,Nami,Milaya
