gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
484481875,win,URF,2021-09-24 13:59:41,8m 50s,9,4,1,2.50:1,Triple Kill,empty,Lissandra,empty,empty,Lucian,Jolyne Cujoh,Shen,Sheriru,Lissandra,Gun Devil,Kha'Zix,Stargazer7,Amumu,Asoue,Gragas,Berferit,Kayle,saymtdd,Kai'Sa,Inting Bot,Camille,Jihoon Disciple,Irelia,Im Fkn Triggered
484510611,win,URF,2021-09-24 13:44:55,18m 45s,11,10,11,2.20:1,Double Kill,empty,Yone,empty,empty,Viktor,hibiol,Senna,The Gloomist,Veigar,Calibre,Katarina,Daze,Zyra,Formal Chicken,Lee Sin,Sparkling peplly,Kai'Sa,Inting Bot,Lucian,Jolyne Cujoh,Yone,Gun Devil,Riven,Stargazer7
484340755,win,Ranked Solo,2021-09-23 13:05:54,35m 24s,13,5,14,5.40:1,Double Kill,MVP,Yone,Grandmaster,empty,Wukong,DongDelivery,Lee Sin,The Offseason,Yone,Gun Devil,Ziggs,Mikru,Soraka,Shahenshah,Kayle,Chirp,Jarvan IV,rich from erc20,Camille,WHACKYTOBACCY,Xayah,Nashor,Galio,AG ChaoHuiWan ml
484309251,lose,Ranked Solo,2021-09-23 12:04:07,32m 55s,7,9,12,2.11:1,Double Kill,empty,Yone,Master,empty,Akshan,WHACKYTOBACCY,Ekko,rich from erc20,Yone,Gun Devil,Ezreal,Nashor,Janna,My Jollibeee,Lulu,Nemesis,Kayn,Big Volcano,Ahri,Rank SRO123edash,Lucian,842,Leona,ulosi
484207120,lose,Ranked Solo,2021-09-22 18:42:51,24m 18s,9,6,3,2.00:1,Triple Kill,ACE,Yone,Master,empty,Kennen,ﬁend,Elise,lgd,Yone,Gun Devil,Xayah, RNG Uzı ,Bard,Jules,Jax,Prospect Theory,Qiyana,LOSTIDENTITY,Galio,AntiVaxProtester,Tristana,Frosts,Amumu,Kuroko Shirai
484234680,win,Ranked Solo,2021-09-22 17:56:47,34m 46s,9,7,8,2.43:1,Double Kill,empty,Zed,Master,empty,Vladimir,Yuna 1 27,Lee Sin,double dosed,Yone,Rank SRO123edash,Lucian,NafIa,Lulu,Furyhorn,Fiora,SexySafa,Zed,Gun Devil,Ahri,Rueski,Draven,HOTDOGDRAVEN2,Amumu,Sophie Wophie
484213973,lose,Ranked Solo,2021-09-22 17:11:24,15m 39s,3,2,2,2.50:1,ACE,empty,Zed,Grandmaster,empty,Irelia,Sakurã,Rek'Sai,better mee,Fizz,Ai Mu Wei Ting,Ezreal,twtv chungylol,Karma,Moggles,Yone,Lived,Zed,Gun Devil,Galio,Thumbs up Rammus,Lucian,Jolyne Cujoh,Nami,Grishka
484118345,win,Ranked Solo,2021-09-22 14:23:28,15m 26s,8,0,6,Perfect,empty,empty,Sylas,Grandmaster,empty,Jax,Prospect Theory,Rengar,Greebo,Sylas,Gun Devil,Draven,KimJun,Rakan,1MightyBullDog3,Fiora,Lived,Lee Sin,glxy,Cassiopeia,dęad insidę,Vayne,love ad,Amumu,Mach Diamond
484107134,lose,Ranked Solo,2021-09-22 13:59:03,26m 56s,6,4,6,3.00:1,empty,empty,Tryndamere,Grandmaster,empty,Jax,Prospect Theory,Lillia,Terrath,Graves,Courageous Pabu,Vayne,love ad,Soraka,Jules,Tryndamere,Gun Devil,Kayn,Gooby Nguyen,Cho'Gath,glxy,Ezreal,Nashor,Bard,Brazza
484116068,win,Ranked Solo,2021-09-22 13:16:54,22m 55s,6,4,10,4.00:1,empty,empty,Yone,Master,empty,Cho'Gath,Påncham,Sejuani,glxy,Jayce,Magikeren,Kai'Sa,Nashor,Maokai,Brazza,Darius,Douyu 7752890,Lee Sin,double dosed,Yone,Gun Devil,Vayne,love ad,Zyra,Furyhorn
484125061,win,Ranked Solo,2021-09-22 12:41:34,26m 13s,3,5,6,1.80:1,empty,empty,Tryndamere,Grandmaster,empty,Cassiopeia,Magikeren,Kindred,doII,Qiyana,LOSTIDENTITY,Miss Fortune,love ad,Maokai,Brazza,Tryndamere,Gun Devil,Sejuani,glxy,Cho'Gath,Påncham,Tristana,Jolyne Cujoh,Lulu,Furyhorn
483964419,win,Ranked Solo,2021-09-21 15:08:38,20m 0s,9,2,6,7.50:1,MVP,empty,Yone,Master,empty,Camille,Varr,Ekko,cattle 2,Yone,Gun Devil,Tristana,Kennaomaglor,Blitzcrank,wot,Cassiopeia,Mikru,Qiyana,NÖX,Soraka,i hate wømen,Lucian,Miniman1000,Singed,My Jollibeee
483952815,win,Ranked Solo,2021-09-21 14:25:05,20m 23s,7,3,5,4.00:1,empty,empty,Zed,Grandmaster,empty,Camille,SexySafa,Zed,Gun Devil,Syndra,Magikeren,Twitch,Jolyne Cujoh,Thresh,Last forever,Sylas,Ài Chı Xuê Gäo,Qiyana,Courageous Pabu,Graves,twtv chungylol,Ziggs,NafIa,Leona,Prae1us
483971095,win,Ranked Solo,2021-09-21 13:49:29,23m 35s,3,2,3,3.00:1,empty,empty,Talon,Grandmaster,empty,Fiora,My Dear Kâi,Zed,Courageous Pabu,Vladimir,Diana King,Aphelios,Jolyne Cujoh,Janna,My Jollibeee,Camille,SexySafa,Talon,Gun Devil,Kassadin,Rejiekˉ,Xayah,EDG Viiper,Rakan,1MightyBullDog3
483539925,win,Ranked Solo,2021-09-19 14:09:50,24m 14s,5,3,7,4.00:1,Double Kill,empty,Tryndamere,Grandmaster,empty,Camille,5358123,Zed,double dosed,Tryndamere,Gun Devil,Karthus,nigeIf,Janna,LiIac,Jax,Nectaar,Nocturne,GUAI BAO QAQ,Tristana,Fighto,Xayah,kalroc,Lulu,HoIo
483537536,lose,Ranked Solo,2021-09-19 13:11:19,28m 1s,4,7,4,1.14:1,ACE,empty,Jayce,Grandmaster,empty,Mordekaiser,Kevin1,Kayn,Karyu,Jayce,Gun Devil,Ezreal,vx ocedlpw666,Sona,LiIac,Ryze,Varr,Viego,9inx,Veigar,hahapoopy,Vayne,double dosed,Soraka,Sophie Wophie
483546464,win,Ranked Solo,2021-09-19 12:36:44,24m 4s,5,2,5,5.00:1,Double Kill,MVP,Tryndamere,Master,empty,Jax,Varr,Kayn,Karyu,Heimerdinger,uwucide,Ezreal,rich from erc20,Rell,Sophie Wophie,Camille,5358123,Nidalee,MattyPC,Tryndamere,Gun Devil,Draven,Fighto,Leona,ulosi
483525562,lose,Ranked Solo,2021-09-19 12:03:26,30m 38s,9,7,8,2.43:1,Double Kill,ACE,Tryndamere,Master,empty,Aatrox,Varr,Nidalee,MattyPC,Tryndamere,Gun Devil,Ezreal,double dosed,Leona,ulosi,Ryze,WHACKYTOBACCY,Talon,rich from erc20,Jayce,5358123,Lucian,Fighto,Lulu,HoIo
483543928,win,Ranked Solo,2021-09-19 11:18:41,24m 36s,3,3,4,2.33:1,empty,empty,Talon,Master,empty,Nasus,antzo,Lillia,Terrath,Syndra,Mikru,Ezreal,nigeIf,Nautilus,ulosi,Ryze,Varr,Talon,Gun Devil,Yone,hahapoopy,Draven,HOTDOGDRAVEN2,Brand,Distortion
483552431,lose,Ranked Solo,2021-09-19 10:44:55,29m 28s,13,4,7,5.00:1,Double Kill,ACE,Tryndamere,Master,empty,Mordekaiser,Varr,Lee Sin,MattyPC,Tryndamere,Gun Devil,Draven,HOTDOGDRAVEN2,Nautilus,ulosi,Camille,twitch CLAIREOCE,Jarvan IV,rich from erc20,Cassiopeia,Mikru,Sona,Koality,Brand,Distortion
482953134,lose,Ranked Solo,2021-09-16 00:09:46,33m 3s,10,7,6,2.29:1,Double Kill,ACE,Zed,Master,empty,Sett,Sugyhoty,Zed,Gun Devil,Tristana,Fighto,Lucian,DW V1tal,Nami,gogogogogogogogo,Malphite,twitch CLAIREOCE,Kindred,ZenithZ,Lillia,Mikru,Miss Fortune,VENDRICK,Thresh,PCE Halo Cousin
482961882,win,Ranked Solo,2021-09-15 23:28:37,24m 44s,6,5,12,3.60:1,MVP,empty,Talon,Master,empty,Jax,Rejiekˉ,Talon,Gun Devil,Katarina,Incursio,Miss Fortune,VENDRICK,Amumu,Melt,Sett,twitch CLAIREOCE,Jarvan IV,General Tofu San,Ryze,Mikru,Kai'Sa,Bai Lan Zai,Elise,Mr Ali G
482960054,win,Ranked Solo,2021-09-15 22:41:05,25m 4s,2,3,3,1.67:1,empty,empty,Talon,Master,empty,Ornn,UHdazza,Rammus,DJ Koy,Irelia,Cysex,Miss Fortune,voltorb flip,Amumu,BeastiX,Riven,Rival,Lee Sin,ØvØ,Talon,Gun Devil,Aphelios,Jolyne Cujoh,Ekko,eatDIE EATdie
482938767,win,Ranked Solo,2021-09-15 21:57:12,11m 20s,3,1,7,10.00:1,MVP,empty,Taliyah,Grandmaster,empty,Amumu,Cysex,Shyvana,pissfreakserver,Irelia,twitch CLAIREOCE,Ezreal,Jolyne Cujoh,Janna,dęad insidę,Sett,Sugyhoty,Diana,kuo,Yasuo,twtv chungylol,Taliyah,Gun Devil,Karma,Last forever
482926220,win,Ranked Solo,2021-09-15 21:07:38,18m 39s,5,1,5,10.00:1,MVP,empty,Fizz,Master,empty,Camille,The Offseason,Zed,pissfreakserver,Fizz,Gun Devil,Aphelios,DW V1tal,Thresh,voltorb flip,Vladimir,hahapoopy,Kindred,Hajimemashite,Twisted Fate,twtv chungylol,Lucian,leemas,Janna,dęad insidę
482913816,lose,Ranked Solo,2021-09-15 20:28:03,28m 20s,12,8,4,2.00:1,Triple Kill,ACE,Tryndamere,Master,empty,Soraka,CurlyCactus55,Kindred,ItsFkingZyzzBrah,Tryndamere,Gun Devil,Miss Fortune,voltorb flip,Amumu,Mr Silly,Gragas,dont ping my tp,Qiyana,Courageous Pabu,Yasuo,Pz ZZangfan,Samira,DW V1tal,Nautilus,Dye
482742982,lose,Ranked Solo,2021-09-14 22:48:43,28m 38s,0,1,6,6.00:1,ACE,empty,Galio,Master,empty,Poppy,KingJamesMike,Nidalee,Conduit,Talon,XIAN OwO,Vayne,VENDRICK,Sona,lilQtCheese,Jax,Last of me,Ekko,like you,Galio,Gun Devil,Tristana,Fluffy Potato,Amumu,VAXXED SUPPORT
482760309,win,Ranked Solo,2021-09-14 21:53:08,33m 8s,17,5,8,5.00:1,Triple Kill,empty,Kog'Maw,Master,empty,Jarvan IV,cgc7,Viego,Incursio,Ryze,TTv SourBreadMan,Sivir,HIGH TEST ADC123,Alistar,Patient,Camille,Magikeren,Hecarim,twitchtv Scxtt01,Kog'Maw,Gun Devil,Samira,Hoopa1,Leona,Brazza
