gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
486207341,lose,ARAM,2021-10-03 22:24:19,18m 59s,2,13,19,1.62:1,Double Kill,empty,Samira,empty,empty,Varus,hhhhhhhhhhhhhpos,Urgot,Toasnake3333,Samira,Jolyne Cujoh,Akali,Drakén,Graves,Fei,Lulu,nø cap,Shaco,Max Henry,Lillia,Puffy,Yasuo,idk,Pantheon,boofboof112
484482435,lose,URF,2021-09-24 14:20:24,15m 24s,5,11,3,0.73:1,empty,empty,Tristana,empty,empty,Tryndamere,Keqacerovae,Ekko,Scrubb,Sylas,2 kg poo,Shen,BigDangoFamily,Shaco,2 hr poo,Tristana,Jolyne Cujoh,Katarina,Sheriru,Riven,Stargazer7,Ezreal,Asoue,Vex,Minaj
484481875,win,URF,2021-09-24 13:59:41,8m 50s,10,3,5,5.00:1,Triple Kill,empty,Lucian,empty,empty,Lucian,Jolyne Cujoh,Shen,Sheriru,Lissandra,Gun Devil,Kha'Zix,Stargazer7,Amumu,Asoue,Gragas,Berferit,Kayle,saymtdd,Kai'Sa,Inting Bot,Camille,Jihoon Disciple,Irelia,Im Fkn Triggered
484510611,win,URF,2021-09-24 13:44:55,18m 45s,16,7,5,3.00:1,Double Kill,empty,Lucian,empty,empty,Viktor,hibiol,Senna,The Gloomist,Veigar,Calibre,Katarina,Daze,Zyra,Formal Chicken,Lee Sin,Sparkling peplly,Kai'Sa,Inting Bot,Lucian,Jolyne Cujoh,Yone,Gun Devil,Riven,Stargazer7
484458133,win,Ranked Solo,2021-09-24 12:30:43,16m 8s,3,2,0,1.50:1,empty,empty,Aphelios,Master,empty,Graves,MattyPC,Ekko,spitz,Sylas,BushyBooBoo,Aphelios,Jolyne Cujoh,Yuumi,His Yuubee,Irelia,Ài Chı Xuê Gäo,Kayn,Big Volcano,Cho'Gath,Påncham,Jhin,Discover,Vel'Koz,Velkro
484476353,win,Ranked Solo,2021-09-24 11:42:16,24m 41s,7,6,9,2.67:1,Triple Kill,empty,Miss Fortune,Grandmaster,empty,Tahm Kench,double dosed,Talon,rich from erc20,Diana,Cowmeat,Lucian,love ad,Amumu,ulosi,Jayce,5358123,Kayn,Terrath,LeBlanc,Ài Chı Xuê Gäo,Miss Fortune,Jolyne Cujoh,Yuumi,Gusanator
484445340,lose,Ranked Solo,2021-09-24 11:06:30,32m 0s,16,10,8,2.40:1,Double Kill,ACE,Lucian,Master,empty,Fiora,Yun Wu Yue,Jarvan IV,Åkanø,Tryndamere,WHACKYTOBACCY,Ezreal,Ricky Regal,Vel'Koz,Velkro,Wukong,EllrØn,Talon,rich from erc20,LeBlanc,Distortion,Lucian,Jolyne Cujoh,Nami,AuS jenats
484452772,win,URF,2021-09-24 08:44:37,19m 46s,18,11,9,2.45:1,Double Kill,empty,Kai'Sa,empty,empty,Riven,cosmetic brain,Nidalee,I love cat,Fiora,Mythinical,Yone,Lost Chapter,Lee Sin,Paroxsym,Gangplank,Mufasa and Zazu,Kai'Sa,Jolyne Cujoh,Syndra,PCE Aladoric,Zoe,Sheriru,Jhin,APessimist
484452573,win,URF,2021-09-24 08:19:23,11m 55s,24,2,5,14.50:1,Penta Kill,empty,Lucian,empty,empty,Lucian,Jolyne Cujoh,Akali,PCE Aladoric,Katarina,Sheriru,Lee Sin,LVL70BIS WARLOCK,Gangplank,Dr Sins,Seraphine,Kımmy,Zed, Mochı,Nidalee,ChaoticEcho,Fiora,Mythinical,Zilean,Paroxsym
484238916,win,Ranked Solo,2021-09-22 19:42:59,28m 57s,16,2,5,10.50:1,Quadra Kill,MVP,Lucian,Master,empty,Urgot,GODEMPERORHENRY,Kayn,The Wðrld,Sylas,Thumbs up Rammus,Lucian,Jolyne Cujoh,Lulu,Kiitty,Trundle,ah well,Viego,9inx,Katarina,Incursio,Ashe,Kawiqitae,Rakan,lockdown corejj
484227949,lose,Ranked Solo,2021-09-22 19:00:36,15m 21s,0,4,3,0.75:1,empty,empty,Ezreal,Grandmaster,empty,Malphite,Sakurã,Qiyana,The Wðrld,Zed,dęad insidę,Ezreal,Jolyne Cujoh,Amumu,leemas,Jax,dingerz,Kindred,GUAI BAO QAQ,Sylas,Thumbs up Rammus,Xayah,Shyfrit,Alistar,BioPanther
484206211,win,Ranked Solo,2021-09-22 18:09:28,15m 15s,2,0,2,Perfect,MVP,empty,Vayne,Master,empty,Irelia,gobbiesforlp,Sejuani,lgd,Syndra,Vietnamese Chovy,Ashe,Kawiqitae,Soraka,Kiitty,Wukong,Påncham,Graves,9inx,Ryze,Fighto,Vayne,Jolyne Cujoh,Yuumi,Kuroko Shirai
484213973,lose,Ranked Solo,2021-09-22 17:11:24,15m 39s,3,5,0,0.60:1,empty,empty,Lucian,Grandmaster,empty,Irelia,Sakurã,Rek'Sai,better mee,Fizz,Ai Mu Wei Ting,Ezreal,twtv chungylol,Karma,Moggles,Yone,Lived,Zed,Gun Devil,Galio,Thumbs up Rammus,Lucian,Jolyne Cujoh,Nami,Grishka
484231149,lose,Ranked Solo,2021-09-22 16:09:11,27m 4s,3,7,5,1.14:1,empty,empty,Xayah,Grandmaster,empty,Fiora,ah well,Olaf,Gooby Nguyen,Samira,WHACKYTOBACCY,Kai'Sa,067 rail me,Rell,zSpectrum,Sett,Sakurã,Taliyah,pissfreakserver,Galio,xin xin zi,Xayah,Jolyne Cujoh,Sona,Jules
484210268,win,Ranked Solo,2021-09-22 15:33:56,24m 37s,6,2,8,7.00:1,MVP,empty,Aphelios,Grandmaster,empty,Fiora,xin xin zi,Elise,dęad insidę,Taliyah,Kyoshi,Aphelios,Jolyne Cujoh,Soraka,Jules,Camille,BigDingDong1,Ekko,Gooby Nguyen,Tryndamere,WHACKYTOBACCY,Jinx,Cøme As You Are,Nautilus,lockdown corejj
484129319,win,Ranked Solo,2021-09-22 14:53:00,15m 30s,4,1,5,9.00:1,empty,empty,Lucian,Grandmaster,empty,Malphite,xin xin zi,Kindred,glxy,LeBlanc,dęad insidę,Lucian,Jolyne Cujoh,Pyke,Unleashed Chcknz,Yone,Lived,Nocturne,doII,Orianna,Coach Curtis,Miss Fortune,Kyoshi,Alistar,RyuujiTakasu
484128086,lose,Ranked Solo,2021-09-22 14:28:45,30m 56s,7,7,2,1.29:1,ACE,empty,Caitlyn,Master,empty,Kog'Maw,RyuujiTakasu,Xin Zhao,Fruitcake,Taliyah,Kyoshi,Caitlyn,Jolyne Cujoh,Janna,wot,Cho'Gath,Påncham,Lee Sin,wawot,Jayce,twtv chungylol,Vayne,Hoopa1,Brand,Distortion
484126445,win,Ranked Solo,2021-09-22 13:35:16,28m 28s,15,6,13,4.67:1,Double Kill,empty,Ezreal,Master,empty,Ornn,Gigamungus,Zac,MattyPC,Katarina,Sawanjo,Yasuo,Pz ZZangfan,Sett,YiMaster001,Fiora,Citybaby,Jarvan IV,Nathan Mott,Ryze,RWMK,Ezreal,Jolyne Cujoh,Janna,wot
484125061,win,Ranked Solo,2021-09-22 12:41:34,26m 13s,12,5,11,4.60:1,Double Kill,MVP,Tristana,Grandmaster,empty,Cassiopeia,Magikeren,Kindred,doII,Qiyana,LOSTIDENTITY,Miss Fortune,love ad,Maokai,Brazza,Tryndamere,Gun Devil,Sejuani,glxy,Cho'Gath,Påncham,Tristana,Jolyne Cujoh,Lulu,Furyhorn
484103437,win,Ranked Solo,2021-09-22 11:40:01,24m 10s,7,4,7,3.50:1,Double Kill,MVP,Aphelios,Master,empty,Viego,Varr,Lillia,Cowmeat,Talon,twitch CLAIREOCE,Xayah,Nashor,Nami,glxy,Gwen,WHACKYTOBACCY,Kha'Zix,eraze,Irelia,Magikeren,Aphelios,Jolyne Cujoh,Maokai,Brazza
484000592,lose,Ranked Solo,2021-09-21 17:52:26,28m 7s,8,7,9,2.43:1,Triple Kill,ACE,Miss Fortune,Grandmaster,empty,Irelia,Bluę,Xin Zhao,Terrath,Orianna,Ârk,Lucian,LFT Ora,Seraphine,LiIac,Camille,Magikeren,Kayn,Gooby Nguyen,Cassiopeia,Fighto,Miss Fortune,Jolyne Cujoh,Zyra,leemas
483958663,win,Ranked Solo,2021-09-21 16:48:47,15m 51s,10,2,5,7.50:1,Triple Kill,MVP,Jinx,Master,empty,Irelia,Thien khó thé,Lee Sin,kuo,Taliyah,Kyoshi,Aphelios,ad321,Thresh,shakenrobot 2,Jax,AG ChaoHuiWan ml,Kayn,Terrath,Twisted Fate,Mikru,Jinx,Jolyne Cujoh,Nautilus,love ad
483966084,win,Ranked Solo,2021-09-21 16:05:58,33m 47s,6,4,8,3.50:1,MVP,empty,Ezreal,Grandmaster,empty,Wukong,Chirp,Zed,pissfreakserver,Veigar,Magikeren,Cassiopeia,leemas,Nami,LiIac,Riven,ah well,Lee Sin,double dosed,Ryze,Mikru,Ezreal,Jolyne Cujoh,Thresh,Last forever
483974271,win,Ranked Solo,2021-09-21 15:24:01,34m 20s,13,6,10,3.83:1,Triple Kill,MVP,Tristana,Grandmaster,empty,Camille,SexySafa,Diana,Aurora Time,Yasuo,twtv chungylol,Tristana,Jolyne Cujoh,Alistar,Coach Curtis,Irelia,Magikeren,Talon,Courageous Pabu,Jax,Chirp,Karthus,leemas,Bard,Prae1us
483952815,win,Ranked Solo,2021-09-21 14:25:05,20m 23s,4,1,5,9.00:1,empty,empty,Twitch,Grandmaster,empty,Camille,SexySafa,Zed,Gun Devil,Syndra,Magikeren,Twitch,Jolyne Cujoh,Thresh,Last forever,Sylas,Ài Chı Xuê Gäo,Qiyana,Courageous Pabu,Graves,twtv chungylol,Ziggs,NafIa,Leona,Prae1us
483971095,lose,Ranked Solo,2021-09-21 13:49:29,23m 35s,3,5,0,0.60:1,empty,empty,Aphelios,Grandmaster,empty,Fiora,My Dear Kâi,Zed,Courageous Pabu,Vladimir,Diana King,Aphelios,Jolyne Cujoh,Janna,My Jollibeee,Camille,SexySafa,Talon,Gun Devil,Kassadin,Rejiekˉ,Xayah,EDG Viiper,Rakan,1MightyBullDog3
483668399,lose,ARAM,2021-09-20 01:15:43,22m 10s,16,15,23,2.60:1,Double Kill,empty,Sivir,empty,empty,Swain,DesignerIsIdiot,Sivir,Jolyne Cujoh,Viego,Sheriru,Karma,Inari,Aatrox,Stargazer7,Syndra,Ninjaaa,Wukong,SeDuce JIEJIE,Graves,Poro Cyas,Shyvana,GnMyLilFairy,Kha'Zix,Dying
483677278,lose,ARAM,2021-09-20 00:47:21,20m 33s,23,14,25,3.43:1,Double Kill,empty,Pyke,empty,empty,Rammus,Dualoicut,Samira,Takao,Tahm Kench,Treena,Alistar,Wyrme,Graves,TeaKay,Pyke,Jolyne Cujoh,Brand,Jessica Kim,Rumble,Sheriru,Morgana,Inari,Shen,Stargazer7
483657045,lose,ARAM,2021-09-20 00:19:05,15m 54s,9,12,14,1.92:1,Double Kill,empty,Sylas,empty,empty,Gangplank,D13,Taliyah,ChuerbbSJC,Gnar,Ult Collector,Jayce,beelees,Jhin,lovethewayyouqme,Sylas,Jolyne Cujoh,Viktor,LauncelotAlbion,Lee Sin,Stargazer7,Rakan,lewloh,Ahri,Repulsion
483665859,lose,ARAM,2021-09-19 23:49:36,18m 8s,10,14,20,2.14:1,Quadra Kill,empty,Ezreal,empty,empty,Ekko,Ravenxdell,Qiyana,Soul Show Boy,Leona,Music forever,Vayne,ed GB 319,Yone,Llamas are cool,Akshan,JACKIECHANC,Ezreal,Jolyne Cujoh,Viego,Stargazer7,Kennen,fireblazer101,Karthus,stepdad IM STUCK
