gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488466796,win,Ranked Solo,2021-10-03 06:51:21,26m 31s,5,9,3,0.89:1,Double Kill,empty,Ezreal,Master,empty,Darius,BanChemtankShen,Graves,OFFSET Chovy,Taliyah,Mohe dance hall,Twitch,Scottie Pippen,Nami,Dear Donda,Yone,lucky iceland ,Kindred,1v9 Kindred,Sylas,LaggerNxD,Ezreal,St0ne Fr33,Karma,Flowsnake Ice
5487637612,win,Ranked Solo,2021-10-02 21:30:57,25m 53s,11,7,13,3.43:1,Double Kill,MVP,Lucian,Master,empty,Aatrox,TFTTop1Gamer,Kayn,K1BZ,Sylas,RAAD Shadow,Karthus,Precious Souls,Nautilus,dont be insecure,Camille,P0NI,Evelynn,Luminous Insight,Fizz,Mikey 1v9,Lucian,St0ne Fr33,Nami,cirodalA
5487579537,win,Ranked Solo,2021-10-02 20:27:38,24m 24s,9,4,8,4.25:1,Double Kill,MVP,Lucian,Diamond 1,empty,Cho'Gath,VER Jadran,Kayn,Jonąs,Twisted Fate,AST RYLLE,Lucian,St0ne Fr33,Braum,juju0,Gnar,Ventairxyz,Trundle,Sacrifice74,Vex,aeongi,Jinx,IcelandWalrus,Lulu,kse qLibali
5487527758,win,Ranked Solo,2021-10-02 19:55:46,21m 44s,9,2,8,8.50:1,Triple Kill,MVP,Ezreal,Master,empty,Poppy,Fozzyfoster,Jarvan IV,KobeeeeBryant,Sylas,AST RYLLE,Kindred,Dopaminz,Leona,Miremengjesi,Jax,Arbman IV,Kayn,Jonąs,Orianna,aeongi,Ezreal,St0ne Fr33,Seraphine,TBR Sora
5485829401,win,ARAM,2021-10-01 20:22:51,13m 16s,11,6,21,5.33:1,Triple Kill,empty,Varus,empty,empty,Fizz,PermaFrostt,Mordekaiser,BudjaviSir101,Kog'Maw,KPat28,Jinx,OsLP Cait,Janna,GodZillO,Akali,cirodalA,Varus,St0ne Fr33,Cho'Gath,mad phagot,Zac,Heigenn,Twitch,AbOuZIwDAuZI
5485123237,win,Ranked Solo,2021-10-01 03:24:42,19m 7s,5,2,4,4.50:1,Double Kill,empty,Lucian,Master,empty,Riven,NaturalSwagger,Olaf,GX Krobonn,Janna,v0n,Miss Fortune,Bôlt,Leona,404 Rec,Poppy,Fozzyfoster,Kindred,Dopaminz,Viktor,11010111010,Lucian,St0ne Fr33,Nami,Opsdahin
5485116964,lose,Ranked Solo,2021-10-01 02:59:06,21m 23s,1,3,1,0.67:1,empty,empty,Draven,Master,empty,Singed,Ferretto,Taliyah,Dopaminz,Viktor,11010111010,Ezreal,2021Worlds0173,Yuumi,oki1 EUW,Camille,TearsOfCamille,Lillia,JUNGLEKINGDOM123,Janna,v0n,Draven,St0ne Fr33,Karma,ssssssss
5485092775,win,Ranked Solo,2021-10-01 02:28:39,24m 41s,8,4,5,3.25:1,Double Kill,MVP,Miss Fortune,Master,empty,Akshan,twtv Khomzar,Kindred,cirodalA,Karthus,Net1,Draven,Fix the systems,Janna,v0n,Jayce,Iamsobadsorry,Zac,theocacao,Vex,Corbayashi,Miss Fortune,St0ne Fr33,Soraka,PWN JuenSupport
5485008164,lose,Ranked Solo,2021-10-01 01:52:38,19m 16s,5,4,3,2.00:1,Double Kill,ACE,Kai'Sa,Master,empty,Akshan,Veecto,Lee Sin,Maryam7,LeBlanc,L01 Eren1,Lucian,Hiyeh,Zilean,Mental Slave,Tryndamere,PrinzKing,Qiyana,Good Boi Cat,Ekko,SAe Fristi,Kai'Sa,St0ne Fr33,Nautilus,Ryu Min seok
5485004340,win,Ranked Solo,2021-10-01 01:27:41,21m 54s,5,4,4,2.25:1,empty,empty,Tristana,Master,empty,Ornn,Medium Cowboy,Viego,Schnørres,Anivia,Jaffasf,Tristana,St0ne Fr33,Leona,Mental Exhaust,Illaoi,4cB CBuH,Jarvan IV,xRachedx,Akali,FB Genosect,Vayne,SAe Chryssey,Blitzcrank,Fławłess
5484621053,win,Ranked Solo,2021-09-30 19:45:39,21m 37s,5,2,8,6.50:1,empty,empty,Lucian,Master,empty,Irelia,Libra 1v1,Ekko,OnerKING,Akali,Tempp0,Lucian,St0ne Fr33,Leona,StormFury v2,Jayce,Firefl0wer,Nidalee,Nidalee is uwu,Vel'Koz,Màrtîn Dérèk,Miss Fortune,LoveHypercarries,Amumu,ACKERMÁN
5484394154,win,Ranked Solo,2021-09-30 09:25:06,32m 32s,1,7,11,1.71:1,empty,empty,Vayne,Diamond 1,empty,Tryndamere,2021Worlds0113,Nidalee,PET JANEQ11,Draven,oElFNick,Ezreal,IcelandWalrus,Yuumi,wow cold,Urgot,UrgoIncognito,Kha'Zix,Xu Linsen,Zoe,Bdd wannabe,Vayne,St0ne Fr33,Janna,Chuánqí Zhànshì
5484401417,lose,Ranked Solo,2021-09-30 08:43:40,28m 43s,13,5,7,4.00:1,Quadra Kill,ACE,Kai'Sa,Master,empty,Gangplank,2021Worlds0113,Diana,apffysb,Cassiopeia,Bendíx,Kai'Sa,St0ne Fr33,Nautilus,Watashi wa Tommy,Fiora,Thel1ttletiger,Rek'Sai,6EVIL6EMPIRE6,Akali,Xu Linsen,Lucian,YETTER AD WINS ,Yuumi,Owelius
5484279289,win,Ranked Solo,2021-09-30 08:07:44,22m 7s,5,3,4,3.00:1,empty,empty,Vayne,Master,empty,Jax,Thel1ttletiger,Rengar,7MDN,Nunu & Willump,Nobreak9,Vayne,St0ne Fr33,Soraka,Mikkel,Kennen,Kafuu chin0,Rek'Sai,6EVIL6EMPIRE6,Kassadin,HealingMark,Lucian,dzc,Pyke,cansadx
5484245769,lose,Ranked Solo,2021-09-30 07:35:29,33m 36s,2,6,9,1.83:1,empty,empty,Miss Fortune,Master,empty,Vladimir,Krxbxxx,Udyr,NDV Kimo,Akshan,Mega Mental,Miss Fortune,St0ne Fr33,Seraphine,Spaceberry,Kayle,Boemspang,Kha'Zix,KamiK6,Tryndamere,HealingMark,Ezreal,Globulos,Yuumi,Only 151 Pokemon
5483120925,lose,Ranked Solo,2021-09-29 21:59:04,36m 26s,10,14,11,1.50:1,Double Kill,empty,Xayah,Master,empty,Shaco,Kumugadonkis,Lillia,Fìndus,Rumble,Stay Present,Jhin,imnxtamess,Janna,Suken,Talon,Honeyβadger,Kha'Zix,Shrio,Vex,FTY Nox,Xayah,St0ne Fr33,Rakan,Selfway
5482998578,win,Ranked Solo,2021-09-29 21:16:36,28m 39s,18,4,15,8.25:1,Double Kill,MVP,Ezreal,Master,empty,Singed,LevelZeroFangirl,Zed,Shrio,Yone,12321312321,Ezreal,St0ne Fr33,Karma,TSM FTXD Boltox,Irelia,yoRHa No3 Type E,Kayn,Nico pls,Kayle,RafBin,Jhin,En grøn om dagen,Nautilus,FOODOOO
5483044968,win,Ranked Solo,2021-09-29 20:42:50,25m 51s,5,5,8,2.60:1,empty,empty,Miss Fortune,Master,empty,Darius,TTV Liethanmis,Graves,elvarázsolt,Viktor,tête à fromage,Kayle,always prio wave,Senna,Die Athanasia,Camille,Iamsobadsorry,Nidalee,300 Bambi,Yone,VININE Rafunzel,Miss Fortune,St0ne Fr33,Amumu,LIMIT TÉSTING 77
