gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5485136451,lose,Ranked Solo,2021-10-01 03:53:57,27m 31s,4,10,6,1.00:1,ACE,empty,Jayce,Diamond 1,empty,Singed,yi prodigy1058,Nidalee,elramir2,Talon,Nopium,Ashe,TIAGO PZK,Twitch,Zicailmalen,Jayce,ThorfinKarIsefni,Zed,ThorfinKarlsefni,Orianna,Strode,Aphelios,WildShadow,Thresh,lDC ANYMORE
5485140603,win,Ranked Solo,2021-10-01 03:12:52,23m 11s,13,3,6,6.33:1,Triple Kill,MVP,Jayce,Diamond 1,empty,Wukong,Vuxnonza,Graves,exeBiceps,Orianna,Rimtuolis,Ashe,G L,Amumu,i wont get mad,Jayce,ThorfinKarIsefni,Taliyah,ThorfinKarlsefni,Vladimir,BIeed for me,Senna,Pietroxtar,Braum,Raven IV
5485025030,lose,Ranked Solo,2021-10-01 02:41:30,31m 29s,6,6,7,2.17:1,ACE,empty,Poppy,Diamond 1,empty,Poppy,ThorfinKarIsefni,Diana,ThorfinKarlsefni,Yasuo,Nizz,Jinx,MALKATA IZBUHNA,Lulu,real arni,Jayce,9955,Trundle,aLdaGOD,Vex,DeCypher1,Ezreal,henntan17,Brand,Muchny
5485007770,win,Ranked Solo,2021-10-01 01:58:34,28m 0s,6,0,8,Perfect,MVP,empty,Gangplank,Master,empty,Teemo,Korvmannen,Viego,Advam,Kassadin,bvffi,Tristana,MALKATA IZBUHNA,Amumu,MTLK Kiddo,Gangplank,ThorfinKarIsefni,Zed,ThorfinKarlsefni,Viktor,SKROAAAAAAAA,Ashe,Mister Pearl,Rell,Daviewaviebabie
5484934244,win,Ranked Solo,2021-10-01 01:18:58,25m 58s,1,4,9,2.50:1,empty,empty,Renekton,Diamond 2,empty,Renekton,ThorfinKarIsefni,Lillia,ThorfinKarlsefni,Yasuo,time to reflect,Katarina,Kaza mi da si,Thresh,Vandana,Irelia,FBI Open top ,Kha'Zix,Muay Thaï Abuser,Ryze,Mohe dance hall,Lucian,Wexillon,Nami,BoneSkewerInNeck
5482703973,lose,Ranked Solo,2021-09-29 09:01:31,31m 38s,8,8,10,2.25:1,Double Kill,ACE,Renekton,Diamond 3,empty,Renekton,ThorfinKarIsefni,Lillia,ThorfinKarlsefni,Garen,Ragnarcissist,Miss Fortune,Ginyz,Janna,Chuánqí Zhànshì,Tryndamere,byeeeeeee,Evelynn,Describe,Ekko,HHNeverEkko,Kai'Sa,ME WAN BIG BATTY,Lulu,NoIngameChatDiff
5482712309,win,Ranked Solo,2021-09-29 08:25:25,15m 33s,2,0,8,Perfect,empty,empty,Poppy,Diamond 2,empty,Poppy,ThorfinKarIsefni,Lillia,ThorfinKarlsefni,Irelia,byeeeeeee,Ziggs,mommys milk yum,Rakan,my adc  cringe,Jax,One last kιss,Lee Sin,Kafuu chin0,Talon,ME WAN BIG BATTY,Draven,pervipervipervi,Janna,NoIngameChatDiff
5482646961,win,Ranked Solo,2021-09-29 07:48:35,30m 50s,9,4,9,4.50:1,Double Kill,MVP,Rumble,Diamond 4,empty,Gwen,GS 5,Hecarim,UPO ZYTHORIAN,Qiyana,n0dfan,Draven,I want winner,Morgana,ElîWood,Rumble,ThorfinKarIsefni,Kindred,ThorfinKarlsefni,Sylas,jg4183248,Jhin,Ginyz,Maokai,LNG uneasy
5482654947,win,Ranked Solo,2021-09-29 07:10:51,11m 12s,5,1,2,7.00:1,Double Kill,MVP,Rumble,Diamond 4,empty,Riven,XOXOX,Lee Sin,SCÞ 096,Lissandra,Premade of God,Ezreal,EDG Killaki ,Karthus,tempgqrwwxbkkoxh,Yone,STEVE HARVEY420,Kindred,ThorfinKarlsefni,Rumble,ThorfinKarIsefni,Tristana,Budget Wano,Rakan,VEOENTCD
5482601736,lose,Ranked Solo,2021-09-29 06:52:32,21m 54s,1,5,0,0.20:1,ACE,empty,Tryndamere,Diamond 4,empty,Tahm Kench,Prekazi,Rengar,U So Cute U Cut,Syndra,Rimtuolis,Kalista,22222124,Thresh,Heyyygoodmorning,Tryndamere,ThorfinKarIsefni,Ekko,ThorfinKarlsefni,Corki,STEVE HARVEY420,Ezreal,TryArt Clothing,Senna,the league mst
