gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5486453781,win,Ranked Solo,2021-10-02 03:21:26,32m 8s,6,4,5,2.75:1,Double Kill,MVP,Rumble,Grandmaster,empty,Kennen,masked gamer XD,Zed,bobber kong,Malzahar,Germi09,Karthus,Robert Sapolsky,Janna,HAHHAHAHAHAXXDDD,Rumble,Vizícsacsi,Taliyah,asdfghjklqwe,Talon,420WeabooSlayer,Lucian,C9 ZVENNN,Nami,Nash2
5485453126,win,Ranked Solo,2021-10-01 06:44:36,32m 42s,10,5,10,4.00:1,Double Kill,empty,Kennen,Grandmaster,empty,Fiora,Adorable N1 Fan,Kindred,Shinzouku,Sylas,msfvetheo1,Twitch,Undercover CameL,Amumu,UOL Doedalo,Kennen,Vizícsacsi,Kha'Zix,Sawyor,Yone,Po Gap,Ziggs,2021WorldsOp3N,Bard,Targamas
5485405007,win,Ranked Solo,2021-10-01 05:59:01,31m 43s,8,4,15,5.75:1,empty,empty,Shen,Grandmaster,empty,Camille,Xiaobylenz,Olaf,Loumuis,LeBlanc,msfvetheo1,Jhin,the super noob,Thresh,TraYtoN,Shen,Vizícsacsi,Lee Sin,RGO Lurox,Twisted Fate,MSF Sertuss,Lucian,bob kong,Nami,godzaimeris
5485269172,win,Ranked Solo,2021-10-01 05:20:33,33m 29s,5,7,10,2.14:1,empty,empty,Jayce,Grandmaster,empty,Jayce,Vizícsacsi,Nidalee,can i behave,Yone,SAKEN1,Lucian,hiro3,Rakan,Obstinatus,Wukong,Falleo,Talon,chovy jg acc,Viktor,Pakk,Vayne,BlauBarschBube,Nami,godzaimeris
5485263493,win,Ranked Solo,2021-10-01 04:39:43,26m 5s,7,5,7,2.80:1,MVP,empty,Jayce,Grandmaster,empty,Jayce,Vizícsacsi,Olaf,EZY Habubu,Orianna,Pakk,Ezreal,ToasterM8,Janna,HAHHAHAHAHAXXDDD,Darius,WAO RANK 1 ,Jarvan IV,Chamana1,Vex,Ryuin,Lucian,MercedesBenzE500,Nami,whiteinn
5484600166,lose,Ranked Solo,2021-09-30 19:54:37,22m 41s,4,6,2,1.00:1,empty,empty,Rumble,Master,empty,Rumble,Vizícsacsi,Zed,lövhögen,Orianna,alexon12,Yasuo,dibu123,Rakan,Yea Boi,Yone,BROHAN AND SEKKI,Hecarim,Spirgius,Syndra,maybe f keys ,Kai'Sa,Yosikomo,Lux,darkchri99
5484595466,win,Ranked Solo,2021-09-30 18:52:17,29m 1s,2,7,9,1.57:1,empty,empty,Camille,Grandmaster,empty,Camille,Vizícsacsi,Qiyana,SL0WDEATH,Syndra,TSIPER,Kai'Sa,Jeyrus,Thresh,Fatihcan,Jax,Rune Man,Xin Zhao,C9 Blaberfish2,Ekko,TwTv iljimaeLoL,Tristana,Kaττen,Nami,blonde mina
5484086128,lose,Ranked Solo,2021-09-30 05:23:12,24m 35s,1,7,7,1.14:1,empty,empty,Shen,Grandmaster,empty,Gnar,Shending LP,Xin Zhao,Οbsess,LeBlanc,MercedesBenzE500,Tristana,SPOLFCEI,Rakan,Rückendeckung,Shen,Vizícsacsi,Talon,Œµß,Corki,styropianzserem,Ezreal,msfvetheo1,Bard,I love Latinas
5484008342,lose,Ranked Solo,2021-09-30 04:52:09,36m 2s,5,9,9,1.56:1,ACE,empty,Renekton,Grandmaster,empty,Camille,chance no exist,Nidalee,Nathan der Weise,Twisted Fate,FFEBIVEN,Lucian,OLA MESΑ,Nami,Zergsting,Renekton,Vizícsacsi,Qiyana,SL0WDEATH,Syndra,sajatoruu,Tristana,NinjaNik,Bard,I love Latinas
5483829771,lose,Ranked Solo,2021-09-30 03:51:17,34m 36s,6,9,8,1.56:1,empty,empty,Renekton,Grandmaster,empty,Renekton,Vizícsacsi,Kayn,Kusa o Miko,Sylas,ifollowthebeat,Aphelios,NF Change,Thresh,TraYtoN,Aatrox,Venour,Graves,Jungler3,LeBlanc,Saulius 10,Ezreal,Fish Feces,Bard,Targamas
