gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490130316,win,Ranked Solo,2021-10-04 04:53:39,24m 11s,15,5,9,4.80:1,Double Kill,empty,Vayne,Grandmaster,empty,Aatrox,Finn1,Lee Sin,Happy Alexx,Anivia,nakreB v2,Vayne,Icelandwinter,Lulu,I take all,Jayce,JBL ABUSER,Qiyana,t4rzan1,Katarina,iLL SZYMONiLL4W,Kai'Sa,lucker3,Rell,TESLA OPTIMUS
5490134663,win,Ranked Solo,2021-10-04 04:19:01,15m 19s,8,3,8,5.33:1,empty,empty,Lucian,Grandmaster,empty,Anivia,nakreB v2,Lillia,Expecto Patrounm,Zed,CS Big Boss,Lucian,Icelandwinter,Nami,euw tourist,Yone,FrozenHuntsman,Hecarim,Airron,Ekko,iLL F13RC3 ,Miss Fortune,WTX Scripter,Yuumi,Qnoxs
5488917148,win,Ranked Solo,2021-10-03 19:44:05,24m 10s,14,4,12,6.50:1,Double Kill,MVP,Lee Sin,Grandmaster,empty,Sylas,AST MagiFelix,Evelynn,Μaverick,Fiora,TurningBackTime1,Aphelios,avarice61,Camille,High Øn Life,Malphite,Bestejdercan,Lee Sin,Icelandwinter,LeBlanc,Po Gap,Kai'Sa,mihaitzaboss,Amumu,sixsixsi666
5488892579,win,Ranked Solo,2021-10-03 18:50:41,18m 31s,6,1,10,16.00:1,MVP,empty,Taliyah,Grandmaster,empty,Akali,Pakk,Taliyah,Icelandwinter,Zed,TwTv iljimaeLoL,Lucian,Andolos,Pyke,Fabrik Linus ,Renekton,Fabrikant Sebi,Shaco,Rollie Rambo,Sylas,SlXTEN,Samira,Po Gap,Rakan,Pehrson
5488592437,lose,Ranked Solo,2021-10-03 08:39:53,27m 53s,6,7,2,1.14:1,Double Kill,empty,Qiyana,Grandmaster,empty,Urgot,bausffs movement,Zac,BR Lord Semi,Syndra,BOXDEL NAURA,Lucian,Achuu,Nami,NanamiHakuya,Tryndamere,5454545454,Qiyana,Icelandwinter,LeBlanc,slowq9zb,Ezreal,nrmn,Rakan,KwK AlVaRo710
5488525086,win,Ranked Solo,2021-10-03 07:48:02,30m 55s,19,4,7,6.50:1,Double Kill,MVP,Lucian,Grandmaster,empty,Darius,H ι r o,Lee Sin,ImJony,Irelia,Saulius 10,Ziggs,Kaor1,Rell,lolNash,Camille,KURU DUT,Poppy,better bot win1,Galio,TESLA OPTIMUS,Lucian,Icelandwinter,Gragas,UOL Doedalo
5488383256,win,Ranked Solo,2021-10-03 06:22:25,32m 51s,3,11,8,1.00:1,empty,empty,Samira,Grandmaster,empty,Gangplank,masked gamer XD,Lee Sin,jarda jagr,Ryze,msfvetheo1,Samira,Icelandwinter,Rell,TESLA OPTIMUS,Gragas,Sips Freelo,Zed,jungle dream,LeBlanc,Reu,Lucian,motus vetiti,Amumu,Targamas
5487498775,lose,Ranked Solo,2021-10-02 19:56:26,22m 1s,2,9,4,0.67:1,empty,empty,Ryze,Grandmaster,empty,Urgot,bausffs movement,Lee Sin,Cinkrofffffffff,Ryze,Icelandwinter,Ziggs,PQPAANLS,Rell,Fabrik Linus ,Wukong,Laí zì shan dong,Qiyana,sheo test acc,Cassiopeia,asdfghjklqwe,Jhin,coza,Nami,schifosoemerdoso
5487503808,win,Ranked Solo,2021-10-02 19:18:52,30m 57s,11,4,6,4.25:1,Double Kill,MVP,Ezreal,Master,empty,Sett,Not nexo rdy,Talon,tempsjgjlgslchok,Tristana,Sebeks,Karthus,Cast,Nami,In Midnight Clad,Camille,Xhen Doo,Shyvana,NiuNai,Zed,TwTv iljimaeLoL,Ezreal,Icelandwinter,Xerath,židovskej cigan
5487459673,lose,Ranked Solo,2021-10-02 18:39:34,23m 48s,5,7,13,2.57:1,Triple Kill,ACE,Jarvan IV,Master,empty,Riven,uhm oh ok,Jarvan IV,Icelandwinter,Akali,Blodreinaaaaa,Draven,DIGESTHUMANFLESH,Galio,Humongous Dongus,Irelia,FB Kunduz,Qiyana,Skeanz,Sylas,TC Hú Táo,Samira,Strzelec Patryś,Amumu,USE Dreamer Ace
5487159159,win,Ranked Solo,2021-10-02 08:10:31,24m 57s,10,4,7,4.25:1,Double Kill,MVP,Lee Sin,Grandmaster,empty,Shen,dont be yikes,Lee Sin,Icelandwinter,Ryze,Doinbibi,Draven,DIGESTHUMANFLESH,Nautilus,Kaor1,Sett,Gabbo,Nidalee,Cedeiix,Yone,Po Gap,Lucian,Frank Horrigan,Lulu,Mike Wazοwski
5487146477,win,Ranked Solo,2021-10-02 07:37:26,15m 26s,7,2,9,8.00:1,empty,empty,Lee Sin,Grandmaster,empty,Aatrox,Gabbo,Talon,Lurox,Ziggs,0711 DoggyDingus,Yone,Po Gap,Bard,LiL TommyG,Fiora,wakeuptoreaIity,Lee Sin,Icelandwinter,LeBlanc,slowq9zb,Tristana,C9 ZVENNN,Pyke,death ends
5487162320,win,Ranked Solo,2021-10-02 07:15:51,21m 5s,5,2,13,9.00:1,Double Kill,empty,Taliyah,Grandmaster,empty,Aatrox,wakeuptoreaIity,Taliyah,Icelandwinter,Tryndamere,Tu po zi wo,Samira,mihaitzaboss,Nautilus,azerty1,Camille,CLS TGDUELIST,Qiyana,Expecto Patrounm,Malphite,purelove4,Lucian,bean3,Nami,BenBenaset
5487010421,win,Ranked Solo,2021-10-02 06:48:05,15m 57s,9,0,9,Perfect,Double Kill,MVP,Kindred,Grandmaster,empty,Gangplank,Beartree,Kindred,Icelandwinter,LeBlanc,Einard,Yasuo,noobYas,Alistar,14yo smurf ,Dr. Mundo,Govna Isusova,Viego,IIIlIllIIIllIll,Ryze,DahVysss,Draven,SWENZUUUUUUUUUUU,Thresh,LEBOUCHERRRRRRR
5486784163,win,Ranked Solo,2021-10-02 05:19:54,29m 40s,5,6,4,1.50:1,empty,empty,Irelia,Grandmaster,empty,Camille,JBL ABUSER,Nidalee,Temporal Warden,Irelia,Icelandwinter,Tristana,SAUCE WALKA,Nami,Qnoxs,Shen,Akrowz,Graves,Nathan der Weise,Ryze,maybe f keys ,Heimerdinger,Just an engineer,Senna,Please try hard
5486549790,win,Ranked Solo,2021-10-02 04:40:06,15m 19s,7,1,2,9.00:1,empty,empty,Qiyana,Master,empty,Tahm Kench,No Arm Whatley,Kha'Zix,Final Prince,Twisted Fate,gollygosh69,Lucian,ATL JuJuTw0,Sett,1roNN,Camille,WolfGates,Qiyana,Icelandwinter,LeBlanc,Dvek,Vayne,141414ADADAD,Alistar,Bonya Slade
5486293313,win,Ranked Solo,2021-10-02 01:44:51,14m 52s,14,0,4,Perfect,Double Kill,MVP,Taliyah,Grandmaster,empty,Volibear,ZONGO LE DOZØ,Evelynn,Lοvelorn,Orianna,T0XEC,Draven,Frappii Jabami,Brand,KwK AlVaRo710,Gragas,Babus,Taliyah,Icelandwinter,Yasuo,Tοαst,Miss Fortune,Seelame,Amumu,Chemera
5485868782,lose,Ranked Solo,2021-10-01 20:37:19,23m 12s,9,7,5,2.00:1,empty,empty,Qiyana,Grandmaster,empty,Renekton,Bad timing xd,Lee Sin,CrabAbuser,Ziggs,Bah Rhen ,Jhin,Ayrton Edison,Amumu,Leon der Leon,Riven,Ugglaann,Qiyana,Icelandwinter,LeBlanc,Einard,Ezreal,Gilius1,Pyke, JungDostoevskiy
5485904366,lose,Ranked Solo,2021-10-01 20:03:43,32m 6s,13,6,14,4.50:1,ACE,empty,Lee Sin,Master,empty,Aatrox,cursed property,Ekko,lövhögen,Yasuo,Abner,Vayne,laozitianye,Blitzcrank,iwillsav3you,Gragas,Monsieur Oui,Lee Sin,Icelandwinter,Qiyana,TC Hú Táo,Vex,Not nexo rdy,Amumu,1roNN
5485843089,win,Ranked Solo,2021-10-01 19:19:04,24m 59s,11,4,12,5.75:1,Double Kill,empty,Jarvan IV,Master,empty,Singed,Let me fling you,Shaco,Mad Scìentist,Ryze,Davidssonxxx,Tristana,devil in details,Thresh,1roNN,Camille,WolfGates,Jarvan IV,Icelandwinter,Orianna,VNR Thomas Goh,Kai'Sa,VER Yusa,Galio,Dimil Q
5485401367,win,Ranked Solo,2021-10-01 05:20:36,15m 15s,3,1,8,11.00:1,empty,empty,Talon,Master,empty,Dr. Mundo,I like duccs,Rek'Sai,Οppressive,Cassiopeia,Sτoπεd Snαke,Jayce,2Cups,Thresh,Rudolphus Makaay,Rengar,Immobilize,Talon,Icelandwinter,Rumble,Silenceuuu 3,Xerath,Catstyle5,Gragas,PQPAANLS
5485236235,lose,Ranked Solo,2021-10-01 04:56:52,31m 55s,12,10,13,2.50:1,Double Kill,empty,Ziggs,Master,empty,Volibear,Wufoo,Xin Zhao,lövhögen,Tryndamere,5454545454,Twitch,VININE Vibe,Rakan,brKm,Kennen,I like duccs,Hecarim,Doaenel Hecarim,Irelia,Blodreinaaaaa,Ziggs,Icelandwinter,Zilean,UFF grummel
5484890282,win,Ranked Solo,2021-10-01 00:55:06,21m 50s,14,2,9,11.50:1,Triple Kill,MVP,Lucian,Master,empty,Mordekaiser,ANB 9eetoo,Poppy,LDNU Dunlosi,Lissandra,Stunna boy,Lucian,Icelandwinter,Braum,XERSUS7,Sion,TAL7NGXD,Nunu & Willump,HappyPIayer,LeBlanc,Honda zz6,Draven,Dräven,Nami,HuffyDuffy
5484580094,win,Ranked Solo,2021-09-30 19:58:59,31m 55s,7,4,5,3.00:1,Double Kill,empty,Vayne,Master,empty,Shen,wayne rooney10,Graves,2021Worlds,Lissandra,WOL Justas,Vayne,Icelandwinter,Rakan,wywoz botlejnu,Gwen,I AM LOSERS Q,Hecarim,RainbowBud,Yone,X7 Ketsuo,Lucian,2021Worlds0171,Yuumi,UNERSETZBAR
5484392371,win,Ranked Solo,2021-09-30 08:49:30,24m 25s,12,5,15,5.40:1,empty,empty,Lee Sin,Master,empty,Volibear,Honeyβadger,Lee Sin,Icelandwinter,Kog'Maw,woshilqs,Ezreal,edruVenourChovy,Pyke,SiemaTuBoczek,Aatrox,DecentKing,Rek'Sai,Win or Valhalla,LeBlanc,1k LP mid inc,Miss Fortune,Stampé,Thresh,Shawi Katami
5484340836,win,Ranked Solo,2021-09-30 08:15:05,24m 10s,11,0,10,Perfect,Double Kill,MVP,Zed,Master,empty,Graves,2021Worlds,Zed,Icelandwinter,Twisted Fate,UMBBBBBBBBBBB,Lucian,Useless IRL XD,Thresh,ACKERMÁN,Wukong,Quinncidence v3,Taliyah,OnerKING,Yasuo,woshilqs,Kai'Sa,Teddyx6,Blitzcrank,Shawi Katami
5484246157,lose,Ranked Solo,2021-09-30 07:37:35,32m 40s,12,7,6,2.57:1,Double Kill,ACE,Qiyana,Master,empty,Akali,Banande,Qiyana,Icelandwinter,Twisted Fate,Le Jinxsee,Lucian,ANDARlEL,Yuumi,YoRHa No2 Type B,Poppy,Thomas Fäte,Nunu & Willump,Nunu,Azir,XDXDXDXDDDDDDDXD,Jhin,Cast,Thresh,Scaryride
5484047417,win,Ranked Solo,2021-09-30 05:21:30,22m 24s,9,6,9,3.00:1,Double Kill,empty,Qiyana,Diamond 1,empty,Trundle,Molae,Qiyana,Icelandwinter,Rumble,Silenceuuu,Lucian,Nafilan,Nami,iyon ali,Jayce,FluffyMonsta,Nidalee,on a regular,Ekko,OnerKING,Tristana,11235,Yuumi,player 240
5483957355,lose,Ranked Solo,2021-09-30 04:52:46,50m 33s,10,10,9,1.90:1,empty,empty,Talon,Master,empty,Shen,Testomaniak,Shaco,Mad Scìentist,Corki,SirAaron,Vayne,Yoriichı,Nami,CORONA EQUALS 5G,Gnar,ASDASDSAD123,Talon,Icelandwinter,Zoe,Play Date To You,Jinx,IcyRick,Lulu,Aydin
5483889277,win,Ranked Solo,2021-09-30 03:51:21,29m 40s,14,7,11,3.57:1,Double Kill,empty,Talon,Master,empty,Irelia,cenk kocak fan,Talon,Icelandwinter,Corki,Soendergaaard,Ziggs,hu7chyXXXbeifeng,Nami,jhinsamiradraven,Riven,Sοlipsism,Diana,ositosi,Yone,PL Shinobi,Zoe,SW Hitbox,Alistar,Toro Adventures
5483835967,win,Ranked Solo,2021-09-30 03:16:38,22m 2s,12,5,6,3.60:1,Double Kill,MVP,Lucian,Master,empty,Renekton,cenk kocak fan,Taliyah,pospieszny do d1,Twisted Fate,QKI1,Ezreal,table turner44,Nami,LPS TMuKK,Riven,Sοlipsism,Jarvan IV,another world,Ekko,PL Shinobi,Lucian,Icelandwinter,Thresh,QUIXETH
5483768246,lose,Ranked Solo,2021-09-30 02:34:17,21m 44s,5,5,6,2.20:1,empty,empty,Nidalee,Diamond 1,empty,Irelia,Tajoki,Viego,potatoporcupine1,Yone,wawiae,Syndra,T1 Sorry zz,Yuumi,mοtjaaa,Jayce,DONT DISSAPEAR,Nidalee,Icelandwinter,Sett,Twopan,Ziggs,KKBBYYWWOO,Pyke,MeikoKeriaKaiser
5483694369,win,Ranked Solo,2021-09-30 02:05:05,24m 32s,15,6,9,4.00:1,Double Kill,empty,Lucian,Master,empty,Riven,Achilles int acc,Rek'Sai,SidonSidonSidon,Sylas,PALA13 BACK,Lucian,Icelandwinter,Braum,Everfrost King,Aatrox,FengDere,Evelynn,PD Zapdo,Tryndamere,00N ERIXEN,Ezreal,Luntear,Nami,Whx are you
5483051337,lose,Ranked Solo,2021-09-29 20:14:20,38m 56s,9,7,13,3.14:1,Double Kill,empty,Graves,Master,empty,Camille,Rayzorac,Graves,Icelandwinter,Ryze,MarshalJohny,Jhin,Arktoso,Galio,stuck in low,Fiora,StevenPetrosino,Olaf,BornThisWay7,Seraphine,Ryuin,Ezreal,SirAaron,Rakan,niki laudaa
5482980662,lose,Ranked Solo,2021-09-29 19:22:08,12m 56s,2,0,3,Perfect,empty,empty,Lee Sin,Master,empty,Jax,Erilarion,Ekko,Stopfeedanimals,Lissandra,QYURRYUS1,Tristana,KUNKKAPONKA,Rakan,niki laudaa,Volibear,Gucking Foblin,Lee Sin,Icelandwinter,LeBlanc,Ryuin,Aphelios,noitulover,Bard,bartastic
5482674688,lose,Ranked Solo,2021-09-29 08:51:41,20m 20s,5,2,5,5.00:1,ACE,empty,Xin Zhao,Master,empty,Gangplank,Venøur,Xin Zhao,Icelandwinter,Rumble,Viikingr,Draven,Dräven,Morgana,OMG ITS BOKU,Kennen,DONT DISSAPEAR,Nunu & Willump,Lil Ûzi Vert,Tryndamere,5454545454,Samira,Revoker,Lulu,zafccp
5482710774,win,Ranked Solo,2021-09-29 08:20:14,29m 12s,23,3,8,10.33:1,Double Kill,MVP,Talon,Master,empty,Gangplank,Ardent Cuties DM,Jarvan IV,Lil Ûzi Vert,Ryze,Viikingr,Miss Fortune,FPG Remix,Amumu,Taewang,Kennen,DONT DISSAPEAR,Talon,Icelandwinter,Orianna,ItsUniqueCORN,Lucian,KH Komandata,Braum,Luck is my Waifu
5482647651,win,Ranked Solo,2021-09-29 07:41:36,17m 33s,12,1,8,20.00:1,Triple Kill,MVP,Taliyah,Master,empty,Riven,Belu,Taliyah,Icelandwinter,Sett,llamame papi,Irelia,DD Mental,Taric,WillyrexFnboy v3,Shen,WeaksidePlayer1,Qiyana,Expecto Patrounm,Karthus,Addict Addict,Xerath,Myw the king,Pyke,Wheelchair Pyke
5482602289,lose,Ranked Solo,2021-09-29 07:08:06,33m 37s,13,7,14,3.86:1,Double Kill,ACE,Nidalee,Master,empty,Lucian,TheMilkshake000,Nidalee,Icelandwinter,Gangplank,KXNNETH,Caitlyn,Gumadruxy,Lux,Luxxaster,Darius,I AM LOSERS Q,Xin Zhao,ARMATejani2,Azir,Witness Azir,Jhin,JABUT1CABA,Bard,highly ambitious
5482546803,win,Ranked Solo,2021-09-29 06:26:10,25m 14s,10,3,8,6.00:1,Double Kill,empty,Lee Sin,Master,empty,Fiora,Nouji,Shaco,Texhnolyze,LeBlanc,Jin Mu Wοn,Jhin,Kyarh,Bard,TiIbúinn,Jayce,Stargazer7,Lee Sin,Icelandwinter,Syndra,7DANNYPHANTOM7,Lucian,ANDARlEL,Nami,BR0LIA
5481448645,lose,Ranked Solo,2021-09-28 09:47:54,29m 2s,10,6,9,3.17:1,Double Kill,ACE,Talon,Master,empty,Shen,natural valium,Lee Sin,BARYON Aegis,Taliyah,CannonMinion4u,Lucian,czerń koniczyna,Lulu,Kyøya,Tahm Kench,Sangrod,Talon,Icelandwinter,Twisted Fate,F 4 T E,Jinx,Laa7ch ,Shaco,hidIer bin Iaden
5481445550,win,Ranked Solo,2021-09-28 08:59:27,30m 41s,12,4,9,5.25:1,Triple Kill,MVP,Graves,Diamond 1,empty,Fiora,Maged2,Graves,Icelandwinter,Anivia,Políko,Jinx,kcvawsreiuyopdgz,Amumu,Qakilkleltil,Tryndamere,Twopan,Nidalee,FTE e4ever24,Sylas,Këra,Ashe,Laa7ch ,Pyke,MeikoKeriaKaiser
5481286686,win,Ranked Solo,2021-09-28 07:13:37,21m 37s,5,4,7,3.00:1,Double Kill,empty,Nidalee,Diamond 1,empty,Fiora,Nice Guy Ben,Nidalee,Icelandwinter,Pantheon,R I Ν,Draven,bigdaddytim45,Yuumi,player 240,Kennen,DONT DISSAPEAR,Rek'Sai,miś uszatek,Ekko,kłapouchy,Miss Fortune,youarealltrash,Rakan,Wheelchair Pyke
