gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
2352403391,win,Ranked Solo,2021-09-10 12:25:47,35m 45s,11,6,10,3.50:1,Double Kill,empty,Ekko,Master,empty,Camille,Bh Japa,Ekko,Aegis,Tristana,astro,Yasuo,Nínjá,Lulu,SUPaulista,Renekton,hinokagutsuchi,Diana,SateIla Tan,Fizz,TSK Katfish,Kai'Sa,ataides1,Yuumi,Artic
2346148052,win,Ranked Solo,2021-09-01 12:19:30,27m 17s,7,3,6,4.33:1,Double Kill,MVP,Graves,Grandmaster,empty,Ornn,doravante,Evelynn,keio,Graves,Aegis,Vayne,Klaus,Lulu,CIaudão,Sett,Nínjá,Lee Sin,os mlk tem fal,Qiyana,Portuga,Veigar,the bitter end,Taric,Pronect
2345990120,lose,Ranked Solo,2021-09-01 07:55:14,35m 2s,10,10,6,1.60:1,ACE,empty,Lee Sin,Master,empty,Renekton,edenzin,Lee Sin,Aegis,Corki,BERALDO ENSINA,Ezreal,SimCat,Sona,Mainker,Kayle,QUINDINHO,Shaco,kkkbb,Akshan,zKramer,Lucian,CNB Th3Shadow,Janna,Ekiatsu
2345918478,lose,Ranked Solo,2021-09-01 07:10:41,10m 47s,0,2,0,0.00:1,empty,empty,Lee Sin,Master,empty,Jax,The Elysium,Lee Sin,Aegis,Kog'Maw,Quybaratto,Aphelios,SimCat,Yuumi,Mainker,Sett,RickDreamer,Nidalee,SOONY0UNG,Irelia,CBLOLRIOACC120,Jhin,Wooda,Rakan,TheLastUwUardian
2345837917,lose,Ranked Solo,2021-09-01 05:02:54,21m 30s,5,6,0,0.83:1,empty,empty,Vayne,Grandmaster,empty,Lucian,KmarT,Kha'Zix,Mein Caçador,LeBlanc,Shoiti,Vayne,Aegis,Thresh,PinguizinhoDoDab,Ornn,Tepeu,Ekko,Xinxa1,Katarina,TAGITAM,Ashe,faithz,Nautilus,Byaninho De Mauá
2345862685,win,Ranked Solo,2021-09-01 04:10:18,28m 33s,15,3,8,7.67:1,Double Kill,MVP,Graves,Master,empty,Kennen,Fersinho,Olaf,Só Luh,Anivia,Ps And Qs,Lucian,Portgas DD Ace,Nami,Sakura Mai,Camille,haterdeproplay3r,Graves,Aegis,Aurelion Sol,kaito,Varus,hudison,Zyra,L0YSamurai
2345785749,win,Ranked Solo,2021-09-01 02:06:14,26m 6s,6,3,6,4.00:1,empty,empty,Ekko,Master,empty,Aatrox,Maikai,Ekko,Aegis,Aurelion Sol,kaito,Ezreal,woke,Nautilus,Tihuanna,Cassiopeia,Neguinho Do Açaí,Xin Zhao,Son Davas,Talon,Alles ist Jetzt,Lucian,Voti,Thresh,guìgs
2345784018,win,Ranked Solo,2021-09-01 01:29:22,21m 1s,12,2,4,8.00:1,Double Kill,MVP,Graves,Grandmaster,empty,Riven,Distinct,Graves,Aegis,Sylas,moontalkk,Varus,faithz,Thresh,CHAINS N THINGS,Lucian,KmarT,Jarvan IV,Talon A1,Ryze,Grevzin,Ezreal,Brance de Neve,Yuumi,ap bot
2345752312,lose,Ranked Solo,2021-09-01 00:57:55,34m 41s,19,5,6,5.00:1,Triple Kill,ACE,Lee Sin,Master,empty,Renekton,Hillszera,Taliyah,nukan2,Aurelion Sol,TRUE Olkaida,Varus,Manjirö Sänö,Thresh,Pittt,Riven,Fuuu,Lee Sin,Aegis,Swain,Motakun,Samira,ap bot,Pyke,MonoPykeManiaco
2345699586,lose,Ranked Solo,2021-08-31 23:48:47,20m 54s,1,10,3,0.40:1,empty,empty,Camille,Master,empty,Camille,Aegis,Lee Sin,i will be worthy,Vladimir,xsfcdazzzzzzzz,Aphelios,witchouse,Thresh,r0t,Illaoi,AST Lellis,Zac,Kütarö,Neeko,Vk Ghostt,Ezreal,Storm 8,Sona,Poyson
