gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490177211,win,Ranked Solo,2021-10-04 05:20:37,18m 39s,5,1,5,10.00:1,empty,empty,Taliyah,Master,empty,Urgot,LFT Dunks,Taliyah,BARYON Aegis,Yone,2Cups,Lucian,Gwendy Stacy,Karma,Λ R V E N ,Renekton,Shiawase,Graves,NHWK,Katarina,EU Katarina Gosu,Ezreal,R0o2,Rakan,Shákku
5488598355,win,Ranked Solo,2021-10-03 09:44:07,21m 54s,3,3,8,3.67:1,empty,empty,Lee Sin,Master,empty,Jax,Kimchi warrior1,Lee Sin,BARYON Aegis,Rumble,boli mnie głowa,Aphelios,11235,Thresh,Jamsu,Tahm Kench,LittIe Trouble,Rengar,sako meile gydo,Sylas,SOU LINDOO,Kai'Sa,StephenChe,Leona,PLS SAVE ME PLS
5488643177,win,Ranked Solo,2021-10-03 09:05:43,31m 33s,8,4,6,3.50:1,Double Kill,empty,Ezreal,Master,empty,Sion,REVIENS A KONOHA,Shyvana,Hamudis,Qiyana,PAMELA DINDON,Tristana,KDavid02,Lulu,Capitana Nugget,Akali,FPG Yama,Graves,icelandxuechan,Karma,kweis,Ezreal,BARYON Aegis,Bard,LiL TommyG
5487660383,win,Ranked Solo,2021-10-02 22:04:12,32m 30s,17,6,8,4.17:1,Double Kill,empty,Qiyana,Master,empty,Sett,Xeronic,Qiyana,BARYON Aegis,Irelia,Gαlaxy,Karthus,Boycott s11,Leona,Cuboño,Gnar,Beeeeen voyons,Lee Sin,ESP Stefannootje,Gragas,Mandag Unchained,Ziggs,RoIIs Royce,Thresh,Èveuh
5487654935,lose,Ranked Solo,2021-10-02 21:11:53,25m 40s,3,6,8,1.83:1,ACE,empty,Lillia,Master,empty,Aatrox,Zuhaîb,Lillia,BARYON Aegis,Qiyana,Twitch Ag0nyPain,Lucian,AD723,Yuumi,BaJί,Camille,I AM LOSERS Q,Nidalee,snail xD,Ekko,ZFLESZEM  Choco,Miss Fortune,Ox Caliste ,Amumu,Eneino
5487268926,win,Ranked Solo,2021-10-02 10:16:05,32m 16s,9,6,6,2.50:1,Triple Kill,empty,Kha'Zix,Master,empty,Graves,2021Worlds0113,Kha'Zix,BARYON Aegis,Kayle,Moeless,Draven,efiL,Rakan,F tier supp,Irelia,Beeeeen voyons,Qiyana,Insmnia v2,LeBlanc,Unyielding Hero,Lucian,something 2 lose,Pantheon,QUIXETH
5487217536,win,Ranked Solo,2021-10-02 09:34:48,32m 22s,8,9,13,2.33:1,empty,empty,Ezreal,Master,empty,Tryndamere,2021Worlds0113,Qiyana,Vichen1,Katarina,sako meile gydo,Ezreal,BARYON Aegis,Yuumi,Misxki,Irelia,dajor25 movement,Nidalee,Insmnia v2,Yone,byeeeeeee,Vayne,Moeless,Soraka,baxeler
5487261190,lose,Ranked Solo,2021-10-02 08:34:12,28m 2s,12,10,7,1.90:1,ACE,empty,Ekko,Master,empty,Singed,LevelZeroFangirl,Ekko,BARYON Aegis,Yasuo,Cypiisuo,Lucian,Mindrago,Nami,Màrtîn Dérèk,Ornn,TwTv Makkro0,Jarvan IV,Geldo,Ryze,2021Worlds0058,Kai'Sa,NEWSUN Fans,Amumu,stuck in low
5485641400,win,Ranked Solo,2021-10-01 09:49:25,20m 26s,15,0,5,Perfect,Quadra Kill,MVP,Ekko,Master,empty,Gnar,Beeeeen voyons,Ekko,BARYON Aegis,Yone,QKI1,Lucian,RAAD SAN,Nami,LPS TMuKK,Jax,ssibal mosquitos,Diana,icelandxuechan,Ryze,The Fat Buddha,Ezreal,Avra 456,Annie,MrBeastInDaHouse
5485618271,lose,Ranked Solo,2021-10-01 09:21:54,15m 48s,2,8,0,0.25:1,empty,empty,Karthus,Master,empty,Camille,TheShygenda,Fiddlesticks,NoxchiTwitch,Zoe,Play Date To You,Twitch,Undercover BilbY,Lulu,Heimskáut réfur,Yasuo,NuClEeEaRrRINtTT,Kindred,Trizzy Mizzy,Kennen,DONT DISSAPEAR,Karthus,BARYON Aegis,Janna,MrBeastInDaHouse
