gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
2352422229,win,Ranked Solo,2021-09-10 12:12:17,33m 14s,9,6,6,2.50:1,Double Kill,empty,Tryndamere,Master,empty,Camille,Limites,Gragas,TSK Gago,Tryndamere,presetdocalabras,Lucian,park do hyeon,Nami,Miuk,Jax,Sparked,Master Yi,MASTER YI DOENTE,Lux,Triat,Ezreal,tufi,Seraphine,Andrezzo
2352087144,lose,Ranked Solo,2021-09-10 03:06:18,16m 9s,4,6,1,0.83:1,Double Kill,empty,Tryndamere,Challenger,empty,Aatrox,Jamal1,Lee Sin,Nínjá,Tryndamere,presetdocalabras,Aphelios,RNS Yuri,Soraka,slakdkjdfkdkf,Darius,VINl1,Diana,ZUAO 34,Yone,Zayco,Kai'Sa,Brance de Neve,Yuumi,Micelatos
2351770117,lose,Ranked Solo,2021-09-09 12:46:38,16m 9s,2,5,5,1.40:1,empty,empty,Irelia,Grandmaster,empty,Ezreal,sneez 9,Nidalee,juststopcaring,Irelia,presetdocalabras,Vayne,polo capalot,Yuumi,Misales,Mordekaiser,AST Lellis,Xin Zhao,Ciarán McDonald,Karthus,Mandioguila,Samira,Brance de Neve,Leona,Riiquee
2351525737,lose,Ranked Solo,2021-09-09 07:17:22,29m 54s,8,5,8,3.20:1,ACE,empty,Sylas,Master,empty,Camille,Gugu H4rd2K1ll,Master Yi,MatheusBT,Ryze,djh4jdfsy,Varus,Hynashi,Trundle,little zay,Sett,reverse,Xin Zhao,Byun fanboy,Sylas,presetdocalabras,Samira,marea forjado,Thresh,Inimigo do satan
2351423160,win,Ranked Solo,2021-09-09 04:44:03,25m 14s,8,5,2,2.00:1,Double Kill,empty,Akali,Master,empty,Gangplank,hawkyano,Xin Zhao,9076,Akali,presetdocalabras,Tristana,mööncake,Amumu,guìgs,Irelia,BRB Dante,Olaf,Big Genos,Rumble,Nyu,Draven,De crocs ,Sona,copydog
2351349600,win,Ranked Solo,2021-09-09 04:08:10,30m 25s,14,6,8,3.67:1,Double Kill,MVP,Jayce,Master,empty,Aatrox,Daydream1,Viego,Kirä1,Azir,ToushirouZ,Jhin,De crocs ,Thresh,BIoo,Jayce,presetdocalabras,Rammus,Espeto de Tatu,LeBlanc,L0YSamurai,Lucian,MALOTE C A TROPA,Amumu,Tsuda
2351306604,lose,Ranked Solo,2021-09-09 03:00:41,24m 6s,4,8,3,0.88:1,Double Kill,empty,Fiora,Master,empty,Akali,RickDreamer,Kindred,european boy,Cassiopeia,FATUS,Lucian,i rly dont care,Yuumi,GFN Thiagolamen,Fiora,presetdocalabras,Nidalee,NovatoCarry,Aurelion Sol,Guns The Noob,Ezreal,arimorij,Gragas,nero 16y
2351343254,win,Ranked Solo,2021-09-09 02:16:55,21m 30s,9,3,6,5.00:1,empty,empty,Lucian,Master,empty,Singed,FRÉUZIN ANOMALIA,Rumble,Byun fanboy,Qiyana,levi final boss,Aphelios,TBZ Enzo,Nami,GFN Thiagolamen,Shen,Tosh1r0,Amumu,RONINJA99,Lucian,presetdocalabras,Ezreal,klaus apeludo,Sona,Sou mudo
2351102624,lose,Ranked Solo,2021-09-08 13:55:00,36m 45s,9,5,5,2.80:1,ACE,empty,Graves,Grandmaster,empty,Aatrox,Jamal1,Kha'Zix,EloHigh Sylaas,Talon,Alles ist Jetzt,Ryze,g1yu,Seraphine,Riiquee,Graves,presetdocalabras,Kayn,FK Knight,Darius,7137913373,Sona,angelic,Sett,bulas
2351019862,lose,Ranked Solo,2021-09-08 12:44:54,30m 31s,8,10,4,1.20:1,Double Kill,empty,Irelia,Master,empty,Camille,Bh Japa,Viego,JUNIN SACANAGEM,Irelia,presetdocalabras,Ashe,2891743198245712,Taric,Pronect,Fiora,Alfalippi,Lee Sin,KamiQats,Karthus,Mandioguila,Zoe,WADY,Pyke,Twitch Shyky
