gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490103323,win,Ranked Solo,2021-10-04 04:04:54,16m 11s,3,1,5,8.00:1,empty,empty,Ezreal,Master,empty,Fiora,Nice Guy Ben,Hecarim,MΑRΤ,Xerath,Jukester,Vayne,Moeless,Rakan,DUMAN,Wukong,GO GET IT,Nunu & Willump,PD Zapdo,Yone,2021Worlds0019,Ezreal,B99 PERALTHAR,Bard,Lil Ûzi Vert
5489938778,win,Ranked Solo,2021-10-04 03:34:07,20m 13s,6,3,2,2.67:1,empty,empty,Sylas,Grandmaster,empty,Gnar,NOV4 FreeParking,Rumble,chovy jg acc,Yone,BROHAN AND SEKKI,Seraphine,DUMBOKILLER88,Janna,Celterr1,Kennen,Shroom DeaIer,Lee Sin,Saulius 10,Sylas,B99 PERALTHAR,Jhin,Arktoso,Nami,Aegis fangirlQAQ
5489202400,win,Ranked Solo,2021-10-03 22:51:39,23m 4s,5,5,6,2.20:1,empty,empty,Cassiopeia,Master,empty,Yone,Dzukill,Viego,VIEEGOL ESIN,Cassiopeia,B99 PERALTHAR,Ashe,AD723,Xerath,židovskej cigan,Vayne,MajorAlexander1,Kha'Zix,Tanu,Veigar,Austrian Yi,Tristana,mol4at doma,Sylas,r plus seven
5488624170,win,Ranked Solo,2021-10-03 09:06:21,25m 12s,4,3,3,2.33:1,empty,empty,Akali,Master,empty,Gnar,tbh just kill me,Taliyah,Spοoky,Akali,B99 PERALTHAR,Ezreal,Illindeli,Alistar,dzc,Fiora,lennylennylenny,Fiddlesticks,pospieszny do d1,Yone,ECkz,Vayne,Whiterog,Soraka,baxeler
5488578963,lose,Ranked Solo,2021-10-03 08:29:43,23m 32s,2,8,0,0.25:1,empty,empty,Yone,Master,empty,Sett,Stumpyyy,Jarvan IV,J3kko,Sylas,Viikingr,Lucian,Whiterog,Nami,wow cold,Irelia,FIX SOL0Q,Morgana,Maaz Patel,Yone,B99 PERALTHAR,Aphelios,dzc,Karma,LVG White Lotus
5487746170,win,Ranked Solo,2021-10-02 22:29:54,15m 21s,3,0,2,Perfect,empty,empty,Yone,Master,empty,Kayle,89 fds 126,Lee Sin,TTVlateroviann99,Yone,B99 PERALTHAR,Lucian,Ruined Crazyadri,Nami,LP ADDICTED,Fiora,Govna Isusova,Taliyah,chovy jg acc,Ryze,VER Jadran,Jhin,Eneino,Nautilus,Paixdia
5487282171,win,Ranked Solo,2021-10-02 10:44:19,36m 32s,14,7,14,4.00:1,Double Kill,empty,Akali,Master,empty,Jayce,GS 5,Rumble,Stay Present,Cassiopeia,Demon Pun1sher,Ezreal,CarNando is real,Nautilus,PD Lynx,Malphite,Beartree,Rek'Sai,MainJorogumo evo,Akali,B99 PERALTHAR,Samira,Gatito Xikito,Sona,Jae
5487218854,win,Ranked Solo,2021-10-02 09:41:13,19m 37s,8,2,4,6.00:1,Double Kill,empty,Irelia,Grandmaster,empty,Warwick,Tokz,Evelynn,Roulette,Irelia,B99 PERALTHAR,Ezreal,sajatoruu,Amumu,Christian Lenz,Urgot,bausffs movement,Master Yi,L1L1PP,Sylas,nukëduck,Kai'Sa,maybe f keys ,Yuumi,Champ Tester
5487245718,win,Ranked Solo,2021-10-02 09:08:02,15m 28s,6,1,2,8.00:1,Double Kill,MVP,Irelia,Master,empty,Renekton,dont be yikes,Taliyah,Aurora time,Irelia,B99 PERALTHAR,Miss Fortune,CREØN,Janna,Celterr1,Poppy,Stumpyyy,Ekko,Maxlore,Sett,sajatoruu,Jhin,Zergsting,Leona,Roulette
5486923963,lose,Ranked Solo,2021-10-02 05:28:21,25m 7s,6,8,1,0.88:1,Double Kill,empty,Sylas,Master,empty,Kennen,borcigendale,Graves,SMB Kireas,Yone,FrostSize,Miss Fortune,RED 7itaN ,Rakan,Nezuko san,Sion,Ragnér3,Lee Sin,Tigazz,Sylas,B99 PERALTHAR,Aphelios,Ukranian,Leona,2021Worlds0173
5486409179,win,Ranked Solo,2021-10-02 03:41:52,21m 40s,8,2,3,5.50:1,Double Kill,empty,Sylas,Master,empty,Mordekaiser,sorrrrrrry,Kindred,Want to do well,Karma,TheNextLeGgenD,Ezreal,Secret Weapοn,Galio,Jojonet,Shen,Tank of Romania,Morgana,Maaz Patel,Sylas,B99 PERALTHAR,Vayne,i like marksman,Rakan,Prøgress
5485682859,lose,Ranked Solo,2021-10-01 10:51:01,25m 42s,2,5,2,0.80:1,ACE,empty,Irelia,Master,empty,Sylas,lI Werlyb Il,Taliyah,Mr Tickle,Qiyana,DÄMONEN,Jinx,xumäS,Zilean,Stunna boy,Shen,GNØLF SAMSON,Graves,Upset,Irelia,B99 PERALTHAR,Seraphine,Veignorennn,Soraka,VGIA Kasing
