gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
2352213896,lose,Ranked Solo,2021-09-10 07:21:06,31m 43s,9,7,6,2.14:1,empty,empty,Ryze,Grandmaster,empty,Dr. Mundo,Sparked,Kha'Zix,voices in m head,LeBlanc,qqqqqqqqqqwww,Draven,Nevard,Pantheon,wilmat23,Camille,bankai,Nidalee,CycleConrad,Ryze,Grevzin,Lucian,netuno3,Janna,wu swords
2351474412,win,Ranked Solo,2021-09-09 06:26:01,20m 18s,3,1,4,7.00:1,Double Kill,MVP,Akali,Grandmaster,empty,Riven,Distinct,Kha'Zix,Pepe,Azir,Washin,Kalista,Lost tupper1,Leona,ZAYBAS,Maokai,AST Lellis,Kayn,FK Knight,Akali,Grevzin,Aphelios,mockingbirdsong,Taric,Pronect
2348292747,lose,ARAM,2021-09-04 23:02:57,20m 51s,16,8,22,4.75:1,Triple Kill,empty,Aatrox,empty,empty,Twitch,Arcadios,Anivia,Yolo Vega,Bard,Zy0n,Singed,RyuDraco,Ivern,Veritasen,Varus,Mizluos,Yasuo,F de Flash,Lee Sin,Lord Seyren,Ashe,phyroburN,Aatrox,Grevzin
2345880577,lose,Ranked Solo,2021-09-01 06:02:23,44m 37s,9,6,10,3.17:1,ACE,empty,Ryze,Master,empty,Riven,RIVEN KING,Karthus,Cadila,Qiyana,Jupruivo ,Xayah,Arthur o babuino,Thresh,Tihuanna,Volibear,Joseph Joéstar,Gangplank,yayaana,Ryze,Grevzin,Miss Fortune,Vernice Kus,Nautilus,PUC Dango
2345826769,win,Ranked Solo,2021-09-01 04:54:44,30m 36s,23,5,9,6.40:1,Triple Kill,MVP,Ryze,Master,empty,Malphite,LGC Leafeon,Jarvan IV,Stoic Sloth,Ryze,Grevzin,Jhin,quantity,Zyra,L0YSamurai,Gwen,Paraíba,Lee Sin,NiT Cesar,Xerath,Döggo,Lucian,lofi oceans,Nami,Togepi
2345840026,win,Ranked Solo,2021-09-01 03:27:43,41m 39s,14,4,14,7.00:1,Double Kill,MVP,Ryze,Master,empty,Jax, samukinha,Olaf,Mein Caçador,Gangplank,TURBO BROKEN,Ezreal,O Sol Dourado,Nami,Bora cantar gay,Darius,CHAVERINHO,Kha'Zix,Mortifer,Ryze,Grevzin,Karthus,HAHAAHHAHAHAXDD,Taric,Pronect
2345796221,lose,Ranked Solo,2021-09-01 02:31:01,26m 18s,5,4,9,3.50:1,Double Kill,empty,Syndra,Master,empty,Gnar,ataides1,Diana,Dãny,Yasuo,peIz,Heimerdinger,Billy 1000,Senna,Redentor2,Dr. Mundo,valhalla is real,Amumu,Rato Wilson,Syndra,Grevzin,Ezreal,neyzz,Yuumi,Artic
2345784018,lose,Ranked Solo,2021-09-01 01:29:22,21m 1s,4,9,5,1.00:1,empty,empty,Ryze,Grandmaster,empty,Riven,Distinct,Graves,Aegis,Sylas,moontalkk,Varus,faithz,Thresh,CHAINS N THINGS,Lucian,KmarT,Jarvan IV,Talon A1,Ryze,Grevzin,Ezreal,Brance de Neve,Yuumi,ap bot
2345605384,lose,Ranked Solo,2021-08-31 13:06:50,23m 11s,1,7,4,0.71:1,empty,empty,Lucian,Grandmaster,empty,Darius,BONECÃO ABUSER ,Kayn,jj miss u,Karthus,Mandioguila,Lucian,Grevzin,Thresh,Griba1,Tahm Kench,Xinxa1,Kha'Zix,voices in m head,Lux,Jupruivo ,Graves,Oganja Braddock,Rell,guìgs
2345632077,lose,Ranked Solo,2021-08-31 12:24:44,24m 56s,12,6,3,2.50:1,Double Kill,ACE,Ryze,Master,empty,Sett,Zayto,Karthus,GUBI 14,Ahri,Seithr,Varus,Defendinnn,Ashe,Yap,Camille,Bh Japa,Xin Zhao,Juanito1,Ryze,Grevzin,Jhin,Twitch oleandrao,Yuumi,Aromage
2345569438,lose,Ranked Solo,2021-08-31 11:46:49,21m 18s,4,5,3,1.40:1,ACE,empty,Irelia,Master,empty,Sett,orange gap,Mordekaiser,CBR Y1NY4NG,Irelia,Grevzin,Caitlyn,Shibe,Lulu,RabbitRush,Rengar,arlon547,Lillia,Amo Abelhas,Graves,Oganja Braddock,Ashe,Storm 8,Thresh,Yap
2345536692,win,Ranked Solo,2021-08-31 11:18:39,25m 27s,5,1,2,7.00:1,empty,empty,Akali,Master,empty,Kennen,Sparked,Trundle,310 clear,Irelia,CBLOLRIOACC120,Jhin,TheCortez,Karma,cute,Renekton,Luks Said,Jarvan IV,Lee Seung yong,Akali,Grevzin,Kalista,LOUD Vitin,Zilean,Kaninom
2344950908,win,Ranked Solo,2021-08-30 13:51:45,38m 27s,5,7,12,2.43:1,empty,empty,Lee Sin,Master,empty,Skarner,Skarner,Gragas,hate this city,Lucian,presetdocalabras,Kai'Sa,Xncdwebkaql,Janna,Slint,Wukong,love wukong,Lee Sin,Grevzin,Lux,lourís,Ziggs,RedBert,Sona,TakeruX
2343765689,win,Ranked Solo,2021-08-29 07:16:31,25m 47s,13,2,8,10.50:1,Double Kill,MVP,Sylas,Grandmaster,empty,Jayce,polo capalot,Gragas,self hater,Yasuo,kyu xd,Ezreal,LBJ23GOAT,Alistar,H A,Kennen,Dj LuzAzul,Nocturne,marques1,Sylas,Grevzin,Vayne,favela vai vence,Leona,Looooooooook
2343411281,lose,Ranked Solo,2021-08-29 00:15:09,19m 57s,1,7,4,0.71:1,empty,empty,Sylas,Master,empty,Darius,polo capalot,Lee Sin,KNG SrDTorres II,Kog'Maw,Quybaratto,Sivir,AltTabo,Karma,yMegumin,Jayce,Pior do Prédio,Nidalee,Mami Lo Siento,Sylas,Grevzin,Vayne,Vindicate,Morgana,miTzkyyy
2343358844,win,Ranked Solo,2021-08-28 23:37:33,25m 29s,12,3,8,6.67:1,Double Kill,MVP,Sylas,Master,empty,Anivia,Raul Mono Anivia,Jarvan IV,twitch kadaki1,Aurelion Sol,TRUE Olkaida,Kai'Sa,jackeyluv,Leona,Asawaka,Yasuo,FIND NEXT LEVEL,Gragas,ShaytanHuntar,Sylas,Grevzin,Kalista,TK RAPS,Nautilus,Bibico1
2343041668,win,Ranked Solo,2021-08-28 08:21:59,21m 41s,13,0,7,Perfect,Double Kill,MVP,Varus,Master,empty,Fiora,Zen Ohh,Olaf,Euvolulndo,Twisted Fate,Z BlackShiny,Varus,Grevzin,Karma,KDA Sona,Ornn,Maikai,Lee Sin,One wínged angel,Lux,Tibbers Triste,Lucian,BK FROID DJONGA,Nami,Aulelo
2342742698,lose,Ranked Solo,2021-08-28 02:12:46,20m 30s,3,5,3,1.20:1,empty,empty,Kennen,Master,empty,Gangplank,neyzz,Viego,xsfcdazzzzzzzz,Kennen,Grevzin,Aphelios,CIRILAO DO RODO,Nami,Gräyy,Jayce,FLA SuperCIeber,Ekko,Mauriciog7,Katarina,Kat Fofoqueira,Lucian,LOUD Vitin,Braum,Zen Ohh
2341779534,win,Ranked Solo,2021-08-26 12:47:09,22m 23s,8,1,5,13.00:1,Triple Kill,empty,Akali,Grandmaster,empty,Illaoi,AST Lellis,Ekko,Drakehero,Jayce,Tutsz,Ezreal,obg brazil 2021,Karma,dy4dx,Warwick,Warwick de Crocs,Lee Sin,MTV nukan,Akali,Grevzin,Caitlyn,ap bot,Rakan,Echte Liebe
2341650468,win,Ranked Solo,2021-08-26 07:53:15,22m 9s,10,2,12,11.00:1,empty,empty,Syndra,Grandmaster,empty,Kennen,polo capalot,Viego,TheFoxz,Lucian,Tutsz,Ezreal,LBJ23GOAT,Yuumi,Minerva,Teemo,Arthur Lanches,Jarvan IV,Xínxa,Syndra,Grevzin,Ashe,Doppler1,Trundle,RENANZlNHOOO
2340806226,win,Ranked Solo,2021-08-25 07:31:53,24m 39s,6,4,8,3.50:1,Double Kill,empty,Irelia,Grandmaster,empty,Kennen,LuzAzul,Karthus,310 clear,Irelia,Grevzin,Samira,ap bot,Alistar,Redentor2,Rengar,arlon547,Graves,Nínjá,Akali,yasmim gostosa,Vayne,Kími,Nautilus,etreaI
2340656384,win,Ranked Solo,2021-08-25 05:23:53,21m 41s,6,3,13,6.33:1,empty,empty,Sylas,Master,empty,Kled,elental,Ekko,CNB KreMe,Katarina,Kat Fofoqueira,Aphelios,OXG Turi,Blitzcrank,ySkyTech,Gangplank,Cho Gath,Karthus,jg4587,Sylas,Grevzin,Kai'Sa,quantity,Leona,Zidaniel
2338314140,lose,Ranked Solo,2021-08-21 13:16:12,31m 38s,7,9,17,2.67:1,Double Kill,ACE,Irelia,Master,empty,Jax,O Rafinha,Shaco,Pelé Camisa 10,Irelia,Grevzin,Twitch,Yerleyeh,Lulu,Lucas Barbarini,Camille,shiba nee3,Lee Sin,9076,Kayle,QUINDINHO,Ezreal,Jaydas,Yuumi,TakeruX
