gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
2368368621,win,Ranked Solo,2021-10-04 07:50:34,25m 37s,12,3,7,6.33:1,MVP,empty,Vex,Diamond 2,empty,Sett,xSnøw,Graves,demonic claw,Vex,Kick a boo,Ezreal,BRONX AK TROVÃO,Nami,O FAMOSO NOC,Darius,Eradandan,Ivern,Mr Blu3 Sky,Vladimir,zCxntury,Aphelios,rokx ,Taliyah,zombiebeatz2000
2368345701,lose,Ranked Solo,2021-10-04 07:12:52,25m 47s,3,6,4,1.17:1,empty,empty,Tryndamere,Diamond 3,empty,Volibear,Joseph Joéstar,Rengar,forca,Kassadin,humantrash69,Ezreal,Hipólito1,Morgana,Boq,Sett,xSnøw,Zac,LourençoCooper,Tryndamere,Kick a boo,Aphelios,BRONX AK TROVÃO,Karma,Kuja
2368137163,win,ARAM,2021-10-04 02:00:53,25m 39s,11,14,27,2.71:1,Double Kill,empty,Blitzcrank,empty,empty,Lucian,wrld,Zyra,chelsy,Darius,Anjo Vermelho,Miss Fortune,Paschoin,Blitzcrank,Kick a boo,Vayne,Fabio0Oo,Zoe,NöonMoön,Maokai,shartoon,Samira,Sungamunga,Elise,LioneI
2368154851,win,ARAM,2021-10-04 01:29:27,15m 3s,25,6,20,7.50:1,Triple Kill,empty,Yone,empty,empty,Pantheon,masuper,Warwick,Bombeiiro,Zilean,Fadau,Rumble,Pintor,Tahm Kench,Nirgull,Ezreal,wrld,Leona,chelsy,Ashe,Nozari,Sylas,Azyrofel,Yone,Kick a boo
2368133795,win,ARAM,2021-10-04 01:09:16,23m 47s,16,10,21,3.70:1,Triple Kill,empty,Kha'Zix,empty,empty,Vel'Koz,Rabadao,Nidalee,Lesion,Rengar,Rothmans Draven,Lucian,Mel Azedo,Thresh,Yokï,Veigar,chelsy,Karthus,Vindicta Flame,Galio,Nozari,Syndra,Azyrofel,Kha'Zix,Kick a boo
2368151636,lose,ARAM,2021-10-04 00:40:10,15m 41s,11,7,14,3.57:1,empty,empty,Gragas,empty,empty,Singed,chelsy,Xayah,Nozari,Kai'Sa,Mel Azedo,Yasuo,Azyrofel,Gragas,Kick a boo,Neeko,suggar baby,Kog'Maw,EduGnZ,Blitzcrank,Riveria Ljos Alf,Urgot,adribrb,Thresh,Procrastinate
2368118885,win,ARAM,2021-10-04 00:11:05,21m 1s,9,6,24,5.50:1,empty,empty,Soraka,empty,empty,Veigar,shartoon,Senna,A Loira Odonto,Aatrox,Topi leiner,Caitlyn,Sombra e Vento,Ziggs,hollow015,Fiddlesticks,PodórioDesu,Zilean,chelsy,Leona,Nozari,Ezreal,Azyrofel,Soraka,Kick a boo
2368117392,lose,ARAM,2021-10-03 23:44:42,19m 55s,14,10,8,2.20:1,Double Kill,empty,Rengar,empty,empty,Vel'Koz,Gasurianobi,Vex,Evainescence,Soraka,Zefin,Nidalee,ViDaAr,Jayce,PicoléDePelo,Sett,chelsy,Karma,Spartacus,Jinx,Nozari,Lucian,Azyrofel,Rengar,Kick a boo
2368123397,lose,ARAM,2021-10-03 22:15:34,17m 40s,10,7,11,3.00:1,Double Kill,empty,Ryze,empty,empty,Vel'Koz,meteorodapaixão,Kayle,Vinihil,Viego,Fake People,Morgana,Hector x Bonilla,Zilean,Que Adc Ruim,Lillia,Nozari,Varus,Lu1zera,Neeko,Erisabeta,Kha'Zix,Azyrofel,Ryze,Kick a boo
2367899368,lose,ARAM,2021-10-03 11:00:57,17m 16s,11,10,8,1.90:1,Double Kill,empty,Ryze,empty,empty,Amumu,PurgarinoXRock,Varus,MisterXRock,Akali,Au Chemist,Sona,CB aphrodite,Miss Fortune,Eu não toco Raul,Kayn,Cicinnx,Kayle,chelsy,Rumble,Nozari,Twisted Fate,Azyrofel,Ryze,Kick a boo
2367862886,win,Ranked Solo,2021-10-03 10:01:57,32m 16s,7,6,13,3.33:1,MVP,empty,Tryndamere,Diamond 1,empty,Jax,Rightery,Rengar,goodbye,Qiyana,21 ll stylish S2,Tristana,OXG Turi,Rakan,lFoxFocus,Fiora,KILLAS AK TROVÃO,Taliyah,Menor Ralé,Tryndamere,Kick a boo,Ezreal,FAW Nato,Thresh,Azyrofel
2367837450,lose,ARAM,2021-10-03 08:52:20,12m 41s,9,4,6,3.75:1,Double Kill,empty,Akali,empty,empty,Lulu,Sushi de Lésbica,Gwen,Dontwanna,Janna,Lector,Ashe,Konah,Tristana,Chronaske,Sivir,reigniting15643,Lucian,Grêgas,Ekko,Azyrofel,Akali,Kick a boo,Lissandra,xSnøw
2367835429,lose,ARAM,2021-10-03 08:33:31,16m 56s,15,9,11,2.89:1,Triple Kill,empty,Hecarim,empty,empty,Lux,ritosangrento,Aatrox,faiti,Blitzcrank,Louco pra Quitar,Brand,Kaulino,Zoe,warm you,Nunu & Willump,Sushi de Lésbica,Kindred,Dontwanna,Rumble,Azyrofel,Hecarim,Kick a boo,Senna,xSnøw
2367824444,win,ARAM,2021-10-03 08:12:47,13m 45s,23,5,12,7.00:1,Quadra Kill,empty,Akali,empty,empty,Rell,Yugos,Jayce,goodguyy,Tristana,FPX Yamagata,Azir,Azyrofel,Akali,Kick a boo,Yasuo,reigniting15643,Annie,Sushi de Lésbica,Mordekaiser,Dontwanna,Zilean,Not Powlk,Corki,Contagito
2367659282,win,ARAM,2021-10-03 05:22:59,25m 37s,30,12,24,4.50:1,Penta Kill,empty,Irelia,empty,empty,Nidalee,Novitsky,Riven,Teagoon,Swain,rafongas,Katarina,SpaceProbVoyager,Tristana,526F6C614D6F6C65,Ryze,Azyrofel,Twisted Fate,Pegasus Tenma,Irelia,Kick a boo,Vel'Koz,Yoshi Azul,Gangplank,Travis Escortt
2367646663,lose,ARAM,2021-10-03 04:51:14,27m 28s,23,13,27,3.85:1,Quadra Kill,empty,Draven,empty,empty,Soraka,Guinishir,Vladimir,Deathbedss,Kalista,Azyrofel,Draven,Kick a boo,Neeko,Yoshi Azul,Brand,Gabii chaan,Senna,Kren,Miss Fortune,Neawe,Kha'Zix,Dráken,Yasuo,Akhnatom
2367644509,lose,ARAM,2021-10-03 04:17:32,17m 35s,9,6,12,3.50:1,Triple Kill,empty,Jinx,empty,empty,Fiddlesticks,wethi,Vayne,xZertz,Lee Sin,Azyrofel,Jinx,Kick a boo,Senna,raycaster,Malzahar,Celcius,Teemo,Bunny Lulu,Jhin,Alfred E Newman,Ivern,Leopbz,Rengar,Lïght
2367265084,win,ARAM,2021-10-02 12:54:13,13m 19s,4,5,23,5.40:1,empty,empty,Blitzcrank,empty,empty,Vi,Tinzy,Maokai,Garyel,Vex,Mileena,Kai'Sa,egirl aleijada,Evelynn,Utena,Kayle,wrld,Senna,Ory ARAM,Sett,Tres Angustias,Blitzcrank,Kick a boo,Sona,Danilonk
2367273033,lose,ARAM,2021-10-02 12:34:46,14m 29s,7,6,10,2.83:1,empty,empty,Caitlyn,empty,empty,Maokai,Ory ARAM,Senna,Canys Majoris,Viktor,Josma,Viego,thats so Hayden,Tahm Kench,Kirie S2,Quinn,RAFÃO SACANAGEM1,Poppy,wrld,Xayah,depressiva,Ekko,devils den,Caitlyn,Kick a boo
