gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
2349711746,lose,Ranked Solo,2021-09-06 15:42:25,23m 2s,0,12,3,0.25:1,empty,empty,Darius,Master,empty,Sett,Jakael,Taliyah,mejai supremacy,Yone,kpop enjoyer,Caitlyn,Axia,Seraphine,ahri enthusiast,Darius,ket and ups KEKW,Rengar,ll  Escanor  ll,Jayce,dont be a hero,Karthus,saquedeviski,Lulu,Sigma Gale
2348331620,win,Ranked Solo,2021-09-04 23:22:08,38m 11s,9,15,9,1.20:1,Double Kill,empty,Kennen,Grandmaster,empty,Gnar, Kuzy 1,Olaf,CycleConrad,Aurelion Sol,TRUE Olkaida,Varus,MeGUsTa Pønei,Zyra,Glayde,Kennen,ket and ups KEKW,Zac,Fresço,Vladimir,Lulkinhas,Xayah,RNS Yuri,Rakan,Nanaite
2346337349,win,Ranked Solo,2021-09-01 18:31:33,25m 42s,6,5,4,2.00:1,empty,empty,Kennen,Master,empty,Renekton,bloomïng,Kayn,devil scythe,Vayne,T1 Jean,Aphelios,Bad Milton,Lulu,LBJ23GOAT,Kennen,ket and ups KEKW,Xin Zhao,outcast,Twisted Fate,FA Milo ,Samira,TSK Lunefe,Leona,IsDEAD
2346327667,win,Ranked Solo,2021-09-01 17:56:37,23m 27s,6,6,7,2.17:1,empty,empty,Renekton,Master,empty,Jayce,Jamal1,Kha'Zix,dartora d juliet,Viego,slezzy,Tristana,LBJ23GOAT,Bard,Pirattaa,Renekton,ket and ups KEKW,Master Yi,Master Yì,Ryze,FA Milo ,Ashe,patience itself,Lulu,Julianno Sosa
2346336889,lose,Ranked Solo,2021-09-01 17:21:44,3m 31s,1,0,0,Perfect,empty,empty,Sett,Master,empty,Sett,ket and ups KEKW,Kha'Zix,zlitlleball,Sylas,slezzy,Varus,Kími,Thresh,rip skill sup,Renekton,bloomïng,Jarvan IV,Xinxa1,Vladimir,Lulkinhas,Xayah,LBJ23GOAT,Rakan,Julianno Sosa
2345921640,win,Ranked Solo,2021-09-01 05:53:26,15m 46s,5,2,1,3.00:1,Double Kill,empty,Jax,Master,empty,Camille,haterdeproplay3r,Rumble,Só Luh,Lucian,jmreqx,Kai'Sa,deft prime,Pyke,qweasdzxc1,Malphite, yamamoto z,Poppy,Guido Kaczka,Jax,ket and ups KEKW,Ziggs,Rderouta,Trundle,Iude
2345765487,win,Ranked Solo,2021-09-01 01:57:25,26m 48s,18,3,5,7.67:1,Double Kill,MVP,Gwen,Grandmaster,empty,Gwen,ket and ups KEKW,Olaf,ZUAO 34,Sylas,Muja Mazepin ,Akshan,jvcki wai,Rakan,Im Lukan,Riven,bigode do pijas,Lee Sin,Drakehero,Azir,Kami,Veigar,Dajar the Legend,Sona,Stacy
2344992788,lose,Ranked Solo,2021-08-30 15:02:04,30m 24s,13,12,2,1.25:1,Double Kill,ACE,Gangplank,Master,empty,Renekton,WinterBoy,Kayn,devil scythe,Akali,Zaitama,Ashe,1LYG,Sona,Lóvely ,Gangplank,ket and ups KEKW,Xin Zhao,310 clear,Vladimir,shyshyshyshysh,Vayne,Ken Mastersz,Bard,WAN7ED
2344972082,lose,Ranked Solo,2021-08-30 14:15:09,27m 23s,5,7,3,1.14:1,Double Kill,empty,Irelia,Master,empty,Illaoi,AST Lellis,Nidalee,310 clear,Aurelion Sol,kaito,Aphelios,Followinho,Thresh,KNG DVL,Kayle,Zen Ohh,Kha'Zix,42312,Irelia,ket and ups KEKW,Kai'Sa,ap bot,Janna,Jóka
2343754106,lose,Ranked Solo,2021-08-29 06:59:13,28m 13s,4,9,8,1.33:1,empty,empty,Jax,Grandmaster,empty,Jax,ket and ups KEKW,Graves,vertig0,Kassadin,Mc Dudu,Tristana,Públio,Galio,90s hip hop,Zoe,Rainha,Nidalee,mybotlaneistrash,Camille,Axie Toplaner,Samira,ap bot,Nautilus,LOUD Ceos
