gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490453434,win,Ranked Solo,2021-10-04 08:54:38,25m 9s,9,6,6,2.50:1,empty,empty,Camille,Master,empty,Camille,ssibal mosquitos,Diana,fak,Karthus,Net1,Aphelios,Odi11 style,Yuumi,Manoo,Fiora,LFT ZeMoller,Lillia,JG1409,Irelia,I want winner,Lucian,2021Worlds0150,Nami,xaroula psilakhs
5490130189,lose,Ranked Solo,2021-10-04 04:59:46,31m 26s,16,6,3,3.17:1,Triple Kill,ACE,Gwen,Master,empty,Gwen,ssibal mosquitos,Ivern,grixJason2,Yone,stop fill me adc,Lucian,Riesenlörres,Ashe,SLIMKIDD,Graves,huge L taker,Hecarim,LDNU Dunlosi,Zoe,Alþhinaud,Ezreal,Dekkon,Karma,Suken
5489275128,win,Ranked Solo,2021-10-03 23:19:21,22m 19s,10,2,6,8.00:1,Triple Kill,MVP,Gangplank,Master,empty,Gangplank,ssibal mosquitos,Qiyana,Please God,Veigar,Erilarion,Miss Fortune,SMB Kireas,Taliyah,Òbnoxious,Camille,1v9wheneveriwąnt,Lee Sin,Balkane1,Zoe,VEG Keysie,Lucian,deve rider,Nami,OKoCsiO
5488596368,win,Ranked Solo,2021-10-03 09:16:20,20m 58s,6,5,8,2.80:1,empty,empty,Sett,Master,empty,Sett,ssibal mosquitos,Gwen,potatoporcupine1,Yone,BLACKMETALTERROR,Lucian,Spoodersussi v2,Nami,ŚCIERWO,Jax,AngryBros,Xin Zhao,Like a n1nja,Twisted Fate,Veecto,Kalista,ROAR IvanDrago,Rell,1roNN
5488661888,win,Ranked Solo,2021-10-03 08:44:17,20m 20s,6,4,6,3.00:1,empty,empty,Graves,Master,empty,Graves,ssibal mosquitos,Evelynn,NHWK,LeBlanc,Cohle7,Ezreal,Dekkon,Karma,FOXA Uhtred,Kled,Kosan,Diana,Jenxas,Irelia,BLACKMETALTERROR,Lucian,Useless IRL XD,Thresh,dempsyya
5488557920,lose,Ranked Solo,2021-10-03 08:14:55,29m 42s,2,12,3,0.42:1,empty,empty,Graves,Master,empty,Graves,ssibal mosquitos,Zed,niaM cdA,Ryze,Mo Bamba,Lucian,Hayakawa Akí,Bard,peeseen,Urgot,FOXA Uhtred,Ivern,raptus bloom,Yone,BLACKMETALTERROR,Samira,Ukranian,Pyke,Senpai David
5488524594,lose,Ranked Solo,2021-10-03 07:38:38,25m 10s,7,8,0,0.88:1,empty,empty,Graves,Master,empty,Jax,CritAndSplit,Kha'Zix,pospieszny do d1,Syndra,Mo Bamba,Lucian,Hayakawa Akí,Nami,Unlyrical,Graves,ssibal mosquitos,Ivern,raptus bloom,Diana,Planlèss,Tristana,sQûiiRReL,Karma,TBR Sora
5487647617,win,Ranked Solo,2021-10-02 21:32:42,25m 43s,7,7,7,2.00:1,empty,empty,Graves,Master,empty,Graves,ssibal mosquitos,Talon,MadCl0wn,Akali,ISSE G,Miss Fortune,who is rhythm,Yuumi,ŚANJI,Sett,Princess Krao,Kayn,R4M3,Zoe,Facen,Jinx,IcyRick,Thresh,Pompelmoes
5487595342,win,Ranked Solo,2021-10-02 20:59:12,24m 10s,7,7,6,1.86:1,empty,empty,Graves,Master,empty,Malphite,Gumadruxy,Talon,wayos Blitzy,Anivia,Parsi,Lucian,WO Wodex,Janna,Qulikopter,Graves,ssibal mosquitos,Zed,Elyy Fanboy,Fizz,Mikey 1v9,Kai'Sa,who is rhythm,Leona,TurtleShock v2
5486638320,win,Ranked Solo,2021-10-02 05:01:21,32m 13s,7,6,20,4.50:1,empty,empty,Jarvan IV,Master,empty,Wukong,PrinzKing,Talon,Pötürgeli xD,Azir,takieokonto,Ezreal,ggttlplp019,Yuumi,Freaksterrrr,Jarvan IV,ssibal mosquitos,Rek'Sai,Win or Valhalla,Orianna,Lignio,Draven,Boycott s11,Senna,Zuı
5485931477,lose,Ranked Solo,2021-10-01 21:01:58,24m 58s,8,9,1,1.00:1,empty,empty,Gangplank,Master,empty,Gangplank,ssibal mosquitos,Kayn,F0R THE EMPiRE,Vex,AmigoDTuMadrε,Miss Fortune,slaughterhill,Nami,Flejne,Kled,TheQenix,Shyvana,Betongmisch Gary,Kassadin,Dietzy,Aphelios,Imperiál,Thresh,OKoCsiO
5485712429,lose,Ranked Solo,2021-10-01 11:00:21,26m 0s,7,9,3,1.11:1,ACE,empty,Gwen,Master,empty,Gwen,ssibal mosquitos,Zac,Dzierżoniowianin,Yone,Silk,Kog'Maw,K157,Lulu,Soviet KogMaw,Kennen,CWMW,Kha'Zix,Win or Valhalla,Ekko,Akugyo,Lucian,I want winner,Brand,Z15
5485671864,lose,Ranked Solo,2021-10-01 10:26:11,28m 43s,3,10,6,0.90:1,empty,empty,Gangplank,Master,empty,Gangplank,ssibal mosquitos,Kha'Zix,7MDN,LeBlanc,152cm187kg24cm,Lucian,n 456,Nami,MrBeastInDaHouse,Jayce,worsttop72,Lee Sin,OnerKING,Sylas,mid is fighting,Tristana,Pοl,Braum,Wood League
5485641400,lose,Ranked Solo,2021-10-01 09:49:25,20m 26s,1,9,0,0.11:1,empty,empty,Jax,Master,empty,Gnar,Beeeeen voyons,Ekko,BARYON Aegis,Yone,QKI1,Lucian,RAAD SAN,Nami,LPS TMuKK,Jax,ssibal mosquitos,Diana,icelandxuechan,Ryze,The Fat Buddha,Ezreal,Avra 456,Annie,MrBeastInDaHouse
5485065057,win,Ranked Solo,2021-10-01 02:55:00,38m 59s,14,11,10,2.18:1,Triple Kill,empty,Gangplank,Master,empty,Riven,      Its Me Jr ,Nocturne,xOathx,Vex,SG Hunt,Jhin,Aldwar,Brand,roodkopje,Gangplank,ssibal mosquitos,Qiyana,GRAVESICKFADEUNZ,Ahri,FoxGoesBOOM,Ziggs,shine on me,Rakan,SUP Toxic Keskin
5484678576,win,Ranked Solo,2021-09-30 21:35:18,22m 10s,4,4,10,3.50:1,empty,empty,Camille,Master,empty,Pantheon,Átmo,Viego,AXL Eαgle,Cassiopeia,Políko,Caitlyn,STAR CONQUEROR,Rakan,menzl,Camille,ssibal mosquitos,Karthus,Luminous Insight,Vladimir,guppys paw12,Lucian,VNR Duzzskull,Sona,TSO gslugger
5484675870,win,Ranked Solo,2021-09-30 21:05:55,24m 33s,4,6,4,1.33:1,empty,empty,Gangplank,Master,empty,Vladimir,Banderas,Volibear,Lesteq,Annie,v1VuU,Draven,Liuggis,Thresh,Yenzae,Gangplank,ssibal mosquitos,Lillia,AXL Eαgle,Graves,Officer Brown,Kog'Maw,fjoompbun,Zilean,kkkkkkkkkkkkkkk
5484672996,lose,Ranked Solo,2021-09-30 20:31:36,26m 7s,3,10,0,0.30:1,empty,empty,Jayce,Master,empty,Sett,D1 Tourist,Lee Sin,300 Bambi,Yone,Fluh,Ashe,MIDKING SQ,Heimerdinger,DOINB AMOGUS SUS,Jhin,En grøn om dagen,Gwen,Heąrtbreaker,Vladimir,ARN0,Jayce,ssibal mosquitos,Janna,LNG Icón
5484589478,lose,Ranked Solo,2021-09-30 19:54:20,32m 28s,16,11,5,1.91:1,Triple Kill,empty,Kennen,Master,empty,Kennen,ssibal mosquitos,Viego,Cambodian Ranger,Sylas,T1 TlAN,Jinx,ModyKrokieto,Zilean,Laymo,Riven, Terrºr,Graves,Densii,Yone,Madzzz,Karthus,Leviit,Bard,McWeeLy
5484328085,lose,Ranked Solo,2021-09-30 09:57:08,15m 26s,4,6,1,0.83:1,ACE,empty,Gangplank,Master,empty,Corki,Upset,Kayn,Tenseco,Rumble,Fei17,Jhin,ROAR Frezzer,Janna,2021Worlds0019,Gangplank,ssibal mosquitos,Viego,i deserve losing,Twisted Fate,protågonist,Kalista,mental pogue,Amumu,Such a bad mood
5482810529,win,Ranked Solo,2021-09-29 11:21:53,36m 15s,15,10,11,2.60:1,Triple Kill,MVP,Camille,Master,empty,Camille,ssibal mosquitos,Nunu & Willump,Mrentorox,Lissandra,Nico Senpaii,Lee Sin,Watashi wa Tommy,Senna,FNC Jeko,Jax,7MDN,Zed,7DANNYPHANTOM7,LeBlanc,adqsd,Vayne,Stille Berg,Yuumi,Capitana Nugget
5482680054,lose,Ranked Solo,2021-09-29 10:32:22,21m 45s,7,10,6,1.30:1,empty,empty,Yone,Master,empty,Yone,ssibal mosquitos,Zed,SRY MB FOCUS,Syndra,yüzenköfte,Ziggs,HRN Totosse,Bard,PQPAANLS,Aatrox,DrunkenTaah,Kha'Zix,Raiden Shogun C2,Vex,1k LP mid inc,Ezreal,Endlessz,Karma,BOXDEL NAURA
5482747075,lose,Ranked Solo,2021-09-29 10:05:23,32m 40s,8,12,4,1.00:1,empty,empty,Sett,Master,empty,Fiora,Emiw,Gragas,reset my blue,Lucian,kníght zz,Karthus,boycott nestle,Senna,FNC Jeko,Sett,ssibal mosquitos,Kha'Zix,Z4FIR,Irelia,LessonLearneDD,Ziggs,xXMENINOXx69,Poppy,Ward addict
5482675373,win,Ranked Solo,2021-09-29 09:14:22,33m 57s,9,11,12,1.91:1,Double Kill,empty,Gwen,Master,empty,Garen,Maître kebabier2,Kayn,Daiki Aomiine,Rumble,on me,Aphelios,adqsd,Thresh,Chovy supp acc,Gwen,ssibal mosquitos,Nidalee,Brorheim,Irelia,CPH B0XS,Samira,ICI CA FLINGUE,Amumu,AmigoDTuMadrε
5482702188,win,Ranked Solo,2021-09-29 08:34:55,28m 36s,6,8,11,2.13:1,Double Kill,empty,Gangplank,Master,empty,Garen,Maître kebabier2,Lillia,yDeepS,Irelia,OFFSET Chovy,Vayne,adqsd,Karma,Chovy supp acc,Gangplank,ssibal mosquitos,Talon,Upset,Twisted Fate,Revalito,Aphelios,Sparκ,Braum,Τadej Pogačar
