gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
2354017066,win,ARAM,2021-09-12 23:49:19,19m 26s,9,6,40,8.17:1,Double Kill,empty,Sona,empty,empty,Mordekaiser,RDrin,Talon,Satoru Gôjo,Sivir,Odeio Exatas,Lucian,Awakhen,Rell,AAbcd,Twitch,Misteera God,Sona,v J o J o,Blitzcrank,coior,Anivia,Rest at Bonfire,Kennen,Rendras
2353106893,lose,ARAM,2021-09-11 13:39:17,21m 15s,15,9,19,3.78:1,Triple Kill,empty,Aphelios,empty,empty,Akali,wu6am,Xerath,the fallen hawk,Nautilus,Nyyxi,Aphelios,v J o J o,Malphite,love paralysed,Sylas,Death ll,Brand,Samuloiro,Nami,Darion,Veigar,Reverend Gus,Gwen,Apostila
2353164634,lose,ARAM,2021-09-11 13:11:48,15m 6s,3,13,15,1.38:1,empty,empty,Kayn,empty,empty,Vayne,rip my heart out,Lee Sin,mental problem,Lulu,your melody,Fiora,u are my melody ,Katarina,special,Sett,wu6am,Seraphine,Incubus,Kai'Sa,hxpe,Kayn,v J o J o,Graves,love paralysed
2353133173,win,ARAM,2021-09-11 12:52:46,18m 21s,15,6,26,6.83:1,Triple Kill,empty,Caitlyn,empty,empty,Qiyana,Änjo,Volibear,LeZird,Varus,JEEEZEBEL,Tryndamere,igao333,Yone,euterus,Janna,wu6am,Tristana,Incubus,Caitlyn,v J o J o,Lux,love paralysed,Pyke,Rennix
2353160650,lose,ARAM,2021-09-11 12:28:22,19m 30s,7,13,16,1.77:1,Double Kill,empty,Draven,empty,empty,Gragas,wu6am,Sejuani,Eu Sou Mono Sup,Ryze,Hellscythe,Draven,v J o J o,Sona,love paralysed,Lucian,Fnatic Gragas,Nami,Fernadinha do RH,Mordekaiser,JOGO H0RRÍVEL,Poppy,Neto troll,Cho'Gath,let name   Malu
2353068219,win,ARAM,2021-09-11 11:59:00,17m 12s,15,9,24,4.33:1,Triple Kill,empty,Viego,empty,empty,Malzahar,iEvoLz,Rengar,mWWWWWWWWWWWWWW,Yone,Astrow Bot,Viego,v J o J o,Janna,love paralysed,Senna,yBlastoise14,Zilean,zenith,Karthus,Th0r0s,Yasuo,Kracudo anônimo,Evelynn,Bilbo Bulceta
2350950900,win,ARAM,2021-09-08 09:17:50,20m 48s,14,6,23,6.17:1,Double Kill,empty,Jhin,empty,empty,Amumu,mulheres,Lee Sin,os mlk tem fal,Orianna,Standall,Jhin,v J o J o,Leona,love paralysed,Kayn,atsuko fujiwara,Katarina,AlphaOmegaz,Kalista,par4noid,Poppy,Agatha Tsundere,Rumble,PsaZ
2350859958,lose,ARAM,2021-09-08 08:53:33,15m 35s,7,9,20,3.00:1,Double Kill,empty,Senna,empty,empty,Kindred,Ankhe,Thresh,Persmega,Ashe,TenerifeSea0112,Ekko,Rivotrynda,Zed,Morri na zhonya,Rek'Sai,mulheres,Jhin,os mlk tem fal,Malphite,Standall,Senna,v J o J o,Caitlyn,love paralysed
2350857820,lose,ARAM,2021-09-08 08:33:15,14m 48s,3,13,17,1.54:1,empty,empty,Yone,empty,empty,Gangplank,TJK,Riven,CanderleiVardoso,Master Yi,MC Palmirinha ,Teemo,Purple OG,Qiyana,Gordinho Alone,Sivir,mulheres,Irelia,os mlk tem fal,Ahri,Standall,Yone,v J o J o,Miss Fortune,love paralysed
2350835834,lose,ARAM,2021-09-08 08:11:32,17m 23s,16,9,24,4.44:1,Double Kill,empty,Malzahar,empty,empty,Azir,RED Paioletti,Sett,RabTeemo,Kindred,fortilucas,Akali,Garfield,Fizz,Jato,Ashe,SAD Chume,Xayah,os mlk tem fal,Alistar,Standall,Malzahar,v J o J o,Karma,love paralysed
2350880593,lose,ARAM,2021-09-08 07:41:06,19m 9s,10,13,19,2.23:1,Double Kill,empty,Jinx,empty,empty,Ashe,Bia do Beck,Twitch,BesT Mono PlayeR,Tristana,Hiquè,Ryze,wonderboy johny,Jhin,AnjoDoCeu,Veigar,mulheres,Sivir,Aprendiz da JnJ,Xayah,os mlk tem fal,Jinx,v J o J o,Ahri,love paralysed
2350788954,win,ARAM,2021-09-08 07:17:42,23m 15s,5,6,28,5.50:1,empty,empty,Nami,empty,empty,Karma,mulheres,Lillia,XXX0,Riven,os mlk tem fal,Nami,v J o J o,Ezreal,love paralysed,Katarina,Lucixx,Miss Fortune,Pr0fetaJATUPEIDA,Samira,RPW Lukkin,Jinx,Zeyou,Zac,Inuca
2350240605,lose,ARAM,2021-09-07 11:36:08,14m 10s,10,5,13,4.60:1,Double Kill,empty,Kha'Zix,empty,empty,Camille,russkiyy,Graves,adribrb,Kha'Zix,v J o J o,Lux,love paralysed,Blitzcrank,Arthur2352,Gnar,Contagense,Lissandra,CAOS PRIMORDIAL,Malzahar,Angra StormRage,Tristana,zOwneD,Orianna,I WolF I
2350158590,lose,ARAM,2021-09-07 11:17:10,20m 53s,23,10,14,3.70:1,Double Kill,empty,Qiyana,empty,empty,Caitlyn,she is mine,Qiyana,v J o J o,Rakan,love paralysed,Vel'Koz,Croucher,Gnar,HNSTILL,Amumu,ESSE JOGO PORCO,Azir,ÄKT Itachi,Xayah,Kaulino,Viktor,Arktaeon,Nautilus,What is ur Nami
2350146182,lose,ARAM,2021-09-07 10:49:37,16m 43s,3,11,16,1.73:1,empty,empty,Sivir,empty,empty,Lee Sin,MineGAMER2009,Braum,lchiro,Zoe,The Last VictorY,LeBlanc,Croucher,Yuumi,Moonlight,Lux,SÍNNER,Sivir,v J o J o,Kennen,CanecoDeCarne,Viego,Careca do STF,Ziggs,love paralysed
2349758413,win,ARAM,2021-09-06 22:54:58,18m 1s,8,7,14,3.14:1,empty,empty,Caitlyn,empty,empty,Kassadin,El0wki,Diana,CAIO POCAS,Tristana,feliperag,Caitlyn,v J o J o,Ashe,Claustro,Syndra,bXVyaWxv,Kennen,O Gado Felix,Karma,Liriker,Miss Fortune,Nërö,Varus,h das sombras
