gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5422359378,win,Ranked Solo,2021-08-20 20:35:12,28m 40s,9,2,10,9.50:1,Double Kill,MVP,Ashe,Grandmaster,empty,Gnar,Looca,Lee Sin,Yikeru,LeBlanc,Shadowraze,Jhin,Kehvo,Brand,IDRNKURMILKSHAKE,Irelia,MosholderDolo,Ekko,Sunflοwer,Azir,RGE Larssεn,Ashe,HANSSAMAAA,Sett,Ccrazy
5422366547,win,Ranked Solo,2021-08-20 19:55:04,16m 30s,4,0,3,Perfect,empty,empty,Varus,Grandmaster,empty,Shen,EragonUK,Trundle,dibu123,Ezreal,Sebekx,Varus,HANSSAMAAA,Sona,WatchMyPuppets,Renekton,huntiandi1,Kayn,sparapaw,Vladimir,IDRNKURMILKSHAKE,Tristana,Ukranian,Bard,Lathyrus
5421879057,win,Ranked Solo,2021-08-20 06:32:17,27m 43s,12,2,11,11.50:1,Double Kill,MVP,Ezreal,Master,empty,Volibear,best viego ever,Nidalee,JuIbu,Irelia,MosholderDolo,Ezreal,HANSSAMAAA,Rakan,Leon der Leon,Tahm Kench,Falleo,Hecarim,Ye Xiu1,Veigar,C9 Veigar,Kalista,i like marksman,Thresh,admire it
5421671981,win,Ranked Solo,2021-08-20 03:32:22,25m 10s,8,7,4,1.71:1,Double Kill,MVP,Tristana,Grandmaster,empty,Tryndamere,clickmaster,Zac,Engage,Diana,katinelis,Tristana,HANSSAMAAA,Braum,Canam,Rengar,FPX Jenax,Olaf,GAL Elramir,LeBlanc,GSK Tixn,Ezreal,Crowniee,Karma,japonee
5421096991,win,Ranked Solo,2021-08-19 19:46:14,21m 35s,14,7,9,3.29:1,Double Kill,MVP,Varus,Grandmaster,empty,Lee Sin,Shadowraze,Amumu,real arni,Ekko,IDRNKURMILKSHAKE,Ashe,x4T7,Alistar,Aglaro,Dr. Mundo,S8DiamondDog,Nidalee,jungle dream,Zed,420WeabooSlayer,Varus,HANSSAMAAA,Trundle,Shawi Katami
5416520861,win,Ranked Solo,2021-08-16 22:46:14,28m 35s,19,3,5,8.00:1,Triple Kill,MVP,Aphelios,Master,empty,Ornn,ˇ sao,Trundle,LEO BRICHTA,Annie,Lux lRL,Aphelios,HANSSAMAAA,Janna,Mihajlo Matic,Urgot,bausffs movement,Kha'Zix,FYN Jackson,Kassadin,Mikey Tοman,Jinx,Crowniee,Lulu,Jojonet
5412156044,lose,Ranked Solo,2021-08-13 22:07:19,18m 31s,3,4,6,2.25:1,Double Kill,ACE,Aphelios,Grandmaster,empty,Jayce,Szygenda,Nidalee,ill be noticed,Syndra,Ialala,Ashe,silkysmath,Sona,WatchMyPuppets,Karma,not a chat user,Viego,GAL Elramir,LeBlanc,time wiII tell,Aphelios,HANSSAMAAA,Gragas,vandiii
5410502035,win,Ranked Solo,2021-08-12 20:29:42,22m 36s,9,1,10,19.00:1,MVP,empty,Ashe,Master,empty,Darius,LeIvan,Zac,i wont get mad,Sylas,XQXSXQXS,Kalista,reje XD,Pyke,WTX Hyôrai,Aatrox,PBA Magmica,Jarvan IV,Keule183,Malphite,GODZILLA66666666,Ashe,HANSSAMAAA,Trundle,Cachaco
5409880154,win,Ranked Solo,2021-08-12 04:49:10,29m 34s,12,3,13,8.33:1,Double Kill,MVP,Ashe,Diamond 1,empty,Kennen,DIV Sky,Viego,VictimOfBotDif,Zed,rakozan,Ashe,HANSSAMAAA,Leona,Cachaco,Garen,Maître kebabier1,Shaco,Molae,Fizz,Po Gap,Kog'Maw,Hobuzol,Lulu,XXV X MM
5409852342,win,Ranked Solo,2021-08-12 03:43:50,23m 45s,12,0,0,Perfect,Double Kill,MVP,Varus,Master,empty,Riven,0dem,Kindred,pawp,Zoe,nissay,Ziggs,OjPoolsystemet,Seraphine,Erotic Platypus,Ornn,Sh3ryto,Rek'Sai,TheNextLeGgenD,Anivia,Roofus,Varus,HANSSAMAAA,Braum,Cachaco
