gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5489243679,lose,URF,2021-10-03 22:56:20,13m 5s,5,5,1,1.20:1,Double Kill,empty,Zed,empty,empty,Draven,Paladinn,Pyke,Ate,Zed,Sοfm Jr,Kayle,awge,Gangplank,Doltanater,Zed,Ironcastox,LeBlanc,Bohemond I,Master Yi,Kev12,Malphite,I Am The Legend,Kog'Maw,Søko
5489212220,win,URF,2021-10-03 22:37:19,9m 49s,7,1,2,9.00:1,empty,empty,Lucian,empty,empty,Galio,fxqvapggp,Samira,Paladinn,Rengar,OdiRENGAR,Lee Sin,AshirethX,Qiyana,LDLC Gumayusi,Veigar,Bohemond I,Rengar,Reyyk0,Lucian,Sοfm Jr,Shaco,McMuffinNugget,Fiora,I Am The Legend
5434802494,lose,Ranked Solo,2021-08-28 21:24:11,28m 55s,1,7,6,1.00:1,empty,empty,Hecarim,Grandmaster,empty,Fiora,Best Life,Hecarim,Sοfm Jr,Irelia,Kldfar,Heimerdinger,0711 DoggyDingus,Karma,zmywara kaseko,Riven,it s just over,Ekko,Ekko the Neeko,LeBlanc,Rank1 Macro,Tristana,Strzelec Patryś,Bard,Lathyrus
5427946997,lose,Ranked Solo,2021-08-24 07:07:35,32m 52s,6,7,8,2.00:1,Double Kill,empty,Twisted Fate,Grandmaster,empty,Quinn,INTERLUDE XXX,Olaf,Hejdå Sverige,Sylas,QYURRYUS1,Ziggs,KC xMatty1,Galio,Hantera1,Ornn,Stumpyyy,Gragas,Desperate Shaco,Twisted Fate,Sοfm Jr,Draven,Sergei Kravinoff,Nautilus,divočákos
5427036540,win,Ranked Solo,2021-08-23 20:23:19,32m 51s,6,5,19,5.00:1,MVP,empty,Lee Sin,Grandmaster,empty,Shen,Akrowz,Lee Sin,Sοfm Jr,LeBlanc,Froggen,Ashe,NinjaNik,Rakan,Stend1,Sett,VGIA 113,Diana,Boukada,Tristana,RGO Odi11,Aphelios,x4T7,Thresh,WntFindMeLolPros
5426946651,lose,Ranked Solo,2021-08-23 19:38:29,21m 16s,4,3,2,2.00:1,ACE,empty,Lee Sin,Grandmaster,empty,Warwick,Xyllow,Lee Sin,Sοfm Jr,Kayle,TwTv Ag0nyPain,Ezreal,phlaty,Bard,azerty1,Sett,VGIA 113,Viego,Aítana Øcaña,Anivia,Froggen,Jinx,x4T7,Thresh,qweqweqwe
5426638941,lose,Ranked Solo,2021-08-23 08:02:25,27m 52s,5,4,7,3.00:1,ACE,empty,Hecarim,Grandmaster,empty,Irelia,chance no exist,Kindred,naneun wang ida,Lee Sin,VGIA 113,Sona,Shubber,Seraphine,robloxmaciek,Renekton,bobber kong,Hecarim,Sοfm Jr,Corki,nakreB v2,Caitlyn,Lucinα,Yuumi,healies
5426557610,lose,Ranked Solo,2021-08-23 07:19:17,18m 21s,0,6,2,0.33:1,empty,empty,Lee Sin,Challenger,empty,Kennen,chance no exist,Lee Sin,Sοfm Jr,Sylas,i like marksman,Vayne,evolyhsub ,Sona,Shubber,Shen,Shending LP,Xin Zhao,sheo test acc,Syndra,M1dLaoban,Samira,Jeyrus,Nautilus,bobber kong
5426459495,win,Ranked Solo,2021-08-23 06:22:47,18m 24s,4,2,6,5.00:1,empty,empty,Viego,Grandmaster,empty,Camille,scarface xyz,Evelynn,Scripting MONKA,Lucian,LEO BRICHTA,Twitch,GROS FIAK MIAM,Yuumi,CG Nio,Riven,distant star,Viego,Sοfm Jr,Ekko,HHNeverLucky v2,Ezreal,avarice61,Senna,2021Worlds0044
5426472391,win,Ranked Solo,2021-08-23 05:40:24,17m 47s,5,0,5,Perfect,MVP,empty,Lee Sin,Grandmaster,empty,Riven,Built,Master Yi,SLY Djoko,Ekko,VGIA 113,Cassiopeia,LDLC Eika,Yuumi,Yuumus Decimus,Corki,maciej wartak,Lee Sin,Sοfm Jr,Dr. Mundo,404 Akre,Draven,Envy0,Rakan,Trymbi of EU
