gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490373738,win,Ranked Solo,2021-10-04 07:20:41,29m 40s,5,2,11,8.00:1,empty,empty,Ryze,Grandmaster,empty,Ekko,HHNeverLucky v2,Viego,Roulette,Ryze,RGE Larssεn,Lucian,WTX Scripter,Yuumi,woshidoinb,Irelia,Bestejdercan,Talon,Tu po zi wo,Katarina,TwTv Ronges1,Ezreal,NOX Scythe,Rakan,UOL Doedalo
5490280278,lose,Ranked Solo,2021-10-04 06:45:29,21m 8s,5,6,2,1.17:1,ACE,empty,Ryze,Grandmaster,empty,Anivia,nakreB v2,Viego,Roulette,Ryze,RGE Larssεn,Ezreal,hiro3,Nami,Qnoxs,Camille,chance no exist,Xin Zhao,Expecto Patrounm,Galio,Chemera,Draven,Ryan McCombs,Bard,SPEEDOBEAR
5490304697,lose,Ranked Solo,2021-10-04 06:17:34,27m 59s,6,8,8,1.75:1,empty,empty,Ryze,Grandmaster,empty,Aatrox,TwTv Naayil ,Zed,Maxlore,Ekko,iLL F13RC3 ,Kai'Sa,lucker3,Amumu,LDNU Nyzah,Fiora,chance no exist,Rek'Sai,Roi DEMON,Ryze,RGE Larssεn,Xayah,Ryan McCombs,Sona,Qnoxs
5490206749,win,Ranked Solo,2021-10-04 05:30:39,28m 13s,13,6,7,3.33:1,Double Kill,MVP,Ryze,Grandmaster,empty,Aatrox,JBL ABUSER,Rengar,Hish,Sylas,Saulius 10,Lucian,EDG Innaxe,Braum,Nash1,Tryndamere,ΙrreΙevant,Poppy,Aurora time,Ryze,RGE Larssεn,Yasuo,dajor25,Nautilus,Frank Horrigan
5490137216,lose,Ranked Solo,2021-10-04 04:34:15,16m 2s,2,1,1,3.00:1,empty,empty,Ryze,Master,empty,Gwen,Raven2,Qiyana,better bot win1,Anivia,NOV4 FreeParking,Miss Fortune,kcvawsreiuyopdgz,Seraphine,Ambiguously,Sett,Nillee,Ivern,CRIPPLED JGLXD,Ryze,RGE Larssεn,Lucian,ToasterM8,Nami,ur nans in a jar
5489154926,win,Ranked Solo,2021-10-03 22:17:05,27m 55s,4,10,14,1.80:1,Double Kill,empty,Orianna,Grandmaster,empty,Tryndamere,shiber,Kha'Zix,Tanu,Twisted Fate,Sebeks,Sylas,Oggman,Nami,Canam,Orianna,RGE Larssεn,Jarvan IV,Happy Alexx,Aatrox,SK Alois,Ezreal,hiro3,Yuumi,7 7 7 7
5489024934,lose,Ranked Solo,2021-10-03 20:57:25,27m 52s,5,7,7,1.71:1,empty,empty,Twisted Fate,Grandmaster,empty,Vayne,MajorAlexander1,Viego,Happy Alexx,Twisted Fate,RGE Larssεn,Varus,Vallentino Rossi,Nami,Canam,Yone,Dzukill,Jarvan IV,GW Stormax,Sylas,Blodreinaaaaa,Draven,Mοrdred,Galio,Chouineur 1
5488969372,win,Ranked Solo,2021-10-03 20:17:51,28m 5s,7,4,9,4.00:1,empty,empty,Sylas,Grandmaster,empty,Irelia,TurningBackTime1,Zed,sheo test acc,Sylas,RGE Larssεn,Lucian,TESLA OPTIMUS,Nami,schifosoemerdoso,Tryndamere,Stor Olle ,Rumble,easymoneysniper1,Diana,Kamus,Samira,MrCaptainSexy,Amumu,Rychly
5488955626,win,Ranked Solo,2021-10-03 19:35:55,19m 55s,8,3,7,5.00:1,Double Kill,empty,Ryze,Grandmaster,empty,Tahm Kench,PEWPEWPEWPEWPEWP,Ekko,HRN Joinze,Twisted Fate,Sebeks,Draven,Kaττen,Rakan,skain24,Kled,Katchy22,Nidalee,snail xD,Ryze,RGE Larssεn,Ezreal,SHøWMAKéR,Nautilus,Apolo y Dafne
5487601954,win,Ranked Solo,2021-10-02 20:34:59,26m 22s,8,5,7,3.00:1,Double Kill,empty,Ryze,Grandmaster,empty,Ornn,Iow expectations,Qiyana,sheo test acc,Ryze,RGE Larssεn,Draven,RRRift,Alistar,PQPAANLS,Yone,Dzukill,Nidalee,snail xD,Twisted Fate,Chamana1,Tristana,FYN Notiko,Pantheon,QUIXETH
