gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5482488863,lose,Ranked Solo,2021-09-29 06:40:02,31m 58s,12,12,8,1.67:1,Double Kill,empty,Sylas,Diamond 3,empty,Gragas,Yawara Inokuma,Qiyana,White Whales,Talon,Daniel is a KING,Xayah,dzc,Rakan,ight,Sylas,land of ice,Kindred,yfsaolhgawuo,Irelia,Suao,Ashe,Astroglide,Janna,Ester Expósitõ
5482399230,lose,Ranked Solo,2021-09-29 05:43:30,36m 1s,14,6,10,4.00:1,Double Kill,ACE,Sylas,Diamond 4,empty,Singed,Report Singed,Evelynn,υnrαnκ ενε,Graves,Life is Hell 11,Samira,Askeladdd,Amumu,Chef Levan,Shen,Wao 3,Karthus,further to go,Sylas,land of ice,Lucian,iloveyouloveyou,Nami,Exile Myself
5481957466,lose,Ranked Solo,2021-09-29 00:21:05,36m 0s,11,8,10,2.63:1,empty,empty,Orianna,Platinum 1,empty,Yone,BEDEL SEKO35,Jarvan IV,Gevous jng acc,Zoe,Paul El Piolas,Aphelios,iceland gamer,Taliyah,2021Worlds0054,Sylas,Piralith,Kha'Zix,tempfmhnvjgctysh,Orianna,land of ice,Xayah,dzc,Rakan,Ahjin Zero
5481895506,win,Ranked Solo,2021-09-28 23:36:37,15m 34s,8,0,3,Perfect,empty,empty,LeBlanc,Diamond 4,empty,Renekton,GS 5,Ekko,Gevous jng acc,Irelia,tempfmhnvjgctysh,Aphelios,iceland gamer,Janna,cutekittymeoww,Riven,cif,Nidalee,cuci,LeBlanc,land of ice,Ezreal,aesztetik,Senna,the league mst
5481696882,lose,Ranked Solo,2021-09-28 20:39:17,29m 8s,8,5,5,2.60:1,Double Kill,empty,Sylas,Diamond 2,empty,Aatrox,EU POLIZEI,Rek'Sai,Hero of Ferelden,Sylas,land of ice,Draven,TDValas,Maokai,MrtkaVietnamská,Poppy,Leapfrogger,Zac,theocacao,Katarina,ΦΧΨΩάέήί,Aphelios,Switon,Bard,Flokerr
5481714052,lose,Ranked Solo,2021-09-28 20:04:16,26m 39s,12,6,5,2.83:1,Triple Kill,ACE,Ryze,Diamond 1,empty,Urgot,crack acc,Lee Sin,CEO SHRIMP GANG,Rumble,A1 cosmIQ,Ziggs,ChrisZee,Bard,MrtkaVietnamská,Gwen,EU POLIZEI,Trundle,daily pain dose,Ryze,land of ice,Miss Fortune,FaveIas,Amumu,yhay
5481730955,win,Ranked Solo,2021-09-28 19:26:25,28m 3s,15,3,3,6.00:1,Double Kill,empty,LeBlanc,Diamond 1,empty,Nasus,The CreepyPasta,Zed,maIignant,Akali,Smusi,Lucian,I Hate Downers,Nami,MathieuValbuena1,Aatrox,EU POLIZEI,Rek'Sai,notorious 17,LeBlanc,land of ice,Ezreal,Zeckd,Rakan,Fiven
5481383907,lose,Ranked Solo,2021-09-28 08:24:58,24m 35s,11,3,3,4.67:1,Triple Kill,ACE,Sylas,Diamond 2,empty,Gnar,EU POLIZEI,Jarvan IV,Vafrous,Sylas,land of ice,Caitlyn,Máje,Nami,noxsb,Gangplank,YQSH,Viego,knv2,Vex,Late Blσσmer,Jinx,2021Worlds0171,Rakan,2021Worlds0173
5481390852,win,Ranked Solo,2021-09-28 07:50:47,21m 47s,10,4,5,3.75:1,Double Kill,empty,Sylas,Diamond 3,empty,Camille,EU POLIZEI,Lee Sin,L0ngMao,Sylas,land of ice,Yasuo,braindmgd yasuo,Janna,DC Yukio,Azir,LNGWIN,Rek'Sai,9 19 Night,Yone,PοgChamp,Caitlyn,Dystopiá,Nautilus,ASK M7ng
5481336276,lose,Ranked Solo,2021-09-28 07:17:18,25m 46s,7,8,17,3.00:1,empty,empty,Orianna,Platinum 1,empty,Sett,supernooblet,Graves,9 19 Night,LeBlanc,Camping Vagn,Draven,Giant Monster,Pyke,Genius Monster,Aatrox,EU POLIZEI,Diana,Karzzy11,Orianna,land of ice,Yasuo,braindmgd yasuo,Taliyah,bluarvczq
