gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5418838994,lose,Ranked Solo,2021-08-18 05:38:46,33m 6s,2,12,8,0.83:1,empty,empty,Gwen,Grandmaster,empty,Shen,Shending LP,Kha'Zix,Themsta4,Galio,Hantera1,Draven,EZY Blackrog,Sona,Raysør,Gwen,Odoamne,Viego,yDeepS,Taliyah,Odysseus131,Varus,HRN Totosse,Janna,Operator Sona
5415589274,lose,Ranked Solo,2021-08-16 03:42:58,24m 9s,2,9,2,0.44:1,empty,empty,Gwen,Grandmaster,empty,Camille,FrozenHuntsman,Xin Zhao,RGO Lurox,Malzahar,balagan,Kalista,ten and a half,Alistar,Targamas,Gwen,Odoamne,Lee Sin,Boukada,Katarina,TwTv Ronges1,Aphelios,Undercover SlotH,Shen,Akrowz
5415424035,win,Ranked Solo,2021-08-16 01:47:48,25m 42s,10,4,9,4.75:1,Double Kill,empty,Gangplank,Grandmaster,empty,Lucian,Teą,Graves,Albetrayber,Syndra,Jonah Falcon,Annie,Annie IRL,Nasus,i dream lucid,Gangplank,Odoamne,Lee Sin,Razørk Activoo,Akali,i like marksman,Kalista,ch1maera,Sett,whiteinn
5413037809,win,Ranked Solo,2021-08-14 08:39:46,28m 58s,5,6,8,2.17:1,Double Kill,empty,Jayce,Grandmaster,empty,Aatrox,TwTv Naayil ,Kindred,Bibliophobia,Ryze,Its Me InDeed,Jhin,CREØN,Rakan,O3I,Jayce,Odoamne,Lee Sin,CrabAbuser,Syndra,XOURA1,Xayah,Xifily,Alistar,TraYtoN
5413014418,win,Ranked Solo,2021-08-14 07:56:58,18m 42s,3,3,9,4.00:1,empty,empty,Jayce,Grandmaster,empty,Sett,Decay0,Nidalee,Loumuis,Jayce,Odoamne,Ashe,CREØN,Nautilus,Veignorem,Kennen,SKT MAG7,Graves,for her sake,Syndra,msfvetheo1,Varus,Eneino,Lulu,XOURA1
5408348414,win,Ranked Solo,2021-08-11 07:13:27,34m 34s,4,7,15,2.71:1,empty,empty,Tahm Kench,Grandmaster,empty,Aatrox,JBL ABUSER,Viego,quack1,Syndra,RGE Larssεn,Ziggs,ƒancy ƒeet ,Pyke,In Midnight Clad,Tahm Kench,Odoamne,Lee Sin,Maxlore,Ekko,Mysterias,Aphelios,Practice,Lulu,Canam
5407579752,lose,Ranked Solo,2021-08-10 20:40:53,34m 18s,6,9,11,1.89:1,empty,empty,Camille,Challenger,empty,Camille,Odoamne,Lee Sin,Gilius2,Ryze,StevenPetrosino,Varus,Kldfar,Leona,hoodieteamgamer,Kennen,Practice,Xin Zhao,GW Stormax,Syndra,i like marksman,Draven,K Λ M l,Pyke, JungDostoevskiy
5406053177,lose,Ranked Solo,2021-08-09 20:40:44,31m 33s,1,7,4,0.71:1,empty,empty,Jayce,Grandmaster,empty,Riven,Lumerion,Kayn,Fwagola,Syndra,msfvetheo1,Ashe,Alan Roger,Lulu,Rychly,Jayce,Odoamne,Lee Sin,Cinkrofffffffff,Ekko,Unιverse,Ezreal,x4T7,Zyra,WatchMyPuppets
5404663938,lose,Ranked Solo,2021-08-08 20:41:02,30m 6s,5,5,5,2.00:1,empty,empty,Jayce,Grandmaster,empty,Kennen,Szygendaa,Xin Zhao,for her sake,Qiyana,TwTv Ag0nyPain,Ezreal,Mytnat,Nautilus,PARUS 2,Jayce,Odoamne,Nidalee,better bot win1,Syndra,msfvetheo1,Aphelios,Practice,Pyke,Serendrip
5404610414,win,Ranked Solo,2021-08-08 20:03:04,15m 34s,2,3,5,2.33:1,empty,empty,Camille,Challenger,empty,Renekton,SMB NuQ,Nidalee,123Tarzan,Qiyana,TwTv Ag0nyPain,Varus,EDGVIPEREDGVIPER,Nautilus,UOL Doedalo,Camille,Odoamne,Lee Sin,11in morning,Twisted Fate,msfvetheo1,Ezreal,bean3,Rakan,WntFindMeLolPros
