gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488926916,lose,ARAM,2021-10-03 19:42:17,21m 45s,7,10,9,1.60:1,Double Kill,empty,Katarina,empty,empty,Katarina,hoodieteamgamer,Miss Fortune,EfiEfi,Thresh,Yourg,Akshan,Carniflexin,Corki,R34ZON,Varus,Ξ KING Ξ,Janna,BiliBili Sakeiki,Lillia,Imaginahri,Hecarim,Wind mαn,Teemo,Kastelion
5488915100,lose,ARAM,2021-10-03 19:14:59,17m 41s,6,11,17,2.09:1,Double Kill,empty,Rumble,empty,empty,Lulu,Ξ KING Ξ,Orianna,Imaginahri,Jinx,Wind mαn,Malzahar,Kastelion,Xin Zhao,Sαkurim,Rumble,hoodieteamgamer,Warwick,Señor Pengouin,Ahri,ninjaouf,Rengar,biko419,Ornn,En Route
5487518324,lose,Ranked Solo,2021-10-02 19:56:05,21m 28s,0,7,5,0.71:1,empty,empty,Pyke,Grandmaster,empty,Trundle,FrozenHuntsman,Talon,tempsjgjlgslchok,Ryze,phlaty,Lucian,kjhggdfs,Pyke,hoodieteamgamer,Yone,Iziio,Jarvan IV,Albetray,LeBlanc,FB Kunduz,Ezreal,Ñext Doinb,Sona,Qnoxs
5487495186,win,Ranked Solo,2021-10-02 19:28:41,31m 12s,4,8,14,2.25:1,empty,empty,Amumu,Grandmaster,empty,Mordekaiser,kaymint acc,Wukong,Rreivax,Irelia,FB Kunduz,Lucian,nobody knows0,Nami,schifosoemerdoso,Aatrox,Aurora time,Nidalee,Eckas1,Yone,give me mid ok,Miss Fortune,Cutepatootie,Amumu,hoodieteamgamer
5487551404,lose,ARAM,2021-10-02 18:48:01,14m 2s,9,6,18,4.50:1,Double Kill,empty,Miss Fortune,empty,empty,Lee Sin,M3T4SL4Y3R,Aphelios,ReaKSmeY2G KH,Gwen,Tarengan,Fizz,φnø Prodigy,Jinx,El Floren,Miss Fortune,hoodieteamgamer,Azir,imNyT,Morgana,Sαkurim,Kassadin,Paulmone,Qiyana,Die Kassierer
5485868039,lose,Ranked Solo,2021-10-01 20:35:03,29m 30s,1,2,8,4.50:1,ACE,empty,Taric,Grandmaster,empty,Gnar,TheRoyalKanin,Graves,ismaaa,Vex,phlaty,Soraka,quack1,Taric,hoodieteamgamer,Gangplank,GO beansu,Talon,Ye Xiu1,Syndra,msfvetheo1,Tristana,SPOLFCEI,Amumu,Chemera
5485914557,lose,ARAM,2021-10-01 19:52:23,15m 17s,14,7,16,4.29:1,Triple Kill,empty,Senna,empty,empty,Zac,Smutie,Jhin,Wife of Kevin,Vladimir,VoiceOfHeede,Braum,MayTheSunShine,Yuumi,Sceptile,Senna,hoodieteamgamer,Graves,Darack Angel,Swain,MarijuanaManMax,Kalista,Novoisaatana,Vi,Razinat
5484703511,win,ARAM,2021-09-30 20:30:32,15m 4s,17,4,14,7.75:1,Triple Kill,empty,Jax,empty,empty,Lee Sin,ΗoYeon Jung,Lulu,Billy Hargr0ve,Ezreal,Wąxaan,Irelia,Timteufel,Veigar,Syvaa,Xayah,shinykimy,Jax,hoodieteamgamer,Twisted Fate,funitoqw,Alistar,Frendal,Thresh,Polikastoras
5484149842,win,URF,2021-09-30 06:30:33,15m 15s,9,11,6,1.36:1,Double Kill,empty,Lucian,empty,empty,Ziggs,ΙDontBite,Ezreal,KDA Evelynn UωU,Trundle,kalashtayoum,Master Yi,Endless Dreams,LeBlanc,HeroCh,Darius,Iaxus,Lucian,hoodieteamgamer,Kai'Sa,EsPeCtRo,Xin Zhao,Tolguèze,Heimerdinger,Asuka Rebirth
5482986552,win,Ranked Solo,2021-09-29 20:46:20,22m 21s,3,2,19,11.00:1,empty,empty,Nami,Grandmaster,empty,Trundle,squan,Kayn,Fwagola,Aphelios,GXR Monk,Cassiopeia,Fish Feces,Leona,BJK Lekcyc,Camille,Lumerion,Viego,IIIlIllIIIllIll,LeBlanc,todo esta aqui,Miss Fortune,Owner Z,Nami,hoodieteamgamer
