gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490381704,win,Ranked Solo,2021-10-04 07:00:46,23m 18s,11,4,8,4.75:1,Triple Kill,empty,Irelia,Master,empty,Sett,Μαgnus,Lee Sin,traphouse m,Veigar,DJ SWAGPANTS,Miss Fortune,Odi11 style,Amumu,dempsyya,Irelia,Karzzy11,Diana,egirIs stay away,Singed,LevelZeroFangirl,Draven,TwTv daudr9,Zyra,faeces
5490275720,lose,Ranked Solo,2021-10-04 06:21:28,28m 10s,5,10,6,1.10:1,empty,empty,Lee Sin,Master,empty,Wukong,Shiawase,Kha'Zix,37373737373737,Syndra,Modliszka,Lucian,Mindrago,Nami,Suken,Darius,JEWZAURUS REX,Lee Sin,Karzzy11,Sylas,sQûiiRReL,Ezreal,Lari,Blitzcrank,Jellyglitter
5490261963,win,Ranked Solo,2021-10-04 05:40:54,12m 25s,6,0,2,Perfect,Double Kill,MVP,Diana,Master,empty,Malphite,Jukester,Diana,Karzzy11,Sylas,Tommy944,Jhin,FLIP FliiZee,Soraka,Suken,Sett,SMB19,Xin Zhao,Chelouche,Wukong,explore yourself,Corki,sQûiiRReL,Taliyah,KIoen
5490204917,lose,Ranked Solo,2021-10-04 05:20:55,28m 27s,9,8,8,2.13:1,empty,empty,Lee Sin,Master,empty,Aatrox,Thel1ttletiger,Lee Sin,Karzzy11,Draven,KH Komandata,Ziggs,FLIP FliiZee,Pyke,Death From Blow,Darius,Gustav Fischer,Taliyah,Chelouche,Urgot,UrgoIncognito,Twitch,TwTvDuoAbuse,Lulu,Luck is my Waifu
5490108864,win,Ranked Solo,2021-10-04 04:43:22,25m 6s,13,3,10,7.67:1,Double Kill,empty,Irelia,Diamond 1,empty,Wukong,worsttop72,Nunu & Willump,Bruno el cabruno,Lissandra,Slaykerz,Samira,n 456,Amumu,dL smooth,Urgot,UrgoIncognito,Ekko,KrDjoo,Irelia,Karzzy11,Lucian,State 0f the art,Braum,Im cute uwu
5490007625,win,Ranked Solo,2021-10-04 03:41:02,24m 7s,2,2,12,7.00:1,empty,empty,LeBlanc,Master,empty,Gwen,dekaani Remes,Lillia,Cyroox,Jarvan IV,Nipple Action,Ezreal,Mistr E,Soraka,LPS TMuKK,Gragas,something 2 lose,Kha'Zix,AlphaAsFuk,LeBlanc,Karzzy11,Tristana,Xenxo,Amumu,2Cups
5489839555,lose,Ranked Solo,2021-10-04 03:00:57,25m 52s,7,4,10,4.25:1,Double Kill,ACE,LeBlanc,Master,empty,Gnar,Jack Of DiamonD,Xin Zhao,Chelouche,LeBlanc,Karzzy11,Xerath,Jukester,Rakan,T de Tochas,Jarvan IV,2021Worlds0301,Elise,Win or Valhalla,Yone,Seneca Mentality,Vayne,Moeless,Pyke,Khal Suppo
5489804617,win,Ranked Solo,2021-10-04 02:27:34,31m 2s,8,8,30,4.75:1,empty,empty,Jarvan IV,Master,empty,Yone,krane,Nocturne,Vol,Ryze,SoloWarfare,Lucian,pretty thoughts1,Amumu,SUP Toxic Keskin,Camille,secluded kiss,Jarvan IV,Karzzy11,Kassadin,Sailly,Kai'Sa,OverKillHao,Sylas,LPS TMuKK
5489534261,win,Ranked Solo,2021-10-04 01:22:59,35m 24s,13,5,16,5.80:1,Double Kill,MVP,Lee Sin,Master,empty,Camille,Miroslac,Lee Sin,Karzzy11,Rumble,boli mnie głowa,Karthus,the hood Jcll,Blitzcrank,Naisuuuuuuuuuuuu,Olaf,El Monkito Vroum,Jarvan IV,Senpai David,Katarina,Itz Dagger,Miss Fortune,FPG Remix,Zyra,faeces
5489320486,win,Ranked Solo,2021-10-03 23:46:15,28m 32s,10,6,17,4.50:1,MVP,empty,Graves,Master,empty,Camille,00Killy,Kha'Zix,Dhalianoir,LeBlanc,Avatar Marty,Karthus,le bot incident,Nami,TànyaTheMadness,Riven,Rivenstein,Graves,Karzzy11,Malzahar,Nicholai ,Vayne,Jason Vuong,Pyke,1M4G1N3
