gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490336508,lose,Ranked Solo,2021-10-04 06:41:00,28m 41s,9,4,6,3.75:1,ACE,empty,Jinx,Master,empty,Sejuani,Glourmand,Hecarim,Doaenel Hecarim,Sylas,Stille Berg,Jinx,2021Worlds0171,Thresh,G2 ViggoEdits,Fiora,Govna Isusova,Kayn,yeppocok,Yone,D E I D X R A ,Ziggs,Eneino,Nami,shine on me
5490285029,win,Ranked Solo,2021-10-04 06:05:40,15m 32s,0,1,0,0.00:1,empty,empty,Jinx,Master,empty,Irelia,OnurTemiz,Trundle,PVE Kackis,Ryze,Mαno,Lucian,pretty thoughts1,Nami,1roNN,Sejuani,Glourmand,Ekko,Noerring,Yone,Adeptx,Jinx,2021Worlds0171,Lulu,SUP Toxic Keskin
5490300959,win,Ranked Solo,2021-10-04 05:42:34,15m 38s,5,1,9,14.00:1,Double Kill,MVP,Jinx,Master,empty,Gnar,Thel1ttletiger,Lee Sin,PVE Kackis,Cassiopeia,Sτoπεd Snαke,Jinx,2021Worlds0171,Pyke,Traypo,Urgot,LFT Dunks,Nidalee,lövhögen,Kassadin,GOOßA,Miss Fortune,efiL,Lulu,TwTvDuoAbuse
5490205893,win,Ranked Solo,2021-10-04 05:15:34,17m 37s,8,1,4,12.00:1,empty,empty,Lucian,Master,empty,Cassiopeia,Sτoπεd Snαke,Graves,SPX Snows,Singed,LevelZeroFangirl,Ezreal,Gosberg17,Braum,MCES Artoria,Jayce,Firefl0wer,Olaf,egefitness1,Zoe,QYURRYUS1,Lucian,2021Worlds0171,Nautilus,easy Prophet
5489954223,win,Ranked Solo,2021-10-04 03:10:08,19m 10s,12,4,4,4.00:1,Double Kill,empty,Lucian,Master,empty,Fiora,Davitzon,Lee Sin,Nipple Action,Sylas,xiao tang bu lei,Lucian,2021Worlds0171,Nami,TopIess Janna,Irelia,zhugemeng,Graves,Sn1lle,Xerath,Xerath Gang,Draven,Viper sama,Amumu,SMB Kireas
5489299362,win,Ranked Solo,2021-10-03 23:58:35,28m 5s,26,5,5,6.20:1,Triple Kill,MVP,Lucian,Master,empty,Yone,Alþhinaud,Taliyah,Regn,Zed,Enkaí,Draven,1v9wheneveriwąnt,Janna,nigelf32,Vayne,Fulis on Top,Ekko,BèAnn,Twisted Fate,Dym le Chagrin,Lucian,2021Worlds0171,Zilean,babeV
5489235920,win,Ranked Solo,2021-10-03 23:23:17,29m 19s,10,6,6,2.67:1,Quadra Kill,empty,Lucian,Master,empty,Ornn,Byzza,Nidalee,otkachalka681,Yone,PL Shinobi,Lucian,2021Worlds0171,Nami,Leo D Aras,Riven,Jez,Ekko,bleeding jng acc,Zed,XXXXX Q0001,Kai'Sa,Yosikomo,Nautilus,OlivierLeRoutier
5489099513,win,Ranked Solo,2021-10-03 22:39:14,25m 50s,11,6,10,3.50:1,Double Kill,empty,Lucian,Master,empty,Ornn,TwTv Makkro0,Lee Sin,Kileriukas,Kennen,MANE ReNo,Vayne,Chouineur 2,Lulu,lrinaih,Camille,Ethelikith,Diana,Balkane1,Irelia,Karzzy11,Lucian,2021Worlds0171,Nami,DUMAN
5489132916,win,Ranked Solo,2021-10-03 22:03:58,31m 9s,12,2,8,10.00:1,Double Kill,MVP,Lucian,Master,empty,Garen,Gucking Foblin,Taliyah,Karzzy11,Tryndamere,Quicksie,Ziggs,elusive kiss,Pantheon,DUMAN,Camille,RokasLTU,Lee Sin,Algoria,Sylas,I love mages,Lucian,2021Worlds0171,Nami,ReX KoKo
5488888730,lose,Ranked Solo,2021-10-03 19:57:31,28m 58s,5,4,5,2.50:1,ACE,empty,Lucian,Master,empty,Renekton,EragonUK,Diana,Baldwin lV,LeBlanc,PL Shinobi,Lucian,2021Worlds0171,Amumu,roodkopje,Yasuo,CritAndSplit,Gragas,Jenxas,Yone,TrL Zedophile,Seraphine,Mental Himalaya,Thresh,Aarôn sup acc
