gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5468721388,lose,Ranked Solo,2021-09-22 18:53:49,25m 11s,4,9,4,0.89:1,empty,empty,Jinx,Master,empty,Irelia,1241235115551535,Lee Sin,Wanna be Tarzan,Zoe,CREE,Miss Fortune,끝난 이야기,Amumu,짐승왕 보노보부,Shen,챔피언 늘리기,Talon,wushugexingcheng,Katarina,넝 꿀,Jinx,xiguazhi,Gragas,하나나사랑해요
5463220738,win,Ranked Solo,2021-09-20 02:51:00,28m 49s,10,2,9,9.50:1,Quadra Kill,MVP,Jinx,Master,empty,Fiora,Saturday Mornlng,Qiyana,Son of Spirit,Anivia,쌈바 애니비아,Tristana, imp8,Leona,낭만 임기택,Sett,Adodacova,Lee Sin,빌어줘 잘 되기를,Zoe,연세대표미드,Jinx,xiguazhi,Alistar,즐 야
5463066343,win,Ranked Solo,2021-09-20 02:13:53,37m 38s,17,2,13,15.00:1,Double Kill,MVP,Jinx,Master,empty,Irelia,한타 잘하고싶당,Talon,T1 F0rest,Corki,아프리카TV 짝강,Jinx,xiguazhi,Leona,easy for u,Jax,time or time,Nidalee,hyc0505,Samira,T10 Berserker,Tryndamere,UMBBBBBBBBB,Rell,placeb0
5463009646,lose,Ranked Solo,2021-09-20 01:22:57,25m 3s,10,12,6,1.33:1,Double Kill,empty,Aphelios,Master,empty,Kennen,참포도나무,Jarvan IV,돌아온탄산,Galio,예 nightfall,Aphelios,xiguazhi,Sylas,하나나사랑해요,Renekton,your fearness,Ekko,ksw1,Sett,But you,Varus,badday1,Bard,EIeven2
5462838859,lose,Ranked Solo,2021-09-20 00:27:52,28m 31s,4,12,7,0.92:1,empty,empty,Aphelios,Master,empty,Lulu,커피물조절장인,Xin Zhao,3donghezecaoxian,Cassiopeia,댜 쨩,Akshan,KT R MID,Bard,EIeven2,Vayne,이스포츠 프롬,Lee Sin,hong he wo de,LeBlanc,파나경,Aphelios,xiguazhi,Amumu,Jian ren bizui
5462821700,lose,Ranked Solo,2021-09-19 23:49:01,25m 10s,6,5,3,1.80:1,Quadra Kill,ACE,Xayah,Master,empty,Malphite,볼 살,Viego,GSJ,Akshan,gfdgsr111,Kai'Sa,김따코,Seraphine,렐복치,Volibear,Jian ren bizui,Lee Sin,huahuahua,LeBlanc,탁윤탁,Xayah,xiguazhi,Rell,신비한 뱀
5462555432,win,Ranked Solo,2021-09-19 23:16:38,24m 4s,9,6,10,3.17:1,Double Kill,empty,Ezreal,Master,empty,Fiora,Saint Diana,Lee Sin,chocolate butter,Zoe,모두 화이팅 하자,Samira,mnbvcxze,Rell,렐복치,Gnar,BJ갈배,Ekko,a little story,Irelia,Qufl,Ezreal,xiguazhi,Nami,수요일은다먹는날
5462415948,lose,Ranked Solo,2021-09-19 22:29:53,24m 2s,0,5,3,0.60:1,empty,empty,Ezreal,Grandmaster,empty,Gnar,BJ갈배,Diana,Spongebbob,Yasuo,조댁근1,Ezreal,xiguazhi,Leona,Cherry Bloss0m,Fiora,doleimepa,Karthus,Return To U,Zed,a little story,Aphelios,EDGzhao67542158,Alistar,김은지전용노예
5462347165,win,Ranked Solo,2021-09-19 21:53:28,26m 20s,2,4,18,5.00:1,empty,empty,Jinx,Master,empty,Rengar,렝 가 본 좌,Warwick,Ke Jun Da,Anivia,코로나공유,Jinx,xiguazhi,Blitzcrank,tkdcpWakdrpa,Tahm Kench,guardian1,Lee Sin,블루리쉬잘해요,Twisted Fate, youwillsucceed,Aphelios,say lt ,Thresh,easy for u
5462252315,win,Ranked Solo,2021-09-19 21:13:03,18m 11s,3,4,5,2.00:1,Double Kill,empty,Xayah,Master,empty,Karma,썬더드래곤,Ivern,조광희,Jax,김눌엉,Miss Fortune,Shirakami Fubuk1,Leona,placeb0,Mordekaiser,Fox B Osu,Lee Sin,dkkkkkkkkkkkk,Malphite,쉔드백,Xayah,xiguazhi,Rakan,햄스터쳇바퀴인생
5462216027,lose,Ranked Solo,2021-09-19 20:48:50,22m 17s,3,0,6,Perfect,ACE,empty,Aphelios,Master,empty,Gnar,07년생 무뇌 탑,Nidalee,원딜도하는정글,Yasuo,Chasa,Aphelios,xiguazhi,Amumu,햄스터쳇바퀴인생,Camille,폼 팡,Jarvan IV,Alone N,Katarina,나도 질퍽이,Lucian,예 nightfall,Leona,Gold Experiencee
5462056105,lose,Ranked Solo,2021-09-19 19:57:06,33m 57s,11,4,3,3.50:1,Triple Kill,ACE,Aphelios,Master,empty,Riven,계속 덤벼봐라,Rek'Sai,리프버블,Galio,Yusoo,Ezreal,늘 꿈만 같았다,Rakan,363363363,Graves,Kimiwakireida,Ivern,아이번맨,Sylas,Headie,Aphelios,xiguazhi,Thresh,yangyu XD
5462005261,win,Ranked Solo,2021-09-19 18:45:14,25m 33s,7,2,11,9.00:1,MVP,empty,Jinx,Master,empty,Gangplank,pdfgh,Xin Zhao,xccccccvb,Kassadin,멸망의인도자,Jinx,xiguazhi,Thresh,빅딜 이동하,Irelia,1241235115551535,Zac,02년생 자크,Twisted Fate,아케니아,Miss Fortune,Shirakami Fubuk1,Nautilus,ggttlplp190
5461960625,win,Ranked Solo,2021-09-19 18:10:31,21m 28s,8,3,9,5.67:1,Double Kill,MVP,Jinx,Master,empty,Tahm Kench,멸망의인도자,Lee Sin,DRX Keria,Yasuo,구이신,Aphelios,ggttlplp190,Taliyah,오늘하루는어떨까,Irelia,1241235115551535,Shaco,펜니르,Twisted Fate,아케니아,Jinx,xiguazhi,Karma,suo lan
5461903538,win,Ranked Solo,2021-09-19 17:39:04,25m 39s,4,2,7,5.50:1,Double Kill,empty,Aphelios,Master,empty,Shen,HakosBaelzFan1,Lee Sin,그땐 그저 좋았다,Twisted Fate,신이되고싶었는데,Aphelios,xiguazhi,Lulu,qingsu fan,Talon,멸망의인도자,Ivern,조광희,Singed,zhao si ma gun,Ashe,ggttlplp190,Zilean,고길동의마스터이
5459899274,win,Ranked Solo,2021-09-18 21:21:37,20m 44s,8,5,1,1.80:1,Double Kill,empty,Aphelios,Master,empty,Shen,zhao si ma gun,Zed,clearlove77,Ryze,Main1,Caitlyn,시촌동생,Janna,95k8,Quinn,Quates,Lee Sin,헤 진,Ahri,lose jg,Aphelios,xiguazhi,Nautilus,ka ka luo te
