gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490318975,lose,Ranked Solo,2021-10-04 06:44:23,23m 27s,13,5,2,3.00:1,Double Kill,empty,Lucian,Grandmaster,empty,Aatrox,woshidoinb,Kindred,Shinzouku,Sylas,Blodreinaaaaa,Seraphine,Katherine Pierce,Trundle,GK Mishal,Jax,ˇ sao,Zed,nukëduck,Katarina,ItsSørey,Lucian,2021Worlds0173,Leona,F P Journe
5489991630,win,URF,2021-10-04 02:53:18,14m 10s,10,6,2,2.00:1,Double Kill,empty,Ezreal,empty,empty,Leona,Hellfirecleric,Shyvana,DxJackk,Sylas,atorman777,Azir,Kilowai,Varus,A Mountain,Ezreal,2021Worlds0173,LeBlanc,2021Worlds,Miss Fortune,Marksman Bourbon,Jax,Wagwan Peng Ting,Veigar,Tobbevdp
5489252726,win,Ranked Solo,2021-10-03 23:17:49,38m 46s,2,10,23,2.50:1,empty,empty,Leona,Master,empty,Pantheon,JingleDingle,Taliyah,Chelouche,Tryndamere,nangman topsolo,Miss Fortune,ATL JuJuTw0,Leona,2021Worlds0173,Riven,ΚyM,Jarvan IV,0711 Jwic,LeBlanc,huge performanz ,Jinx,Nero Forte,Nami,brKm
5489110390,win,Ranked Solo,2021-10-03 22:31:47,15m 14s,6,1,7,13.00:1,Double Kill,MVP,Ezreal,Master,empty,Riven,ΚyM,Taliyah,Chelouche,Xerath,Xerath Gang,Ezreal,2021Worlds0173,Soraka,MitschMan,Malzahar,blbej garp top,Jarvan IV,Teą,Qiyana,lordnabos,Jhin,DokyoTrift,Brand,xAqaaya
5489124612,lose,Ranked Solo,2021-10-03 22:09:11,25m 47s,1,6,5,1.00:1,empty,empty,Nautilus,Master,empty,Jax,FIX SOL0Q,Elise,Yosikomo,Diana,Kamus,Ezreal,whiteinn,Janna,Jake Eppińg,Poppy,Seminol,Viego,Lοvelorn,Syndra,Paul227,Kai'Sa,NiuNai,Nautilus,2021Worlds0173
5488581666,win,Ranked Solo,2021-10-03 08:29:53,26m 38s,1,5,14,3.00:1,empty,empty,Nautilus,Master,empty,Darius,Makuna Hatataº,Graves,357159,Sylas,Teą,Kai'Sa,LDNU Aklass,Nautilus,2021Worlds0173,Gwen,IAimToMisbehave,Hecarim,SRB Jungler 47,Yone,ECkz,Ezreal,the super noob,Karma,7B Senceless
5488555092,win,Ranked Solo,2021-10-03 07:52:27,29m 43s,1,6,21,3.67:1,MVP,empty,Nami,Diamond 1,empty,Quinn,YQSH,Graves,Want to do well,Vex,Azzapp,Lucian,Nero Forte,Soraka,player 240,Darius,Makuna Hatataº,Ivern,Yami Yuumî,Tryndamere,Scúffed,Aphelios,LDNU Aklass,Nami,2021Worlds0173
5488477553,win,Ranked Solo,2021-10-03 07:07:20,31m 24s,5,8,15,2.50:1,empty,empty,Leona,Diamond 1,empty,Yone,ZombieKungen,Talon,treasure seeking,Vex,Azzapp,Caitlyn,Αrυka,Karma,Suken,Gwen,lennylennylenny,Kha'Zix,Stopfeedanimals,Graves,Chaoxiang JJ,Veigar,ENTUZJASTA MFKI,Leona,2021Worlds0173
5488384802,win,Ranked Solo,2021-10-03 06:24:48,26m 7s,1,5,24,5.00:1,empty,empty,Rakan,Master,empty,Fiora,Govna Isusova,Talon,GS Mojito,Twisted Fate,kimchi open1,Jhin,KH Komandata,Sona,EtoTudaEtoSuda,Gwen,jg diff victim,Qiyana,Sawyorr,Viktor,NOV4 FreeParking,Lucian,Gosberg17,Rakan,2021Worlds0173
5488327651,win,Ranked Solo,2021-10-03 05:50:37,30m 11s,15,8,11,3.25:1,Double Kill,empty,Lucian,Master,empty,Poppy,Davitzon,Talon,GS Mojito,Zoe,Cveps,Lucian,2021Worlds0173,Sona,EtoTudaEtoSuda,Camille,Τragödie,Taliyah,Karzzy11,Irelia,Czajek9z,Ezreal,EDG Killaki ,Seraphine,Jamsu
5487904101,win,Ranked Solo,2021-10-03 00:44:10,30m 5s,2,5,25,5.40:1,empty,empty,Rakan,Master,empty,Gragas,Headache Man,Diana,This will pass,Qiyana,DÄMONEN,Miss Fortune,i Iove hot moms,Rakan,2021Worlds0173,Jax,Geâss1,Talon,tempsjgjlgslchok,Sylas,SOLNEX,Xayah,dzc,Thresh,Paixdia
5487254712,win,Ranked Solo,2021-10-02 09:02:12,21m 58s,3,6,15,3.00:1,empty,empty,Rakan,Master,empty,Darius,XΥZ,Lee Sin,SMB Kireas,LeBlanc,Dvek,Lucian,LBJLBJLBJLBJ1111,Annie,Heimskáut réfur,Kennen,Firefl0wer,Fiddlesticks,NoxchiTwitch,Katarina,Twitchtv NyroLoL,Ezreal,daIe manin,Rakan,2021Worlds0173
5487136892,win,Ranked Solo,2021-10-02 07:55:38,30m 55s,2,5,18,4.00:1,empty,empty,Amumu,Master,empty,Graves,Firefl0wer,Evelynn,Insmnia v2,Orianna,UMBBBBBBBBBBB,Jinx,Ukranian,Amumu,2021Worlds0173,Aatrox,lluνia,Karthus,NHWK,Tryndamere,Viikingr,Kai'Sa,KH Komandata,Nautilus,Lil Ûzi Vert
5487133726,lose,Ranked Solo,2021-10-02 07:16:42,15m 54s,0,1,3,3.00:1,empty,empty,Rakan,Master,empty,Graves,Sirius blake,Qiyana,Insmnia v2,Orianna,Glαssy Sky,Jhin,BYG Liang,Rakan,2021Worlds0173,Aatrox,Stargazer7,Ekko,Upset,Tryndamere,Viikingr,Lucian,Gosberg17,Soraka,NHWK
5487027798,win,Ranked Solo,2021-10-02 06:43:16,25m 49s,5,3,10,5.00:1,empty,empty,Nautilus,Master,empty,Yone,sako meile gydo,Ekko,CocaCola Monster,Ornn,Evenso,Lucian,who is rhythm,Janna,iyon ali,Sylas,Beeeeen voyons,Talon,Upset,Irelia,1v9wheneveriwąnt,Ziggs,FG Nyah,Nautilus,2021Worlds0173
5487001421,lose,Ranked Solo,2021-10-02 06:07:51,31m 28s,0,9,17,1.89:1,empty,empty,Rell,Master,empty,Camille,qPdAngelo,Qiyana,Chaoxiang JJ,Vladimir,baxeler,Xayah,GALA mashallah,Rell,2021Worlds0173,Graves,Sirius blake,Zac,Ρuru,Anivia,DereBeyi Yunus,Vayne,Ghostkyller,Soraka,Mental Himalaya
5486923963,lose,Ranked Solo,2021-10-02 05:28:21,25m 7s,0,5,10,2.00:1,empty,empty,Leona,Master,empty,Kennen,borcigendale,Graves,SMB Kireas,Yone,FrostSize,Miss Fortune,RED 7itaN ,Rakan,Nezuko san,Sion,Ragnér3,Lee Sin,Tigazz,Sylas,B99 PERALTHAR,Aphelios,Ukranian,Leona,2021Worlds0173
5486042397,win,Ranked Solo,2021-10-01 22:52:51,18m 40s,3,0,14,Perfect,empty,empty,Rakan,Master,empty,Azir,Lord Laki v2,Qiyana,19Migos,Yasuo,Cypiisuo,Xayah,LýkR Plander,Rakan,2021Worlds0173,Camille,2021Worlds,Kayn,desserte,Akshan,TwitchTV HaderrQ,Aphelios,3lix,Thresh,SUP Toxic Keskin
5485603983,win,Ranked Solo,2021-10-01 08:28:54,31m 25s,1,2,19,10.00:1,MVP,empty,Rakan,Master,empty,Darius,XΥZ,Nidalee,sugar n diesel,Tryndamere,BEST RIVEN PT,Xayah,Zambbza,Leona,dempsyya,Gnar,Νight Drive,Rengar,7MDN,Fizz,mangos1,Ezreal,Stampé,Rakan,2021Worlds0173
5485611061,win,Ranked Solo,2021-10-01 07:48:22,16m 24s,2,1,14,16.00:1,empty,empty,Rakan,Master,empty,Camille,DONT DISSAPEAR,Ekko,Sl0tMach1n3,Twisted Fate,SWIR PALETA ,Lucian,Mindrago,Sona,Jae,Aatrox,FengDere,Talon,Don Arts,Sylas,woshidoinb,Tristana,ChillThenWinBig,Rakan,2021Worlds0173
5484392309,win,Ranked Solo,2021-09-30 08:51:55,27m 55s,0,9,21,2.33:1,empty,empty,Rell,Master,empty,Darius,NeyKiou,Kayn,F0R THE EMPiRE,Akshan,róxâs,Kalista,mental pogue,Thresh,Τadej Pogačar,Gwen,qPdAngelo,Ekko,i deserve losing,Annie,si yi kai huo,Vayne,Laa7ch ,Rell,2021Worlds0173
5484229114,win,Ranked Solo,2021-09-30 08:05:22,32m 37s,2,4,19,5.25:1,empty,empty,Rakan,Master,empty,Aatrox,Cronan,Lillia,Xu Linsen,Irelia,Karzzy11,Draven,scrxptlxss,Nami,Heimskáut réfur,Camille,Headache Man,Kha'Zix,Good Boi Cat,Kassadin,J Χ J Χ C ,Lucian,2021Worlds0076,Rakan,2021Worlds0173
5484253003,lose,Ranked Solo,2021-09-30 07:24:52,44m 40s,3,5,20,4.60:1,ACE,empty,Karma,Master,empty,Jax,Kafuu chin0,Karthus,buff my role,Graves,nice gυy,Lucian,KaioKen x11,Janna,10BillionPercent,Wukong,CvB Arbuz,Viego,RNGAzafolk,Fizz,Haskko,Tristana,TIOPGM,Karma,2021Worlds0173
5484213381,win,Ranked Solo,2021-09-30 06:06:49,22m 18s,0,2,21,10.50:1,empty,empty,Leona,Master,empty,Camille,Emperφr,Xin Zhao,BVEBVEA,Sylas,GNIK9zz,Syndra,2021Worlds0076,Poppy,Hero of Ferelden,Darius,Shiawase,Taliyah,Karzzy11,Kayle,Suberhyber,Tristana,Ruler Jr,Leona,2021Worlds0173
5484058767,win,Ranked Solo,2021-09-30 05:37:30,29m 3s,1,5,31,6.40:1,empty,empty,Braum,Diamond 1,empty,Jayce,Kimchi warrior1,Lee Sin,CocaCola Monster,LeBlanc,byeeeeeee,Lucian,2021Worlds0171,Blitzcrank,Phôsphoros,Zed,Xhο,Rek'Sai,Hero of Ferelden,Lissandra,Karzzy11,Tristana,2021Worlds0076,Braum,2021Worlds0173
5484023233,win,Ranked Solo,2021-09-30 04:58:15,22m 50s,5,4,19,6.00:1,Double Kill,empty,Rell,Master,empty,Camille,Thel1ttletiger,Diana,fak,Zed,Xhο,Kog'Maw,SwitchUnit,Lulu,WKR Sirmake,Gwen,Kimchi warrior1,Rek'Sai,Hero of Ferelden,Sylas,Karzzy11,Ezreal,unzebeel2,Rell,2021Worlds0173
5483965820,lose,Ranked Solo,2021-09-30 04:27:36,29m 3s,0,10,9,0.90:1,empty,empty,Leona,Master,empty,Gnar,lucky iceland ,Jarvan IV,Kudy,Katarina,sari,Jhin,asyris ad acc,Zilean,babeV,Garen,Nigato Zulumaki,Nidalee,fart like dopa,Aatrox,Karzzy11,Tristana,LFT Giubi,Leona,2021Worlds0173
5483921074,win,Ranked Solo,2021-09-30 03:50:04,26m 0s,3,4,17,5.00:1,empty,empty,Rakan,Diamond 1,empty,Tryndamere,7482196936214369,Fiddlesticks,sNv Glitch,Irelia,Karzzy11,Miss Fortune,asyris ad acc,Rakan,2021Worlds0173,Nasus,Iamsobadsorry,Shaco,Un Mec Zehef,Veigar,Pietroxtar,Kalista,reform,Brand,Noble Steed
5482672216,win,Ranked Solo,2021-09-29 08:29:34,29m 6s,1,3,24,8.33:1,empty,empty,Rakan,Master,empty,Dr. Mundo,FengDere,Rek'Sai,ITS FOCKING RAW,Azir,how lose,Kog'Maw,K157,Rakan,2021Worlds0173,Jax,Νight Drive,Talon,επιμονή,Kassadin,Reine d Voleurs,Kai'Sa,whatafaaaail,Alistar,Huskigodx
5482628189,win,Ranked Solo,2021-09-29 07:50:49,22m 0s,2,6,22,4.00:1,empty,empty,Nami,Diamond 2,empty,Renekton,Tolkin,Kindred,LFT sør3N47,Kassadin,Chuánqí Zhànshì,Lucian,Switon,Bard,Flokerr,Camille,Bene Gesserìt,Lee Sin,CocaCola Monster,Yone,Karzzy11,Jinx,2021Worlds0171,Nami,2021Worlds0173
5482653623,lose,Ranked Solo,2021-09-29 07:22:28,33m 4s,3,11,18,1.91:1,empty,empty,Amumu,Diamond 1,empty,Aatrox,sushicat2,Trundle,aLdaGOD,Fizz,TWMNx ,Varus,xXMENINOXx69,Gragas,Nugget Nibbler,Tahm Kench,PatoKill3r,Nidalee,9 19 Night,Irelia,Karzzy11,Draven,2021Worlds0171,Amumu,2021Worlds0173
5482469596,win,Ranked Solo,2021-09-29 06:43:05,31m 59s,0,8,23,2.88:1,empty,empty,Karma,Diamond 1,empty,Darius,TALiBANFiSTERXD,Hecarim,PVE Kackis,Kassadin,UNTIL I WIN ,Soraka,Freeze KEY Summs,Yuumi,Calm101,Yone,P A V A R O T T,Rammus,ll HAMZA ll,Annie,ttvi,Ezreal,3811275,Karma,2021Worlds0173
5482473453,win,Ranked Solo,2021-09-29 06:00:06,27m 27s,3,2,15,9.00:1,Double Kill,empty,Nami,Diamond 1,empty,Tryndamere,lil pump1,Ekko,Jocelyn Armel,Pantheon,Break A Kingdom,Kai'Sa,maoxiandao,Yuumi,heal ad plz,Rumble,Râfox,Kayn,Clutcher Familiy,Irelia,Karzzy11,Lucian,2021Worlds0171,Nami,2021Worlds0173
5482397231,win,Ranked Solo,2021-09-29 05:26:39,29m 31s,3,9,29,3.56:1,empty,empty,Thresh,Diamond 2,empty,Yone,Rikala,Talon,papi puppy,Annie,Karzzy11,Draven,2021Worlds0171,Thresh,2021Worlds0173,Fiora,Thel1ttletiger,Diana,UC 1v9,Yasuo,braindmgd yasuo,Ezreal,gilgaemesh,Pyke,Coaching Lion
5482450563,lose,Ranked Solo,2021-09-29 04:45:59,20m 38s,2,6,4,1.00:1,empty,empty,Kai'Sa,Diamond 1,empty,Fiora,SakurajimaMaiSan,Qiyana,Dinner first,Kassadin,SimpMaterial,Miss Fortune,2021Worlds0076,Rakan,TiIbúinn,Irelia,Polish immigrant,Rengar,LEGALLY INSANE,Viktor,HIGH CLASS GYPSY,Kai'Sa,2021Worlds0173,Pyke,Traffy UwU
5482175627,win,URF,2021-09-29 03:00:23,12m 36s,20,3,10,10.00:1,Triple Kill,empty,LeBlanc,empty,empty,Shen,wo ist vayne,Rakan,TheSilec,Cho'Gath,Jester of Askir,Kha'Zix,SirLockeyy,Master Yi,RedolfStifler,LeBlanc,2021Worlds0173,Lucian,Mohe dance hall,Akshan,2021Worlds0171,Lissandra,2021Worlds,Zed,youcanyouupnobb
5482118745,win,Ranked Solo,2021-09-29 02:42:37,31m 44s,3,5,22,5.00:1,Double Kill,empty,Nami,Diamond 2,empty,Renekton,Xoyl,Gragas,MeIynx,Irelia,Karzzy11,Draven,2021Worlds0171,Nami,2021Worlds0173,Qiyana,n0dfan,Lee Sin,Dinner first,LeBlanc,Yen is my Wife ,Lucian,yong whu zhi jin,Janna,ME WAN BIG BATTY
5481383907,win,Ranked Solo,2021-09-28 08:24:58,24m 35s,1,3,27,9.33:1,empty,empty,Rakan,Diamond 2,empty,Gnar,EU POLIZEI,Jarvan IV,Vafrous,Sylas,land of ice,Caitlyn,Máje,Nami,noxsb,Gangplank,YQSH,Viego,knv2,Vex,Late Blσσmer,Jinx,2021Worlds0171,Rakan,2021Worlds0173
5481300164,lose,Ranked Solo,2021-09-28 07:54:26,31m 55s,0,11,11,1.00:1,empty,empty,Braum,Diamond 2,empty,Sett,Nandiskito,Ekko,White Whales,Yone,Shrimp Shark,Ezreal,2021Worlds0171,Braum,2021Worlds0173,Gangplank,YQSH,Lee Sin,Dinner first,Kassadin,ΚatScript,Kalista,S11Tian,Amumu,Dear Donda
5481285712,win,Ranked Solo,2021-09-28 07:10:02,25m 33s,1,3,22,7.67:1,empty,empty,Rell,Diamond 3,empty,Shen,FFreaky,Ekko,knv2,Yone,Shenoxyr,Kalista,VictoriαsSecret,Rell,2021Worlds0173,Irelia,Kimchi3,Jarvan IV,Dinner first,Yasuo,R1 TWP,Ziggs,Ryäñ,Vel'Koz,Freakytilter
