gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490319680,win,Ranked Solo,2021-10-04 06:56:36,30m 35s,17,4,10,6.75:1,Triple Kill,empty,Ekko,Master,empty,Gwen,LNGLNGLNG,Ekko,2021Worlds,Qiyana,Twitch Ag0nyPain,Twisted Fate,Con161,Yuumi,BroIia,Sion,bnaduhas,Viego,IIIlIllIIIllIll,Ryze,UMBBBBBBBBBBB,Vayne,Chocklad Toppen,Bard,Ben Cristovao
5490255013,lose,Ranked Solo,2021-10-04 06:17:36,33m 3s,12,5,7,3.80:1,Double Kill,empty,Gragas,Grandmaster,empty,Sett,lets get itt,Viego,IIIlIllIIIllIll,LeBlanc,MercedesBenzE500,Karthus,DWG KIA AD,Amumu,Just an engineer,Aatrox,SK Alois,Gragas,2021Worlds,Qiyana,Twitch Ag0nyPain,Miss Fortune,i abuse ie ,Bard,BroIia
5490218094,win,Ranked Solo,2021-10-04 05:32:34,19m 42s,6,4,7,3.25:1,MVP,empty,Qiyana,Grandmaster,empty,Poppy,IAimToMisbehave,Hecarim,Airron,Zoe,BOXDEL NAURA,Ziggs,DWG KIA AD,Senna,LEBOUCHERRRRRRR,Cassiopeia,Son of Korea,Qiyana,2021Worlds,Akshan,lets get itt,Twitch,IDRNKURMILKSHAKE,Heimerdinger,Just an engineer
5489991630,win,URF,2021-10-04 02:53:18,14m 10s,21,2,6,13.50:1,Triple Kill,empty,LeBlanc,empty,empty,Leona,Hellfirecleric,Shyvana,DxJackk,Sylas,atorman777,Azir,Kilowai,Varus,A Mountain,Ezreal,2021Worlds0173,LeBlanc,2021Worlds,Miss Fortune,Marksman Bourbon,Jax,Wagwan Peng Ting,Veigar,Tobbevdp
5489281928,win,Ranked Solo,2021-10-03 23:03:11,25m 37s,15,2,6,10.50:1,Triple Kill,MVP,Viego,Master,empty,Kennen,Firefl0wer,Viego,2021Worlds,Kassadin,Twitch Ag0nyPain,Lucian,Shyelander,Rakan,Dont Stop Me XD,Mordekaiser,89 fds 126,Kha'Zix,FYN Jackson,Cassiopeia,Sτoπεd Snαke,Jhin,CRASIAA,Camille,KIoen
5489142402,win,Ranked Solo,2021-10-03 21:47:19,16m 7s,5,1,8,13.00:1,empty,empty,Jarvan IV,Master,empty,Sylas,FFEBIVEN,Rek'Sai,380V Jung ,Lulu,Koenraad II,Tristana,Mental Himalaya,Rakan,KIoen,Wukong,Caragouille,Jarvan IV,2021Worlds,LeBlanc,FrostSize,Miss Fortune,SWENZUUUUUUUUUUU,Karma,SekstiNi
5488888482,win,Ranked Solo,2021-10-03 19:50:57,24m 19s,12,1,13,25.00:1,Double Kill,MVP,Lee Sin,Master,empty,Irelia,LNGLNGLNG,Poppy,Dinner first,Zoe,LDNU Koussay3,Lucian,NOX ilyy,Nami,SheSho,Camille,Darlik1,Lee Sin,2021Worlds,Karma,Yuumus Decimus,Jhin,Slyv3r,Rakan,Adım Barkın
5488934721,win,Ranked Solo,2021-10-03 19:19:15,15m 31s,2,2,8,5.00:1,empty,empty,Rakan,Master,empty,Malphite,GSK Tixn,Hecarim,SRB Jungler 47,Kassadin,CS Big Boss,Draven,SWENZUUUUUUUUUUU,Soraka,BananaAbuser42,Sylas,CG Kaymin,Lee Sin,BIood drippin,Irelia,Ragnér3,Jhin,Slyv3r,Rakan,2021Worlds
5488509601,lose,Ranked Solo,2021-10-03 08:11:59,23m 30s,12,7,8,2.86:1,Quadra Kill,ACE,Viego,Grandmaster,empty,Volibear,Wufo,Rengar,ADCImpregnator,Akali,MCES Artoria,Kog'Maw,TheLegendOfMagic,Lulu,HAHHAHAHAHAXXDDD,Irelia,chance no exist,Viego,2021Worlds,Sylas,huge performanz ,Tristana,motus vetiti,Zilean,Mr Tickle
5488526294,win,Ranked Solo,2021-10-03 07:41:52,15m 31s,13,1,6,19.00:1,Triple Kill,MVP,Ekko,Master,empty,Wukong,LittIe Trouble,Kayn,SMB Kireas,Sylas,MCES Artoria,Ezreal,huge performanz ,Yuumi,F tier supp,Lee Sin,20001111,Ekko,2021Worlds,Akshan,Not nexo rdy,Jhin,Liv Tyler7,Bard,Mr Tickle
