gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490279660,lose,Ranked Solo,2021-10-04 06:58:09,39m 5s,11,7,4,2.14:1,Double Kill,ACE,Sylas,Master,empty,Sylas,lucky iceland ,Graves,PAMELA DINDON,Akshan,Veecto,Kalista,fat fam,Lulu,Sumurejen,Ornn,TwTv BloodOnYou,Zed,I love mages,Zoe,ShowMakerVillain,Ezreal,GALA mashallah,Bard,Gaunter O Dimm
5490313710,win,Ranked Solo,2021-10-04 06:08:24,21m 56s,9,2,3,6.00:1,Double Kill,MVP,Lucian,Master,empty,Urgot,ÐETERMINATION,Soraka,Nafilan,Nidalee,lenny smurf acc,Xayah,Flowsnake Ice,Irelia,ShowMakerVillain,Lucian,lucky iceland ,Nunu & Willump,entroρy,Kassadin,Chop Water,Aphelios,GALA mashallah,Thresh,AmigoDTuMadrε
5490217912,lose,Ranked Solo,2021-10-04 05:41:14,29m 40s,4,6,4,1.33:1,empty,empty,Yone,Master,empty,Yone,lucky iceland ,Kha'Zix,Μaverick,LeBlanc,coconut kid,Twitch,G2 Teddy,Yuumi,OMG ITS BOKU,Irelia,OnurTemiz,Nunu & Willump,Bruno el cabruno,Ryze,Dym le Chagrin,Lucian,CocaCola Monster,Nami,PippilOPPY
5490231170,win,Ranked Solo,2021-10-04 05:03:31,23m 38s,7,4,10,4.25:1,empty,empty,Irelia,Master,empty,Irelia,lucky iceland ,Taliyah,icelandxuechan,Aatrox,Sack,Miss Fortune,PissLowPan,Nautilus,Atypicalthresh,Riven,Sοlipsism,Lee Sin,Daiki Aomiine,Orianna,JuanKElCaminante,Vayne,WhiteHuman,Lulu,qwerasdfzxcbvcxz
5490057593,lose,Ranked Solo,2021-10-04 04:32:29,27m 16s,4,11,7,1.00:1,empty,empty,Kalista,Master,empty,Rengar,Sssuperset,Graves,L V 2 3 3 ,Xerath,yone and kayle,Jinx,NNForsaken,Nautilus,Kandoomagic,Kalista,lucky iceland ,Nunu & Willump,Mrentorox,Veigar,Erilarion,Jhin,sQûiiRReL,Leona,PINW KAFE
5489959197,lose,Ranked Solo,2021-10-04 03:46:52,25m 59s,2,10,2,0.40:1,empty,empty,Kennen,Master,empty,Kennen,lucky iceland ,Ekko,BèAnn,Yone,Nugget Nibbler,Lucian,Skreamzzz,Zyra,faeces,Fiora,Overdose enjoyer,Diana,LngLng,Tryndamere,Erilarion,Jhin,Nafilan,Nami,TopIess Janna
5489171157,win,Ranked Solo,2021-10-03 21:59:35,28m 18s,11,4,5,4.00:1,Double Kill,MVP,Jayce,Master,empty,Camille,Ardent Cuties DM,Ekko,Tush Keissi F4m,Graves,12321312321,Miss Fortune,i Iove hot moms,Janna,nigelf32,Jayce,lucky iceland ,Rumble,PoIicja997,Akshan,Nugget Nibbler,Lucian,Endlessz,Nami,Siskauskas
5488898051,lose,Ranked Solo,2021-10-03 19:56:46,31m 3s,5,9,5,1.11:1,empty,empty,Jayce,Master,empty,Jayce,lucky iceland ,Nidalee,1v9wheneveriwąnt,Tryndamere,SANTORYU USER,Ezreal,xLynge,Soraka,BananaAbuser42,Fiora,RokasLTU,Kindred,معزة,Ekko,Xeronic,Miss Fortune,Xenxo,Nautilus,frescus
5488552312,win,Ranked Solo,2021-10-03 07:27:47,26m 1s,11,4,7,4.50:1,MVP,empty,Kennen,Master,empty,Aatrox,BanChemtankShen,Lee Sin,OFFSET Chovy,LeBlanc,Mohe dance hall,Caitlyn,Fearless Ravenno,Rakan,kiva peli,Kennen,lucky iceland ,Rek'Sai,Pablo Parito,Galio,Marcy,Aphelios,2219413,Thresh,Sadgekav
5488466796,win,Ranked Solo,2021-10-03 06:51:21,26m 31s,6,5,9,3.00:1,empty,empty,Yone,Master,empty,Darius,BanChemtankShen,Graves,OFFSET Chovy,Taliyah,Mohe dance hall,Twitch,Scottie Pippen,Nami,Dear Donda,Yone,lucky iceland ,Kindred,1v9 Kindred,Sylas,LaggerNxD,Ezreal,St0ne Fr33,Karma,Flowsnake Ice
5488403632,win,Ranked Solo,2021-10-03 06:18:49,24m 0s,10,5,6,3.20:1,Double Kill,MVP,Yone,Master,empty,Yone,lucky iceland ,Udyr,A Seal,Vladimir,UNΛVERAGE,Jhin,FB Genosect,Karma,Haeryung,Wukong,CvB Arbuz,Viego,Silk,Sylas,Rikala,Lucian,  Xensational   ,Nami,ADVERSARY
5488347219,win,Ranked Solo,2021-10-03 05:43:57,23m 0s,4,5,4,1.60:1,Double Kill,empty,Tryndamere,Master,empty,Fiora,Evenso,Shyvana,DoubleAiM,Yone,Sphericity,Lucian,Dionelux,Nami,Only 151 Pokemon,Tryndamere,lucky iceland ,Ekko,Sl0tMach1n3,Irelia,White Steel Eel,Kai'Sa,Juzoo,Zilean,Lifelike
5488372002,win,Ranked Solo,2021-10-03 05:15:11,18m 33s,4,4,3,1.75:1,empty,empty,Camille,Master,empty,Camille,lucky iceland ,Graves,DoubleAiM,Ryze,Rythrod,Miss Fortune,Castanic,Soraka,Master of Shabs,Irelia,Suronling,Ekko,Sl0tMach1n3,Yone,Vate,Ezreal,sign me already,Seraphine,CORONA EQUALS 5G
5488237916,win,Ranked Solo,2021-10-03 04:49:50,29m 20s,9,3,4,4.33:1,MVP,empty,Camille,Master,empty,Camille,lucky iceland ,Graves,DoubleAiM,Orianna,DeCypher1,Kog'Maw,kcvawsreiuyopdgz,Lulu,Mihajlo Matic,Jax,IegnA,Ekko,Stopfeedanimals,Vladimir,BIeed for me,Lucian,Scottie Pippen,Janna,i Iove hot moms
