gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490382051,win,Ranked Solo,2021-10-04 06:57:50,16m 43s,2,3,3,1.67:1,empty,empty,Kennen,Master,empty,Akali,Rythrod,Master Yi,PD Zapdo,Karma,Owelius,Akshan,Salvied,Pyke,EYG Orcinus,Kennen,Mohe dance hall,Lee Sin,FYN Jackson,Katarina,Bad Player v2,Miss Fortune,Regostern,Rakan,heal ad plz
5490326504,lose,Ranked Solo,2021-10-04 06:31:13,26m 29s,3,8,6,1.13:1,empty,empty,Lee Sin,Master,empty,Pantheon,GG Gaboesh,Graves,traphouse m,Kayle,always prio wave,Ezreal,maoxiandao,Nami,SeMikee,Camille,Turbo Tuo,Lee Sin,Mohe dance hall,Sylas,FB Genosect,Jinx,Viel Glück,Lulu,tech movement
5490320487,lose,Ranked Solo,2021-10-04 05:49:57,23m 10s,9,6,5,2.33:1,empty,empty,Akali,Master,empty,Tahm Kench,SLARDAR KINGDOM,Rengar,LEGALLY INSANE,Akali,Mohe dance hall,Lucian,eskíí,Nami,Sewayx,Irelia,YQSH,Jarvan IV,KobeeeeBryant,Yasuo,S1ayter,Draven,12 yo cute egirl,Amumu,Im cute uwu
5490224142,lose,Ranked Solo,2021-10-04 05:14:42,23m 30s,7,7,4,1.57:1,Double Kill,ACE,Graves,Diamond 1,empty,Kennen,KMROPGPS,Hecarim,Ethical1,Sylas,L01 Eren1,Lucian,MiraiLizu,Nami,Huang Xiaolong,Graves,Mohe dance hall,Ekko,tempsjgjlgslchok,Vex,Azzapp,Miss Fortune,State 0f the art,Amumu,Im cute uwu
5489943716,win,URF,2021-10-04 03:02:38,17m 34s,37,5,13,10.00:1,Quadra Kill,empty,Zed,empty,empty,Lucian,2021Worlds0176,Zed,Mohe dance hall,Xerath,Away From Brain,Lee Sin,SOSS BYGUE MHAK,Kayn,SOSS BOULEOGNAIZ,Blitzcrank,Finney123,Tryndamere,GlizzyGlancer ,Kog'Maw,SayYouLoveMe233,Zed,SayYouLoveMe666,Leona,GlizzyGladiatorr
5489390071,win,Ranked Solo,2021-10-04 01:02:05,36m 14s,13,6,6,3.17:1,Double Kill,MVP,Kennen,Master,empty,Gragas,WheeezR,Xin Zhao,idk idc man,Kassadin,Yung Μus,Ezreal,CarNando is real,Bard,Rücksitzdaddler,Kennen,Mohe dance hall,Jarvan IV,Sigma Pathing,Xerath,gazpacho abuser,Lucian,Hut ab vor dir,Nami,CORONA EQUALS 5G
5489325206,lose,Ranked Solo,2021-10-04 00:14:42,26m 53s,6,5,2,1.60:1,empty,empty,LeBlanc,Master,empty,Shen,Occlumats,Shaco,ViNINE Fenrir,Yone,RAAD Shadow,Ezreal,CarNando is real,Bard,CORONA EQUALS 5G,Gnar,MHtotal,Lee Sin,WE Basil,LeBlanc,Mohe dance hall,Aphelios,KDavid02,Lulu,Bôwa
5489219342,lose,Ranked Solo,2021-10-03 23:39:42,25m 32s,7,12,9,1.33:1,empty,empty,Kayn,Master,empty,Teemo,Jøran,Lee Sin,WE Basil,Sylas,annas kitten,Miss Fortune,xumäS,Soraka,EagIee,Poppy,PippilOPPY,Kayn,Mohe dance hall,Twisted Fate,Aki Hayakawaa,Jinx,Chouineur 2,Sona,Ektoz
5489262826,lose,Ranked Solo,2021-10-03 23:03:08,22m 55s,8,5,4,2.40:1,ACE,empty,Lee Sin,Master,empty,Gnar,MHtotal,Lee Sin,Mohe dance hall,Neeko,gazpacho abuser,Lucian,MMD HulioJozé,Nami,Beurette Hlel ,Gangplank,Mâuntér ,Shaco,ViNINE Fenrir,Yone,BLACKMETALTERROR,Aphelios,PEDRARIO,Sona,TSO gslugger
5489040351,win,Ranked Solo,2021-10-03 21:45:24,31m 48s,14,7,3,2.43:1,Double Kill,MVP,Tryndamere,Master,empty,Fiora,N1ghtingäle,Ivern,raptus bloom,Rumble,Stay Present,Miss Fortune,Kïrii,Zilean,babeV,Gwen,SOLNEX,Nunu & Willump,Emoyy,Tryndamere,Mohe dance hall,Jinx,WOJOWNIK BODY,Rakan,Hoketo
