gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490092409,lose,Ranked Solo,2021-10-04 04:08:05,26m 20s,3,3,5,2.67:1,ACE,empty,Fiora,Master,empty,Fiora,2021Worlds0113,Viego,BestCzechJungler,Ryze,ƒallεn angel,Twitch,Pinky windy,Amumu,XERSUS7,Camille,WolfGates,Ivern,CRIPPLED JGLXD,Orianna,NOV4 FreeParking,Lucian,Secret Weapοn,Braum,F tier supp
5489098300,win,Ranked Solo,2021-10-03 22:17:48,13m 41s,3,1,5,8.00:1,empty,empty,Graves,Master,empty,Graves,2021Worlds0113,Xin Zhao,Scroody,Katarina,Twitchtv NyroLoL,Ezreal,asdfghjqwert,Karma,SiMajk,Poppy,SLY Eyliph,Viego,BestCzechJungler,Malzahar,NOV4 FreeParking,Aphelios,Secret Weapοn,Blitzcrank,Frère de Narkuss
5488586249,win,Ranked Solo,2021-10-03 09:14:30,21m 28s,16,2,7,11.50:1,Double Kill,MVP,Kayn,Master,empty,Sett,LittIe Trouble,Kayn,2021Worlds0113,Syndra,sajatoruu,Jhin,Cast,Amumu,Mr Tickle,Jax,Kimchi warrior1,Graves,2021Worlds0000,Vex,RKT Maςaquiñø,Cassiopeia,Sτoπεd Snαke,Yuumi,BotIsLavaPathTop
5488569293,win,Ranked Solo,2021-10-03 08:35:21,37m 9s,8,6,12,3.33:1,empty,empty,Azir,Master,empty,Fiora,Mädchen,Nidalee,Let it go Elsa,Ziggs,Traypo,Tristana,2021Worlds0076,Amumu,ACKERMÁN,Azir,2021Worlds0113,Rek'Sai,Hero of Ferelden,Kog'Maw,byeeeeeee,Draven,Black Sabbath,Leona,Dean v3
5488253799,lose,Ranked Solo,2021-10-03 04:24:13,27m 37s,9,8,3,1.50:1,Double Kill,ACE,Graves,Master,empty,Sett,89 fds 126,Ekko,MΑRΤ,Yone,Ukranian,Jhin,Mauki,Zyra,Yanis Benj,Graves,2021Worlds0113,Evelynn,XΥZ,Tryndamere,William4,Lucian,czerń koniczyna,Rakan,hoppini djuniyr
5487613823,win,Ranked Solo,2021-10-02 20:48:45,22m 31s,12,3,2,4.67:1,Double Kill,MVP,Graves,Master,empty,Graves,2021Worlds0113,Ekko,Monsieur Oui,Tryndamere,William4,Cassiopeia,BYG Liang,Rakan,BotIsLavaPathTop,Jayce,Raven2,Jarvan IV,Don Arts,Sylas,Jungler3,Lucian,Gasteizko Onena,Galio,Dr Chaos
5487268926,win,Ranked Solo,2021-10-02 10:16:05,32m 16s,11,11,11,2.00:1,Double Kill,empty,Graves,Master,empty,Graves,2021Worlds0113,Kha'Zix,BARYON Aegis,Kayle,Moeless,Draven,efiL,Rakan,F tier supp,Irelia,Beeeeen voyons,Qiyana,Insmnia v2,LeBlanc,Unyielding Hero,Lucian,something 2 lose,Pantheon,QUIXETH
5487217536,win,Ranked Solo,2021-10-02 09:34:48,32m 22s,14,5,6,4.00:1,Triple Kill,MVP,Tryndamere,Master,empty,Tryndamere,2021Worlds0113,Qiyana,Vichen1,Katarina,sako meile gydo,Ezreal,BARYON Aegis,Yuumi,UnmaskeD Sup Acc,Irelia,dajor25 movement,Nidalee,Insmnia v2,Yone,byeeeeeee,Vayne,Moeless,Soraka,baxeler
5487185666,win,Ranked Solo,2021-10-02 08:54:28,21m 53s,13,3,6,6.33:1,Quadra Kill,MVP,Graves,Diamond 1,empty,Wukong,ShuoSanJiuSan,Rengar,Reborn in Sin,Vex,Azzapp,Miss Fortune,who is rhythm,Yuumi,UnmaskeD Sup Acc,Graves,2021Worlds0113,Talon,Vichen1,Fizz,Littlebuffbabe,Lucian,byeeeeeee,Soraka,ACE Zero Kara
5486592118,win,Ranked Solo,2021-10-02 04:08:46,24m 32s,8,6,6,2.33:1,empty,empty,Graves,Master,empty,Graves,2021Worlds0113,Nunu & Willump,Nunu,Yone,FrostSize,Jhin,Cast,Amumu,twenty one,Vayne,Sorest,Ekko,J3kko,Qiyana,Twitch Ag0nyPain,Twitch,SirAaron,Rakan,Nezuko san
