gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490273514,win,Ranked Solo,2021-10-04 06:14:11,34m 17s,4,9,11,1.67:1,Double Kill,empty,Taliyah,Master,empty,Jax,FIX SOL0Q,Jarvan IV,Sêal,Sylas,2Cups,Jhin,QQ Pawelek6,Thresh,Such a bad mood,Graves,2021Worlds0033,Lillia,ositosi,Taliyah,LSADSDD,Jinx,Pinky windy,Leona,23iko
5490208606,win,Ranked Solo,2021-10-04 05:32:54,20m 27s,17,1,6,23.00:1,Double Kill,MVP,Taliyah,Master,empty,Tryndamere,F 4 T E,Taliyah,LSADSDD,Qiyana,PAMELA DINDON,Kalista,Xenxo,Leona,Dietzy,Sylas,play for me orFF,Ekko,Spirgius,Graves,2021Worlds0033,Lucian,23iko,Nami,Such a bad mood
5489324609,win,Ranked Solo,2021-10-04 00:18:23,34m 52s,13,5,5,3.60:1,Triple Kill,MVP,Talon,Master,empty,Jayce,Raven2,Elise,Win or Valhalla,Irelia,2Cups,Lucian,Hut ab vor dir,Nami,Soy TURBOGAY,Fiora,Beeeeen voyons,Talon,LSADSDD,Sylas,DecentKing,Kog'Maw,fjoompbun,Lulu,IZI Nolan
5489218917,win,Ranked Solo,2021-10-03 23:32:21,20m 29s,10,1,9,19.00:1,Double Kill,MVP,Talon,Master,empty,Sylas,SOLNEX,Graves,KENNETGOD99,Lulu,coconut kid,Jhin,Miyamura lzumi,Rakan,sixteen yo sup,Camille,GNf Firweer,Talon,LSADSDD,Zoe,gazpacho abuser,Lucian,Hut ab vor dir,Thresh,IZI Nolan
5489234397,win,Ranked Solo,2021-10-03 23:05:32,20m 11s,10,2,4,7.00:1,Double Kill,empty,Kha'Zix,Master,empty,Ornn,TwTv Makkro0,Kha'Zix,LSADSDD,Katarina,Tempo Suta,Kog'Maw,DokyoTrift,Braum,Karni,Irelia,SOLNEX,Jarvan IV,mr poIska,Kassadin,Dietzy,Kalista,n 456,Rakan,BAE Kamyta
5489050013,win,Ranked Solo,2021-10-03 21:49:12,37m 13s,14,6,15,4.83:1,Double Kill,empty,Lee Sin,Master,empty,Sett,NOV4 FreeParking,Lee Sin,LSADSDD,Singed,LevelZeroFangirl,Lucian,Warriοr,Amumu,samo mute all,Ryze,WelcomToVietnam,Jarvan IV,KIT Striker,Yasuo,eX Chonky,Jinx,VSA Liam,Lulu,Adım Barkın
5489036735,win,Ranked Solo,2021-10-03 21:05:45,19m 58s,3,0,9,Perfect,empty,empty,Diana,Master,empty,Jax,Shiawase,Nidalee, Terrºr,Corki,WOL Justas,Lucian,Luntear,Rakan,unhappy11,Kled,Dyoll,Diana,LSADSDD,Ezreal,420DANY69,Yasuo,eX Chonky,Braum,Brottby
5489033019,win,Ranked Solo,2021-10-03 20:38:46,22m 4s,13,2,7,10.00:1,Double Kill,MVP,Nidalee,Master,empty,Riven, Terrºr,Tryndamere,MadCl0wn,Karthus,ˆPareinˆ,Miss Fortune,BIGBRAINPRODIGY,Karma,frescus,Irelia,1vNINE,Nidalee,LSADSDD,Yasuo,eX Chonky,Draven,CampBotOrOpen,Rakan,unhappy11
5488763877,win,Ranked Solo,2021-10-03 12:12:22,19m 4s,9,3,13,7.33:1,Double Kill,empty,Talon,Diamond 1,empty,Pantheon,FTE e4ever24,Hecarim,nirousv,Fiora,GhostlyandFaster,Kai'Sa,Teddyx6,Janna,xaroula psilakhs,Vex,FB Genosect,Talon,LSADSDD,Cassiopeia,34 Skeul 44,Xayah,Peaceful Lodik,Blitzcrank,KEKW supp
5488684217,lose,Ranked Solo,2021-10-03 11:45:18,29m 59s,6,7,7,1.86:1,Double Kill,empty,Talon,Master,empty,Rumble,Fei17,Talon,LSADSDD,Tryndamere,x ae 147,Ezreal,Sphericity,Karma,xaroula psilakhs,Vladimir,baxeler,Xin Zhao,i deserve losing,Yone,Daisy Lesa,Lucian,Un nou început,Pyke,NIGHTMAREZZZ
