gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5476558459,win,Ranked Solo,2021-09-26 05:53:24,23m 58s,4,7,11,2.14:1,empty,empty,Ekko,Grandmaster,empty,Rumble,커피물조절장인,Karthus,Makeri ta,Garen,복수를 위하여,Lucian,하얗고예쁨,Leona,363363363,Graves,Turned to leave,Ekko,Hide on bush,Twisted Fate,riteleader,Kalista,pilotl0l,Alistar,Zhui Xiang
5476477064,lose,Ranked Solo,2021-09-26 04:36:20,20m 24s,2,2,5,3.50:1,ACE,empty,LeBlanc,Grandmaster,empty,Rumble,모두모두항복하걸,Lee Sin,wndus,LeBlanc,Hide on bush,Lucian, imp8,Blitzcrank,치쯔스틱,Sett,판 군,Xin Zhao,우울적울컥,Galio,기 정 fan,Draven,T1 Gumayusi,Thresh,BRO Jeong Hoon
5476435768,win,Ranked Solo,2021-09-26 02:52:40,26m 36s,6,4,4,2.50:1,Double Kill,empty,LeBlanc,Grandmaster,empty,Graves,wodesry,Ekko,난 워낙 노빠꾸라,LeBlanc,Hide on bush,Miss Fortune,RiHoo,Leona,Let me sup,Gnar,BJ갈배,Talon,byz,Lissandra,권 지 인,Aphelios,BRO Hena,Blitzcrank,0008000
5476360703,lose,Ranked Solo,2021-09-26 02:10:07,30m 22s,5,10,7,1.20:1,Double Kill,empty,Taliyah,Grandmaster,empty,Irelia,load L92k8UEM6QZ,Talon,jingshen qiang,Taliyah,Hide on bush,Draven,JJ0ng 묻었네,Blitzcrank,치쯔스틱,Jax,77GameZting,Diana,Love dont stop,Akshan,Indexy,Lucian,폭탄치우기,Karma,BJ갈배
5476272060,win,Ranked Solo,2021-09-26 01:13:46,19m 28s,8,5,10,3.60:1,Double Kill,empty,LeBlanc,Grandmaster,empty,Graves,HLE Baut,Lee Sin,ncyfzd,LeBlanc,Hide on bush,Ezreal,아프리카TV 짝강,Leona,placeb0,Jayce,피자호팡,Nidalee,NeverLand,Lissandra,langmanbusi,Lucian,Ottogl,Alistar,Arshunnnn
5476190678,win,Ranked Solo,2021-09-26 00:32:32,28m 14s,7,3,11,6.00:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Zilean,험악한분위기조성,Nidalee,은정우,Yone,현주입니다,Lucian,juil,Karma,로se,Jayce,피자호팡,Lee Sin,Hide on bush,Zoe,Indexy,Cassiopeia,라데시 너어,Rell,언젠가만나게되는
5475987674,lose,Ranked Solo,2021-09-25 23:35:46,25m 11s,1,5,9,2.00:1,ACE,empty,Orianna,Grandmaster,empty,Viego,Indexy,Nocturne,리액션단돈만원 ,Orianna,Hide on bush,Kai'Sa,화창한날맑은구름,Amumu,Mocha,Irelia,Saint Diana,Lee Sin,CITRU5,LeBlanc,DK Pullbae,Draven,JJ0ng 묻었네,Sylas,전서방 닭갈비
5475875892,win,Ranked Solo,2021-09-25 22:39:31,15m 22s,6,0,1,Perfect,Double Kill,MVP,Zoe,Grandmaster,empty,Zoe,Hide on bush,Graves,Naehyun,Sion,현주입니다,Miss Fortune,가민준,Thresh,Av0cadoda,Darius,샤오 쑤,Zac,02년생 자크,Seraphine,마레리트,Vayne,Fox B Pat,Lulu,lucky whaleshark
5474261454,lose,Ranked Solo,2021-09-25 07:33:46,24m 35s,7,3,7,4.67:1,Double Kill,ACE,Tryndamere,Grandmaster,empty,Kennen,hggbexrloo,Jarvan IV,욕을하지말자,Tryndamere,Hide on bush,Senna,길을찾고있는사람,Lulu,12시간닷지는못해,Tahm Kench,짜요짜요먹고싶어,Lee Sin,vaksfjhvaafg,Zoe,디알엑스 제트,Ezreal,코로나공유,Rakan,yuyus
5474251941,lose,Ranked Solo,2021-09-25 06:54:48,3m 11s,1,0,0,Perfect,empty,empty,Lee Sin,Grandmaster,empty,Nunu & Willump,hggbexrloo,Gwen,vaksfjhvaafg,Garen,lin hu zian,Miss Fortune,폭탄치우기,Zyra,고등학생,Taric,짜요짜요먹고싶어,Lee Sin,Hide on bush,Kassadin,LunaLina,Lucian,초보원딜러,Lulu,응애응애1212
