gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490111222,win,Ranked Solo,2021-10-04 04:08:29,31m 8s,14,7,9,3.29:1,Double Kill,MVP,Sylas,Diamond 1,empty,Vayne,vitorov6,Jarvan IV,reset my blue,Rumble,Chance2Win,Caitlyn,Abeille 4,Zyra,Chat off Zyra on,Jayce,TheÑaÑoCar,Xin Zhao,Bruno el cabruno,Sylas,wincg,Samira,rikv,Blitzcrank,higidio
5489321924,lose,Ranked Solo,2021-10-04 00:01:33,34m 11s,7,5,4,2.20:1,ACE,empty,LeBlanc,Master,empty,Camille,Miroslac,Talon,some new tools ,Xerath,Jagex Support,Vayne, Ju nanago San,Seraphine,UFF LordSteve,Nasus,Mahfaeraak,Zed,niaM cdA,LeBlanc,wincg,Kai'Sa,Harrol,Rakan,Mμhαmmαd Ali
5489224892,lose,Ranked Solo,2021-10-03 23:18:43,31m 5s,9,4,8,4.25:1,ACE,empty,LeBlanc,Master,empty,Camille,future memories,Viego,treasure seeking,LeBlanc,wincg,Ziggs,SeaI,Amumu,Became Champion ,Graves,2021Worlds0033,Rek'Sai,Hero of Ferelden,Zoe,Alþhinaud,Draven,JESUISRANDOMEXD,Alistar,DUMAN
5489098735,win,Ranked Solo,2021-10-03 22:37:22,29m 19s,4,5,13,3.40:1,empty,empty,Lee Sin,Master,empty,Malphite,DK Cαnyon,Lee Sin,wincg,Veigar,Erilarion,Kai'Sa,OverKillHao,Pyke,EYG Orcinus,Darius,AngryBros,Gragas,Betongmisch Gary,Tryndamere,Genius Monster,Ziggs,KDavid02,Senna,IKAPOC
5488616869,win,Ranked Solo,2021-10-03 09:31:22,26m 6s,3,4,12,3.75:1,MVP,empty,Gangplank,Master,empty,Urgot,UrgoIncognito,Ekko,Barsas,Gangplank,wincg,Ezreal,DM Fandar,Amumu,Chouineur 4,Irelia,Sakurajima Mai 3,Hecarim,Verdal,Kassadin,SimpMaterial,Ziggs,WO Wodex,Nami,Brøøk
5488603794,win,Ranked Solo,2021-10-03 08:55:53,27m 34s,11,6,26,6.17:1,Double Kill,empty,Lee Sin,Master,empty,Tryndamere,çerez mayonez,Master Yi,Dogchamp OTP,Galio,LNGWIN,Draven,WO Wodex,Amumu,YTSearch Hanabi,Urgot,UrgoIncognito,Lee Sin,wincg,Ryze,Karzzy11,Jhin,Un nou început,Karma,SuppUFinancially
5488572771,win,Ranked Solo,2021-10-03 07:38:39,25m 34s,7,3,12,6.33:1,empty,empty,LeBlanc,Master,empty,Urgot,UrgoIncognito,Talon,niaM cdA,Twisted Fate,Like a n1nja,Kai'Sa,New Pretty Dawn,Amumu,Sigma Pathing,Camille,NG Dawn,Lee Sin,Orange Killer,LeBlanc,wincg,Lucian,Giant Monster,Nami,SiMajk
5488204363,lose,Ranked Solo,2021-10-03 04:14:16,23m 7s,4,6,3,1.17:1,ACE,empty,Viego,Master,empty,Gnar,IegnA,Rengar,sako meile gydo,Fizz,backflip on adc,Lucian,CocaCola Monster,Nami,cirodalA,Jax,nesiseka,Viego,wincg,Vladimir,BIeed for me,Swain,Ipados,Sylas,kalp sparzmı
5487584485,win,Ranked Solo,2021-10-02 20:47:06,20m 0s,12,1,4,16.00:1,Triple Kill,empty,Fizz,Master,empty,Ornn,TwTv Makkro0,Graves,a world of love,Kayle,HZOOMB,Draven,SAe Chryssey,Nautilus,Coaching Lion,Camille,worsttop72,Olaf,Poopmaker,Fizz,wincg,Lucian,Giant Monster,Nami,TD Gimme
5487258191,lose,Ranked Solo,2021-10-02 09:56:57,30m 17s,8,6,6,2.33:1,ACE,empty,Kayn,Master,empty,Yone,Silk,Ekko,Upset,Cassiopeia,Demon Pun1sher,Samira,11235,Nautilus,GALA mashallah,Fiora,Thel1ttletiger,Kayn,wincg,Kog'Maw,Kodzυken,Aphelios,I want winner,Yuumi,YoRHa No2 Type B
5487235299,win,Ranked Solo,2021-10-02 09:08:45,23m 1s,12,2,5,8.50:1,Double Kill,empty,Zoe,Master,empty,Aatrox,KuonOuO,Kindred,Neidan,Twisted Fate,Twist,Lucian,Nøt a trickster,Nami,LanPeiFang,Vayne,SlaviN 77,Jarvan IV,maoxiandao,Zoe,wincg,Miss Fortune,kristút,Yuumi,Soraï1
5487143412,win,Ranked Solo,2021-10-02 07:18:43,19m 0s,8,0,3,Perfect,MVP,empty,Orianna,Master,empty,Sett,UP5 FornoReason,Viego,Karciany świrek,Ekko,Shamma,Caitlyn,ROAR Bluestrat,Janna,iyon ali,Graves,HSFFFFFFFFFF,Lee Sin,àlea iacta est,Orianna,wincg,Jhin,CANT STØP ME NOW,Bard,2021Worlds0057
5486113380,win,Ranked Solo,2021-10-01 23:15:41,15m 52s,4,2,8,6.00:1,empty,empty,Twisted Fate,Master,empty,Camille,Miroslac,Kayn,αlze,Qiyana,Salaheddine,Anivia,J4mes Chungus,Morgana,hunch ascent,Cho'Gath,Composites,Talon,ISSE G,Twisted Fate,wincg,Draven,Giant Monster,Blitzcrank,LuckyCritOmg
5485587190,win,Ranked Solo,2021-10-01 09:04:24,26m 19s,8,0,12,Perfect,MVP,empty,Lissandra,Master,empty,Tahm Kench,Tony Sterak,Graves,Lowkey Loerke,LeBlanc,s12 w8 room acc,Heimerdinger,Dong,Pyke,Strafe124,Jayce,pisslo enjoyer,Karthus,Colorblind eve,Lissandra,wincg,Lucian,CenterC,Nami,dont be insecure
5485593713,win,Ranked Solo,2021-10-01 08:27:57,34m 53s,7,6,16,3.83:1,empty,empty,Zed,Master,empty,Fiora,Take A Step ßack,Talon,reset my blue,Qiyana,Ruggan,Tristana,LHC Ergown,Nautilus,s12 w8 room acc,Aatrox,Strafe124,Zed,wincg,Sylas,Ansigtssmerte ,Ezreal,Fìndus,Yuumi,SUDOWOODO IRL
5485542685,win,Ranked Solo,2021-10-01 07:44:21,15m 14s,2,0,5,Perfect,MVP,empty,Talon,Diamond 2,empty,Yone,Hielah,Hecarim,Ancalagon Gaming,Azir,LNGWIN,Karthus,the hood Jcll,Amumu,TimmyBanana,Yasuo,Q spammer,Talon,wincg,Akali,MerIın,Sivir,Amelka2006PL,Galio,CT 0292
5485298831,win,Ranked Solo,2021-10-01 05:20:36,31m 23s,10,6,12,3.67:1,Double Kill,empty,Talon,Diamond 1,empty,Fiora,2021Worlds0113,Talon,wincg,LeBlanc,WeS Electronical,Tristana,Echos,Leona,TRL MechaNics,Camille,Libra 1v1,Sejuani,Grail,Qiyana,GETOUTFROMHEREXD,Veigar,ENTUZJASTA MFKI,Seraphine,Ektoz
5485263283,lose,Ranked Solo,2021-10-01 04:41:17,28m 40s,10,4,7,4.25:1,Double Kill,ACE,LeBlanc,Diamond 2,empty,Darius,SG Killerxkiller,Ekko,Giant Monster,Irelia,SKT Guápo,Miss Fortune,2021Worlds0127,Thresh,qwerasdfzxcbvcxz,Singed,Wsh Bien,Lee Sin,Stanislaw2005,LeBlanc,wincg,Kalista,reform,Morgana,Fîyasko
5484891485,win,Ranked Solo,2021-09-30 23:44:40,22m 25s,8,2,3,5.50:1,Double Kill,MVP,LeBlanc,Master,empty,Darius,2eny,Nunu & Willump,Bebinio,LeBlanc,wincg,Kai'Sa,Nicolaie Guta,Thresh,Alpenhörnchen,Tahm Kench,CBeS Beru SL,Vi,STRIDΕR,Galio,midali,Lucian,Yen is my Wife ,Yuumi,Marlley
5484366637,win,Ranked Solo,2021-09-30 10:04:14,34m 56s,21,3,11,10.67:1,Triple Kill,MVP,Zoe,Diamond 1,empty,Draven,WX DratikoEB,Kayn,wayos Blitzy,Zoe,wincg,Heimerdinger,MUC Velantis,Yuumi,WX ScriptingEB,Jayce,Thel1ttletiger,Rek'Sai,Xifily,Akali,kníght zz,Kalista,forhumanitygame,Braum,Lokmays
5482684313,win,Ranked Solo,2021-09-29 08:48:30,20m 16s,12,1,8,20.00:1,Triple Kill,MVP,Talon,Diamond 3,empty,Mordekaiser,Fifoko,Nidalee,9 19 Night,Irelia,Iallare,Draven,IcelandWalrus,Ekko,wow cold,Jayce,YQSH,Talon,wincg,Katarina,toxicskai,Lucian,ADADAD141414,Amumu,acaweamsdacqwqwe
5482710895,win,Ranked Solo,2021-09-29 08:19:18,26m 32s,12,5,8,4.00:1,Double Kill,MVP,LeBlanc,Diamond 2,empty,Sett,llamame papi,Olaf,Vulpes Incúlta,LeBlanc,wincg,Katarina,toxicskai,Taric,WillyrexFnboy v3,Darius,Fifoko,Nidalee,Expecto Patrounm,Irelia,NewWorld enjoyer,Vayne,IcelandWalrus,Lee Sin,wow cold
5482568088,win,Ranked Solo,2021-09-29 07:43:53,28m 45s,12,5,6,3.60:1,Double Kill,MVP,LeBlanc,Diamond 4,empty,Ekko,Light Cat,Xin Zhao,S65,LeBlanc,wincg,Kalista,reform,Yuumi,QJNVJuywetsf,Darius,Fifoko,Lee Sin,PET JANEQ11,Lissandra,DIKU Daddel,Lucian,MurksC,Taliyah,2021Worlds0151
5482603817,lose,Ranked Solo,2021-09-29 07:03:56,17m 48s,5,4,2,1.75:1,Double Kill,empty,LeBlanc,Diamond 4,empty,Irelia,Star is coming,Kindred,Orange Killer,Orianna,DeCypher1,Miss Fortune,The Umbral Star,Yuumi,2021Worlds0151,Camille,DeeDin1,Qiyana,White Whales,LeBlanc,wincg,Kai'Sa,dzc,Rakan,ight
5482476316,win,Ranked Solo,2021-09-29 06:14:49,23m 51s,3,2,8,5.50:1,empty,empty,Zoe,Diamond 3,empty,Irelia,Leks GO,Nidalee,unvaccinated jgl,Ekko,Flamboyant Fox,Ashe,Entaihat,Leona,Ginyz,Teemo,OneTwoTrickFour,Olaf,râpist øguzgøsu,Zoe,wincg,Lucian,PlsFullClear,Morgana,Desiru
5482471795,lose,Ranked Solo,2021-09-29 05:44:43,22m 15s,3,9,1,0.44:1,Double Kill,ACE,Zoe,Diamond 4,empty,Dr. Mundo,Tolkin,Lee Sin,CocaCola Monster,LeBlanc,byeeeeeee,Jhin,ADADAD141414,Karma,acaweamsdacqwqwe,Teemo,OneTwoTrickFour,Kayn,RageOfTheQueen,Zoe,wincg,Draven,WX DratikoEB,Yuumi,WX ScriptingEB
5482424720,lose,Ranked Solo,2021-09-29 05:16:11,29m 22s,4,6,9,2.17:1,ACE,empty,Zoe,Diamond 3,empty,Teemo,OneTwoTrickFour,Ekko,everything to me,Zed,cirdeczzz,Vayne,Muteall100ping,Karma,Excaliburt,Camille,Tolkin,Jarvan IV,jarvan dog,Zoe,wincg,Yasuo,Nutoko,Rakan,Zarryailat
