gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490510756,win,Ranked Solo,2021-10-04 08:33:53,18m 6s,16,0,8,Perfect,Double Kill,MVP,Lucian,Master,empty,Gwen,Joker z Płocka,Talon,SMB Kireas,Kassadin,NewWorld enjoyer,Lucian,Giant Monster,Nami,Tempo Suta,Sett,Wintęr,Amumu,Xjgxfxvh,LeBlanc,TerriblePlayer24,Vayne,Moeless,Swain,Shubber
5490398609,win,Ranked Solo,2021-10-04 08:06:42,22m 41s,5,7,26,4.43:1,empty,empty,Nami,Master,empty,Urgot,UrgoIncognito,Talon,sheo test acc,Sylas,B99 PERALTHAR,Jinx,Splash 001,Nami,Giant Monster,Gragas,Suirotas,Lee Sin,ImJony,Katarina,twtv NyroLoL,Lucian,Dean v3,Yuumi,Reu
5490162267,win,Ranked Solo,2021-10-04 04:51:21,18m 37s,7,3,7,4.67:1,empty,empty,Draven,Master,empty,Yone,2021Worlds0019,Hecarim,Airron,Kennen,R0o2,Draven,Giant Monster,Nautilus,Nsurr1,Camille,ANB 9eetoo,Kayn,Doaenel Hecarim,Ryze,Showkz,Aphelios,QQ Pawelek6,Thresh,GNLGNL
5490103710,win,Ranked Solo,2021-10-04 04:20:02,30m 11s,14,8,8,2.75:1,Double Kill,MVP,Lucian,Master,empty,Jax,FIX SOL0Q,Diana,Jonąs,LeBlanc,spellbonks,Lucian,Giant Monster,Nami,Panda bleu,Graves,Beartree,Karthus,Sn1lle,Kassadin,sadfsaf,Kai'Sa,Ukranian,Karma,Suken
5489108501,lose,Ranked Solo,2021-10-03 22:29:50,24m 20s,2,5,6,1.60:1,ACE,empty,Jhin,Master,empty,Twisted Fate,Con161,Qiyana,S11Tian,Jayce,Stargazer7,Varus,MTLK Filou,Nami,BroIia,Aatrox,Tziz,Graves,jarda jagr,Ryze,Fressko,Jhin,Giant Monster,Bard,Vicky Leandros
5488909063,win,Ranked Solo,2021-10-03 20:00:25,25m 8s,10,3,7,5.67:1,Double Kill,MVP,Aphelios,Grandmaster,empty,Sett,Ragnér3,Lee Sin,best viego ever,Syndra,SlXTEN,Aphelios,Giant Monster,Braum,Dry Flower,Irelia,sajatoruu,Evelynn,Roulette,Poppy,Poppuszka,Draven,DIGESTHUMANFLESH,Amumu,SirNukesAlott
5488713515,win,Ranked Solo,2021-10-03 11:26:47,21m 23s,3,4,20,5.75:1,empty,empty,Amumu,Master,empty,Tryndamere,5454545454,Lee Sin,DK RiceMaker,LeBlanc,Firefl0wer,Draven,91 C LE BRESIL,Amumu,Giant Monster,Sett,Davitzon,Kha'Zix,Win or Valhalla,Azir,Witness Azir,Ezreal,BUFFMEUP,Bard,JustînTime
5488692308,win,Ranked Solo,2021-10-03 10:58:56,28m 10s,11,9,11,2.44:1,Double Kill,MVP,Lucian,Master,empty,Kennen,David Nalbandian,Lee Sin,9 19 Night,LeBlanc,DK RiceMaker,Draven,NNForsaken,Amumu,w3nii,Sylas,SOU LINDOO,Rek'Sai,Win or Valhalla,Kassadin,hu7chyXXXbeifeng,Lucian,Giant Monster,Nami,S9XDXDXD
5488690462,win,Ranked Solo,2021-10-03 10:24:17,28m 54s,8,9,9,1.89:1,Double Kill,MVP,Aphelios,Master,empty,Fiora,lennylennylenny,Xin Zhao,Not nexo rdy,Sylas,SOU LINDOO,Aphelios,Giant Monster,Nami,SiMajk,Malphite,Nouji,Lee Sin,9 19 Night,Katarina,sako meile gydo,Lucian,Whiterog,Amumu,BroIia
5488587990,win,Ranked Solo,2021-10-03 09:46:56,30m 55s,25,5,12,7.40:1,Triple Kill,MVP,Lucian,Master,empty,Tryndamere,Im fine thx you,Lee Sin,SololanesRefugee,Yasuo,Freaksterrrr,Ziggs,Jason Vuong,Amumu,unzebeel2,Gangplank,WheeezR,Kayn,Jgissoeasy,Fizz,Littlebuffbabe,Lucian,Giant Monster,Nami,SiMajk
5488643766,win,Ranked Solo,2021-10-03 09:02:12,22m 20s,9,7,4,1.86:1,Double Kill,empty,Lucian,Master,empty,Singed,LevelZeroFangirl,Gragas,LngLng,Irelia,Kimchi3,Lucian,Giant Monster,Nami,SiMajk,Sylas,Im fine thx you,Lee Sin,LSADSDD,Twisted Fate,Littlebuffbabe,Ezreal,StephenChe,Yuumi,wow cold
5488601781,lose,Ranked Solo,2021-10-03 08:33:09,24m 50s,4,10,7,1.10:1,empty,empty,Lee Sin,Master,empty,Singed,LevelZeroFangirl,Lillia,LngLng,Yone,Kimchi3,Lucian,Soraï1,Amumu,Stunna boy,Yasuo,2deal,Lee Sin,Giant Monster,Sett,eau de jouvence,Kalista,RAAD SAN,Sylas,Ramona Flowers
5488572771,win,Ranked Solo,2021-10-03 07:38:39,25m 34s,13,5,8,4.20:1,Double Kill,empty,Lucian,Master,empty,Urgot,UrgoIncognito,Talon,niaM cdA,Twisted Fate,Like a n1nja,Kai'Sa,New Pretty Dawn,Amumu,Sigma Pathing,Camille,NG Dawn,Lee Sin,Orange Killer,LeBlanc,wincg,Lucian,Giant Monster,Nami,SiMajk
5488237093,win,Ranked Solo,2021-10-03 04:40:52,25m 54s,7,5,13,4.00:1,MVP,empty,Lucian,Master,empty,Fiora,NG Dawn,Kindred,unlucky jgl gap,Ekko,Sl0tMach1n3,Draven,TwTv daudr9,Leona,TurtleShock v2,Tryndamere,sign me already,Lillia,JUNGLEKINGDOM123,Kennen,GS 5,Lucian,Giant Monster,Yuumi,ºKokomiº
5488214016,win,Ranked Solo,2021-10-03 04:06:29,18m 1s,10,1,3,13.00:1,Double Kill,empty,Lucian,Master,empty,Graves,Genius Monster,Kha'Zix,Stopfeedanimals,Twisted Fate,Jin Mu Wοn,Lucian,Giant Monster,Lulu,im cursed 999,Riven,zlAndree,Kindred,unlucky jgl gap,Orianna,ELF Valin,Draven,TooThose,Nami,finnish ming
