gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5476468753,win,ARAM,2021-09-26 05:17:09,30m 21s,16,17,34,2.94:1,Double Kill,empty,Aurelion Sol,empty,empty,Vex,왕자님의평타싸개,Darius,이기고오쉽당,Xerath,DangerousBoy ady,Kennen,불질러,Aurelion Sol,T1 Gumayusi,Sylas,BarvaTos,Riven,아이시엔,Shaco,즐겜러 개나리,Zed,무슨 의미,Maokai,케이틀린 고수
5476477064,win,Ranked Solo,2021-09-26 04:36:20,20m 24s,9,6,11,3.33:1,Double Kill,empty,Draven,Grandmaster,empty,Rumble,모두모두항복하걸,Lee Sin,wndus,LeBlanc,Hide on bush,Lucian, imp8,Blitzcrank,치쯔스틱,Sett,판 군,Xin Zhao,우울적울컥,Galio,기 정 fan,Draven,T1 Gumayusi,Thresh,BRO Jeong Hoon
5476387906,win,Ranked Solo,2021-09-26 02:57:06,26m 27s,17,9,10,3.00:1,Double Kill,MVP,Draven,Grandmaster,empty,Jax,77GameZting,Kha'Zix,처피뱅 카와이,Vex,Indexy,Lucian,샤오 쑤,Sylas,Kimwinter,Kennen,dustmqdyd12,Talon,love beijixing,Galio,퀸 세연,Draven,T1 Gumayusi,Amumu,Gen G Quid
5476420750,lose,Ranked Solo,2021-09-26 02:10:29,23m 31s,3,12,8,0.92:1,empty,empty,Draven,Grandmaster,empty,Akali,거북이사건,Ekko,난 워낙 노빠꾸라,Akshan,KT VicLa,Miss Fortune,RiHoo,Rell,MNTNMNTNM,Kennen,깨달음을얻은남자,Kha'Zix,처피뱅 카와이,Galio,퀸 세연,Draven,T1 Gumayusi,Camille,이기고오쉽당
5476244185,lose,Ranked Solo,2021-09-26 01:28:43,28m 53s,10,10,8,1.80:1,ACE,empty,Twitch,Master,empty,Cho'Gath,메 피,Karthus,언젠가의 이야기,Yone,Leminem,Twitch,T1 Gumayusi,Nautilus,wangminxuanOvO,Jayce,fashion여쟈,Rek'Sai,싸움 기피증,Vex,Indexy,Vayne,cer,Bard,0008000
5476150765,win,Ranked Solo,2021-09-26 00:28:57,25m 11s,12,5,11,4.60:1,Double Kill,MVP,Draven,Challenger,empty,Sylas,502 Error,Lee Sin,N0T Angry,Vex,사랑이 하고싶어,Draven,T1 Gumayusi,Camille,이기고오쉽당,Gnar,깨달음을얻은남자,Ekko,난 워낙 노빠꾸라,Cassiopeia,SPG BaeKHo,Tryndamere,항상배고픈코그모,Alistar,q7mm
5475999722,lose,Ranked Solo,2021-09-25 23:46:25,26m 24s,3,12,8,0.92:1,empty,empty,Draven,Grandmaster,empty,Lucian,항상배고픈코그모,Karthus,byz,Yone,Pz ZZang,Draven,T1 Gumayusi,Pyke,bai si yyds,Camille,미소의눈동자,Lee Sin,우울적울컥,Sylas,GGanbuMid,Ezreal,Gen G Ruler,Nami,Let me sup
5475897243,lose,Ranked Solo,2021-09-25 23:04:59,34m 49s,7,9,7,1.56:1,Double Kill,empty,Syndra,Grandmaster,empty,Malphite,cer,Poppy,Cuzz,Sett,뽀송뽀숑비숑,Syndra,T1 Gumayusi,Senna,메 피,Gnar,v나르샤v,Lee Sin,리액션단돈만원 ,LeBlanc,디알엑스 제트,Lucian,lIlIIIIlIIIlIIII,Nami,호잇이
5475624971,win,Ranked Solo,2021-09-25 20:44:32,27m 25s,14,2,9,11.50:1,Penta Kill,MVP,Draven,Challenger,empty,Sylas,Yorick,Graves,미드조지기,LeBlanc,BRO Yaharong,Lucian,숟뀨락,Rakan,11baby,Kennen,502 Error,Jarvan IV,Naehyun,Lissandra,Gen G Quid,Draven,T1 Gumayusi,Galio,awsdrfgyhjik
5475550677,lose,Ranked Solo,2021-09-25 20:12:26,20m 14s,4,8,3,0.88:1,empty,empty,Draven,Grandmaster,empty,Sett,Gen G Rascal,Ekko,youwiIIsucceed,Akshan,단군의청춘부재,Draven,T1 Gumayusi,Blitzcrank,concesslon,Shen,BRO Hena,Lee Sin,사랑이 하고싶어,Syndra,권 지 인,Aphelios,Slayder,Thresh,SHCH0
