gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5454576804,lose,Ranked Solo,2021-09-16 00:04:01,30m 8s,5,13,8,1.00:1,Double Kill,ACE,Lucian,Master,empty,Kennen,DK Ira,Jarvan IV,20200902start,Tryndamere,213435,Cassiopeia,DK Kingdom,Maokai,Danrenguiz,Gangplank,INTP그자체,Lee Sin,리액션단돈만원 ,LeBlanc,Hide on bush,Lucian,구마유시,Nami,woshissm
5454225445,lose,Ranked Solo,2021-09-15 22:03:02,22m 33s,2,8,3,0.63:1,ACE,empty,Draven,Grandmaster,empty,Gangplank,huntiandi1,Nidalee,Gen G Clid,Yasuo,hggbexrloo,Lucian,길고먼여행지,Yuumi,DFM GAENG,Sett,수희0,Diana,우울적울컥,Kennen,Gen G Ruler,Draven,구마유시,Amumu,woshissm
5454160547,lose,Ranked Solo,2021-09-15 21:24:48,17m 42s,3,4,3,1.50:1,ACE,empty,Draven,Grandmaster,empty,Kennen,용호야,Viego,끼릭끼리릭,Zed,이기고오쉽당,Draven,구마유시,Leona,DFM GAENG,Jayce,DRX1234,Taliyah,이러다 다 D져,Irelia,자장면잠봉당수육,Samira,글썽글썽태윤,Rell,BRO Delight
5454031183,win,Ranked Solo,2021-09-15 20:46:26,24m 38s,18,5,9,5.40:1,Triple Kill,MVP,Draven,Grandmaster,empty,Volibear,우울적울컥,Ekko,Gen G Clid,Jayce,AF Keine,Draven,구마유시,Sylas,독기품기,Irelia,Liiv gyuvee,Talon,Cuzzzzzzz,Akali,SanShengWanWu,Syndra,qhwkdlru,Amumu,DFM GAENG
5453876621,lose,Ranked Solo,2021-09-15 20:15:21,21m 54s,0,6,7,1.17:1,empty,empty,Viego,Grandmaster,empty,Riven,순뀨박,Lillia,난 워낙 노빠꾸라,Qiyana,SanShengWanWu,Irelia,Gen G Ruler,Amumu,zzzusss,Jax,DRX1234,Viego,구마유시,LeBlanc,AF Keine,Lucian,이기고오쉽당,Sylas,Kimwinter
5426661957,lose,Ranked Solo,2021-09-01 03:06:13,19m 20s,5,9,5,1.11:1,ACE,empty,Varus,Grandmaster,empty,Fiora,KT Castle,Lee Sin,06 05 19,Kassadin,LunaLina,Ashe,irasu1,Bard,Hermessss,Jax,douy crymao,Jarvan IV,Shadow HamBak ,Ahri,마레리트,Varus,구마유시,Rakan,szygszn
5426658282,lose,Ranked Solo,2021-09-01 02:37:29,21m 47s,2,8,3,0.63:1,empty,empty,Ezreal,Grandmaster,empty,Kennen,깨달음을얻은남자,Zac, 엘 림,Yasuo,Kimwinter,Kai'Sa,짜앙 혐오자,Rakan,DFM GAENG,Jarvan IV,애넨차피이해못해,Lee Sin,HLE Willer,Ahri,마레리트,Ezreal,구마유시,Alistar,manmanO
5426574984,lose,Ranked Solo,2021-09-01 01:47:31,30m 53s,6,6,2,1.33:1,empty,empty,Draven,Grandmaster,empty,Kennen,우제우스,Poppy,T1 Oner,Orianna,권 지 인,Sivir,롤 강의 코코팀,Leona,호잇이,Jayce,Trisak,Lee Sin,JustLikeThatKR,Ryze,Fox B Mg,Draven,구마유시,Alistar,이기고오쉽당
5426559752,win,Ranked Solo,2021-09-01 01:07:01,24m 35s,14,7,12,3.71:1,Triple Kill,empty,Samira,Grandmaster,empty,Irelia,DRX1234,Olaf,oabco,Lissandra,진짜 졸라 빡치네,Samira,구마유시,Rell,DFM GAENG,Jayce,Trisak,Kayn,JustLikeThatKR,Malzahar,Yorick,Varus,이기고오쉽당,Leona,HLE Bautt
5404523834,lose,Ranked Solo,2021-08-21 02:41:13,15m 17s,0,6,2,0.33:1,empty,empty,Ezreal,Grandmaster,empty,Lee Sin,KT R TOP,Viego,늪에 빠지다1,Viktor,Burdoll,Ezreal,구마유시,Galio,어제보단잘하자,Jayce,Trisak,Jarvan IV,Gen G Clid,Ryze,ruanruantuan,Twitch,deokdam,Trundle,q7mm
5404458977,lose,Ranked Solo,2021-08-21 02:16:53,15m 19s,1,5,0,0.20:1,empty,empty,Samira,Grandmaster,empty,Lissandra,류병준입니다,Nocturne,포식자,Lee Sin,KT R TOP,Varus,Gen G Ruler,Rakan,Honpi,Camille,KT Castle,Nidalee,나는변신할것이다,Twisted Fate,튀자튀자아,Samira,구마유시,Rell,Seize the day11
5404375832,win,Ranked Solo,2021-08-21 01:47:29,22m 5s,5,3,7,4.00:1,Double Kill,empty,Draven,Grandmaster,empty,Gwen,우제우스,Viego,나는변신할것이다,Talon,에 넥,Syndra,SPG BaeKHo,Leona,DWG Muru,Jayce,KT Castle,Graves,L1sure,Twisted Fate,T1 Cuzz,Draven,구마유시,Blitzcrank,0008000
5404329435,win,Ranked Solo,2021-08-21 01:14:37,15m 22s,4,1,5,9.00:1,Double Kill,empty,Jhin,Grandmaster,empty,Camille,KT Castle,Rumble,미드조지기,Graves,T1 Cuzz,Ezreal,Gen G Envy,Soraka,Lehends,Jayce,Burdoll,Jarvan IV,oabco,Syndra,쭌 베,Jhin,구마유시,Leona,zxckas0dk
5400780204,win,Ranked Solo,2021-08-19 03:30:01,30m 55s,5,7,10,2.14:1,empty,empty,Aphelios,Grandmaster,empty,Yasuo,구글 검색 제드팀,Lee Sin,oabco,Graves,Gen G Lonely,Ziggs,Gen G Envy,Gragas,KT Way,Ryze,류병준입니다,Kayn,포식자,Kennen,T1 Canna,Aphelios,구마유시,Thresh,tailaliao
