gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490429661,lose,Ranked Solo,2021-10-04 08:33:22,29m 25s,0,12,6,0.50:1,empty,empty,Rengar,Master,empty,Rengar,Genius Monster,Qiyana,NinaAnnaJenny,Annie,Baby,Draven,IcelandWalrus,Alistar,CLG EIementz,Riven, Terrºr,Nunu & Willump,on me,LeBlanc,pumpp,Kalista,ƒancy ƒeet ,Braum,NIGHTMAREZZZ
5490100862,win,Ranked Solo,2021-10-04 03:58:17,24m 32s,2,3,22,8.00:1,empty,empty,Yuumi,Master,empty,Camille,HeIsinki,Xin Zhao,TurboMoss,Xerath,yone and kayle,Draven,CocaCola Monster,Yuumi,Genius Monster,Heimerdinger,Blind Ruler,Viego,knv2,Sylas,woshilqs,Lucian,NNForsaken,Nami,PINW KAFE
5489098735,lose,Ranked Solo,2021-10-03 22:37:22,29m 19s,5,7,3,1.14:1,empty,empty,Tryndamere,Master,empty,Malphite,DK Cαnyon,Lee Sin,wincg,Veigar,Erilarion,Kai'Sa,OverKillHao,Pyke,EYG Orcinus,Darius,AngryBros,Gragas,Betongmisch Gary,Tryndamere,Genius Monster,Ziggs,KDavid02,Senna,IKAPOC
5488639536,lose,Ranked Solo,2021-10-03 10:31:44,36m 44s,7,10,13,2.00:1,empty,empty,Twisted Fate,Master,empty,Gnar,IegnA,Kayn,icelandxuechan,Katarina,sari,Jhin,deve rider,Nautilus,dempsyya,Urgot,FOXA Uhtred,Lee Sin,1v9wheneveriwąnt,Twisted Fate,Genius Monster,Ziggs,HRN Totosse,Rakan,unzebeel2
5488637594,lose,Ranked Solo,2021-10-03 09:48:21,23m 59s,8,9,7,1.67:1,Double Kill,ACE,Tryndamere,Master,empty,Darius,AngryBros,Zed,Egirls Favorite,Irelia,byeeeeeee,Miss Fortune,2021Worlds0150,Swain,DJ SWAGPANTS,Fiora,Mädchen,Shaco,SLARDAR KINGDOM,Tryndamere,Genius Monster,Kalista,ROAR IvanDrago,Sylas,kalp sparzmı
5488585632,win,Ranked Solo,2021-10-03 09:15:53,30m 54s,3,14,7,0.71:1,empty,empty,Sylas,Master,empty,Jayce,leavemeaIone2,Ekko,SLARDAR KINGDOM,Sylas,Genius Monster,Lucian,LDNU Aklass,Nami,Ramona Flowers,Aatrox,Mädchen,Hecarim,Doaenel Hecarim,Kog'Maw,byeeeeeee,Kai'Sa,kalp sparzmı,Rakan,ACKERMÁN
5488602481,win,Ranked Solo,2021-10-03 08:40:26,25m 41s,4,8,5,1.13:1,Double Kill,empty,Graves,Master,empty,Graves,Genius Monster,Ekko,Want to do well,Yone,XXXXX Q0001,Tristana,Màrtîn Dérèk,Amumu,heal ad plz,Riven, Terrºr,Lee Sin,moxokx,Ahri,Nico Senpaii,Jinx,11235,Lulu,TBR Sora
5488518584,win,Ranked Solo,2021-10-03 08:08:34,27m 58s,9,8,7,2.00:1,MVP,empty,Lee Sin,Master,empty,Kennen,SOU LINDOO,Lee Sin,Genius Monster,Yasuo,Follow The LIDER,Vayne,Moeless,Maokai,θΘθΘθ,Sett,showmakerrr,Nidalee,ositosi,Camille,potatoporcupine1,Ashe,Useless IRL XD,Braum,PINW KAFE
5488227551,win,Ranked Solo,2021-10-03 04:42:51,26m 45s,1,9,20,2.33:1,empty,empty,Amumu,Master,empty,Renekton,Nuevo Chimbote,Nunu & Willump,Jáximus,Katarina,Erisu,Jinx,Viel Glück,Vex,Herodfc,Camille,EL PLAN 2022,Kha'Zix,Choolji,Sylas,White Steel Eel,Draven,Sphericity,Amumu,Genius Monster
5488214016,win,Ranked Solo,2021-10-03 04:06:29,18m 1s,5,4,2,1.75:1,empty,empty,Graves,Master,empty,Graves,Genius Monster,Kha'Zix,Stopfeedanimals,Twisted Fate,Jin Mu Wοn,Lucian,Giant Monster,Lulu,im cursed 999,Riven,zlAndree,Kindred,unlucky jgl gap,Orianna,ELF Valin,Draven,TooThose,Nami,finnish ming
5487777911,lose,Ranked Solo,2021-10-02 22:54:09,21m 5s,2,13,4,0.46:1,empty,empty,Irelia,Master,empty,Jax,Pleb Hunter,Xin Zhao,wayos Blitzy,Katarina,Erisu,Miss Fortune,GALA mashallah,Amumu,hvzqtdqts,Irelia,Genius Monster,Hecarim,grixJason2,Kayle,4856379,Jinx,scrxptlxss,Pyke,wow cold
5487652547,win,Ranked Solo,2021-10-02 20:51:39,26m 13s,9,6,4,2.17:1,Double Kill,MVP,Graves,Master,empty,Tahm Kench,SeiKeinGnar,Lee Sin,Areels2,Yasuo,Freaksterrrr,Ezreal,CRYTΕK,Yuumi,Soraï1,Twisted Fate,The egion,Volibear,ÜG Burn,Graves,Genius Monster,Vayne,WhiteHuman,Zyra,Die Athanasia
5487303953,lose,Ranked Solo,2021-10-02 11:25:41,29m 52s,0,14,7,0.50:1,empty,empty,Aatrox,Master,empty,Darius,L9 GIBBY,Kha'Zix,fart like dopa,Kayle,Grail,Ezreal,Laa7ch ,Rakan,NADl,Aatrox,Genius Monster,Rek'Sai,MainJorogumo evo,Vex,metal shadows,Caitlyn,Senkuu 999,Morgana,CorronaSupp
5487282894,win,Ranked Solo,2021-10-02 10:45:51,23m 12s,13,5,5,3.60:1,Double Kill,MVP,Irelia,Master,empty,Irelia,Genius Monster,Nidalee,1v9wheneveriwąnt,Rumble,Fei17,Ezreal,Giant Monster,Karma,CorronaSupp,Gnar,Νight Drive,Ekko,UNCUŁUS,Vex,Ryuin,Lucian,Zherathor,Nautilus,Senkuu 999
5487230020,win,Ranked Solo,2021-10-02 10:12:34,27m 3s,3,7,26,4.14:1,empty,empty,Nami,Master,empty,Yone,BLACKMETALTERROR,Rek'Sai,Happy ultimately,Twisted Fate,protågonist,Ashe,Joker520,Nami,Genius Monster,Camille,HeIsinki,Lee Sin,LSADSDD,Sylas,Snus enjoyer1,Vayne,GNLGNL,Thresh,Senkuu 999
5487199390,win,Ranked Solo,2021-10-02 09:32:16,10m 12s,3,1,1,4.00:1,Double Kill,empty,Ekko,Master,empty,Camille,Bene Gesserìt,Kha'Zix,maoxiandao,Cassiopeia,CPH B0XS,Jhin,kayek55,Zyra, Rampant Growth,Jax,Shiawase,Kindred,elvarázsolt,Vel'Koz,Campi0ne,Ashe,TheLegendRH,Ekko,Genius Monster
5487265157,lose,Ranked Solo,2021-10-02 09:15:33,25m 18s,3,13,1,0.31:1,Double Kill,empty,Gangplank,Master,empty,Yasuo,Q spammer,Talon,POWLERTALON,Graves,Like a n1nja,Syndra,TwTv Kibbylol,Rakan,Arsoniss,Gangplank,Genius Monster,Qiyana,HSFFFFFFFFFF,Zoe,Bonks,Twitch,Can1ski ,Karma,Marcy
5487194292,win,Ranked Solo,2021-10-02 08:45:05,25m 42s,13,5,3,3.20:1,Triple Kill,empty,Graves,Master,empty,Graves,Genius Monster,Lee Sin,UNCUŁUS,Sylas,7u7,Kai'Sa,9 19 Night,Leona,heal ad plz,Shen,BL Obelisk,Diana,Todzio,Qiyana,BEST RIVEN PT,Ezreal,Gatito Xikito,Nami,Pinky windy
5486568762,lose,Ranked Solo,2021-10-02 04:43:08,22m 27s,10,8,6,2.00:1,Double Kill,ACE,Qiyana,Diamond 1,empty,Irelia,Iove camiIIe,Olaf,humala jumala,Vladimir,BIeed for me,Ashe,Amelka2006PL,Amumu,ACKERMÁN,Lillia,mute until chall,Qiyana,Genius Monster,Yasuo,MadDaashy,Miss Fortune,Wanba Warrior,Sylas,ENEMYOFBATMAN
5486564065,win,Ranked Solo,2021-10-02 04:14:06,23m 27s,11,4,13,6.00:1,Double Kill,empty,Ekko,Master,empty,Riven,NaturalSwagger,Nidalee,Hypà,Annie,Veecto,Miss Fortune,Teddyx6,Lulu,Enchantress UwU,Wukong,zhugemeng,Ekko,Genius Monster,Tryndamere,Silk,Ashe,Joker520,Nami,Gumadruxy
5485604367,lose,Ranked Solo,2021-10-01 08:17:52,16m 8s,0,7,6,0.86:1,empty,empty,Amumu,Master,empty,Camille,Thel1ttletiger,Lee Sin,Freakyplayer1,Ryze,DK Cαnyon,Draven,heliumgirl,Amumu,Genius Monster,Jax,GS 5,Viego,The Chewbacca,Vex,DeCypher1,Ezreal,Checkmate,Yuumi,Summer Bey
5485522393,win,Ranked Solo,2021-10-01 07:56:06,33m 4s,1,5,21,4.40:1,empty,empty,Nami,Master,empty,Jayce,2021Worlds0113,Lillia,Οbsess,Syndra,Goddess,Lucian,Ruler Jr,Nami,Genius Monster,Malphite,GS 5,Viego,Freakyplayer1,Twisted Fate,Kimchi3,Kai'Sa,CocaCola Monster,Brand,kodanik matu
5485468542,win,Ranked Solo,2021-10-01 07:16:46,21m 2s,3,3,17,6.67:1,empty,empty,Annie,Diamond 1,empty,Fiora,2021Worlds0113,Taliyah,LSADSDD,Yasuo,Q spammer,Miss Fortune,Ruler Jr,Karthus,ˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉ,Aatrox,GS 5,Kha'Zix,tempyhdueggzxebb,LeBlanc,Kimchi3,Lucian,CocaCola Monster,Annie,Genius Monster
5485471825,lose,Ranked Solo,2021-10-01 06:48:12,39m 2s,2,11,25,2.45:1,empty,empty,Annie,Diamond 1,empty,Kennen,GS 5,Lee Sin,CocaCola Monster,Zed,ur disgusting,Draven,D J  B O B O 777,Maokai,Hero of Ferelden,Gangplank,2021Worlds0113,Ekko,LSADSDD,Yasuo,Q spammer,Aphelios,Peak 1k LP,Annie,Genius Monster
5484900968,lose,Ranked Solo,2021-09-30 23:46:07,25m 50s,4,4,5,2.25:1,ACE,empty,Talon,Diamond 1,empty,Irelia,Kimchi warrior1,Talon,Genius Monster,Kassadin,D1 Rengar,Tristana,Thebigestnoob1,Twitch,BR0LIA,Gragas,HeIsinki,Zed,Cow1337killr,Ziggs,ºKokomiº,Lucian,Giant Monster,Lulu,ProfessorŤhresh
5484569389,win,Ranked Solo,2021-09-30 19:37:48,23m 18s,8,4,9,4.25:1,Double Kill,empty,Lee Sin,Master,empty,Trundle,FrankenFrann,Shaco,ViNINE Fenrir,Lucian,Addict Addict,Miss Fortune,maussko,Leona,SLQ Daantastic,Gangplank,YQSH,Lee Sin,Genius Monster,Katarina,Veito,Jinx,Imperiál,Soraka,Filip321PL
5484374659,lose,Ranked Solo,2021-09-30 09:25:05,27m 24s,8,9,5,1.44:1,ACE,empty,Irelia,Diamond 1,empty,Irelia,Genius Monster,Talon,Pötürgeli xD,Renekton,Hyun º ,Karthus,Feeelix,Karma,FWZ Rambo,Fiora,Exile Myself,Nidalee,on a regular,Yasuo,everything to me,Samira,Avra 123,Alistar,sari
5484344280,win,Ranked Solo,2021-09-30 08:49:21,15m 54s,7,3,2,3.00:1,empty,empty,Lee Sin,Diamond 1,empty,Sylas,Silk,Ekko,everything to me,Lee Sin,Genius Monster,Lucian,CocaCola Monster,Nami,ight,Jayce,Quinncidence v3,Karthus,tempvvunswgcsqgc,Twisted Fate,Feeelix,Varus,Avra 123,Leona,stan123
5484280065,lose,Ranked Solo,2021-09-30 08:23:55,29m 59s,5,12,5,0.83:1,ACE,empty,Jayce,Diamond 1,empty,Jayce,Genius Monster,Kha'Zix,Vulpes Incúlta,Swain,Træstammen,Karthus,Feeelix,Janna,Zhu Yi Hang,Camille,One last kιss,Rek'Sai,Hero of Ferelden,Sylas,Littlebuffbabe,Jinx,Avra 123,Lulu,im cursed 999
5484276182,lose,Ranked Solo,2021-09-30 07:39:21,25m 38s,4,7,7,1.57:1,empty,empty,Lucian,Diamond 1,empty,Jax,φψµ,Shaco,Chief Keef,Kayle,ravenous hatred,Ezreal,EDG Killaki ,Karthus,tempgqrwwxbkkoxh,Camille,jankos fann,Lillia,tempgoyjzzbbjzqz,Azir,end myself,Lucian,Genius Monster,Lulu,im cursed 999
5484273003,win,Ranked Solo,2021-09-30 07:06:50,19m 4s,3,6,9,2.00:1,empty,empty,Anivia,Diamond 1,empty,Darius,Fifoko,Evelynn,tempsjgjlgslchok,Ryze,wincg,Lucian,MiraiLizu,Nami,jeraa,Jayce,2021Worlds0113,Jarvan IV,tempvvunswgcsqgc,Viktor,tête à fromage,Draven,Giant Monster,Anivia,Genius Monster
