gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5476387906,lose,Ranked Solo,2021-09-26 02:57:06,26m 27s,9,5,11,4.00:1,Double Kill,ACE,Sylas,Grandmaster,empty,Jax,77GameZting,Kha'Zix,처피뱅 카와이,Vex,Indexy,Lucian,샤오 쑤,Sylas,Kimwinter,Kennen,dustmqdyd12,Talon,love beijixing,Galio,퀸 세연,Draven,T1 Gumayusi,Amumu,Gen G Quid
5476258004,lose,Ranked Solo,2021-09-26 01:41:58,17m 33s,5,5,4,1.80:1,ACE,empty,Ezreal,Grandmaster,empty,Fiora,Fiora,Nidalee,JD fans,Vex,Gen G Quid,Ezreal,Kimwinter,Karma,안타까운 세상,Kennen,dustmqdyd12,Graves,byz,Twisted Fate,LSB Winter,Lucian,어딘가좀아픈사람,Nami,zzzzussss
5476156215,lose,Ranked Solo,2021-09-26 00:56:49,29m 43s,4,11,10,1.27:1,empty,empty,Ekko,Challenger,empty,Irelia,거북이사건,Ekko,Kimwinter,Ryze,Hakunaa Matata,Vayne,짐승 잡종 인간,Nami,Let me sup,Camille,DRX1234,Jarvan IV,JD fans,Sylas,KT VicLa,Lucian,DK Kingdom,Blitzcrank,나는 준일하다
5476053974,lose,Ranked Solo,2021-09-25 23:54:25,19m 7s,1,7,7,1.14:1,empty,empty,Gragas,Grandmaster,empty,Kennen,502 Error,Qiyana,Jzzcjmzh,LeBlanc,은정우,Kai'Sa,누쇤퍅,Rell,MNTNMNTNM,Malphite,깨달음을얻은남자,Talon,Love dont stop,Sylas,wodesry,Samira,long yan jing yi,Gragas,Kimwinter
5475970372,win,Ranked Solo,2021-09-25 23:07:47,26m 9s,3,5,25,5.60:1,empty,empty,Nami,Grandmaster,empty,Renekton,BRO TaNa,Ekko,byz,Yone,Gen G Quid,Kalista,Gen G Peyz,Rakan,xiaoqiupup,Aatrox,DRX1234,Kindred,이기고오쉽당,Sylas,단군의청춘부재,Lucian,Lure or die ,Nami,Kimwinter
5474199133,win,Ranked Solo,2021-09-25 06:05:20,27m 45s,3,5,29,6.40:1,empty,empty,Nami,Grandmaster,empty,Gragas,거북이사건,Nidalee,하 루 가절 반 ,Yone,GGanbuMid,Lucian,초보원딜러,Nami,Kimwinter,Volibear,우울적울컥,Lee Sin,짐승 짭종 인간,Neeko,권 지 인,Draven,T1 Gumayusi,Anivia,douyu TV 9018814
5474166132,win,Ranked Solo,2021-09-25 04:36:28,28m 11s,4,2,29,16.50:1,empty,empty,Nami,Challenger,empty,Gragas,wodesry,Qiyana,아크샨밴의 신,Yone,GGanbuMid,Miss Fortune,T1 Gumayusi,Karma,하 루 가절 반 ,Kennen,간다라쿤다,Lee Sin,DRX1234,Kog'Maw,으 하하 맛 있 어,Lucian,짐승 잡종 인간,Nami,Kimwinter
5474069786,win,Ranked Solo,2021-09-25 03:26:13,28m 3s,6,8,2,1.00:1,Triple Kill,empty,Kennen,Challenger,empty,Lee Sin,DRX1234,Zac,역시폭군,Irelia,자장면잠봉당수육,Gwen,평범한 숟가락,Sylas,하 루 가절 반 ,Kennen,Kimwinter,Poppy,아크샨밴의 신,LeBlanc,HLE Mask,Draven,BRO Hena,Thresh,KT Way
5474072091,win,Ranked Solo,2021-09-25 02:18:59,22m 6s,4,8,22,3.25:1,empty,empty,Amumu,Grandmaster,empty,Shen,BRO Hena,Lee Sin,Cuzz,Twisted Fate,CIoudburst,Draven,T1 Gumayusi,Amumu,Kimwinter,Jayce,BRO Yaharong,Lillia,xhr,Orianna,구체맛좀볼래,Miss Fortune,RiHoo,Trundle,Yi bing chao
5473732754,win,Ranked Solo,2021-09-25 01:29:25,28m 49s,2,6,24,4.33:1,empty,empty,Seraphine,Grandmaster,empty,Sett,Yorick,Viego,T1 Ellim,Sylas,BRO Yaharong,Lucian,아이린,Seraphine,Kimwinter,Irelia,미소의눈동자,Lillia,xhr,Yasuo,Gen G Quid,Draven,이기고오쉽당,Zac,역시폭군
5473576341,win,Ranked Solo,2021-09-25 00:49:27,16m 17s,3,2,10,6.50:1,empty,empty,Pyke,Grandmaster,empty,Lillia,Yorick,Qiyana,Shadow HamBak ,LeBlanc,BRO Yaharong,Draven,T1 Gumayusi,Pyke,Kimwinter,Irelia,미소의눈동자,Taliyah,xhr,Yone,Gen G Quid,Ezreal,이기고오쉽당,Nautilus,Seize the day11
