gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490219941,win,Ranked Solo,2021-10-04 05:50:41,26m 47s,19,4,11,7.50:1,Double Kill,MVP,Ekko,Grandmaster,empty,Yasuo,L9 SUSSY BAKA,Ekko,OnerKING,Ryze,Chφvy,Lucian,Cutepatootie,Yuumi,Roulette,Jarvan IV,PatkicaA,Taliyah,bobber kong,Yone,noobYas,Ezreal,UnstoppableForce,Nami,marlοn
5490121312,win,Ranked Solo,2021-10-04 04:12:17,33m 11s,9,4,9,4.50:1,Triple Kill,MVP,Graves,Grandmaster,empty,Vayne,UOL Cryptodir,Graves,OnerKING,Sylas,Aurora time,Senna,Dannny,Nami,Walid Georgey,Jayce,Lumerion,Nidalee,Happy Alexx,Syndra,maybe f keys ,Lucian,Neon1337Ad,Yuumi,Leon der Leon
5489344757,win,Ranked Solo,2021-10-04 00:16:38,29m 35s,6,6,12,3.00:1,empty,empty,Qiyana,Master,empty,Sylas,Tommy944,Qiyana,OnerKING,Twisted Fate,Con161,Kai'Sa,devil in details,Rakan,F tier supp,Camille,Darlik1,Karthus,ADCImpregnator,Tryndamere,yüzenköfte,Draven,JESUISRANDOMEXD,Leona,Efias
5489238910,win,Ranked Solo,2021-10-03 23:34:40,21m 36s,6,5,3,1.80:1,Double Kill,empty,Sylas,Grandmaster,empty,Fiora,dofaminu,Rumble,easymoneysniper1,Talon,jiaVX PaoPaoPW,Draven,DIGESTHUMANFLESH,Leona,Yami Sukehiro,Yone,Dzukill,Zed,Markoon,Sylas,OnerKING,Ezreal,morcillα,Bard,LiL TommyG
5489233232,win,Ranked Solo,2021-10-03 23:00:34,23m 1s,9,2,10,9.50:1,Double Kill,MVP,Taliyah,Grandmaster,empty,Yone,Fressko,Nidalee,Baby Tarz1,Sylas,BIood drippin,Kai'Sa,Cutepatootie,Amumu,BroIia,Aatrox,Zuhaîb,Taliyah,OnerKING,Pantheon,Teą,Jhin,Arktoso,Leona,Bliio
5489127983,win,Ranked Solo,2021-10-03 22:27:26,20m 31s,5,3,5,3.33:1,Triple Kill,empty,Graves,Grandmaster,empty,Sett,l Need Blood ,Taliyah,asdfghjklqwe,Graves,OnerKING,Lucian,FattyP,Taric,WiIIyrex Fanboy,Fiora,dofaminu,Lee Sin,Gilius1,Katarina,SL0WDEATH,Ezreal,DIGESTHUMANFLESH,Rakan,soloqwarrior1
5488762262,win,Ranked Solo,2021-10-03 11:28:28,21m 59s,8,1,15,23.00:1,Triple Kill,empty,Lee Sin,Grandmaster,empty,Lillia,Wufo,Lee Sin,OnerKING,Irelia,ég jojopyun,Karthus,Mοrdred,Amumu,Prosfair,Volibear,KURU DUT,Fiddlesticks,Splash 001,Qiyana,L9 SUSSY BAKA,Miss Fortune,quack1,Rell,NanamiHakuya
5488701956,win,Ranked Solo,2021-10-03 10:52:01,23m 8s,12,3,7,6.33:1,Triple Kill,empty,Lee Sin,Grandmaster,empty,Lillia,Wufo,Karthus,91 C LE BRESIL,Camille,KURU DUT,Lucian,KwK AlVaRo710,Braum,NanamiHakuya,Gwen,ΙrreΙevant,Lee Sin,OnerKING,Kassadin,Mοrdred,Miss Fortune,quack1,Leona,BUFFMEUP
5488648878,lose,Ranked Solo,2021-10-03 10:19:54,30m 36s,10,7,8,2.57:1,Double Kill,ACE,Talon,Grandmaster,empty,Aatrox,Wufo,Talon,OnerKING,Karthus,quack1,Draven,LDLC Gumayusi,Nautilus,ight,Renekton,masked gamer XD,Viego,Expecto Patrounm,Pantheon,Armoured Dragon,Brand,Undercover CameL,Lulu,HAHHAHAHAHAXXDDD
5488607721,win,Ranked Solo,2021-10-03 09:40:48,25m 55s,8,5,7,3.00:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Gnar,masked gamer XD,Lee Sin,OnerKING,Zoe,Its Me InDeed,Miss Fortune,quack1,Viktor,styropianzserem,Poppy,Seminol,Kindred,Shinzouku,LeBlanc,Reu,Draven,LDLC Gumayusi,Lulu,HAHHAHAHAHAXXDDD
5488660790,win,Ranked Solo,2021-10-03 08:35:01,22m 25s,17,3,9,8.67:1,Double Kill,MVP,Taliyah,Master,empty,Volibear,Firefl0wer,Taliyah,OnerKING,Irelia,TAMAAAAAAAAAAA,Ezreal,maybe f keys ,Yuumi,S9XDXDXD,Camille,DONT DISSAPEAR,Hecarim,Doaenel Hecarim,Yone,indoor fish,Seraphine,NF Change,Karthus,LIMIT12345
5488557775,lose,Ranked Solo,2021-10-03 08:07:54,23m 2s,0,9,5,0.56:1,empty,empty,Sylas,Grandmaster,empty,Aatrox,me like solobolo,Nidalee,ismaaa,Sylas,OnerKING,Draven,Mοrdred,Jarvan IV,SPEEDOBEAR,Camille,SK Alois,Zed,Aurora time,LeBlanc,Chemera,Miss Fortune,RRRift,Amumu,soloqwarrior1
5488217863,lose,Ranked Solo,2021-10-03 04:46:13,32m 7s,21,10,12,3.30:1,Triple Kill,ACE,Lee Sin,Grandmaster,empty,Camille,chance no exist,Karthus,ADCImpregnator,Zed,420WeabooSlayer,Draven,Kaττen,Bard,LiL TommyG,Riven,SK Alois,Lee Sin,OnerKING,Vel'Koz,Fin Frérοt ,Veigar,DIGESTHUMANFLESH,Janna,Weakside Zzzzzzz
5488243111,win,Ranked Solo,2021-10-03 04:08:02,18m 33s,11,1,5,16.00:1,Triple Kill,MVP,Lee Sin,Grandmaster,empty,Aphelios,Undercover ChimP,Lee Sin,OnerKING,Ekko,420WeabooSlayer,Lucian,Meruem12,Nami,FNC Hylissangg,Aatrox,suusuppuun,Viego,Happy Alexx,LeBlanc,Chamana1,Jinx,bean3,Blitzcrank,Frank Horrigan
5487882182,win,Ranked Solo,2021-10-03 00:24:53,26m 45s,12,4,9,5.25:1,Triple Kill,MVP,Lee Sin,Master,empty,Tahm Kench,LiL TommyG,Lee Sin,OnerKING,Ziggs,Smooth Guy,Jhin,mihaitzaboss,Brand,woshidoinb,Rumble,Suirotas,Jarvan IV,Chamana1,Sylas,Jasοn Bourne,Lucian,Cutepatootie,Nami,Weakside Zzzzzzz
5487845801,win,Ranked Solo,2021-10-02 23:49:32,26m 39s,9,2,10,9.50:1,MVP,empty,Nidalee,Master,empty,Irelia,aléc,Taliyah,ositosi,Miss Fortune,Ox Caliste ,Quinn,INTERLUDE XXX,Blitzcrank,iwillsav3you,Gragas,Bronsly,Nidalee,OnerKING,Yone,BabaGandalf,Lucian,Nero Forte,Amumu,nova7777777
5487777412,lose,Ranked Solo,2021-10-02 23:04:00,34m 24s,3,11,4,0.64:1,Double Kill,empty,Ekko,Grandmaster,empty,Urgot,TwTv Kamon ,Ekko,OnerKING,Tryndamere,GODZILLA66666666,Jhin,CRASIAA,Leona,mYi Flay,Zilean,Looca,Gragas,Albetrayber,Yone,SHøWMAKéR,Tristana,i abuse ie ,Pantheon,JingleDingle
