gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5475406289,win,URF,2021-09-25 19:44:31,15m 41s,10,9,4,1.56:1,empty,empty,Tryndamere,empty,empty,Shaco,시비걸면던지는새,Ahri,Promise Love,Talon,darimi0805,Yuumi,Cute77ov0,Lee Sin,bridge the gap,Shaco,끄랄라,Syndra,아느느방송중,Vayne,vietcongsoldier,Lee Sin,GyaakGuaaak,Tryndamere,T1 Oner
5474990890,win,URF,2021-09-25 17:39:05,20m 35s,23,14,0,1.64:1,Double Kill,empty,Tryndamere,empty,empty,Miss Fortune,그소식을들었을때,Nocturne,나는롤장인이다,Rengar,호 비 두 비 ,Syndra,모모와 다락방,Shaco,비천어검류 에고,Tryndamere,T1 Oner,Swain,까비까비까까비,Galio,매직 더 개더링,Teemo,역천괴,LeBlanc,모기는 척살
5468709682,lose,Ranked Solo,2021-09-22 19:35:31,25m 15s,14,10,2,1.60:1,Double Kill,empty,Kennen,Grandmaster,empty,Kennen,T1 Oner,Taliyah,Liiv OnFleek,Pantheon,잠은허송세월,Aphelios,길고먼여행지,Thresh,krole,Fiora,ke bei,Zed,스물다섯번째밤,Kog'Maw,으 하하 맛 있 어,Lucian,shenzhenshaoye,Nami,DFM GAENG
5461245767,lose,Ranked Solo,2021-09-19 13:54:46,31m 15s,6,5,3,1.80:1,Double Kill,ACE,Graves,Grandmaster,empty,Cassiopeia,내가제일잘못했다,Graves,T1 Oner,Lulu,Fiora,Varus,고구마태풍,Karma,응애응애1212,Kennen,T1 Zeus,Lee Sin,Hide on bush,Lucian,은정우,Xerath,03 프로가능할까,Seraphine,Happy Cats
5455743514,win,Ranked Solo,2021-09-16 20:16:30,23m 42s,11,4,6,4.25:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Riven,오동1,Lee Sin,T1 Oner,LeBlanc,디알엑스 제트,Draven,T1 Gumayusi,Lulu,애넨차피이해못해,Fiora,Azhy,Jarvan IV,bglxxnm,Lissandra,DRX1234,Lucian,이기고오쉽당,Ekko,Kimwinter
5455618340,win,Ranked Solo,2021-09-16 19:43:27,22m 20s,13,3,9,7.33:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Gwen,T1 Roach,Zed,bglxxnm,Graves,BRO TaNa,Kindred,아라드,Amumu,알레산드로 델,Maokai,FA Decky,Lee Sin,T1 Oner,Lulu,종갈통,Draven,T1 Gumayusi,Leona,SPG BaeKHo
5455107318,win,Ranked Solo,2021-09-16 15:16:51,27m 39s,15,4,12,6.75:1,Double Kill,MVP,Ekko,Grandmaster,empty,Tahm Kench,T1 F0rest,Sylas,Co24,Ryze,DK Pullbae,Ezreal,DK Kingdom,Amumu,MNTNMNTNM,Camille,Saint Diana,Ekko,T1 Oner,Pantheon,앤 쥐,Miss Fortune,42141321,Trundle,Gen G Lospa
5455024294,lose,Ranked Solo,2021-09-16 14:26:25,25m 39s,7,7,3,1.43:1,Double Kill,empty,Ekko,Grandmaster,empty,Jax,FA Decky,Lee Sin,우울적울컥,Lucian,골목대장 태훈이,Ziggs,BRO Yaharong,Thresh,아이러니zz,Camille,Gen G Burdol,Ekko,T1 Oner,Tryndamere,글썽글썽태윤,Draven,BRO Hena,Nautilus,Gen G Khael
5455031245,lose,Ranked Solo,2021-09-16 13:40:03,17m 20s,5,4,1,1.50:1,empty,empty,Lee Sin,Grandmaster,empty,Tahm Kench,따봉 람머스,Graves,Co24,Tryndamere,FA Decky,Cassiopeia,Chang Min ,Rakan,알레산드로 델,Wukong,But you,Lee Sin,T1 Oner,Zoe,BRO Yaharong,Ziggs,AF Le5,Trundle,Gen G Lospa
5453121830,lose,Ranked Solo,2021-09-15 02:52:43,35m 27s,8,4,20,7.00:1,Double Kill,empty,Poppy,Grandmaster,empty,Ornn,Savage,Graves,Gen G Clid,Taliyah,Gen G Quid,Yasuo,짐승 짭종 인간,Gragas,FA Decky,Lee Sin,우울적울컥,Poppy,T1 Oner,LeBlanc,DRX1234,Vayne,항상배고픈코그모,Braum,Let me sup
