gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5476435768,win,Ranked Solo,2021-09-26 02:52:40,26m 36s,5,3,15,6.67:1,Double Kill,MVP,Ekko,Grandmaster,empty,Graves,wodesry,Ekko,난 워낙 노빠꾸라,LeBlanc,Hide on bush,Miss Fortune,RiHoo,Leona,Let me sup,Gnar,BJ갈배,Talon,byz,Lissandra,권 지 인,Aphelios,BRO Hena,Blitzcrank,0008000
5476420750,win,Ranked Solo,2021-09-26 02:10:29,23m 31s,20,2,6,13.00:1,Triple Kill,MVP,Ekko,Grandmaster,empty,Akali,거북이사건,Ekko,난 워낙 노빠꾸라,Akshan,KT VicLa,Miss Fortune,RiHoo,Rell,MNTNMNTNM,Kennen,깨달음을얻은남자,Kha'Zix,처피뱅 카와이,Galio,퀸 세연,Draven,T1 Gumayusi,Camille,이기고오쉽당
5476264628,win,Ranked Solo,2021-09-26 01:36:32,30m 35s,8,4,8,4.00:1,Double Kill,empty,Ekko,Grandmaster,empty,Gragas,거북이사건,Nidalee,미드조지기,Qiyana,제드팀 구글 검색,Caitlyn,Sangchu,Thresh,Winsome2,Sett,Savage,Ekko,난 워낙 노빠꾸라,Lulu,LunaLina,Lucian,참 몬났다,Nami,초보원딜러
5476150765,lose,Ranked Solo,2021-09-26 00:28:57,25m 11s,8,6,8,2.67:1,ACE,empty,Ekko,Challenger,empty,Sylas,502 Error,Lee Sin,N0T Angry,Vex,사랑이 하고싶어,Draven,T1 Gumayusi,Camille,이기고오쉽당,Gnar,깨달음을얻은남자,Ekko,난 워낙 노빠꾸라,Cassiopeia,SPG BaeKHo,Tryndamere,항상배고픈코그모,Alistar,q7mm
5476041440,lose,Ranked Solo,2021-09-25 23:47:12,26m 45s,12,6,9,3.50:1,Triple Kill,ACE,Ekko,Grandmaster,empty,Irelia,포동포동아기물개,Talon,love beijixing,Twisted Fate,CIoudburst,Ashe,lucky whaleshark,Galio,이기고오쉽당,Jayce,HLE Mask,Ekko,난 워낙 노빠꾸라,Sylas,현주입니다,Jhin,Ottogl,Leona,11baby
5475972972,lose,Ranked Solo,2021-09-25 23:13:59,22m 42s,3,2,7,5.00:1,ACE,empty,Ekko,Challenger,empty,Gnar,깨달음을얻은남자,Ekko,난 워낙 노빠꾸라,Pantheon,05프로하고싶어요,Miss Fortune,Gen G Ruler,Leona,11baby,Sylas,502 Error,Rek'Sai,우울적울컥,Malzahar,Let me sup,Draven,항상배고픈코그모,Thresh,로이갓전용노예
5475844418,win,Ranked Solo,2021-09-25 22:34:51,23m 24s,4,3,12,5.33:1,MVP,empty,Lee Sin,Grandmaster,empty,Riven,오동1,Nidalee,Haru0304,Irelia,은정우,Jhin,Gen G Peyz,Blitzcrank,Let me sup,Wukong,77GameZting,Lee Sin,난 워낙 노빠꾸라,Katarina,Emilia tan,Aphelios,rekresreb,Thresh,햄스터쳇바퀴인생
5475824788,lose,Ranked Solo,2021-09-25 22:04:11,23m 19s,8,9,6,1.56:1,Double Kill,empty,Ekko,Grandmaster,empty,Camille,애넨차피이해못해,Ekko,난 워낙 노빠꾸라,Ryze,haoyunba0bel,Kai'Sa,Gen G Peyz,Alistar,11baby,Tryndamere,갱붕이,Gragas,우울적울컥,Riven,오동1,Heimerdinger,Spit in my mouth,Shen,Let me sup
5474932078,lose,Ranked Solo,2021-09-25 17:02:56,23m 0s,5,8,4,1.13:1,empty,empty,Ekko,Grandmaster,empty,Kennen,miemiemie,Ekko,난 워낙 노빠꾸라,Sett,Tangyuando,Aphelios,T1 R ADC,Thresh,안타까운 세상,Sylas,놀이터여행자,Graves,byz,Karma,Shadow FA 03,Draven,rekresreb,Nautilus,교육잘받은도구
5474840520,win,Ranked Solo,2021-09-25 16:17:16,31m 37s,11,9,15,2.89:1,empty,empty,Ekko,Grandmaster,empty,Fiora,Saint Diana,Ekko,난 워낙 노빠꾸라,Akshan,Indexy,Draven,항상배고픈코그모,Yuumi,구글 롤코코팀,Quinn,살퀸레,Graves,dangyadangyadang,Lissandra,Shadow FA 03,Ezreal,디알엑스 제트,Sona,Fiora
5473565798,win,Ranked Solo,2021-09-25 00:47:22,20m 13s,4,4,3,1.75:1,empty,empty,Graves,Challenger,empty,Jayce,포동포동아기물개,Zac,역시폭군,LeBlanc,DK Chasy,Ezreal,JJ0ng 묻었네,Karma,곽곽보성,Gragas,dustmqdyd12,Graves,난 워낙 노빠꾸라,Katarina,Emilia tan,Lucian,길고먼여행지,Lulu,하루에 18판
5473176307,win,Ranked Solo,2021-09-24 22:23:01,22m 46s,12,2,11,11.50:1,Triple Kill,MVP,Ekko,Challenger,empty,Jayce,Avocadoda,Qiyana,아크샨밴의 신,Sylas,JustLikeThatKR,Draven,BRO Hena,Zac,역시폭군,Lee Sin,DRX1234,Ekko,난 워낙 노빠꾸라,Akali,권 지 인,Kai'Sa,길고먼여행지,Sett,Kimwinter
5473149782,win,URF,2021-09-24 21:47:36,11m 50s,21,3,10,10.33:1,Triple Kill,empty,LeBlanc,empty,empty,LeBlanc,로켓싸개,Zed,무지걔여섯공성전,Skarner,서폿은 노비다,Bard,뇽뇽이1호,Renekton,늘짜증나는사람,Singed,모하비황무지,Jax,동쪽의 호랑이,LeBlanc,난 워낙 노빠꾸라,Nidalee,T1 Canna,Lucian,준팔e
5473013811,lose,URF,2021-09-24 20:47:50,19m 30s,15,13,18,2.54:1,Double Kill,empty,LeBlanc,empty,empty,Vex,돈지라알,Jayce,우유혀니,LeBlanc,IlllllIllIlllllI,Shen,뒤 일,Lee Sin,협곡벌,Vex,Inha University,Master Yi,딱딱 난 틀딱,LeBlanc,난 워낙 노빠꾸라,Kalista,Kimwinter,Nunu & Willump,캘리포니아롤백
5472888908,win,Ranked Solo,2021-09-24 20:25:12,19m 50s,6,4,13,4.75:1,empty,empty,Taliyah,Grandmaster,empty,Riven,오동1,Taliyah,난 워낙 노빠꾸라,Akshan,사랑이 하고싶어,Lucian,어딘가좀아픈사람,Blitzcrank,concesslon,Kennen,miemiemie,Ekko,난 무조건 잘 돼,Talon,xhr,Draven,짐승 잡종 인간,Galio,권 지 인
5472881835,lose,Ranked Solo,2021-09-24 19:53:02,26m 29s,7,7,9,2.29:1,ACE,empty,Lee Sin,Grandmaster,empty,Wukong,wodesry,Lee Sin,난 워낙 노빠꾸라,Ryze,사랑이 하고싶어,Aphelios,짐승 잡종 인간,Thresh,DWG Muru,Jayce,아크샨밴의 신,Ekko,nodfan,Varus,은정우,Ezreal,푹 쉬면서 해요 ,Karma,로이갓전용노예
5472311625,win,Ranked Solo,2021-09-24 16:48:57,28m 59s,7,7,20,3.86:1,empty,empty,Talon,Challenger,empty,Jayce,wodesry,Talon,난 워낙 노빠꾸라,Malzahar,Let me sup,Draven,T1 Gumayusi,Pyke,bai si yyds,Irelia,T1 Zeus,Lee Sin,미드조지기,Vex,디알엑스 제트,Ezreal,KT 5kld,Ekko,Kimwinter
5472266444,lose,Ranked Solo,2021-09-24 16:14:04,21m 10s,3,5,4,1.40:1,empty,empty,Ekko,Grandmaster,empty,Camille,wodesry,Ekko,난 워낙 노빠꾸라,Pantheon,05프로하고싶어요,Aphelios,kwqejksad,Pyke,LSB DDahyuk,Shen,완전무결 플레이,Talon,xhr,Twisted Fate,GGGori,Ezreal,zszzz,Lulu,Chang Min 
5472202858,win,Ranked Solo,2021-09-24 15:41:45,18m 55s,12,0,9,Perfect,Double Kill,MVP,Lee Sin,Grandmaster,empty,Shen,완전무결 플레이,Lee Sin,난 워낙 노빠꾸라,Syndra,사랑이 하고싶어,Ezreal,zszzz,Rell,awsdrfgyhjik,Sett,LSB DDahyuk,Ekko,Cuzz,Cassiopeia,Chang Min ,Vayne,Gen G Peyz,Lulu,DFM GAENG
5472086994,lose,Ranked Solo,2021-09-24 14:58:46,25m 43s,4,8,1,0.63:1,Double Kill,empty,Kennen,Grandmaster,empty,Jayce,blwy1,Kayn,CITRU5,Vex,Gen G Quid,Vayne,rekresreb,Amumu,Tangyuando,Kennen,난 워낙 노빠꾸라,Lee Sin,love beijixing,Qiyana,못할 때도 있지,Ezreal,zszzz,Galio,Let me sup
5471514646,win,Ranked Solo,2021-09-24 00:42:25,20m 11s,11,2,7,9.00:1,Double Kill,empty,Trundle,Grandmaster,empty,Sylas,가민준,Qiyana,byz,Irelia,은정우,Draven,zxcsazxcazdz,Rakan,Yi bing chao,Trundle,난 워낙 노빠꾸라,Graves,끼릭끼리릭,Azir,EIderwood Azir,Lucian,어딘가좀아픈사람,Lulu,안타까운 세상
5471570586,win,Ranked Solo,2021-09-24 00:15:29,15m 55s,5,3,8,4.33:1,MVP,empty,Poppy,Grandmaster,empty,Tryndamere,갱붕이,Poppy,난 워낙 노빠꾸라,Akali,미소의눈동자,Miss Fortune,가민준,Karma,SHCH0,Sylas,난 무조건 잘 돼,Qiyana,byz,Lulu,항상배고픈코그모,Lucian,어딘가좀아픈사람,Ekko,Kimwinter
5471092801,win,Ranked Solo,2021-09-23 22:34:44,16m 12s,9,2,4,6.50:1,Double Kill,MVP,Lee Sin,Grandmaster,empty,Poppy,이도류,Lee Sin,난 워낙 노빠꾸라,Galio,xwbzgsjsd,Jhin,길고먼여행지,Leona,알레산드로 델,Graves,DK Chasy,Viego,리액션단돈만원 ,Zoe,Gen G Quid,Kai'Sa,SPG BaeKHo,Maokai,둠심 YouTube
5469587976,lose,Ranked Solo,2021-09-22 23:45:09,34m 53s,6,12,8,1.17:1,Double Kill,empty,Qiyana,Grandmaster,empty,Gnar,BJ갈배,Lee Sin,Hengzzz,LeBlanc,Tangyuando,Miss Fortune,viper3,Leona,Weasely,Tryndamere,Tryndamere777,Qiyana,난 워낙 노빠꾸라,Sylas,길고먼여행지,Tristana,원딜은무기력하다,Rakan,호잇이
