gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5476468753,win,ARAM,2021-09-26 05:17:09,30m 21s,30,14,21,3.64:1,Triple Kill,empty,Darius,empty,empty,Vex,왕자님의평타싸개,Darius,이기고오쉽당,Xerath,DangerousBoy ady,Kennen,불질러,Aurelion Sol,T1 Gumayusi,Sylas,BarvaTos,Riven,아이시엔,Shaco,즐겜러 개나리,Zed,무슨 의미,Maokai,케이틀린 고수
5476420750,lose,Ranked Solo,2021-09-26 02:10:29,23m 31s,5,12,8,1.08:1,empty,empty,Camille,Grandmaster,empty,Akali,거북이사건,Ekko,난 워낙 노빠꾸라,Akshan,KT VicLa,Miss Fortune,RiHoo,Rell,MNTNMNTNM,Kennen,깨달음을얻은남자,Kha'Zix,처피뱅 카와이,Galio,퀸 세연,Draven,T1 Gumayusi,Camille,이기고오쉽당
5476273605,lose,Ranked Solo,2021-09-26 01:18:34,16m 20s,1,4,5,1.50:1,ACE,empty,Kai'Sa,Challenger,empty,Camille,전서방 닭갈비,Graves,byz,Syndra,Gen G Quid,Kai'Sa,이기고오쉽당,Gragas,하루에 18판,Poppy,KT Castle,Nidalee,JD fans,Vex,KT VicLa,Jhin,zzzusss,Rakan,Let me sup
5476227864,win,Ranked Solo,2021-09-26 00:55:15,15m 22s,6,2,5,5.50:1,empty,empty,Camille,Grandmaster,empty,Camille,이기고오쉽당,Rek'Sai,Love dont stop,Kassadin,LunaLina,Xayah,초보원딜러,Karma,로se,Lee Sin,Savage,Xin Zhao,eightzz,Vladimir,wodesry,Ashe,가민준,Lulu,안타까운 세상
5476150765,win,Ranked Solo,2021-09-26 00:28:57,25m 11s,10,7,10,2.86:1,Double Kill,empty,Camille,Challenger,empty,Sylas,502 Error,Lee Sin,N0T Angry,Vex,사랑이 하고싶어,Draven,T1 Gumayusi,Camille,이기고오쉽당,Gnar,깨달음을얻은남자,Ekko,난 워낙 노빠꾸라,Cassiopeia,SPG BaeKHo,Tryndamere,항상배고픈코그모,Alistar,q7mm
5476041440,win,Ranked Solo,2021-09-25 23:47:12,26m 45s,2,8,19,2.63:1,Double Kill,empty,Galio,Grandmaster,empty,Irelia,포동포동아기물개,Talon,love beijixing,Twisted Fate,CIoudburst,Ashe,lucky whaleshark,Galio,이기고오쉽당,Jayce,HLE Mask,Ekko,난 워낙 노빠꾸라,Sylas,현주입니다,Jhin,Ottogl,Leona,11baby
5475970372,win,Ranked Solo,2021-09-25 23:07:47,26m 9s,16,6,5,3.50:1,Triple Kill,empty,Kindred,Grandmaster,empty,Renekton,BRO TaNa,Ekko,byz,Yone,Gen G Quid,Kalista,Gen G Peyz,Rakan,xiaoqiupup,Aatrox,DRX1234,Kindred,이기고오쉽당,Sylas,단군의청춘부재,Lucian,Lure or die ,Nami,Kimwinter
5475920419,lose,Ranked Solo,2021-09-25 22:32:43,27m 39s,13,6,6,3.17:1,Double Kill,ACE,Miss Fortune,Grandmaster,empty,Tristana,오뚜기3분미트볼,Graves,byz,Ryze,사 용 수,Ezreal,로이갓전용노예,Amumu,q7mm,Jayce,KT R TOP,Lee Sin,DRX1234,Sylas,BRO Yaharong,Miss Fortune,이기고오쉽당,Nautilus,SHCH0
5475689607,lose,Ranked Solo,2021-09-25 21:45:10,29m 20s,16,8,6,2.75:1,Double Kill,ACE,Kai'Sa,Grandmaster,empty,Fiora,v나르샤v,Olaf,eightzz,Galio,lucky boy2,Kai'Sa,이기고오쉽당,Alistar,Av0cadoda,Aatrox,oilf,Talon,love beijixing,Azir,구체맛좀볼래,Aphelios,black kitty2000,Leona,토낀 토끼
5474211441,win,Ranked Solo,2021-09-25 03:30:54,18m 1s,3,3,4,2.33:1,Double Kill,empty,Kai'Sa,Grandmaster,empty,Jayce,dustmqdyd12,Ekko,짐승 짭종 인간,Irelia,IRELKlNG,Kai'Sa,이기고오쉽당,Lulu,메이 츄르 좋아해,Yone,BRO Yaharong,Viego,일산전영찬,Vex,Gen G Quid,Jhin,Gen G Ruler,Nami,레일리리
5474077138,win,Ranked Solo,2021-09-25 03:01:57,27m 50s,15,2,10,12.50:1,Double Kill,MVP,Aphelios,Grandmaster,empty,Fiora,77GameZting,Lee Sin,미드조지기,Seraphine,광팔햄,Lucian,레일리리,Ashe,xiao adc,Jayce,공부하기시러요,Nidalee,일산전영찬,Twisted Fate,CIoudburst,Aphelios,이기고오쉽당,Rakan,쿠 리
5474050296,win,Ranked Solo,2021-09-25 02:01:19,17m 42s,4,3,3,2.33:1,empty,empty,Kai'Sa,Grandmaster,empty,Vi,자장면잠봉당수육,Lee Sin, 엘 림,Gragas,미소의눈동자,Kai'Sa,이기고오쉽당,Lulu,포식자,Jayce,GGanbuMid,Nidalee,N0T Angry,Irelia,Gen G Quid,Aphelios,짐승 잡종 인간,Leona,KT Way
5473732754,lose,Ranked Solo,2021-09-25 01:29:25,28m 49s,2,11,5,0.64:1,empty,empty,Draven,Grandmaster,empty,Sett,Yorick,Viego,T1 Ellim,Sylas,BRO Yaharong,Lucian,아이린,Seraphine,Kimwinter,Irelia,미소의눈동자,Lillia,xhr,Yasuo,Gen G Quid,Draven,이기고오쉽당,Zac,역시폭군
